"","O.Open","O.High","O.Low","O.Close","O.Volume"
"2011-09-15",34.89,34.89,34.43,34.66,647825
"2011-09-22",32.58,33.71,32.5,33.3,2085069
"2011-09-29",34.08,34.08,32.97,33.58,1285919
"2011-10-06",31.29,31.79,31,31.77,1112852
"2011-10-13",31.37,32.05,31.1,31.72,1314610
"2011-10-20",32.7,32.82,31.85,32.55,828753
"2011-10-27",34.1,34.1,33.43,34.05,1482735
"2011-11-03",33.38,33.79,32.86,33.79,1124181
"2011-11-10",33.25,33.25,32.44,32.64,708149
"2011-11-17",33.5,33.94,33.26,33.36,1319682
"2011-12-01",33.65,33.73,33.22,33.39,748310
"2011-12-08",33.74,33.8,33.32,33.41,718949
"2011-12-15",34.05,34.39,33.87,34.33,1030805
"2011-12-22",34.96,35.24,34.94,35.1,709391
"2011-12-29",35.13,35.33,35.09,35.25,434273
"2012-01-05",34.5,35.06,34.4,34.88,696054
"2012-01-12",35.66,35.66,35.21,35.4,540593
"2012-01-19",35.82,36.08,35.61,35.79,1305866
"2012-01-26",36.48,36.6,36.3,36.53,598823
"2012-02-02",36.85,37.06,36.7,37,550557
"2012-02-09",37.41,37.64,36.9,37.14,733290
"2012-02-16",36.51,37.04,36.51,36.68,660016
"2012-02-23",36.57,36.94,36.45,36.94,569087
"2012-03-01",36.91,37.07,36.68,36.93,650363
"2012-03-08",37.33,37.35,36.86,36.9,781429
"2012-03-15",37.96,38,37.63,37.97,505246
"2012-03-22",37.95,38.1,37.57,37.96,587258
"2012-03-29",38.62,38.79,38.32,38.69,474288
"2012-04-05",37.86,37.86,37.3,37.5,1390102
"2012-04-12",37.62,37.83,37.52,37.74,644836
"2012-04-19",38.06,38.45,37.9,37.98,864743
"2012-04-26",39.48,39.59,39.24,39.41,747869
"2012-05-03",39.45,39.6,39.39,39.44,776527
"2012-05-10",39.45,39.51,38.88,39.31,573568
"2012-05-17",39.34,39.38,38.37,38.37,984708
"2012-05-24",38.7,38.91,38.29,38.73,522895
"2012-05-31",38.12,38.66,37.9,38.33,713914
"2012-06-07",40.04,40.04,39.08,39.14,775888
"2012-06-14",39.46,39.93,39.37,39.81,634720
"2012-06-21",40.6,40.65,39.92,40.07,642545
"2012-06-28",40.5,41.23,40.36,41.23,733364
"2012-07-05",42,42.13,41.79,41.93,463393
"2012-07-12",41.59,42.15,41.33,41.95,559900
"2012-07-19",42.22,42.29,41.39,41.7,671159
"2012-07-26",42,42.01,40.49,40.91,1004284
"2012-08-02",40.85,41.27,40.73,41.22,445005
"2012-08-09",40.94,40.94,40.46,40.51,733440
"2012-08-16",40.78,41.8,40.67,41.54,1493814
"2012-08-23",41.78,42.03,41.65,41.84,677013
"2012-08-30",42.51,42.53,42.02,42.27,846238
"2012-09-06",44.02,44.22,42.05,42.21,7351451
"2012-09-13",42.33,42.51,42,42.14,1235122
"2012-09-20",41.42,41.46,41.07,41.19,797611
"2012-09-27",40.69,40.9,40.56,40.72,827632
"2012-10-04",41.47,41.58,41.04,41.3,735550
"2012-10-11",41.34,41.41,40.99,41.04,669783
"2012-10-18",41.19,41.48,41.15,41.33,675998
"2012-10-25",40.78,40.88,40.06,40.18,842797
"2012-11-01",39.16,39.84,38.84,39.56,1246318
"2012-11-08",38.8,38.83,38.54,38.6,1030479
"2012-11-15",37.45,38,37.37,37.5,1316509
"2012-11-29",39.37,39.48,38.92,39.34,1204797
"2012-12-06",40.17,40.67,40.15,40.66,868919
"2012-12-13",40.37,40.56,40.15,40.28,678283
"2012-12-20",40.86,41.02,40.65,40.88,994317
"2012-12-27",40.62,40.75,40.27,40.55,649655
"2013-01-03",41.15,41.35,40.88,40.99,1150364
"2013-01-10",42.33,42.8,42,42.8,2328292
"2013-01-17",43.55,44.06,43.46,43.92,1376388
"2013-01-24",43.69,44.03,43.51,43.7,2915671
"2013-01-31",43.49,43.72,43.21,43.68,1420878
"2013-02-07",43.59,43.59,43.25,43.49,954109
"2013-02-14",44.31,44.41,44.02,44.29,882698
"2013-02-21",44.7,44.83,44.08,44.3,1270342
"2013-02-28",45.42,45.86,45.36,45.65,2176749
"2013-03-07",45.9,46.05,45.78,46.01,3644416
"2013-03-14",44.59,44.85,44.52,44.76,1418807
"2013-03-21",44.02,44.39,44,44.13,1164972
"2013-03-28",44.81,45.37,44.75,45.35,2432516
"2013-04-04",45.72,45.91,45.55,45.88,1127230
"2013-04-11",46.84,47.7,46.8,47.7,3115001
"2013-04-18",47.7,48.12,47.47,48.1,1162724
"2013-04-25",49.42,49.96,48.81,49.51,1406644
"2013-05-02",50.68,51.35,50.61,51.09,1022941
"2013-05-09",52.64,52.64,52.09,52.19,1021999
"2013-05-16",54.27,54.61,53.88,54.01,1195196
"2013-05-23",51.37,51.49,49.35,50.63,3761129
"2013-05-30",47.35,47.89,46.4,46.65,2239592
