"","FFIV.Open","FFIV.High","FFIV.Low","FFIV.Close","FFIV.Volume"
"2011-09-15",84.05,85.1,83.1,84.53,2226224
"2011-09-22",74.13,75.32,70.83,74.2,3601148
"2011-09-29",77.34,77.75,72.4,74.75,1930764
"2011-10-06",82.45,85.81,81.74,85.75,2893703
"2011-10-13",87,88.1,85.9,87.45,1548924
"2011-10-20",87.6,87.6,84.79,86.72,1874673
"2011-10-27",103.03,107,100.79,105.72,3394853
"2011-11-03",106.04,107.69,102.59,106.94,2221800
"2011-11-10",107.73,108.85,106.28,106.99,1660869
"2011-11-17",110.5,110.72,104.74,107.1,2079614
"2011-12-01",111.5,113.21,108.46,111.07,2417524
"2011-12-08",113.43,113.55,110.67,111.09,1388874
"2011-12-15",106.25,107.05,104.23,105.29,1189829
"2011-12-22",102.78,105.81,102.65,104.48,1729749
"2011-12-29",106.21,107.13,105.11,107,997851
"2012-01-05",104.02,105.38,102.75,105.23,1259075
"2012-01-12",110.92,111.75,108.03,110.81,1358400
"2012-01-19",118.47,122.63,116.49,120,7044886
"2012-01-26",123.45,124.02,119.85,120.82,1707093
"2012-02-02",121.75,122.82,120.05,120.52,1867678
"2012-02-09",126,126,123.52,125.75,837611
"2012-02-16",126.97,127.83,125.28,127.45,1091317
"2012-02-23",126.13,128.82,125.6,128.7,1073977
"2012-03-01",125.74,127.6,125.03,127.33,1016277
"2012-03-08",125.96,126.8,124.18,124.26,961997
"2012-03-15",132,134,130.7,132.31,1132936
"2012-03-22",131.14,132.87,129.5,132.47,1085946
"2012-03-29",132.81,135.15,132.2,134.86,860242
"2012-04-05",135.33,136.11,133.42,135.93,904329
"2012-04-12",123.19,126.25,121.37,124.15,2056568
"2012-04-19",133.79,139.2,131.3,133.98,6223382
"2012-04-26",130.6,133.67,130.01,133.41,1367374
"2012-05-03",136,138.67,135.39,136.23,1632943
"2012-05-10",129.09,129.2,123.27,124.08,2575234
"2012-05-17",118.35,119.19,116.32,116.47,1804468
"2012-05-24",116.12,116.8,106.79,108.56,5128947
"2012-05-31",103.74,103.95,99.47,103.48,5070709
"2012-06-07",105.18,107.19,101.3,101.55,3123235
"2012-06-14",101.27,101.57,99.25,100.51,1006106
"2012-06-21",100.84,101.12,95.25,95.49,2245132
"2012-06-28",96.63,99.4,92.09,93.36,2454877
"2012-07-05",100.49,102.56,99.01,101.44,1402035
"2012-07-12",91.13,94.04,88.37,93.47,2792480
"2012-07-19",94.94,103.13,93.2,102.75,6537897
"2012-07-26",93.92,96.76,93.11,94.55,2082615
"2012-08-02",92,93.93,90.28,90.53,2056373
"2012-08-09",101.66,103.9,101.52,103.21,1043978
"2012-08-16",100,104.5,99.89,104.05,2021776
"2012-08-23",99.71,100.98,98.26,99.02,1292337
"2012-08-30",101.04,101.08,97.34,97.39,1854613
"2012-09-06",95.21,99.36,95.14,99.05,1768149
"2012-09-13",97.39,101.19,97.1,100.39,1755259
"2012-09-20",109.89,110.27,108.15,109.36,1523714
"2012-09-27",106,107.63,105.25,106.5,1452847
"2012-10-04",106.81,107.75,105.15,107.43,1425800
"2012-10-11",100.29,101.47,97.8,98.79,1962015
"2012-10-18",97.71,98.25,96.13,97.05,1691956
"2012-10-25",82.8,83.95,81.07,83,8457321
"2012-11-01",82.32,86.86,82.03,86.1,3200130
"2012-11-08",88.74,89.78,86.5,86.76,1871996
"2012-11-15",88.02,88.5,84.71,87.71,3147664
"2012-11-29",93.24,94.57,92.82,93.97,1297592
