"","MOS.Open","MOS.High","MOS.Low","MOS.Close","MOS.Volume"
"2011-09-15",71.31,71.72,69.86,71.07,4330059
"2011-09-22",62.23,62.55,58.9,60.11,14204985
"2011-09-29",56.83,56.98,52.61,54.2,18403019
"2011-10-06",52.35,53.95,52.35,53.3,8782637
"2011-10-13",55.35,56.15,54.8,55.85,4932470
"2011-10-20",53.43,55.39,52.52,55.25,7905976
"2011-10-27",61.3,62.53,60.07,61.81,6591069
"2011-11-03",57.19,57.54,55.6,57.31,4716695
"2011-11-10",57.16,57.18,55.03,56.25,4166209
"2011-11-17",56.5,56.51,50.34,50.76,16596875
"2011-12-01",53.21,54.28,52.62,52.77,5005330
"2011-12-08",52.81,53.51,50.93,51.13,5814593
"2011-12-15",47.58,48.07,46.83,47.32,5904673
"2011-12-22",49.87,51.9,49.82,51.62,3910973
"2011-12-29",48.45,50.44,48.35,50.28,4820467
"2012-01-05",52.1,55.25,51.95,53.3,10769378
"2012-01-12",53.92,55.15,52.53,54.59,8787736
"2012-01-19",54.45,54.71,53.45,53.85,6165138
"2012-01-26",55.89,56.7,55.04,55.37,4840244
"2012-02-02",57.29,58.1,56.73,57.11,4415664
"2012-02-09",56.24,56.59,55.89,56,2685914
"2012-02-16",54.88,56.07,54.49,55.5,5324004
"2012-02-23",59.15,59.6,58.25,58.94,5505992
"2012-03-01",58.48,58.57,57.48,58.01,3291607
"2012-03-08",55.5,56.05,55.31,55.57,3159875
"2012-03-15",55.29,55.73,54.96,55.26,3033137
"2012-03-22",56.91,57.44,55.95,56.27,3758947
"2012-03-29",56.37,57.35,54.61,55.27,10932415
"2012-04-05",53.69,54.36,52.88,52.96,4303388
"2012-04-12",50.23,51.48,50.1,51.17,5549751
"2012-04-19",50.87,51.08,50.22,50.84,2875376
"2012-04-26",52.5,52.81,51.85,52.64,4134079
"2012-05-03",52.69,52.98,52.01,52.33,2506966
"2012-05-10",50.12,50.18,48.7,48.9,4294847
"2012-05-17",46.81,47.25,45.58,45.68,4364972
"2012-05-24",48.48,48.99,47.83,48.74,3646043
"2012-05-31",47.84,48.1,46.73,47.68,3211162
"2012-06-07",48.73,48.96,47.55,47.69,2971831
"2012-06-14",47.5,48.15,46.86,47.59,3062714
"2012-06-21",51.95,52.07,49.97,50.28,3186032
"2012-06-28",53.17,54.19,52.55,54.05,5988636
"2012-07-05",55.6,56.6,55.6,56.1,3461707
"2012-07-12",55.04,55.1,53.78,54.44,4348894
"2012-07-19",58.25,58.45,57.49,57.62,4248010
"2012-07-26",57.86,58.25,57,57.98,5050811
"2012-08-02",57.21,57.62,56.34,56.99,3000732
"2012-08-09",57.83,58.88,57.73,58.65,2321780
"2012-08-16",58.25,59.84,58.25,59.64,4182684
"2012-08-23",58.82,58.91,57.33,57.6,2720707
"2012-08-30",57.3,57.56,56.65,56.79,2637932
"2012-09-06",59.12,61.06,59.12,61.05,5829862
"2012-09-13",59.88,61.53,59.17,60.89,4447983
"2012-09-20",59.67,60.49,58.97,60.31,5307463
"2012-09-27",57.54,57.89,57.22,57.65,2767626
"2012-10-04",55.01,55.32,54.28,55.1,3928703
"2012-10-11",55.31,55.83,55.12,55.34,3892776
"2012-10-18",54.88,54.94,54.3,54.69,3134102
"2012-10-25",53.6,53.63,52.7,53.25,2061721
"2012-11-01",52.54,53.26,52.25,53.13,2230097
"2012-11-08",52.12,52.33,51.25,51.53,1821695
"2012-11-15",48.97,49.56,48.85,49.12,3277544
"2012-11-29",53.6,54.74,53.49,54.1,3177449
"2012-12-06",53.12,54.18,53,53.72,2775400
"2012-12-13",56.45,56.53,55.12,55.63,2612430
"2012-12-20",55.29,55.84,54.68,55.83,2381592
"2012-12-27",56.1,56.44,55.36,56.15,1899203
"2013-01-03",57.61,58.06,56.32,56.77,4556560
"2013-01-10",59.61,59.88,59.23,59.73,3137662
"2013-01-17",59.18,59.64,58.87,59.17,2640440
"2013-01-24",59.64,61.2,59.64,60.92,3559043
"2013-01-31",60.68,61.89,60.4,61.25,2665346
"2013-02-07",61.01,61.75,60.9,61.16,1626156
"2013-02-14",61.88,62.1,61.3,61.98,2678722
"2013-02-21",58.34,58.34,56.66,57.73,4887972
"2013-02-28",58.26,59.08,58.07,58.54,3360448
"2013-03-07",58.38,59.48,58.34,59.29,2637607
"2013-03-14",61.81,62.34,61.5,62.34,3030364
"2013-03-21",60.87,61.04,59.99,60.04,2817371
"2013-03-28",59.49,60.21,58.29,59.61,6381491
"2013-04-04",58.43,59.49,58.42,59.35,2304251
"2013-04-11",60.08,60.73,59.97,60.61,1869768
"2013-04-18",58.35,58.35,57.01,57.39,2829770
"2013-04-25",60.44,61.55,60.44,60.83,2258411
"2013-05-02",60.58,60.79,59.69,60.5,1710963
"2013-05-09",64.34,64.64,63.64,63.84,2645292
"2013-05-16",61.26,61.77,60.49,61.11,2674180
"2013-05-23",58.6,60.3,58.29,60.02,2669712
"2013-05-30",62.1,62.1,61.31,61.9,2166171
"2013-06-06",60.01,60.04,59.23,60.03,1701369
"2013-06-13",57.25,58.93,56.75,58.7,2526880
"2013-06-20",57.61,57.61,56.5,56.83,3043098
"2013-06-27",55.06,55.21,53.76,53.8,4154394
"2013-07-11",56.4,56.97,56.23,56.85,4191366
"2013-07-18",54.45,54.45,53.93,54.03,6491213
"2013-07-25",52.1,52.59,51.71,52.51,6051868
"2013-08-01",42.05,42.08,40.55,41.88,17940499
"2013-08-08",42.09,43.94,42.01,43.48,10816604
"2013-08-15",43.21,44.65,42.6,44.23,10567111
"2013-08-22",41.2,41.64,40.91,41.29,3514814
"2013-08-29",41.34,41.95,41.12,41.54,2745929
"2013-09-05",42.4,42.65,41.42,42.07,5996004
"2013-09-12",44.82,44.89,44.05,44.38,3872851
"2013-09-19",45.13,45.3,44.38,44.74,5831262
"2013-09-26",44.56,44.75,44.04,44.19,3215496
"2013-10-03",45.58,45.92,44.83,45.28,4461822
"2013-10-10",46.21,46.45,45.73,46.26,5949974
"2013-10-17",45.92,46.77,45.83,46.51,3107604
"2013-10-24",46.05,46.14,44.88,45.64,4414625
"2013-10-31",46.66,46.98,45.81,45.85,3091393
"2013-11-07",46.41,47.25,46.32,46.96,5232837
"2013-11-14",48.25,48.25,47.74,48.16,3347028
"2013-11-21",47.5,47.72,46.25,46.42,3887302
"2013-12-05",47.84,47.84,46.91,46.97,2835622
"2013-12-12",44.23,44.32,43.72,43.79,3954870
"2013-12-19",44.51,44.74,44.38,44.68,2370283
"2013-12-26",46.75,47.1,46.7,46.94,1471944
"2014-01-02",47.25,47.65,46.96,47,1648763
"2014-01-09",47.28,47.31,46.03,46.13,3353111
"2014-01-16",49.32,49.6,49.05,49.32,3573629
"2014-01-23",47.32,47.53,46.51,47.02,3882434
"2014-01-30",44.65,44.99,43.58,44.93,5196390
"2014-02-06",45.41,46.32,45.3,46.21,4440051
"2014-02-13",47.85,48.22,47.43,47.63,3254422
"2014-02-20",47.63,48.43,47.61,48.37,2514811
"2014-02-27",48.12,48.53,47.77,48.38,2725847
"2014-03-06",50.11,50.63,49.92,50,5509532
"2014-03-13",48.5,48.68,47.38,47.66,3087201
"2014-03-20",48.75,49.04,48.49,49.04,2314181
"2014-03-27",48.39,48.99,48.13,48.7,1871709
"2014-04-03",49.51,49.65,49.13,49.42,1809229
"2014-04-10",48.55,48.68,47.76,48.08,2149485
"2014-04-17",48.6,48.95,48.48,48.72,1916607
"2014-04-24",49.07,49.12,48.37,48.79,1377893
"2014-05-01",50.01,50.23,49.62,49.82,1253499
"2014-05-08",48.51,49.1,48.43,48.6,1610137
"2014-05-15",49.92,50,48.9,49.3,2998527
"2014-05-22",49.68,50.03,49.39,49.48,2955150
"2014-05-29",49.33,49.97,49.3,49.87,1568868
"2014-06-05",48.88,48.99,48.23,48.83,2469664
"2014-06-12",48.81,49,48.59,48.6,2198749
"2014-06-19",50.45,50.77,50.15,50.63,4839846
"2014-06-26",49.95,50.01,49.61,49.96,1840044
"2014-07-03",49.13,49.24,48.9,49.19,1975664
"2014-07-10",47.41,47.58,46.84,47.34,3205550
"2014-07-17",47.7,47.96,47.33,47.55,2113608
"2014-07-24",47.86,48.24,47.18,47.34,3554632
"2014-07-31",46.75,47.4,45.95,46.11,3638594
"2014-08-07",47.15,47.25,46.07,46.22,2691550
"2014-08-14",45.72,45.99,45.59,45.96,1435930
"2014-08-21",47.29,47.65,47.27,47.55,1753515
"2014-08-28",47.7,48.21,47.57,47.97,1935874
"2014-09-04",47.21,47.37,46.8,46.9,3139359
"2014-09-11",45.87,46.34,45.72,46.16,2412551
"2014-09-18",46.92,47.1,46.58,46.73,1558551
"2014-09-25",45.8,45.84,45.42,45.44,2300265
"2014-10-02",43.04,43.08,41.89,42.93,5050985
"2014-10-09",42.97,43.13,41.98,42.05,2545694
"2014-10-16",40.57,41.74,40.57,40.9,4076326
"2014-10-23",43.16,43.24,42.35,42.44,3343205
"2014-10-30",42.45,43.5,42.39,43.3,2790409
"2014-11-06",43.75,44.37,43.65,44.19,2669337
"2014-11-13",45.22,45.5,45.08,45.4,3863220
"2014-11-20",47.01,47.75,46.9,47.23,4526722
"2014-12-04",45.51,45.91,45.36,45.83,3098029
"2014-12-11",46.13,46.84,45.57,45.66,3671902
"2014-12-18",44.93,45.22,44.17,45.21,3725357
"2015-01-08",46.18,46.43,46.02,46.33,2888681
"2015-01-15",45.94,46.18,45.39,45.43,2229588
"2015-01-22",48.46,48.69,48,48.66,4436794
"2015-01-29",48.07,48.28,47.53,48.22,3471954
"2015-02-05",49.7,49.83,49.34,49.79,2375640
"2015-02-12",52.34,52.37,51.72,52.04,4286186
"2015-02-19",52.48,53.14,52.1,53.02,2661887
"2015-02-26",53.44,53.58,52.7,53.2,3757752
"2015-03-05",51.89,51.97,49.8,50.43,6993907
"2015-03-12",48.11,48.62,47.55,47.74,4675011
"2015-03-19",46.62,46.83,46.17,46.33,3565866
"2015-03-26",46.59,47.29,46.51,46.73,3871821
"2015-04-02",45.53,46.1,45.37,45.87,2453468
"2015-04-09",46.11,46.26,45.92,46,2308389
"2015-04-16",45.95,46.32,45.73,46.02,3125002
"2015-04-23",44.81,45.47,44.73,44.88,4649143
"2015-04-30",44.13,44.34,43.33,44,6371174
"2015-05-07",44.22,44.56,44,44.49,9009959
"2015-05-14",45.54,45.63,45.12,45.56,3187377
"2015-05-21",47.32,47.68,47.1,47.43,4903804
"2015-05-28",46.47,46.64,46.25,46.53,3390645
"2015-06-04",45.1,45.16,44.53,44.58,3115394
"2015-06-11",44.61,44.96,44.58,44.85,2979049
"2015-06-18",44.94,45.2,44.81,45.03,3289829
"2015-06-25",45.43,46.43,45.26,46.21,7123797
"2015-07-02",46.65,46.9,46.43,46.65,2617667
"2015-07-09",45.56,45.7,44.64,44.71,4591482
"2015-07-16",45.46,45.56,45.16,45.27,2216208
"2015-07-23",44.21,44.43,43.82,43.96,3426812
"2015-07-30",42.82,43.27,42.73,42.83,3984106
"2015-08-06",44.77,44.85,44.17,44.64,3343129
"2015-08-13",43.46,43.6,43.05,43.34,2370084
"2015-08-20",42.26,42.49,41.48,41.48,3562734
"2015-08-27",39.51,40.71,39.5,40.55,4925432
"2015-09-03",39.8,40.63,39.69,40.37,2697136
"2015-09-10",39.41,39.87,39.17,39.45,3095832
"2015-09-17",39.27,39.5,38.73,38.83,3154486
"2015-09-24",31.76,32.58,31.12,32.45,8777145
"2015-10-01",31.08,31.25,29.92,30.14,5319129
"2015-10-08",33.33,34.06,33.28,33.89,4452156
"2015-10-15",35.32,35.47,34.65,34.93,5715619
"2015-10-22",34.63,35.24,34.47,35.16,3592198
"2015-10-29",34.21,34.92,33.75,34.66,3898354
"2015-11-05",33.45,33.89,32.48,32.67,6326919
"2015-11-12",31.46,32.14,31.26,31.66,3279623
"2015-11-19",32.05,32.95,32,32.31,3624490
"2015-12-03",30.94,31.15,30.54,31.03,5467063
"2015-12-10",30.82,31.45,30.02,30.07,4687172
"2015-12-17",30.03,30.14,28.82,28.84,4880750
"2015-12-24",30.09,30.45,29.63,29.75,1668902
"2015-12-31",28.06,28.3,27.53,27.59,4235834
"2016-01-07",26.17,26.34,25.34,25.53,5552689
"2016-01-14",24.08,25.38,23.76,25.06,7342192
"2016-01-21",24.11,24.97,23.79,24.62,5979173
"2016-01-28",22.49,23.18,22.08,23,5406164
"2016-02-04",24,25.37,23.96,24.8,8343227
"2016-02-11",23.17,25.77,22.37,24.75,11154059
"2016-02-18",25.43,25.89,24.76,25.72,6359764
"2016-02-25",24.97,25.68,24.5,25.42,4698350
"2016-03-03",28.19,28.62,27.89,28.49,4457690
"2016-03-10",30.19,30.35,28.92,29.46,6890537
"2016-03-17",29.51,30.25,29.29,29.87,5491971
"2016-03-24",27.75,27.75,26.86,27.26,6437027
"2016-03-31",28.16,28.3,26.88,27,6784902
"2016-04-07",25.19,25.4,24.52,24.75,4484649
"2016-04-14",26.02,26.11,25.18,25.47,6128325
"2016-04-21",28.84,29.66,28.59,28.71,5771825
"2016-04-28",27.98,29.26,27.52,28.57,7302347
"2016-05-05",27.28,27.33,25.96,26.08,6180692
"2016-05-12",26.68,26.9,25.38,25.44,5243734
"2016-05-19",25.22,25.82,25.05,25.67,4430524
"2016-05-26",26.68,26.81,26,26.13,5229089
"2016-06-02",25.29,26,25.12,25.65,7305910
"2016-06-09",28.05,28.13,27.1,27.53,5003049
"2016-06-16",26.07,26.11,25.44,25.9,4591515
"2016-06-23",27.57,28.7,27.55,28,9273087
"2016-06-30",25.71,26.79,25.21,26.18,7548844
"2016-07-07",25.43,25.71,24.84,24.99,4477141
