"","MOS.Open","MOS.High","MOS.Low","MOS.Close","MOS.Volume"
"2016-07-14",27.62,28.67,27.36,28.18,6964757
"2016-07-21",29.02,29.41,28.66,28.89,4080108
"2016-07-28",28.32,28.37,27.43,27.65,5901369
"2016-08-04",27.11,27.11,25.98,26.44,6586858
"2016-08-11",27.94,28.18,27.3,28.11,4386040
"2016-08-18",27.86,28.03,27.62,27.96,4277416
"2016-08-25",28.5,28.8,28.33,28.5,2978964
"2016-09-01",30,30.03,29.04,29.17,6231117
"2016-09-08",28.63,28.95,28.1,28.25,3951751
"2016-09-15",25.72,26.21,25.71,25.95,4468496
