"","RHI.Open","RHI.High","RHI.Low","RHI.Close","RHI.Volume"
"2011-09-15",22.11,22.65,21.75,22.5,2209547
"2011-09-22",20.27,20.46,19.76,20.06,1868308
"2011-09-29",21.56,22.09,21.33,21.96,2354587
"2011-10-06",22.46,23,22.1,22.95,1698551
"2011-10-13",23.99,24.52,23.59,24.28,1846271
"2011-10-20",24.62,24.71,23.91,24.47,1583495
"2011-10-27",27.11,27.65,26.94,27.27,3128580
"2011-11-03",26.79,27.27,26.21,27.16,2316356
"2011-11-10",26.06,26.4,25.88,26.36,1560710
"2011-11-17",26.45,26.56,25.8,25.92,1323206
"2011-12-01",26.33,26.72,26.27,26.39,1859968
"2011-12-08",27.25,27.55,27.02,27.41,2841121
"2011-12-15",26.87,27.03,26.53,26.71,1426260
"2011-12-22",27.7,28.5,27.67,28.34,1670431
"2011-12-29",27.91,28.38,27.9,28.34,658728
"2012-01-05",28.25,28.72,28.04,28.55,1365474
"2012-01-12",28.89,28.93,28.48,28.87,1261183
"2012-01-19",29.39,30.14,29.35,29.99,992622
"2012-01-26",30.06,30.51,29.6,29.76,1861797
"2012-02-02",28.49,28.71,28.09,28.11,1240312
"2012-02-09",29.44,29.77,29.18,29.74,974595
"2012-02-16",29.15,29.46,29.03,29.29,915850
"2012-02-23",29.04,29.18,28.96,29.06,833440
"2012-03-01",28.58,29.06,28.5,28.79,1261621
"2012-03-08",28.72,29.07,28.57,29.02,844687
"2012-03-15",30.3,30.79,30.15,30.79,894179
"2012-03-22",30.22,30.27,29.89,30.18,837116
"2012-03-29",29.64,30.22,29.61,30.15,1251039
"2012-04-05",29.78,29.98,29.65,29.74,1263782
"2012-04-12",28.81,29.56,28.7,29.53,854115
"2012-04-19",29.69,29.69,28.74,28.85,2208355
"2012-04-26",30.53,30.75,30.07,30.32,1700800
"2012-05-03",30.36,30.42,29.95,30.04,2062397
"2012-05-10",28.99,29.14,28.54,28.89,2074641
"2012-05-17",28.77,28.87,28.16,28.21,1410327
"2012-05-24",28.86,29,28.29,28.73,884749
"2012-05-31",28.32,28.68,27.8,28.42,1272457
"2012-06-07",28,28.39,27.42,27.48,1197630
"2012-06-14",28.08,28.53,27.92,28.38,1181863
"2012-06-21",29.18,29.24,28.08,28.12,1291602
"2012-06-28",27.23,27.46,26.88,27.34,953530
"2012-07-05",28.89,29.39,28.89,29.21,1332619
"2012-07-12",27.96,28.08,27.57,27.68,1696024
"2012-07-19",28.61,29.07,28.58,28.95,1139488
"2012-07-26",26.61,26.67,26.1,26.35,1222396
"2012-08-02",26.56,26.98,26.35,26.76,1185919
"2012-08-09",27.68,28.24,27.54,28.16,1490776
"2012-08-16",28.45,29.08,28.42,29,1039088
"2012-08-23",27.99,28.25,27.92,28.2,747001
"2012-08-30",26.84,26.98,26.34,26.51,1221369
"2012-09-06",26.06,27.18,26.03,27.06,1545021
"2012-09-13",26.93,27.08,26.76,26.93,2936668
"2012-09-20",26.65,26.86,26.46,26.51,1330071
"2012-09-27",26.5,26.92,26.41,26.75,1087408
"2012-10-04",26.09,26.32,25.93,26.24,1770892
"2012-10-11",25.61,25.67,25.1,25.41,2111494
"2012-10-18",25.64,26.05,25.52,25.93,2222162
"2012-10-25",26.9,27.19,26.65,27.07,2283724
"2012-11-01",26.94,27.74,26.94,27.69,1909588
"2012-11-08",27.33,27.46,26.96,26.96,1196035
"2012-11-15",26.65,26.88,26.54,26.82,1648110
"2012-11-29",27.95,28.03,27.8,27.88,1264813
"2012-12-06",28.32,28.65,28.27,28.62,1004666
"2012-12-13",29.62,29.76,29.46,29.52,850130
"2012-12-20",30.97,31.52,30.75,31.51,2313638
"2012-12-27",31.57,31.76,31.35,31.67,1643427
"2013-01-03",32.5,33.06,32.42,32.88,1707422
"2013-01-10",32.94,32.94,32.65,32.74,1374304
"2013-01-17",33.41,33.78,33.31,33.71,725970
"2013-01-24",33.58,34.23,33.57,34,3167488
"2013-01-31",35.58,35.62,34.98,35.24,3361236
"2013-02-07",35.71,35.84,35.28,35.55,1787759
"2013-02-14",35.05,35.25,34.91,35.2,1317882
"2013-02-21",35.13,35.23,34.65,34.72,1351503
"2013-02-28",35.49,35.96,35.35,35.55,989496
"2013-03-07",35.88,35.99,35.66,35.94,426831
"2013-03-14",36.23,36.38,35.97,36.3,599443
