"","AAL.Open","AAL.High","AAL.Low","AAL.Close","AAL.Volume"
"2013-12-12",26.2,26.71,25.45,25.45,19981824
"2013-12-19",26.12,26.49,25.82,26.12,6916497
"2013-12-26",26.12,26.36,25.98,26.13,4226639
"2014-01-02",25.07,25.82,25.06,25.36,8998943
"2014-01-09",28.24,29.6,28.2,29.42,26056445
"2014-01-16",28.94,29.39,28.7,29.34,7034698
"2014-01-23",30.65,31.46,30.62,31.35,11397447
"2014-01-30",33.36,34.2,33.2,33.8,13677012
"2014-02-06",33.71,34.92,33.7,34.66,13924507
"2014-02-13",34.07,35.04,34.06,35.02,8412272
"2014-02-20",34.43,35.67,34.43,35.66,9289448
"2014-02-27",36.88,36.95,36.34,36.56,5666647
"2014-03-06",38.28,39.32,38.28,38.81,14008414
"2014-03-13",37.9,37.99,35.75,36.74,11743627
"2014-03-20",36.61,37.09,36.28,36.56,6952115
"2014-03-27",36.62,36.77,35.02,35.77,9546097
"2014-04-03",37.72,38.44,36.96,37.34,7939297
"2014-04-10",36.7,37.38,34.6,35.29,16312604
"2014-04-17",35.5,35.86,34.82,35.4,9225655
"2014-04-24",37.84,38.24,35.8,37.26,21038719
"2014-05-01",35.86,36.7,35.46,36.39,11502084
"2014-05-08",37.25,38.25,37.05,38.25,14451109
"2014-05-15",38.55,38.73,37.48,38.19,10677177
"2014-05-22",38.3,38.88,38.3,38.72,6414652
"2014-05-29",39.89,40.27,39.36,39.82,9668210
"2014-06-05",43,43.49,42.27,42.41,8543065
"2014-06-12",41.27,41.41,38.86,40.2,37320111
"2014-06-19",42.82,43.49,42.66,43.06,14117100
"2014-06-26",43.96,44.6,43.5,44.55,11175082
"2014-07-03",42.61,42.94,41.4,41.62,8257974
"2014-07-10",41,42.98,40.77,42.82,11829169
"2014-07-17",43.04,43.44,41.65,41.7,13919677
"2014-07-24",42.5,43.95,41.7,42.16,18018077
"2014-07-31",38.9,39.4,38.05,38.85,13536481
"2014-08-07",37.7,38.41,36.5,36.86,9886761
"2014-08-14",38.5,39.61,38.46,39.57,10132481
"2014-08-21",40.75,40.85,39.44,39.51,8155816
"2014-08-28",38.71,39.4,38.7,39.17,3888975
"2014-09-04",39.37,39.98,38.36,38.47,12007001
"2014-09-11",38.73,39.04,37.93,38.09,10067719
"2014-09-18",37.7,38.11,37.6,38.05,4556264
"2014-09-25",35.88,35.98,34.86,35.21,10934832
"2014-10-02",34.47,35.38,33.51,33.93,21482153
"2014-10-09",33.5,33.7,31.94,31.98,22639564
"2014-10-16",30.63,33.4,30,32.97,24987103
"2014-10-23",37.43,40.18,36.8,38.48,33292004
"2014-10-30",39.91,40.69,39.62,40.3,10566622
"2014-11-06",42.59,44.13,42.59,43.14,14477213
"2014-11-13",43.54,44.46,43.49,44.12,11134963
"2014-11-20",43.65,44.72,43.2,44.16,9431411
"2014-12-04",49.6,50.27,49.32,49.65,15233774
"2014-12-11",49.8,51.5,49.65,50.53,15100887
"2014-12-18",48.56,50.93,47.5,50.14,16945321
"2015-01-08",53.48,54.28,53.25,53.66,9672064
"2015-01-15",49.14,50.4,48.58,49.41,10399684
"2015-01-22",54.52,55.82,53.91,55.59,16201053
"2015-01-29",51.04,52.42,50.57,52.24,16618856
"2015-02-05",49.46,49.46,47.6,48.81,9220865
"2015-02-12",46.75,48.5,46.4,47.88,9542801
"2015-02-19",50.78,50.8,49.59,49.78,11462822
"2015-02-26",50.38,50.38,49.02,49.35,7577294
"2015-03-05",49.19,49.2,47.78,48.4,7041012
"2015-03-12",47.57,48.72,47.56,48.68,7133511
"2015-03-19",54.57,55.24,54.45,55.19,18897709
"2015-03-26",50.84,51.68,50.25,51.26,14242731
"2015-04-02",50.48,50.85,49.15,49.18,14109775
"2015-04-09",48.86,49.48,47.72,47.84,11576174
"2015-04-16",47.81,48.91,47.75,48.24,7155874
"2015-04-23",51.07,51.72,50.7,51.45,9821775
"2015-04-30",48.5,49.46,48.01,48.28,9400367
"2015-05-07",47.4,49.62,47.4,49.06,11427992
"2015-05-14",48.94,49.09,48.5,48.82,7980104
"2015-05-21",43.19,43.39,42.4,42.47,23895773
"2015-05-28",42.25,42.5,41.77,41.97,9238835
"2015-06-04",43.05,43.98,41.88,42.17,14128026
"2015-06-11",40.79,41.26,39.94,40.02,10116732
"2015-06-18",39.8,40.22,39.61,39.98,10647022
"2015-06-25",42.65,43.42,42.2,42.24,8174154
"2015-07-02",39.02,39.8,38.4,39.03,11080020
