"","AAL.Open","AAL.High","AAL.Low","AAL.Close","AAL.Volume"
"2015-07-09",39.84,40.28,39.66,39.67,8490876
"2015-07-16",41.81,42.22,41.3,41.39,12111338
"2015-07-23",42.78,43.81,42,42.61,16579876
"2015-07-30",40.58,40.93,39.92,40.27,5855845
"2015-08-06",43.25,43.45,41.76,42.18,7395473
"2015-08-13",42.76,43.28,42.27,42.67,6605820
"2015-08-20",42.84,43.52,41.78,41.98,8849966
"2015-08-27",39.17,39.45,37.97,39.03,13709265
"2015-09-03",41.84,41.91,40.78,40.89,9870539
"2015-09-10",41.39,41.88,40.71,41.21,9171528
"2015-09-17",43.11,44.59,42.99,43.99,12789062
"2015-09-24",41.15,41.15,39.92,40.25,10488233
"2015-10-01",38.5,39.27,37.84,39.2,9134902
"2015-10-08",39.21,40.03,38.7,39.74,8303197
"2015-10-15",44.1,44.48,43.5,44.46,8179462
"2015-10-22",45.53,46.01,44.36,45.99,14363392
"2015-10-29",45.63,46.1,45.21,45.86,5178814
"2015-11-05",45.7,45.83,45.03,45.6,5864737
"2015-11-12",44.29,44.52,43.82,43.9,5929788
"2015-11-19",41.94,42.73,41.89,42.3,6535238
"2015-12-03",43.65,44.6,42.92,43.27,7235252
"2015-12-10",43.79,44.48,43.54,44.09,7955619
"2015-12-17",43.33,43.95,42.45,42.46,7224974
"2015-12-24",43.27,44.19,43.11,43.81,3307108
"2015-12-31",42.54,42.57,41.83,42.35,6813757
"2016-01-07",40.97,41.52,39.68,40.45,11312876
"2016-01-14",40.21,40.78,38.86,40.55,11714874
"2016-01-21",38.93,40,38.02,39.79,9766460
"2016-01-28",39.61,39.79,37.66,38.14,17054487
"2016-02-04",37.34,38.6,36.7,38.21,8585899
"2016-02-11",36.47,37.22,36.17,36.49,8071231
"2016-02-18",39.36,39.68,38.96,39.54,9559390
"2016-02-25",40.76,41.38,40.41,41.36,6915242
"2016-03-03",41.52,42.24,41.23,41.88,8803544
"2016-03-10",42.11,42.11,40.91,41.63,5812269
"2016-03-17",42.31,42.31,41.82,42.1,5959563
"2016-03-24",41.88,41.95,40.19,40.5,12492247
"2016-03-31",41.5,41.68,40.98,41.01,8135584
"2016-04-07",38.66,39.05,37.91,38.36,8114136
"2016-04-14",40.34,41.66,40.25,41.17,10124590
"2016-04-21",40.8,40.93,39.8,40.01,10721343
"2016-04-28",37.04,37.09,35.89,35.97,9796389
"2016-05-05",33.28,33.52,32.73,32.8,11580220
"2016-05-12",33.01,33.02,31.29,31.33,14207122
"2016-05-19",32.28,32.59,31.69,32.15,8867110
"2016-05-26",32.13,32.34,31.37,31.51,7157754
"2016-06-02",31.67,32.07,31.58,31.67,6813295
"2016-06-09",32.25,33.58,32.25,33.4,8188322
"2016-06-16",29.8,29.8,29.02,29.14,18236714
"2016-06-23",30.25,30.49,29.77,30.33,9139949
"2016-06-30",27.86,28.31,27.49,28.31,11148266
"2016-07-07",28.39,29.47,28.31,29.4,11779807
"2016-07-14",35.11,36.19,35,35.88,16884414
"2016-07-21",35.1,35.56,34.44,34.96,16429851
"2016-07-28",36.07,36.53,35.75,36.34,6519640
"2016-08-04",33.57,33.77,33,33.58,6384697
"2016-08-11",34.25,35.08,34.24,34.96,7666723
"2016-08-18",36.43,36.7,36.05,36.67,5293057
"2016-08-25",36.34,36.94,36.32,36.72,5446011
"2016-09-01",36.53,36.71,35.88,36.24,6940639
"2016-09-08",38.68,39.41,38.43,39.35,7101532
"2016-09-15",36.31,36.63,35.85,36.41,7805325
