"","VRSN.Open","VRSN.High","VRSN.Low","VRSN.Close","VRSN.Volume"
"2011-09-15",29.48,29.6,28.97,29.09,3380787
"2011-09-22",27.64,28.02,27,27.79,4464600
"2011-09-29",29.07,29.2,28.31,28.95,2665065
"2011-10-06",29.72,29.92,29.39,29.81,2417281
"2011-10-13",30.46,30.61,29.74,30.04,2844586
"2011-10-20",30,30.13,29.44,30.04,995600
"2011-10-27",31.3,32.4,30.79,32.38,2356442
"2011-11-03",32.07,33.16,31.88,33.02,2005209
"2011-11-10",32.49,32.73,31.94,32.46,1311504
"2011-11-17",33.15,33.27,31.94,32.24,1765512
"2011-12-01",33.5,34,33.46,33.87,1895618
"2011-12-08",33.37,33.63,33.2,33.26,1442366
"2011-12-15",33.58,34.19,33.2,34.1,3856310
"2011-12-22",35.82,36.15,35.77,35.97,1738175
"2011-12-29",35.75,35.84,35.57,35.67,858056
"2012-01-05",35.7,35.82,35.24,35.74,1773978
"2012-01-12",35.63,35.9,35.57,35.81,1020446
"2012-01-19",35.96,36.16,35.73,35.75,1950184
"2012-01-26",36.5,36.5,35.69,35.92,2135027
"2012-02-02",37.42,37.43,36.6,36.83,1756377
"2012-02-09",36.75,36.96,36.41,36.87,1087538
"2012-02-16",36.96,37.29,36.88,37.2,1050247
"2012-02-23",37.29,38,37.2,37.97,1461152
"2012-03-01",37.15,37.24,36.76,37,2346557
"2012-03-08",36.24,36.61,36.05,36.48,1962102
"2012-03-15",37.94,38.14,37.8,37.98,1226057
"2012-03-22",37.88,38.6,37.85,38.47,1390252
"2012-03-29",38.08,38.57,37.98,38.54,1872562
"2012-04-05",38.51,38.98,38.39,38.94,1744174
"2012-04-12",39.65,39.81,39.35,39.69,2673655
"2012-04-19",42.68,43.05,41.8,41.95,2702871
"2012-04-26",41.77,42.33,41.56,42.03,3253202
"2012-05-03",41.47,41.55,41.07,41.33,1512702
"2012-05-10",40.64,40.94,40.08,40.16,1408240
"2012-05-17",40.12,40.63,39.57,39.6,2026903
"2012-05-24",39.93,39.95,38.89,39.24,1465363
"2012-05-31",38.63,38.71,37.61,38.23,3212611
"2012-06-07",39.45,39.71,39.32,39.4,1802712
"2012-06-14",41.22,42.27,40.95,42.01,2562993
"2012-06-21",43.67,43.84,42.69,42.82,1423484
"2012-06-28",43.48,43.53,42.13,42.52,3664180
"2012-07-05",44.22,45.1,44.12,44.99,2062403
"2012-07-12",42.6,42.8,41.85,42.53,3170884
"2012-07-19",43.92,44.2,43.83,44,1669836
"2012-07-26",42.15,43.07,42.01,42.63,3847005
"2012-08-02",44.62,45.2,44.3,45.11,2259329
"2012-08-09",46.35,46.77,46.29,46.6,1207523
"2012-08-16",47.79,48.03,47.56,47.76,2310932
"2012-08-23",47.78,48.04,47.41,47.54,1199991
"2012-08-30",47.22,47.5,46.9,47.2,795918
"2012-09-06",48.55,49.4,48.55,49.01,1796737
"2012-09-13",47.55,48.55,47.3,48,2233192
"2012-09-20",47.2,47.38,46.97,47.29,1052543
"2012-09-27",47.97,48.76,47.85,48.6,1907819
"2012-10-04",49.4,50.12,48.75,49.5,2099344
"2012-10-11",48.03,48.39,47.89,47.9,1031937
"2012-10-18",48.9,49.07,48.3,48.7,1398086
"2012-10-25",47.12,47.44,46.36,46.6,3644073
"2012-11-01",37.22,43.14,36.83,41.15,16706480
"2012-11-08",40.31,43.55,40.17,41.75,7963968
"2012-11-15",41.82,42.37,41.35,41.61,4091132
"2012-11-29",40.28,40.43,39.26,39.34,3315241
"2012-12-06",35.96,36.98,35.76,36.56,8124300
"2012-12-13",36.78,37.11,35.66,35.88,4061918
"2012-12-20",38.42,38.76,37.47,37.89,4651929
"2012-12-27",37.76,38.25,37.53,38.12,2284151
"2013-01-03",39.81,40.17,39.6,40.03,2608322
"2013-01-10",39.82,39.9,38.8,38.87,4247012
"2013-01-17",39.29,39.86,39.25,39.41,2693108
"2013-01-24",39.56,40.33,39.53,39.99,4242726
"2013-01-31",43.23,43.62,42.9,43.41,2937228
"2013-02-07",44.87,45.14,44.61,44.98,2438509
"2013-02-14",45.56,45.81,45.38,45.67,1775999
"2013-02-21",45.64,45.82,44.99,45.3,1770337
"2013-02-28",45.35,46.1,45.19,45.81,3776848
"2013-03-07",46.77,46.9,45.98,46.41,2725696
"2013-03-14",46.33,46.49,45.72,45.76,1951179
"2013-03-21",45.57,45.93,45.46,45.62,1258553
"2013-03-28",47.02,47.5,46.89,47.27,3277223
"2013-04-04",46.57,46.8,46.27,46.64,1947750
"2013-04-11",46.42,47.08,46.3,46.5,2616403
"2013-04-18",45.67,45.69,44.97,45.33,1522331
"2013-04-25",45.34,46.21,45.34,46.1,2631011
"2013-05-02",46.15,47.09,46.15,46.76,1669183
"2013-05-09",48.81,49.06,48.49,48.69,1112229
"2013-05-16",49.27,49.53,48.81,48.88,1393215
"2013-05-23",47.7,47.84,47.08,47.51,1420809
"2013-05-30",46.45,47.39,46.39,47.09,1140384
"2013-06-06",45.38,45.65,44.78,45.46,1666629
"2013-06-13",45.24,45.77,45.01,45.38,1591523
"2013-06-20",44.76,44.88,43.68,43.75,1888502
"2013-06-27",44.72,44.93,44.63,44.67,1020494
"2013-07-11",46.18,46.24,45.42,46.1,1345593
"2013-07-18",45.71,46.12,45.63,45.88,1055466
"2013-07-25",45.37,46.01,45.17,45.93,1296087
"2013-08-01",48.01,48.53,47.87,48.38,2061585
"2013-08-08",48.46,48.65,48.17,48.3,1287895
"2013-08-15",48.84,49.06,48.48,48.7,1847407
"2013-08-22",48.68,49.37,48.64,49.17,1163009
"2013-08-29",48.46,48.93,48.31,48.38,1152546
"2013-09-05",48.72,49.13,48.6,48.83,566710
"2013-09-12",49.92,50.08,49.77,49.88,793067
"2013-09-19",51.4,52.1,51.3,51.9,1196507
"2013-09-26",51.35,52.04,51.26,51.73,1081835
"2013-10-03",51.47,51.8,50.63,51.18,1165191
"2013-10-10",50.2,51.15,49.98,51.15,961939
"2013-10-17",51.81,52.18,51.59,52.1,632255
"2013-10-24",52.92,53.2,52.32,53.09,1819623
"2013-10-31",54.21,54.57,53.83,54.28,1397138
"2013-11-07",54.41,54.59,53.23,53.29,843746
"2013-11-14",54.99,55.94,54.79,55.81,1690842
"2013-11-21",55.31,56.12,55.31,55.94,1102410
"2013-12-05",56.72,57,56.37,56.89,854455
"2013-12-12",56.15,56.83,55.72,56.44,2103380
"2013-12-19",58.19,58.6,57.91,58.13,1597384
"2013-12-26",59.32,59.89,59.24,59.68,597933
"2014-01-02",59.74,60.16,59.41,60.02,1871867
"2014-01-09",61.5,61.93,60.79,60.98,2238023
"2014-01-16",62.81,62.96,61.56,61.62,4449596
"2014-01-23",61.86,62.48,61.75,62.47,829214
"2014-01-30",59.45,59.84,59.36,59.44,1031070
"2014-02-06",55.42,56.49,55.38,55.42,6766280
"2014-02-13",51.41,54.57,51.41,54.42,1190240
"2014-02-20",55.3,55.75,54.84,55.7,1374394
"2014-02-27",54.76,55.5,54.53,55.23,1430084
"2014-03-06",56.19,56.55,56.05,56.17,811693
"2014-03-13",54.82,54.97,54.1,54.35,1230287
"2014-03-20",52.7,52.83,52.18,52.41,1387638
"2014-03-27",53.31,53.54,52.78,53.32,1385155
"2014-04-03",52.99,53.16,51.57,51.59,1646741
"2014-04-10",51.25,51.49,50.18,50.18,1697510
"2014-04-17",50.26,50.94,50.23,50.66,944607
"2014-04-24",50.13,50.43,48.99,49.25,2614801
"2014-05-01",47.32,48.97,46.92,47.6,1919860
"2014-05-08",47.53,48.43,47.26,47.7,1126742
"2014-05-15",48.86,48.86,47.76,48.43,1318526
"2014-05-22",49.19,49.71,49.18,49.26,802526
"2014-05-29",50.24,50.59,50.01,50.34,1306385
"2014-06-05",50.27,50.81,50.04,50.68,756540
"2014-06-12",51.16,51.32,50.62,50.7,1075487
"2014-06-19",51.74,51.93,51.29,51.48,907905
"2014-06-26",50.93,51.12,50.43,50.73,564509
"2014-07-03",49.49,50.38,49.49,50.2,495232
"2014-07-10",48.95,49.79,48.9,49.4,967961
"2014-07-17",49.36,49.79,48.76,48.91,1113765
"2014-07-24",48.86,49.97,48.62,49.83,2273452
"2014-07-31",53.92,54.72,53.66,54.05,1614986
"2014-08-07",54.87,55,54.22,54.45,1013337
"2014-08-14",55.55,55.94,55.3,55.49,837887
"2014-08-21",56.02,57.17,55.76,56.47,1092070
"2014-08-28",55.94,56.73,55.9,56.47,614764
"2014-09-04",56.79,57.4,56.59,57.04,849274
"2014-09-11",56.33,56.72,56.19,56.53,1285513
"2014-09-18",55.95,56.17,55.46,55.78,1294870
"2014-09-25",55.9,56.15,55.17,55.28,1176476
"2014-10-02",54.49,56.06,54.32,55.52,1483976
"2014-10-09",55.91,56.25,55.15,55.25,572906
"2014-10-16",52.29,54.08,52.1,53.75,987894
"2014-10-23",55.42,56.42,55.03,56.34,1297590
"2014-10-30",58.42,58.98,57.73,58.79,860202
"2014-11-06",59.36,60.25,59.14,59.81,1395752
"2014-11-13",60.3,60.54,59.78,60.19,508378
"2014-11-20",59.24,59.98,59.06,59.73,933952
"2014-12-04",58.59,59.3,58.32,59.04,749874
"2014-12-11",56.96,57.93,56.81,57.49,1185636
"2014-12-18",57,57.37,56.66,57.3,1555522
"2015-01-08",55.89,56.96,55.63,56.88,1283914
"2015-01-15",56.55,56.77,55.56,55.57,470404
"2015-01-22",55.24,56.42,54.95,56.2,1516683
"2015-01-29",54.27,54.82,53.7,54.69,815364
"2015-02-05",57,57.45,56.68,56.95,1601668
"2015-02-12",61.58,62.19,61.35,61.72,1227145
"2015-02-19",62.49,63.61,62.36,63.52,1381748
"2015-02-26",64.55,64.95,64.2,64.82,872204
"2015-03-05",63.72,64.46,63.69,64.39,1011662
"2015-03-12",63.01,64.08,63.01,63.81,1019589
