"","VRSN.Open","VRSN.High","VRSN.Low","VRSN.Close","VRSN.Volume"
"2015-03-19",64.96,65.44,64.27,64.27,910193
"2015-03-26",64.8,65.37,64.16,64.92,923793
"2015-04-02",66.67,66.85,66.25,66.69,1206751
"2015-04-09",67.18,67.79,66.71,67.52,471650
"2015-04-16",67.6,67.89,67.25,67.87,591752
"2015-04-23",67.2,68.25,67.03,67.73,1027703
"2015-04-30",63.68,64.44,63.13,63.51,1326770
"2015-05-07",63.47,64.19,63.3,63.56,803192
"2015-05-14",64.36,64.4,63.95,64.12,1306721
"2015-05-21",64.09,64.6,64.05,64.51,594297
"2015-05-28",64.15,64.6,63.63,63.66,1001136
"2015-06-04",62.75,63.59,62.65,62.72,947537
"2015-06-11",62.97,63.78,62.75,63.1,1358579
"2015-06-18",63.74,64.66,63.67,64.63,1086836
"2015-06-25",63.51,63.7,63.13,63.28,432429
"2015-07-02",63.32,63.66,62.49,62.87,721243
"2015-07-09",62.29,62.84,62.15,62.21,587436
"2015-07-16",64.63,65.12,64.33,64.95,594836
"2015-07-23",65.85,66.4,65.63,66.02,1227852
"2015-07-30",70.4,71.27,70.05,71.03,1032593
"2015-08-06",71.04,71.27,70.17,70.62,976196
"2015-08-13",70.7,71,69.93,70.62,565859
"2015-08-20",70,70.02,68.94,69.15,1130424
"2015-08-27",68.71,69.86,68.2,69.85,1646161
"2015-09-03",68.23,68.78,67.85,68.23,605083
"2015-09-10",67.76,69.17,67.76,68.79,577134
"2015-09-17",70.59,71.29,70.26,70.49,542094
"2015-09-24",69.84,69.86,68.72,69.6,564404
"2015-10-01",70.76,71.75,70.21,71.42,1980875
"2015-10-08",74.4,74.75,73.19,74.71,665850
"2015-10-15",74.83,74.9,74.05,74.66,496330
"2015-10-22",74.77,75.74,74.77,75.41,899401
"2015-10-29",80.84,81.19,80.19,80.74,891731
"2015-11-05",81.62,82.14,80.94,81.3,584282
"2015-11-12",82.38,83.21,81.7,82.25,647829
"2015-11-19",85.83,86.66,85.6,86.6,783841
"2015-12-03",90.21,93.25,90.21,92.04,1630543
"2015-12-10",91.28,91.72,90.57,90.87,980411
"2015-12-17",90.59,90.59,87.64,87.85,1171063
"2015-12-24",87.55,88.27,87.45,87.78,287474
"2015-12-31",88.11,88.66,87.35,87.36,493945
"2016-01-07",79.62,80.87,79.4,80.55,1689331
"2016-01-14",76.35,76.44,74.19,75.65,1149517
"2016-01-21",74.29,74.67,73.52,73.85,967499
"2016-01-28",75.59,77.23,74.8,77.08,1308656
"2016-02-04",76.03,77.1,74.5,77.01,1104587
"2016-02-11",72.41,74.62,71.78,74.16,1355890
"2016-02-18",81.56,81.86,80.49,80.62,898479
"2016-02-25",83.48,84.81,83.2,84.33,832772
"2016-03-03",87.2,88.74,86.54,88.64,831304
"2016-03-10",87.48,88.89,86.14,87.18,815720
"2016-03-17",89.53,90.61,89.3,89.92,811402
"2016-03-24",88.54,89.57,88.54,89.25,463722
"2016-03-31",89.21,89.87,88.47,88.54,959699
"2016-04-07",89.34,90.22,88.76,89.59,767079
"2016-04-14",89.52,89.98,89.05,89.11,637763
"2016-04-21",89.49,89.8,88.24,88.53,574990
"2016-04-28",89.23,91.23,89.09,89.42,961959
"2016-05-05",85.14,85.7,84.28,84.41,1085195
"2016-05-12",84.95,85.49,84.4,84.96,656660
"2016-05-19",83.54,83.57,82.06,82.9,609276
"2016-05-26",84.69,85.23,84.1,84.76,502105
"2016-06-02",85.01,85.56,84.74,85.32,460775
"2016-06-09",84.54,85.15,84.46,85.1,488936
"2016-06-16",84.2,85.19,83.83,85.14,329349
"2016-06-23",86.67,87.78,86.32,87.28,477674
"2016-06-30",84.94,86.48,84.52,86.46,980116
"2016-07-07",82.85,83.74,82.61,83.4,682892
"2016-07-14",85.02,85.47,84.56,84.69,1189115
"2016-07-21",84.16,84.37,82.82,82.82,687411
"2016-07-28",84.12,84.83,83.56,84.25,831192
"2016-08-04",85.11,85.76,84.03,84.1,774655
"2016-08-11",84.59,84.85,84.35,84.67,621172
"2016-08-18",75.23,75.61,74.12,74.2,1583866
"2016-08-25",74.44,75.11,74.44,75.02,1050463
"2016-09-01",74.36,75.06,74.31,74.81,889960
"2016-09-08",76.78,76.98,75.78,76.45,954419
"2016-09-15",75.65,77.67,75.52,77.21,2751992
