"","TROW.Open","TROW.High","TROW.Low","TROW.Close","TROW.Volume"
"2011-09-15",51.48,53.02,51.34,53,2445951
"2011-09-22",47.27,47.49,45.75,46.97,6098856
"2011-09-29",49.65,50,48.17,49.69,2953375
"2011-10-06",48.75,50.46,47.74,50.4,2567039
"2011-10-13",52.81,53.07,51.12,52.34,2864099
"2011-10-20",52.65,53.24,51.73,52.78,3369101
"2011-10-27",54.36,57.23,54.36,56.81,3868238
"2011-11-03",52,53.24,50.39,52.81,2570769
"2011-11-10",52.56,52.79,51.71,52.15,1964834
"2011-11-17",53.34,53.74,52.28,52.52,2591526
"2011-12-01",56.42,56.85,55.53,56.58,1648747
"2011-12-08",58.94,59,56.81,56.99,3187887
"2011-12-15",54.83,55,53.92,54,1708764
"2011-12-22",56.89,57.42,56.6,56.83,1665622
"2011-12-29",56.61,57.47,56.41,57.36,1029766
"2012-01-05",56.93,58.41,56.48,58.29,1832788
"2012-01-12",59.61,59.68,58.87,59.37,1788052
"2012-01-19",60.04,60.52,58.88,60.06,2854532
"2012-01-26",61.48,62.14,60.81,61.04,2152423
"2012-02-02",58.93,59.09,57.7,57.85,1881693
"2012-02-09",58.5,59.6,58.14,59.55,2938481
"2012-02-16",60.2,62.23,60.09,62.22,2005865
"2012-02-23",61,61.6,60.85,61.49,1490292
"2012-03-01",61.7,62.43,61.7,62.24,1233939
"2012-03-08",61.78,62.17,61.24,62.05,1521536
"2012-03-15",64.08,65,63.7,64.71,1142678
"2012-03-22",64.17,64.23,63.53,63.94,927779
"2012-03-29",64.32,64.57,63.51,64.1,1237495
"2012-04-05",64.25,65.03,64.18,64.88,778773
"2012-04-12",62.08,63.14,61.81,63.07,1532267
"2012-04-19",62.56,62.75,61.4,61.76,1167240
"2012-04-26",62.9,63.66,62.73,63.4,1098586
"2012-05-03",62.25,62.36,61.26,61.49,1567141
"2012-05-10",60.4,60.7,59.54,59.87,1527499
"2012-05-17",59.37,59.5,58.01,58.01,1697296
"2012-05-24",57.86,58.07,57.19,58.07,1927176
"2012-05-31",57.4,58.06,56.54,57.59,1701971
"2012-06-07",58.59,58.87,57.8,58.3,2110209
"2012-06-14",58.83,60.09,58.74,59.76,2021905
"2012-06-21",62.17,62.39,59.45,59.48,2156966
"2012-06-28",60.18,60.84,59.63,60.74,975864
"2012-07-05",62.9,63.12,62.36,62.42,971019
"2012-07-12",60.21,60.66,59.81,60.37,1479491
"2012-07-19",62.85,63.4,62.49,62.7,1301422
"2012-07-26",60.01,60.44,59.25,59.75,1733737
"2012-08-02",59.5,59.93,58.52,59.12,1363497
"2012-08-09",60.93,61.31,60.6,61.02,735238
"2012-08-16",61.41,62.78,61.26,62.65,1098413
"2012-08-23",62,62.04,61.47,61.65,569348
"2012-08-30",60.9,61.65,60.66,61.38,649246
"2012-09-06",61.5,63.44,61.5,63.29,1117398
"2012-09-13",62.55,64.34,62.04,64.28,1827174
"2012-09-20",64.21,64.48,63.67,64.37,803528
"2012-09-27",63.03,63.46,62.63,63.28,698315
"2012-10-04",63.25,63.89,62.97,63.57,1046441
"2012-10-11",64.32,64.75,63.88,64.25,862898
"2012-10-18",65.85,66.41,65.62,66.41,1184226
"2012-10-25",64.92,65.73,64.44,64.74,1092190
"2012-11-01",65.05,66.18,64.48,65.83,1057430
"2012-11-08",63.8,64.72,63.41,63.44,1020366
"2012-11-15",63.31,63.67,62.85,63.42,1605689
"2012-11-29",64.03,64.7,64,64.42,962036
"2012-12-06",64.25,65.03,63.97,64.85,1820260
"2012-12-13",64.2,64.36,63.73,64.07,1070256
"2012-12-20",65.89,66.5,65.89,66.5,1192376
"2012-12-27",65.51,65.68,64.25,65.05,1053197
"2013-01-03",66.97,67.14,66.69,66.99,1921180
"2013-01-10",67.85,68.25,67.32,68.21,1647169
"2013-01-17",69.27,69.95,69.21,69.53,1139880
"2013-01-24",71.55,72.65,71.47,71.7,1687211
"2013-01-31",71.06,72.13,70.75,71.41,2622100
"2013-02-07",73.2,73.38,72.25,72.9,1105286
"2013-02-14",74.03,74.33,73.7,73.84,1361082
"2013-02-21",72.03,72.32,71.14,71.41,1328896
"2013-02-28",71.34,71.86,71.15,71.19,1663658
"2013-03-07",74.47,74.89,73.96,74.81,1161326
"2013-03-14",75.44,76,75.23,75.44,1505626
"2013-03-21",74.43,74.75,73.4,73.71,1350887
"2013-03-28",74.17,75.08,74.03,74.87,1099583
"2013-04-04",73.64,74.4,73.37,73.89,803765
"2013-04-11",76.26,77.14,76,76.89,1138170
"2013-04-18",74.63,74.89,73.28,73.49,962270
"2013-04-25",72.6,73.04,71.32,71.68,3375756
"2013-05-02",71.81,72.9,71.66,72.36,1302630
"2013-05-09",74.63,75.13,74.3,74.45,894885
"2013-05-16",77.48,78.21,77.11,77.25,1626792
"2013-05-23",76.46,77.37,75.9,76.85,1534799
"2013-05-30",77.48,78.07,76.69,77.51,797877
"2013-06-06",73.08,73.99,72.51,73.99,1099938
"2013-06-13",72.46,74.37,72.24,74.35,1032950
"2013-06-20",73.72,74.26,72.47,72.68,1594405
"2013-06-27",73.55,74.14,73.31,73.66,1147212
"2013-07-11",76.62,77.79,76.52,77.44,2332532
"2013-07-18",78.14,78.95,78.14,78.35,1026911
"2013-07-25",75.82,76.53,75.2,75.73,2267113
"2013-08-01",76.03,77.03,75.64,76.75,1383995
"2013-08-08",75.08,75.39,74.4,75.24,1427241
"2013-08-15",73.18,73.37,72.2,72.72,1901130
"2013-08-22",72,72.87,72,72.62,878314
"2013-08-29",70.25,71.25,70.09,70.76,836838
"2013-09-05",70.89,71.42,70.65,70.94,879473
"2013-09-12",71.49,71.85,71.18,71.61,1514474
