"","HST.Open","HST.High","HST.Low","HST.Close","HST.Volume"
"2011-09-15",11.47,11.86,11.41,11.81,9860432
"2011-09-22",10.48,10.69,10.28,10.49,13964698
"2011-09-29",11.26,11.35,10.96,11.25,8030054
"2011-10-06",10.49,10.9,10.39,10.89,10473393
"2011-10-13",11.52,12.06,11.43,11.84,9600501
"2011-10-20",12.63,12.78,12.36,12.72,6741988
"2011-10-27",14.31,14.9,14.21,14.61,14456729
"2011-11-03",14.5,14.7,13.94,14.62,8313219
"2011-11-10",13.82,13.82,13.26,13.37,11340766
"2011-11-17",13.94,14,13.47,13.54,9032364
"2011-12-01",14.08,14.21,13.75,14.17,6666487
"2011-12-08",14.38,14.47,13.96,14.04,8044618
"2011-12-15",13.92,14.01,13.71,13.8,5586992
"2011-12-22",14.41,14.69,14.36,14.55,5146378
"2011-12-29",14.56,14.78,14.48,14.75,4762216
"2012-01-05",14.63,14.94,14.53,14.93,7374774
"2012-01-12",15.82,15.87,15.5,15.65,8521003
"2012-01-19",15.88,16,15.71,15.86,5760884
"2012-01-26",16.7,16.82,16.28,16.39,8523133
"2012-02-02",16.54,16.58,16.2,16.28,8339759
"2012-02-09",17.1,17.18,16.73,16.9,5604376
"2012-02-16",16.16,16.38,16.12,16.35,8002910
"2012-02-23",15.75,16.19,15.69,16.13,7756055
"2012-03-01",15.78,15.86,15.64,15.66,8136519
"2012-03-08",15.36,15.43,15.17,15.34,10562758
"2012-03-15",15.91,16.07,15.85,15.9,9955883
"2012-03-22",16.22,16.24,15.9,16.1,5540037
"2012-03-29",16.05,16.15,15.78,16.02,8066179
"2012-04-05",16.18,16.27,16.11,16.2,5539454
"2012-04-12",16.06,16.43,15.95,16.4,6294464
"2012-04-19",16.54,16.98,16.49,16.6,12085162
"2012-04-26",16.59,16.76,16.52,16.65,11321261
"2012-05-03",16.83,17.04,16.5,16.5,10125349
"2012-05-10",16.13,16.17,15.88,16.06,5898852
"2012-05-17",15.33,15.34,14.43,14.49,12171854
"2012-05-24",15.19,15.36,14.87,15.09,5466246
"2012-05-31",15.2,15.41,14.94,15.26,11756519
"2012-06-07",15.6,15.66,15.19,15.22,9096464
"2012-06-14",15.04,15.31,14.92,15.25,8712461
"2012-06-21",15.92,15.97,15.38,15.46,5570936
"2012-06-28",15.04,15.24,14.9,15.22,5147261
"2012-07-05",16.12,16.23,15.94,16.15,4209199
"2012-07-12",15.32,15.36,14.92,15.01,11371920
"2012-07-19",15.44,15.46,15.02,15.2,9428016
"2012-07-26",14.33,14.46,14.13,14.41,11566501
"2012-08-02",14.42,14.64,14.35,14.52,7275620
"2012-08-09",15.1,15.33,15.05,15.21,3870149
"2012-08-16",15.34,15.66,15.3,15.63,5957388
"2012-08-23",15.3,15.34,15.14,15.23,3859978
"2012-08-30",15.14,15.21,15.04,15.14,3410884
"2012-09-06",15.29,15.88,15.29,15.84,8399842
"2012-09-13",16.57,17.01,16.39,16.99,11352811
"2012-09-20",16.84,16.91,16.35,16.58,11709554
"2012-09-27",16.1,16.26,16.04,16.12,7765631
"2012-10-04",15.8,15.88,15.64,15.75,6819104
"2012-10-11",15.56,15.95,15.5,15.85,9485417
"2012-10-18",15.67,15.73,15.5,15.68,7230637
"2012-10-25",15.21,15.24,14.77,14.95,8219944
"2012-11-01",14.48,14.72,14.47,14.59,6464968
"2012-11-08",14.37,14.4,14.18,14.21,7544276
"2012-11-15",13.99,14.11,13.75,13.87,8123139
"2012-11-29",14.5,14.73,14.46,14.69,8274945
"2012-12-06",14.64,15.01,14.62,14.98,12484691
"2012-12-13",15.21,15.34,15.12,15.16,4458465
"2012-12-20",15.58,15.89,15.54,15.86,5531461
"2012-12-27",15.61,15.65,15.32,15.57,4717827
