"","WMT.Open","WMT.High","WMT.Low","WMT.Close","WMT.Volume"
"2011-09-15",52.22,52.51,51.94,52.51,10999307
"2011-09-22",50.65,51.23,49.94,50.28,21320332
"2011-09-29",51.81,52.4,51.32,51.93,10344376
"2011-10-06",52.74,52.9,52.33,52.75,10021117
"2011-10-13",55.04,55.31,54.72,55.02,10501306
"2011-10-20",56.2,56.88,56.05,56.37,12645980
"2011-10-27",57.8,57.96,57.45,57.81,15326374
"2011-11-03",57.05,57.53,56.6,57.42,9575589
"2011-11-10",58.33,58.49,57.51,58.13,9409918
"2011-11-17",56.54,57.19,56.26,56.73,10223771
"2011-12-01",58.64,59.15,58.46,58.61,8787232
"2011-12-08",58.39,58.55,57.87,57.98,10350356
"2011-12-15",57.83,58.4,57.83,57.95,8559381
"2011-12-22",59.41,59.54,59.05,59.19,7901633
"2011-12-29",59.72,59.99,59.34,59.99,6332205
"2012-01-05",59.35,59.62,58.37,59.42,12768202
"2012-01-12",59.79,60,59.4,59.5,7236378
"2012-01-19",59.93,60.73,59.75,60.61,9234851
"2012-01-26",61.8,61.84,60.77,60.97,7436168
"2012-02-02",62.4,62.47,61.82,61.94,6211353
"2012-02-09",61.58,62.16,61.58,61.96,6453043
"2012-02-16",61.77,62.19,61.7,62.04,7259361
"2012-02-23",58.59,58.9,58.21,58.54,14880315
"2012-03-01",59.36,59.42,58.64,58.82,16285674
"2012-03-08",59.84,59.95,59.45,59.77,7795776
"2012-03-15",60.89,61.26,60.78,61.23,6755170
"2012-03-22",60.23,60.77,60.23,60.65,5710936
"2012-03-29",60.77,60.95,60.62,60.82,6691676
"2012-04-05",60.2,60.69,60.07,60.67,6528712
"2012-04-12",59.8,60.2,59.56,60.14,7367649
"2012-04-19",61.96,62.05,61.47,61.75,6379504
"2012-04-26",57.59,59.43,57.57,58.95,25095703
"2012-05-03",59.2,59.2,58.81,58.99,6892609
"2012-05-10",59.35,59.61,59.09,59.19,7740689
"2012-05-17",61.34,62.5,61.25,61.68,29295156
"2012-05-24",64.71,65.18,64.46,65.07,11303256
"2012-05-31",65.4,66.66,65.38,65.82,16771273
"2012-06-07",66.08,66.08,65.78,65.87,12547088
"2012-06-14",67.1,67.79,67.09,67.63,9995384
"2012-06-21",68.49,68.66,67.68,67.7,9843620
"2012-06-28",67.92,68.34,67.49,68.3,8578654
"2012-07-05",70.37,71.3,70.37,71.08,12444784
"2012-07-12",72.07,72.62,71.64,72.31,10195703
"2012-07-19",72.85,72.86,70.23,71.53,16878096
"2012-07-26",72.7,73.95,72.69,73.67,8192305
"2012-08-02",73.05,74.16,72.94,74.05,8094983
"2012-08-09",74.28,74.52,73.76,73.85,5284869
"2012-08-16",72.58,72.75,71.78,72.15,17815957
"2012-08-23",71.8,71.94,71.4,71.56,6005104
"2012-08-30",72.63,72.75,72.15,72.25,5237171
"2012-09-06",73.98,74.81,73.84,74.81,6508417
"2012-09-13",73.95,75.19,73.95,75.14,7407423
"2012-09-20",74.32,74.82,74.32,74.75,4523104
"2012-09-27",74.37,74.5,73.83,73.98,5390064
"2012-10-04",74.51,75.01,74.51,74.72,5000834
"2012-10-11",76.6,76.61,74.95,75.01,8328300
"2012-10-18",77.02,77.23,76.16,76.56,7325645
"2012-10-25",75.3,75.5,74.89,75.32,4432845
"2012-11-01",75.13,75.16,73.15,73.45,12944822
"2012-11-08",73.01,73.98,72.48,72.48,7137741
"2012-11-15",69.66,69.69,67.85,68.72,23049900
"2012-11-29",70.48,71.04,70.13,70.83,9620710
"2012-12-06",71.67,71.85,71.1,71.59,7166027
"2012-12-13",69.04,69.36,69,69.04,14245821
"2012-12-20",68.33,69.06,68.17,69,9688049
"2012-12-27",68.03,68.42,67.79,68.19,7384128
"2013-01-03",69.25,69.35,68.38,68.8,8910586
"2013-01-10",68.66,69.03,67.72,68.36,11454308
"2013-01-17",69.3,69.32,68.71,68.85,7233549
"2013-01-24",69.65,69.99,69.35,69.79,9139502
"2013-01-31",69.69,70.44,69.69,69.95,7019560
"2013-02-07",71.44,71.64,70.9,71.23,8306834
"2013-02-14",71.1,71.23,70.76,70.82,6820952
"2013-02-21",70,71.47,69.72,70.26,20426183
"2013-02-28",71.59,71.88,70.78,70.78,18888667
"2013-03-07",73.49,73.61,73.2,73.32,6689131
"2013-03-14",73.87,74,73.13,73.22,6353699
"2013-03-21",72.87,73.47,72.85,73.13,5507143
"2013-03-28",74.84,74.97,74.38,74.83,7370039
"2013-04-04",75.96,76.58,75.96,76.2,7508815
"2013-04-11",77.36,78.37,77.27,77.79,7129997
"2013-04-18",78.76,79.05,76.61,77.16,14219475
"2013-04-25",78.18,78.83,77.88,78.65,5734370
"2013-05-02",77.91,78.49,77.8,78.46,4520564
"2013-05-09",78.31,78.96,77.9,78.4,6516841
"2013-05-16",78.1,78.86,77.34,78.5,12129178
"2013-05-23",76.83,76.94,76.25,76.33,8048141
"2013-05-30",76.49,76.54,75.61,75.63,6228644
"2013-06-06",75.27,75.74,74.84,75.63,9426122
"2013-06-13",74.78,75.33,74.56,75,7241763
"2013-06-20",74.5,74.66,73.01,73.03,9071365
"2013-06-27",75.48,76.11,75.24,75.26,7089475
"2013-07-11",77.45,77.75,77.33,77.63,4681427
"2013-07-18",77.22,77.55,77.01,77.34,4149818
"2013-07-25",78.05,78.46,77.63,78.01,5920265
"2013-08-01",78.42,78.67,78.1,78.22,5168733
"2013-08-08",77.51,77.89,76.93,77.25,4474679
"2013-08-15",74.46,75.08,74.03,74.41,13221821
"2013-08-22",73.81,74.04,73.24,73.46,3947992
"2013-08-29",72.35,72.88,72.23,72.43,4088193
"2013-09-05",72.84,73.48,72.62,72.67,4680482
"2013-09-12",74.18,74.52,73.77,73.91,5261800
"2013-09-19",76.5,76.53,75.62,76.21,7109721
"2013-09-26",74.78,74.98,74.22,74.62,5078084
"2013-10-03",73.53,73.53,72.95,73.16,7179614
"2013-10-10",73.48,74.87,73.27,74.79,7680163
"2013-10-17",75.49,76.12,71.69,75.78,6395186
"2013-10-24",76.03,76.51,75.82,76.42,5864265
"2013-10-31",76.88,77.15,76.6,76.75,4612369
"2013-11-07",78.19,78.22,77.24,77.51,8347756
