"","WMT.Open","WMT.High","WMT.Low","WMT.Close","WMT.Volume"
"2013-11-14",77.75,79.53,77.68,79.08,9306044
"2013-11-21",78.74,79.2,78.55,78.86,3840986
"2013-12-05",79.72,79.77,78.87,79.44,6449952
"2013-12-12",79.11,79.26,78.4,78.5,5691583
"2013-12-19",77.66,77.83,77.2,77.24,5955433
"2013-12-26",78.06,78.52,77.97,78.39,2778189
"2014-01-02",78.72,79.47,78.5,78.91,6911859
"2014-01-09",78.39,78.4,77.49,78.09,5925044
"2014-01-16",77.39,77.47,76.35,76.76,7208888
"2014-01-23",74.84,75.12,74.47,74.96,6019150
"2014-01-30",74.54,75.09,74.36,74.75,6742046
"2014-02-06",72.97,73.21,72.5,72.82,7353131
"2014-02-13",74.68,75.49,74.56,75.36,5275177
"2014-02-20",73.05,74,72.81,73.52,13103284
"2014-02-27",74.78,74.78,74.09,74.56,5456591
"2014-03-06",74.86,75.11,74.51,74.88,5107196
"2014-03-13",75.71,76.18,74.91,74.93,5824463
"2014-03-20",74.02,75.68,73.86,75.38,8637512
"2014-03-27",76.38,76.82,76.04,76.14,5596634
"2014-04-03",77.2,77.55,77,77.46,6045985
"2014-04-10",77.95,78.14,76.65,76.89,7599640
"2014-04-17",77.08,77.75,77.08,77.66,6964745
"2014-04-24",78.17,78.47,77.7,78.31,4354918
"2014-05-01",79.73,79.73,79.16,79.7,5098328
"2014-05-08",78,78.83,78,78.69,4820639
"2014-05-15",76.28,77.44,76.25,76.83,13035789
"2014-05-22",75.79,75.92,75.24,75.39,5243663
"2014-05-29",75.67,76.19,75.57,75.98,4003511
"2014-06-05",77.05,77.44,76.87,77.32,4695821
"2014-06-12",76.05,76.19,75.58,75.73,5336596
"2014-06-19",75.88,76.28,75.8,75.87,5255313
"2014-06-26",75.52,75.61,74.7,74.91,6922337
"2014-07-03",75.61,76.05,75.52,75.75,2873959
"2014-07-10",76.91,77.57,76.91,77.06,5372478
"2014-07-17",76.58,77.05,76.44,76.61,4630252
"2014-07-24",76.68,76.79,76.19,76.35,7228303
"2014-07-31",73.99,74.25,73.54,73.58,9632692
"2014-08-07",74.34,74.81,73.76,73.95,7053149
"2014-08-14",73.89,74.43,73.61,74.39,6136444
"2014-08-21",75.06,75.91,75,75.55,5260626
"2014-08-28",75.47,75.94,75.47,75.9,2928089
"2014-09-04",76.16,76.6,76.11,76.56,5282252
"2014-09-11",76.35,76.44,76.09,76.1,4985299
"2014-09-18",76.31,76.58,75.91,76.22,4751711
"2014-09-25",76.93,77.05,76.12,76.12,4963485
"2014-10-02",76.21,76.91,75.96,76.23,4929134
"2014-10-09",78.11,78.83,77.66,77.86,7072744
"2014-10-16",73.23,74.07,72.61,73.82,14346643
"2014-10-23",76.37,76.65,75.78,76.25,6367092
"2014-10-30",76.17,76.6,75.98,76.45,4872414
"2014-11-06",78.15,78.18,77.17,77.81,4621864
"2014-11-13",80.96,83.06,80.86,82.94,22812356
"2014-11-20",84.81,85.29,84.04,84.58,7812733
"2014-12-04",84.13,84.82,83.65,84.76,6922353
"2014-12-11",83.2,84.5,83.16,83.83,8032841
"2014-12-18",84.8,85.95,84.28,85.94,8645929
"2015-01-08",89.21,90.66,89.07,90.47,12713559
"2015-01-15",87,87.78,86.7,87.38,9412733
"2015-01-22",87.23,88.4,86.86,88.3,7123834
"2015-01-29",87.07,87.72,86.27,87.72,6522794
"2015-02-05",87.11,87.36,86.56,87.28,5090777
"2015-02-12",86.56,86.68,85.23,85.89,6941569
"2015-02-19",84.5,84.8,83.39,83.52,18646754
"2015-02-26",83.85,83.86,83.27,83.8,5888139
"2015-03-05",83.15,83.87,82.96,83.57,5997522
"2015-03-12",80.81,82.12,80.78,81.9,5225826
"2015-03-19",82.33,82.44,81.37,81.52,7212928
"2015-03-26",80.93,82.31,80.65,81.89,8267163
"2015-04-02",80.73,81.32,80.55,80.73,5795731
"2015-04-09",80.84,81.39,80.58,80.84,3923559
"2015-04-16",79.5,79.89,79.13,79.24,8015088
"2015-04-23",78.38,79.54,78.2,79.18,7468851
"2015-04-30",77.83,78.48,77.59,78.05,8795903
"2015-05-07",77.73,78.34,77.3,78.03,5538289
"2015-05-14",78.37,78.77,78.02,78.72,6170246
"2015-05-21",75.8,76.42,75.56,76.11,6756162
"2015-05-28",75.07,75.16,74.65,74.84,5025471
"2015-06-04",74.46,74.98,73.95,74.15,8982797
"2015-06-11",73.23,73.67,72.84,72.94,7419959
"2015-06-18",72.74,73.48,72.74,72.98,8376621
"2015-06-25",72.45,72.63,71.83,71.86,5293151
"2015-07-02",72.02,72.56,71.66,71.86,6586071
"2015-07-09",73.67,73.73,72.71,72.78,8695824
"2015-07-16",73.97,74.14,73.76,73.83,5231727
"2015-07-23",73.07,73.22,72.42,72.51,4252929
"2015-07-30",72.03,72.53,71.78,72.16,4604530
"2015-08-06",73.35,73.38,72.66,72.79,6367735
"2015-08-13",72.4,72.77,71.97,72.11,7652355
"2015-08-20",68.08,69.3,67.94,68.43,9849709
"2015-08-27",65.32,66.18,64.95,66.08,13743197
"2015-09-03",64.72,65.01,64.39,64.86,8489593
"2015-09-10",64.07,64.65,63.83,64.12,14518272
"2015-09-17",64.7,65.29,64.16,64.47,7050309
"2015-09-24",63.36,63.98,63.3,63.83,6913018
"2015-10-01",64.76,64.94,63.88,64.27,7772086
"2015-10-08",66.23,66.99,66.15,66.88,5940500
"2015-10-15",59.7,60.47,58.61,59.33,45769175
"2015-10-22",58.94,59.96,58.64,58.9,14569923
"2015-10-29",57.72,58.12,57.48,57.96,12619478
"2015-11-05",58.51,58.98,58.42,58.61,8827460
"2015-11-12",57.64,57.77,56.92,56.95,9436603
"2015-11-19",61.12,61.36,60.43,60.7,11486699
"2015-12-03",58.69,59.66,58.6,59.04,15844091
"2015-12-10",59.13,60.09,59.09,59.56,11359446
"2015-12-17",60.33,60.33,58.97,58.98,12976095
"2015-12-24",60.78,61.1,60.68,60.83,2483121
"2015-12-31",61.33,61.72,61.17,61.3,6575142
"2016-01-07",62.97,65.23,62.92,65.03,26430005
"2016-01-14",62,63.62,61.82,63.06,12885473
"2016-01-21",60.98,62.79,60.91,61.88,12056694
"2016-01-28",64.03,64.51,63.43,64.22,11260757
"2016-02-04",65.76,66.55,65.01,66.42,12789931
"2016-02-11",65.02,65.76,64.78,65.32,11122686
"2016-02-18",63.74,64.78,62.35,64.12,27867466
"2016-02-25",67.45,68.13,67.33,68.04,9573563
"2016-03-03",65.95,66.2,64.88,66.14,11844381
"2016-03-10",67.55,68.04,66.4,67.41,9661997
"2016-03-17",67.82,68.92,67.26,67.45,11831599
"2016-03-24",67.43,68.04,67.38,68,6301598
"2016-03-31",68.75,69.19,68.47,68.49,6276436
"2016-04-07",68.83,68.93,67.94,68.22,6094018
"2016-04-14",69.15,69.24,68.15,68.8,6973069
"2016-04-21",69.47,69.68,68.24,68.47,6603796
"2016-04-28",69.07,69.62,68.75,68.91,4775873
"2016-05-05",66.97,67.25,66.58,67.21,8089700
"2016-05-12",66.55,67.05,66.38,66.85,9532401
"2016-05-19",68.1,69.33,67.5,69.2,34920530
"2016-05-26",70.69,71.38,70.6,70.85,8688476
"2016-06-02",70.5,71,70.14,70.95,6508681
"2016-06-09",71.36,71.59,70.85,71.09,6069859
"2016-06-16",71,71.46,70.8,71.3,6705181
"2016-06-23",72.2,72.24,71.78,72.1,6970182
"2016-06-30",72.57,73.2,72.32,73.02,8713585
"2016-07-07",73.73,73.93,73.15,73.53,7486861
"2016-07-14",73.79,74.11,73.61,73.7,6646403
"2016-07-21",73.43,73.66,73.14,73.52,4432231
"2016-07-28",73.14,73.32,72.47,73.24,4603167
"2016-08-04",72.8,73.49,72.59,73.3,4944907
"2016-08-11",74.5,74.8,73.53,73.8,6290331
"2016-08-18",74.94,75.19,73.87,74.3,26858329
"2016-08-25",72.37,72.58,71.05,71.22,10514203
"2016-09-01",71.57,72.86,71.41,72.84,11761356
"2016-09-08",71.89,72.32,71.71,71.83,9661224
"2016-09-15",71.48,72.56,71.26,72.4,7331974
