"","ISRG.Open","ISRG.High","ISRG.Low","ISRG.Close","ISRG.Volume"
"2011-09-15",388.04,395.85,383.56,395.07,449972
"2011-09-22",366.32,376,360.33,368.56,650293
"2011-09-29",384.04,387.2,366.15,373.22,379311
"2011-10-06",369.32,375.18,364.75,372.9,465434
"2011-10-13",381.78,388.49,381.63,387.25,205127
"2011-10-20",422.11,422.5,413,418.41,442784
"2011-10-27",428.2,440.68,426.28,435.31,607137
"2011-11-03",431.44,438.21,426.6,437.35,269851
"2011-11-10",432.52,435.02,425,429.54,229033
"2011-11-17",441.81,441.81,423.41,428.89,369506
"2011-12-01",424.67,438.56,424.55,435.59,421234
"2011-12-08",438.52,440.57,429.68,430,194414
"2011-12-15",426.46,429.61,420.84,428.35,350827
"2011-12-22",443.63,450,442.81,447.86,260302
"2011-12-29",457.63,466.04,455.74,466.03,210979
"2012-01-05",467.92,472.63,464.06,472.36,523206
"2012-01-12",457.49,460.85,455.05,458.13,215254
"2012-01-19",473.72,476.49,467.5,474.65,590061
"2012-01-26",456.96,458.72,452,456.38,422380
"2012-02-02",464,488.84,463.5,483,1072839
"2012-02-09",493.47,493.52,487.77,492.41,243779
"2012-02-16",505.48,513.25,503.5,507.54,364874
"2012-02-23",505.3,509.71,503.02,506.36,161251
"2012-03-01",510.12,521.5,509.5,521.33,310137
"2012-03-08",511.1,519.7,510.25,516.86,196484
"2012-03-15",527.07,528.68,523.88,528.2,215444
"2012-03-22",530.76,538.02,529,534.81,193086
"2012-03-29",544.4,549.22,536.2,543.68,260137
"2012-04-05",541.99,545.64,541,545.24,160017
"2012-04-12",543.82,554.13,542.28,551.59,413253
"2012-04-19",586.51,589.85,575.32,579.22,477997
"2012-04-26",571.55,578.75,567.72,576.64,178927
"2012-05-03",589.43,590.78,576.63,578.37,186852
"2012-05-10",553.17,557.95,550.54,556.75,236573
"2012-05-17",534,535.55,518.01,519.09,379596
"2012-05-24",532.52,534.66,522.97,531.5,202537
"2012-05-31",530.17,532.74,522.01,523.1,318148
"2012-06-07",539.5,542.76,528.79,529.51,278302
"2012-06-14",525.51,536.7,525.51,527.98,214521
"2012-06-21",550.31,556.77,536.83,537.03,269466
"2012-06-28",540.69,541.57,531.13,536.29,267888
"2012-07-05",565.21,566.99,560.22,563.41,185361
"2012-07-12",531.24,537.32,521.25,534.59,257553
"2012-07-19",553,553.58,540.01,544.21,500578
"2012-07-26",490,493.4,486.16,489.2,463838
"2012-08-02",472.91,478.59,471.04,477.79,357510
"2012-08-09",503.11,503.11,494.43,497.56,228806
"2012-08-16",517.89,518.37,512,514.95,194399
"2012-08-23",505.88,507.88,501.12,503.21,154192
"2012-08-30",493.31,495.95,486.61,491.66,146499
"2012-09-06",490.01,496.55,489.16,495.92,322352
"2012-09-13",486,493.03,481.26,489.72,343930
"2012-09-20",508.5,508.5,501.32,506.34,328890
"2012-09-27",498.41,501,494.01,499.66,308729
"2012-10-04",512.76,520,508.71,516.49,368018
"2012-10-11",499.46,500.68,492.96,494.64,265351
"2012-10-18",531.64,536.44,526.41,535.82,447061
"2012-10-25",545.13,548.26,540.52,545.63,250235
"2012-11-01",545,549.49,533.83,540.96,457361
"2012-11-08",536.14,538.24,530.74,531.5,263448
"2012-11-15",526.5,529,520.3,524.29,275248
"2012-11-29",532.4,539.1,531.23,534.95,170133
"2012-12-06",515.25,520.81,510,519.78,246618
"2012-12-13",535.75,540,533,537.95,213268
"2012-12-20",508.82,511.2,487.89,488.31,1703723
"2012-12-27",481,488.66,480.81,487.17,323011
"2013-01-03",495.88,506.47,495.04,503.67,318797
"2013-01-10",510.8,510.8,505,508.87,134469
"2013-01-17",501.6,517.46,485.8,514.2,1537834
"2013-01-24",568.19,583.45,568.01,581,749141
"2013-01-31",572.5,575.72,571.31,574.38,259424
"2013-02-07",570.19,574.92,563.44,570.33,181494
"2013-02-14",569.22,573.59,567.07,571.26,194152
"2013-02-21",551.34,563.69,546.76,561.25,542419
"2013-02-28",573.44,576.86,492.35,509.89,919810
"2013-03-07",519.82,522.96,505.66,513.18,746358
"2013-03-14",514.23,517.44,483.38,489.89,1569033
"2013-03-21",510,512,486.34,486.79,738017
"2013-03-28",489.99,494.94,488.34,491.19,296273
"2013-04-04",499,504,490.01,496.64,436741
"2013-04-11",500,513.91,500,512.57,345723
"2013-04-18",507,510.32,488.57,493.37,716907
"2013-04-25",478.6,488.24,476.23,483.8,315641
"2013-05-02",489.86,494.79,489.01,491.86,178013
"2013-05-09",490.22,511.79,490,505.8,395961
"2013-05-16",482.1,485.23,474.18,476.22,289059
"2013-05-23",466.31,481.96,465.11,478.46,495148
"2013-05-30",499.01,507.39,496.01,504.68,270007
"2013-06-06",501.87,507.89,499.36,507.41,205943
"2013-06-13",492.7,505.34,491.89,504.5,196380
"2013-06-20",506.82,509.18,496.45,497.51,309352
"2013-06-27",506.42,507.61,500.99,502.19,156694
"2013-07-11",424.25,430.5,422.12,430,600778
"2013-07-18",415.58,425.4,415,421.47,770193
"2013-07-25",380.75,383.95,370.59,375.33,940171
"2013-08-01",389.09,395.79,388.5,392.46,642301
"2013-08-08",390.75,394.96,389.55,394.62,249138
"2013-08-15",383.62,385.04,380.93,383.73,253269
"2013-08-22",386.49,390.8,384.05,390.14,126401
"2013-08-29",385.62,389.68,383.34,384.6,246602
"2013-09-05",388.17,388.76,383.72,384.44,278618
"2013-09-12",375.51,378.67,370.36,372.68,1020387
"2013-09-19",372.63,375.5,369.11,369.98,472091
"2013-09-26",367.67,371.32,365,368.39,408661
"2013-10-03",370.32,370.45,358.02,360.94,829069
"2013-10-10",392.38,392.43,384.41,387.21,398989
"2013-10-17",401,408.89,395.24,399.13,1041329
"2013-10-24",377.26,378.77,366,370.29,324812
"2013-10-31",375,378.38,370.24,371.5,495285
"2013-11-07",379.85,380.16,375.83,379.58,310023
