"","ISRG.Open","ISRG.High","ISRG.Low","ISRG.Close","ISRG.Volume"
"2013-11-14",397.03,398,395.14,397.27,142109
"2013-11-21",394.27,395.11,388.22,390.52,213968
"2013-12-05",370.88,371.95,365.35,367.84,269788
"2013-12-12",365.44,370.86,365.03,368.3,483182
"2013-12-19",359.41,361.54,355.25,359.1,409913
"2013-12-26",372.35,375.75,370,374.78,397213
"2014-01-02",383.64,383.64,378.27,380.01,460943
"2014-01-09",380.87,389.85,379.71,386.78,558781
"2014-01-16",414.48,418.31,408.49,414.39,284072
"2014-01-23",439,443.39,434.55,439,847950
"2014-01-30",416.49,422.03,415.39,416.35,422627
"2014-02-06",413.53,420,413.53,414.79,463003
"2014-02-13",437.83,442.93,433.49,442.54,445053
"2014-02-20",440.98,442.03,433.32,438.04,252832
"2014-02-27",438.17,445.71,436,444.15,344399
"2014-03-06",447,449.75,442.12,444.35,259090
"2014-03-13",434,438.99,428.57,429.67,265685
"2014-03-20",431.32,437.37,425.15,437.01,254984
"2014-03-27",422.48,431.53,418.3,428.61,728463
"2014-04-03",519.46,541.23,519.46,540.63,1236287
"2014-04-10",459.78,465,452.48,453.61,705933
"2014-04-17",415,417.53,410.02,411.99,539941
"2014-04-24",376.35,376.54,368.02,371.32,511596
"2014-05-01",365.24,370.98,358.38,359.13,461953
"2014-05-08",351.91,359.83,351.3,352.35,1021691
"2014-05-15",372.95,372.95,360.56,364.43,642320
"2014-05-22",365.27,370.86,363.25,364.64,285809
"2014-05-29",366.59,376.2,364.81,374.85,414030
"2014-06-05",371.16,374.62,368.44,368.84,363404
"2014-06-12",381.1,392.9,381,392.37,610329
"2014-06-19",406.05,406.05,398.04,402.2,366122
"2014-06-26",404.18,411.29,402.14,410.79,622000
"2014-07-03",403,404.92,400.87,404.04,226895
"2014-07-10",381.76,387.22,380.01,382.92,427136
"2014-07-17",377.35,385.38,376,382.22,538066
"2014-07-24",457.01,483,455,473.33,1227077
"2014-07-31",464.93,465.99,456.93,457.55,475896
"2014-08-07",448.84,449.55,440.64,441.8,256366
"2014-08-14",454.7,460.73,452.45,460.39,212570
"2014-08-21",468.91,472.43,465.99,471.89,222615
"2014-08-28",468.32,471.51,463.81,465.57,194396
"2014-09-04",474.16,475.4,463.57,464.71,331645
"2014-09-11",468.82,473.22,468.29,470,197978
"2014-09-18",475.36,477,471.65,475.54,209742
"2014-09-25",464.75,467.11,455.61,457.54,319939
"2014-10-02",463.55,471.5,456.4,469.64,251118
"2014-10-09",488.14,488.14,471,476.35,474595
"2014-10-16",453.14,467.45,451.85,456.51,334636
"2014-10-23",484.19,494.54,482.59,485.53,448474
"2014-10-30",485.55,494.08,482.24,490,261931
"2014-11-06",504.01,512.23,499.02,508.65,269728
"2014-11-13",514.35,523.41,514.14,516.1,341013
"2014-11-20",511.83,515.31,511.36,513.52,113981
"2014-12-04",512.5,519.95,509,510.7,180764
"2014-12-11",504.6,511.23,504,506.12,167240
"2014-12-18",514.79,523.51,511,523.51,269478
"2015-01-08",528.6,536.7,523.78,533,408267
"2015-01-15",535.12,538.09,522.44,524.38,247408
"2015-01-22",518.31,526.55,516.07,525.38,505454
"2015-01-29",501.24,507.52,492.94,504.98,281167
"2015-02-05",508.16,516.4,507.1,516.17,334836
"2015-02-12",500.15,508.28,495.88,507.71,236888
"2015-02-19",509.51,512.85,505.42,511.47,128160
"2015-02-26",508.69,512.51,503.76,506.33,125132
"2015-03-05",501.46,504.41,498.05,499.52,205120
"2015-03-12",497.58,502.9,493.16,499.25,144858
"2015-03-19",507.3,511.13,506.39,508.76,128978
"2015-03-26",494.56,505.96,492.04,498.99,274045
"2015-04-02",508.32,510.98,500.69,508.29,168055
"2015-04-09",512.25,517.41,509.21,513.09,163105
"2015-04-16",536.31,546.14,528.27,543.49,381203
"2015-04-23",515.3,519.28,512.5,512.77,404697
"2015-04-30",498.89,499.12,491.49,495.98,324494
"2015-05-07",489.13,495.37,485.52,489.13,296872
"2015-05-14",500.74,505.95,495.81,502.35,302009
"2015-05-21",490.98,497.4,490.75,494.95,204074
"2015-05-28",491.52,492.99,484.41,485.8,291152
"2015-06-04",498.73,499.6,493.72,496.24,150004
"2015-06-11",502.39,508.78,497.41,498.24,289837
"2015-06-18",491.32,497.38,489.67,496,230720
"2015-06-25",493.15,505,493.15,494.86,258570
"2015-07-02",487.86,488.24,482.1,486.29,217492
"2015-07-09",484.89,486.56,479.57,481.47,134578
"2015-07-16",492.81,494.36,488.76,490.01,219910
"2015-07-23",549.99,560.57,545.56,557.2,494607
"2015-07-30",540.11,541.72,536.15,539.62,180858
"2015-08-06",529.66,532.52,523.5,524.07,176127
"2015-08-13",528.82,531.59,525.8,527.87,174339
"2015-08-20",522.08,524.58,513.84,514.22,233309
"2015-08-27",512.7,515.69,509.69,515.57,245172
"2015-09-03",511.84,521.64,510.03,513.75,253348
"2015-09-10",509.28,517,501.01,511.54,184321
"2015-09-17",515.5,526.49,515.5,519.24,209662
"2015-09-24",487.59,492.81,486,491.16,208440
"2015-10-01",459.99,461.5,448.82,455.57,504572
"2015-10-08",464.84,469.17,460.96,468.41,251806
"2015-10-15",457.09,464.01,451.76,462.31,295801
"2015-10-22",501.63,501.92,483.11,496.18,690741
"2015-10-29",499.44,502.41,495.05,500.28,265531
"2015-11-05",501.85,504.33,496,499.35,326752
"2015-11-12",501.07,503.5,498.84,500,349872
"2015-11-19",507.2,507.2,501.47,504.17,210681
"2015-12-03",517.69,520.9,504.05,508.66,311453
"2015-12-10",511.62,529.88,509.12,526.04,322285
"2015-12-17",544.08,547.94,536.91,539.07,274987
"2015-12-24",548.67,549,545.38,547.45,102124
"2015-12-31",550.61,552.88,545.75,546.16,180555
"2016-01-07",545.46,556.55,536.36,536.9,588952
"2016-01-14",549.29,557.47,538.13,555.77,582101
"2016-01-21",556.51,559.9,541.63,555.6,669198
"2016-01-28",535.65,538.86,520.5,526.59,441651
"2016-02-04",543.65,553.95,539.42,551.93,424498
"2016-02-11",514.33,525,514.33,521.55,338236
"2016-02-18",540.86,544.93,538.1,542.62,248475
"2016-02-25",555,559.78,546.45,559.28,436325
"2016-03-03",570.01,576,568.33,574.04,327528
"2016-03-10",571.9,574.72,566.9,573.7,271779
"2016-03-17",588.54,590,561.02,562.35,582708
"2016-03-24",583.32,584.07,575.82,583.31,319903
"2016-03-31",599.28,605.48,595.19,601.05,221045
"2016-04-07",625.88,625.88,609.02,614.78,268194
"2016-04-14",627.01,628.6,622,623.09,160796
"2016-04-21",643.56,648.86,639.08,641.91,247015
"2016-04-28",627.84,644.91,627.84,631.5,372035
"2016-05-05",617.71,619.3,612.69,615.32,360476
"2016-05-12",629.48,633.72,622,633.3,382960
"2016-05-19",621.38,625.65,618.28,623.79,257787
"2016-05-26",640.37,644.17,636,637.2,324796
"2016-06-02",630.96,640,630.01,639.44,278354
"2016-06-09",639.23,651.58,637.15,648.2,301073
"2016-06-16",646.1,646.1,635.38,643.53,244265
"2016-06-23",654.15,661.94,651.97,661.32,292638
"2016-06-30",657.72,663.5,655.03,661.41,330632
"2016-07-07",668.99,676.08,668.18,675.3,191102
"2016-07-14",678.48,680.91,672.95,675.6,214123
"2016-07-21",696,700.81,688.78,690.95,450174
"2016-07-28",683.8,691.22,683.78,690.09,257066
"2016-08-04",688.39,696.88,684,693.59,225727
"2016-08-11",694.21,697.99,691.82,695.54,173589
"2016-08-18",680.39,687.4,680.39,685.62,137084
"2016-08-25",685,689.69,682.62,686.45,121755
"2016-09-01",686.86,691.25,683.35,689.69,208463
"2016-09-08",687.8,692.63,686.14,691.15,172722
"2016-09-15",670.85,687.97,670.5,684.19,304832
