"","CBOE.Open","CBOE.High","CBOE.Low","CBOE.Close","CBOE.Volume"
"2011-09-15",26.94,26.94,26.25,26.34,712157
"2011-09-22",25.67,27.02,25.67,26.97,835135
"2011-09-29",26.89,26.9,25.08,25.72,951732
"2011-10-06",25.11,25.22,24.59,24.81,612853
"2011-10-13",26.05,26.4,25.88,25.97,732722
"2011-10-20",25.35,25.76,25.12,25.67,574041
"2011-10-27",26.27,26.5,25.71,26.15,772212
"2011-11-03",25.58,26.24,25.36,25.89,968440
"2011-11-10",26.83,26.89,26.47,26.8,519155
"2011-11-17",26.54,26.66,25.6,26.11,744217
"2011-12-01",26.77,27.18,26.7,27.02,657215
"2011-12-08",26.07,26.37,26.01,26.24,483530
"2011-12-15",25.59,26,25.33,25.63,690084
"2011-12-22",25.73,25.9,25.37,25.44,672857
"2011-12-29",25.92,26.25,25.75,25.82,427425
"2012-01-05",25.46,25.46,25.15,25.35,321460
"2012-01-12",25.29,25.48,25.17,25.3,392470
"2012-01-19",25.43,26,25.37,25.67,285824
"2012-01-26",25.61,25.89,25.51,25.62,317464
"2012-02-02",25.84,26.29,25.72,26.23,423567
"2012-02-09",26.22,26.61,26.03,26.47,834962
"2012-02-16",27.27,27.56,27.24,27.56,546316
"2012-02-23",27.29,27.91,27.2,27.9,570160
"2012-03-01",27.61,28.02,27.48,27.88,834874
"2012-03-08",27.28,27.51,27.23,27.36,393629
"2012-03-15",27.99,28.06,27.78,28.02,578912
"2012-03-22",28.86,29.15,28.77,29.02,858339
"2012-03-29",28.52,28.75,28.41,28.57,499067
"2012-04-05",27.94,28.15,27.63,27.71,775426
"2012-04-12",26.96,27.08,26.76,26.98,730959
"2012-04-19",26.49,26.68,26.27,26.39,327704
"2012-04-26",26.36,26.77,26.21,26.69,492596
"2012-05-03",25.89,26.11,25.7,26.04,560837
"2012-05-10",25.68,25.69,25.21,25.33,361251
"2012-05-17",25,25,24.56,24.56,485458
"2012-05-24",25.23,25.4,25.02,25.39,284912
