"","GPS.Open","GPS.High","GPS.Low","GPS.Close","GPS.Volume"
"2011-09-15",16.89,17.23,16.8,17.18,5426652
"2011-09-22",15.73,16.2,15.64,16,9774435
"2011-09-29",17.26,17.26,16.31,16.77,6650358
"2011-10-06",16.87,17.36,16.51,17.26,7041949
"2011-10-13",17.78,18.12,17.72,17.92,6229023
"2011-10-20",18,18.27,17.72,18.26,5506450
"2011-10-27",19.39,19.63,18.89,19.38,6820815
"2011-11-03",19.52,19.81,18.93,19.71,10467578
"2011-11-10",19.6,19.88,19.53,19.68,4857381
"2011-11-17",19.49,19.69,19,19.25,6527060
"2011-12-01",18.58,18.9,18.47,18.81,4337990
"2011-12-08",19.1,19.1,18.56,18.59,3729601
"2011-12-15",18.49,18.57,18.34,18.36,3463514
"2011-12-22",18.63,18.65,18.38,18.55,2237136
"2011-12-29",18.92,18.97,18.74,18.82,2345607
"2012-01-05",18.31,18.51,17.76,18.27,9735273
"2012-01-12",18,18.19,17.81,18.14,3811507
"2012-01-19",18.67,19.67,18.6,19.37,18886970
"2012-01-26",19.02,19.17,18.68,18.78,4727835
"2012-02-02",21.06,21.65,20.42,21.52,21022039
"2012-02-09",21.33,21.45,21.15,21.41,4579945
"2012-02-16",22.4,22.69,22.29,22.45,5684037
"2012-02-23",22.87,23.57,22.76,23.52,13193507
"2012-03-01",25.43,26,24.86,25.05,24418280
"2012-03-08",24.64,25.19,24.54,24.89,6863660
"2012-03-15",25.24,25.67,24.97,25.64,4972156
"2012-03-22",25.91,26.28,25.75,26.24,4090021
"2012-03-29",26.17,26.31,25.82,26.1,6202364
"2012-04-05",26.52,26.85,26.22,26.45,13861647
"2012-04-12",25.62,26.03,25.54,25.96,3674646
"2012-04-19",27.55,27.82,27.3,27.5,7082072
"2012-04-26",27.82,28.42,27.68,28.4,5804547
"2012-05-03",28.55,29.02,28.42,28.67,8640298
"2012-05-10",28.17,28.4,27.82,28.12,4604485
"2012-05-17",27.17,27.24,26.19,26.31,9796995
"2012-05-24",26.78,27.26,26.78,26.99,7946030
"2012-05-31",26.47,26.73,26.12,26.5,9853167
"2012-06-07",25.81,26.06,25.55,25.7,8609869
"2012-06-14",25.65,26.5,25.59,26.42,8940666
"2012-06-21",27.64,27.8,27.21,27.3,8393215
"2012-06-28",26.26,26.77,25.97,26.36,6657861
"2012-07-05",27.61,28.12,27.61,27.97,5662807
"2012-07-12",26.96,27.29,26.57,27.18,6972019
"2012-07-19",29.25,29.54,29.11,29.48,6738606
"2012-07-26",29.75,29.94,29.24,29.65,6670945
"2012-08-02",31.96,33.69,31.51,33.17,20897512
"2012-08-09",34.57,34.66,34.17,34.42,5033562
"2012-08-16",34.69,34.83,33.35,34.34,8198011
"2012-08-23",35.07,35.2,34.84,34.97,5298310
"2012-08-30",35.7,36.6,35.38,36.11,10045630
"2012-09-06",35.57,36.14,35.57,36.09,5686352
"2012-09-13",35.44,35.9,35.26,35.65,4346550
"2012-09-20",35.82,36.18,35.52,36.14,5246637
"2012-09-27",35.38,35.61,35,35.38,4768744
"2012-10-04",37.11,37.43,36.62,37.1,9133676
"2012-10-11",36.88,37.05,36.34,36.34,3002952
"2012-10-18",36.79,37.24,36.78,37.18,4793580
"2012-10-25",35.71,35.85,34.8,35.17,3401874
"2012-11-01",35.73,35.82,35.05,35.65,4988997
"2012-11-08",35.2,35.32,34.06,34.07,4369593
"2012-11-15",33.27,33.48,32.54,33.26,8110718
"2012-11-29",34.84,35.53,34.31,34.36,9442864
"2012-12-06",31.47,32.04,31.09,31.96,6712578
"2012-12-13",31.42,31.66,31.34,31.47,4361281
"2012-12-20",32.19,32.19,31.25,31.75,5477353
"2012-12-27",30.46,30.75,30.14,30.69,6200764
"2013-01-03",33.11,33.11,31.12,32.09,13810425
"2013-01-10",31.63,31.73,30.91,31.35,5496063
"2013-01-17",32.73,32.88,32.48,32.84,2226536
"2013-01-24",32.7,33.46,32.7,33.18,3497707
"2013-01-31",32.75,32.94,32.59,32.68,2381588
"2013-02-07",33.3,33.33,31.55,32.23,8036064
"2013-02-14",31.72,31.82,31.19,31.36,5448912
"2013-02-21",32.12,32.26,31.7,32.05,4115560
"2013-02-28",32.46,33.36,32.35,32.92,6538592
"2013-03-07",34.44,36,34.27,35.87,10268006
"2013-03-14",36.76,36.84,36.45,36.57,2965440
"2013-03-21",35.78,35.99,35.18,35.42,3238008
"2013-03-28",35.25,35.48,35.01,35.4,2460688
"2013-04-04",36.05,36.66,35.87,36.65,4180293
"2013-04-11",37.31,38,37.26,37.9,5140307
"2013-04-18",37.31,37.7,36.76,37.2,4329026
"2013-04-25",37.05,37.59,36.96,37.43,4136874
"2013-05-02",37.57,38,37.56,37.97,2022524
"2013-05-09",38.8,39.29,38.51,38.81,3764995
"2013-05-16",40.9,41.21,40.44,40.59,3251514
"2013-05-23",40.92,41.57,40.51,41.36,3948757
"2013-05-30",39.42,40.22,39.41,39.99,3387701
"2013-06-06",40.26,41.02,39.99,40.98,3471076
"2013-06-13",40.66,41.47,40.62,41.39,4720155
"2013-06-20",41.46,41.66,40.63,40.74,2806634
"2013-06-27",42.01,42.21,41.78,41.95,2961368
"2013-07-11",44.66,44.96,44.62,44.76,4672418
"2013-07-18",44.71,45.22,44.6,45.09,1971978
"2013-07-25",44.71,45.65,44.62,45.63,3430812
"2013-08-01",46.38,46.51,46.15,46.32,2659841
"2013-08-08",45.25,46.36,45.17,45.52,4180075
"2013-08-15",44.03,44.15,43.37,43.51,2293073
"2013-08-22",42.07,42.43,41.2,42.01,5930104
"2013-08-29",40.43,40.87,40.33,40.71,3653026
"2013-09-05",40.83,41.18,40.64,40.65,3755001
"2013-09-12",41.48,41.55,41.02,41.23,2839666
"2013-09-19",42.37,42.66,41.96,42.08,3555246
"2013-09-26",40.56,41.18,40.47,40.67,3288688
"2013-10-03",40.61,40.8,40.2,40.26,4328697
"2013-10-10",40.08,40.18,39.17,39.68,7196208
"2013-10-17",36.95,37.07,36.8,36.98,4177512
"2013-10-24",37,37.19,36.81,37.06,5745755
"2013-10-31",37.5,37.6,36.98,36.99,4327382
"2013-11-07",38.13,38.85,37.72,37.75,7063760
"2013-11-14",41.34,42.14,41.1,42.05,3711246
"2013-11-21",41.25,41.97,40.74,41.86,4028146
"2013-12-05",40.88,40.88,40.13,40.24,5114688
"2013-12-12",38.41,38.89,38.26,38.38,5949362
"2013-12-19",38.54,38.7,38.18,38.29,2883021
"2013-12-26",38.67,39.14,38.64,38.97,2413308
"2014-01-02",39.09,39.63,38.66,38.72,4785190
"2014-01-09",39.21,39.47,38.62,39.42,6800312
"2014-01-16",37.55,37.62,36.96,37.15,4990912
"2014-01-23",38.99,38.99,37.72,37.78,5985600
"2014-01-30",37,38.21,36.91,38.04,9529114
"2014-02-06",38.4,40.11,38.32,39.71,8041949
"2014-02-13",41.98,42.61,41.88,42.36,3922075
"2014-02-20",42.25,42.55,42.18,42.34,3040190
"2014-02-27",43.97,44.26,42.57,43.68,7601113
"2014-03-06",42.73,42.89,42.23,42.29,3464445
"2014-03-13",41.46,41.48,41.05,41.27,4330432
"2014-03-20",41.43,41.64,41.22,41.43,2127331
"2014-03-27",40.01,40.47,39.79,39.88,2872930
"2014-04-03",41.97,42.71,41.75,42.03,4928326
"2014-04-10",39.96,40.33,39.22,39.29,9628171
"2014-04-17",38.8,39.11,38.25,38.58,4974805
"2014-04-24",39.24,39.25,38.63,38.92,3668241
"2014-05-01",39.43,39.95,39.27,39.72,4022043
"2014-05-08",39.06,39.76,38.38,39.24,5721332
"2014-05-15",41.04,41.06,40.32,40.72,3384256
"2014-05-22",40.53,41.11,40.48,40.86,2731249
"2014-05-29",41.04,41.14,40.56,40.86,2472091
"2014-06-05",41.33,41.33,40.76,41.19,2298604
"2014-06-12",40.74,40.92,40.54,40.74,1804673
"2014-06-19",41.92,41.99,41.41,41.59,2731021
"2014-06-26",41.53,41.67,40.75,40.98,2376199
"2014-07-03",41.75,42.11,41.73,42,2830601
"2014-07-10",40.86,41.21,40.66,40.97,3588022
"2014-07-17",39.54,40.13,39.49,39.54,4323089
"2014-07-24",39.88,40.47,39.77,40.16,4309713
"2014-07-31",40.65,40.82,40.09,40.11,3666856
"2014-08-07",40.49,40.78,40.09,40.2,3298652
"2014-08-14",42.15,42.21,41.74,42.14,2741089
"2014-08-21",43.31,43.38,42.76,43.18,5340778
"2014-08-28",45.88,46.58,45.6,46.33,3008951
"2014-09-04",46.14,46.84,46.14,46.59,3965433
"2014-09-11",43.9,44.66,43.85,44.32,2725507
"2014-09-18",43.83,44.06,43.72,43.84,2334651
"2014-09-25",42.89,42.89,42.09,42.22,2987761
"2014-10-02",41.52,42.04,41.35,41.93,3787044
