"","USB.Open","USB.High","USB.Low","USB.Close","USB.Volume"
"2011-09-15",23.54,24.05,23.52,24.05,14046033
"2011-09-22",22.18,23.05,22.11,22.91,25742163
"2011-09-29",23.9,24.35,23.45,24.21,24180774
"2011-10-06",23.32,24.04,23.01,24,16047713
"2011-10-13",24.4,24.61,23.97,24.33,15475414
"2011-10-20",24.24,25,24.02,24.92,17274573
"2011-10-27",26.16,26.64,25.68,26.22,34075542
"2011-11-03",25.7,25.83,25.07,25.6,12082515
"2011-11-10",25.52,25.72,25.15,25.64,13612234
"2011-11-17",25.33,25.99,24.96,25.11,14561328
"2011-12-01",25.66,25.79,25.31,25.7,9248496
"2011-12-08",26.34,26.4,25.56,25.65,11923605
"2011-12-15",26.14,26.29,25.77,25.8,9719052
"2011-12-22",26.92,27.45,26.9,27.34,13054001
"2011-12-29",26.97,27.36,26.95,27.3,6201606
"2012-01-05",27.44,28.31,27.38,27.98,16745182
"2012-01-12",28.47,28.78,28.15,28.74,11914917
"2012-01-19",29.13,29.13,28.28,28.56,17775893
"2012-01-26",28.71,28.86,27.68,27.79,18744014
"2012-02-02",28.71,28.89,28.43,28.57,8381255
"2012-02-09",29.62,29.67,29.21,29.34,10528390
"2012-02-16",28.65,29.17,28.51,29.08,10191569
"2012-02-23",28.81,29.15,28.77,28.99,8205581
"2012-03-01",29.43,29.78,29.37,29.71,11204700
"2012-03-08",28.85,29.27,28.7,29.16,7102124
"2012-03-15",31.53,31.79,30.97,31.68,18681999
"2012-03-22",31.43,31.52,30.97,31.37,11259389
"2012-03-29",31.47,31.57,31.13,31.55,9974033
"2012-04-05",31.22,31.52,31.1,31.35,9899431
"2012-04-12",30.92,31.41,30.75,31.34,11585030
"2012-04-19",31.42,31.52,31.01,31.22,9739307
"2012-04-26",31.68,32.14,31.63,32.1,11210665
"2012-05-03",32.25,32.38,31.82,31.94,9200089
"2012-05-10",31.85,32.04,31.78,31.91,8217359
"2012-05-17",31.05,31.17,30.63,30.65,11253923
"2012-05-24",31.27,31.27,30.85,31.13,9213367
"2012-05-31",30.76,31.36,30.5,31.11,10647091
"2012-06-07",29.97,30.2,29.58,29.58,14006091
"2012-06-14",30.68,31.18,30.59,31.01,12608502
"2012-06-21",31.93,32,31.15,31.23,10317594
"2012-06-28",31.31,31.57,30.89,31.44,10275878
"2012-07-05",32.43,32.55,32.14,32.29,8433442
"2012-07-12",31.98,32.21,31.76,32.01,8220827
"2012-07-19",33.37,33.99,33.24,33.8,15086129
