"","USB.Open","USB.High","USB.Low","USB.Close","USB.Volume"
"2012-07-26",33.79,33.87,33.52,33.59,9943190
"2012-08-02",33.01,33.22,32.58,32.9,9860790
"2012-08-09",32.94,33.2,32.75,33.03,5109142
"2012-08-16",33.22,33.32,33.04,33.21,5320764
"2012-08-23",32.86,32.97,32.73,32.76,5092915
"2012-08-30",33.26,33.42,33.13,33.29,5248124
"2012-09-06",33.25,33.94,33.24,33.93,12074392
"2012-09-13",33.97,34.95,33.97,34.87,14514933
"2012-09-20",34.08,34.23,33.9,34.04,10620319
"2012-09-27",34.07,34.34,33.95,34.16,7766757
"2012-10-04",34.48,35.23,34.43,35.19,11296743
"2012-10-11",34.91,34.97,34.38,34.39,6211415
"2012-10-18",34.66,34.69,34.02,34.4,8785281
"2012-10-25",33.38,33.65,33.24,33.48,7044758
"2012-11-01",33.28,33.73,33.11,33.66,7274166
"2012-11-08",32.45,32.96,32.17,32.17,9192900
"2012-11-15",31.21,31.39,30.96,31.21,9918545
"2012-11-29",32.53,32.67,32.34,32.4,7639650
"2012-12-06",31.73,31.89,31.62,31.81,8498033
"2012-12-13",31.88,31.93,31.5,31.57,9632384
"2012-12-20",32.27,32.45,32.03,32.44,16932169
"2012-12-27",32.07,32.25,31.5,32.02,9269882
"2013-01-03",32.88,32.96,32.44,32.51,12698104
"2013-01-10",33.56,33.8,33.2,33.64,10269684
"2013-01-17",33.36,33.36,32.72,32.76,17752256
"2013-01-24",33.1,33.37,33,33.11,12115057
"2013-01-31",32.99,33.26,32.98,33.1,8697717
"2013-02-07",33.6,33.74,33.32,33.54,7721274
"2013-02-14",33.74,34.06,33.74,33.99,6245224
"2013-02-21",33.82,33.97,33.65,33.77,10518518
"2013-02-28",34.06,34.14,33.8,33.98,9528995
"2013-03-07",33.78,34.18,33.74,34.15,11154308
"2013-03-14",34.31,34.35,33.87,34.06,12265931
"2013-03-21",33.78,33.87,33.5,33.55,9556784
"2013-03-28",33.71,33.96,33.71,33.93,6994032
"2013-04-04",33.75,33.95,33.65,33.82,8801804
"2013-04-11",34.22,34.43,34.05,34.2,6855952
"2013-04-18",32.44,32.44,31.99,32.27,9889121
"2013-04-25",33.26,33.48,33.17,33.31,8421826
"2013-05-02",32.93,32.93,32.53,32.58,11842126
"2013-05-09",33.35,33.56,33.15,33.31,11381698
"2013-05-16",34.34,34.48,34.19,34.31,11141289
"2013-05-23",35.02,35.35,35,35.22,12779137
"2013-05-30",35.42,35.81,35.29,35.53,10535079
"2013-06-06",34.84,35.44,34.8,35.38,10148796
"2013-06-13",35.35,35.52,35.08,35.46,11287475
"2013-06-20",34.96,35.31,34.85,35.06,13481265
"2013-06-27",36.1,36.32,35.9,36.14,10644838
"2013-07-11",37.26,37.34,36.87,37.15,10127541
"2013-07-18",36.88,37.11,36.81,37.07,10340747
"2013-07-25",37.3,37.52,37.16,37.46,6573674
"2013-08-01",37.66,37.93,37.6,37.66,6678647
"2013-08-08",37.39,37.52,37.06,37.35,5256285
"2013-08-15",36.92,37,36.58,36.77,5781743
"2013-08-22",36.84,37.46,36.8,37.4,7472718
"2013-08-29",36,36.39,35.9,36.11,5760461
"2013-09-05",36.15,36.82,36.12,36.7,8674760
"2013-09-12",36.76,37.34,36.44,36.87,8242056
"2013-09-19",38.04,38.06,37.44,37.71,11617819
"2013-09-26",36.66,36.76,36.37,36.54,5592855
"2013-10-03",36.33,36.48,36.23,36.35,6325927
"2013-10-10",36.24,36.97,36.24,36.94,9142818
"2013-10-17",37.18,37.79,37.18,37.68,10786775
"2013-10-24",37.9,38,37.52,37.8,9328186
"2013-10-31",37.83,37.85,37.36,37.36,8109926
"2013-11-07",38,38,37.45,37.47,5647882
"2013-11-14",38.17,38.38,38.04,38.28,7404286
"2013-11-21",38.84,38.96,38.6,38.86,8215566
"2013-12-05",38.94,39.13,38.59,38.61,10464709
"2013-12-12",39.03,39.49,38.93,39.2,8754291
"2013-12-19",39.32,40.15,39.32,40.04,8073079
"2013-12-26",40.72,40.76,40.49,40.52,5651816
"2014-01-02",39.87,40.07,39.45,39.89,7045826
"2014-01-09",41.3,41.5,40.97,41.34,8862820
"2014-01-16",41.43,41.48,41.12,41.46,7951178
"2014-01-23",41.26,41.26,40.31,40.72,12424028
"2014-01-30",40.1,40.19,39.74,40.12,8540140
"2014-02-06",39.23,39.84,39.12,39.81,7214356
"2014-02-13",40.14,40.35,40.02,40.27,4877754
"2014-02-20",39.95,40.43,39.88,40.32,6167858
"2014-02-27",40.94,41.15,40.77,41.14,3964670
"2014-03-06",41.67,41.84,41.56,41.65,5185196
"2014-03-13",42.27,42.33,41.65,41.7,5465579
"2014-03-20",42.19,43,42.19,42.9,7872990
"2014-03-27",42.83,42.95,42.01,42.26,10189906
"2014-04-03",42.68,43.11,42.47,43.02,8333756
"2014-04-10",42.11,42.14,40.75,40.78,11985709
"2014-04-17",40.38,40.45,40.1,40.25,13043743
"2014-04-24",41.02,41.02,40.55,40.65,5749296
"2014-05-01",40.76,40.85,40.28,40.37,5865503
"2014-05-08",40.44,40.53,40.2,40.33,5338745
"2014-05-15",40.25,40.66,40.01,40.57,11340747
"2014-05-22",41.27,41.42,41.14,41.37,3960869
"2014-05-29",42.17,42.18,41.8,42.03,5827629
"2014-06-05",42.47,42.49,42.25,42.49,4625224
"2014-06-12",42.93,43.16,42.8,43.01,5757312
"2014-06-19",43.31,43.37,43.1,43.28,4206230
"2014-06-26",43,43.33,42.75,43.06,8779009
"2014-07-03",43.67,43.75,43.46,43.59,3519121
"2014-07-10",43.08,43.19,42.88,43.1,5242022
"2014-07-17",42.22,42.32,41.58,41.61,11590562
"2014-07-24",42.54,42.84,42.48,42.73,4385794
"2014-07-31",42.64,42.78,42.01,42.03,8403956
"2014-08-07",41.16,41.25,40.58,40.68,5578628
"2014-08-14",41.35,41.61,41.34,41.6,3528598
"2014-08-21",41.78,42.24,41.73,42.19,4371850
"2014-08-28",41.97,42.18,41.93,42.06,2408367
"2014-09-04",42.08,42.56,42.05,42.24,4609916
"2014-09-11",41.75,42.13,41.72,42.1,4235571
"2014-09-18",42.83,43.2,42.83,43.03,7379053
"2014-09-25",42.5,42.51,41.83,41.87,8740487
"2014-10-02",41.2,41.48,40.97,41.29,6186040
"2014-10-09",41.39,41.39,40.55,40.58,7952787
"2014-10-16",38.15,39.4,38.1,39.1,10721155
"2014-10-23",40.41,40.67,40.22,40.41,7881208
"2014-10-30",41.67,42.34,41.58,42.14,7541253
"2014-11-06",43.46,43.93,43.31,43.92,6344711
"2014-11-13",43.91,44,43.81,43.93,6771312
"2014-11-20",43.61,44,43.56,43.91,4778212
"2014-12-04",44.16,44.54,44.16,44.53,5529700
"2014-12-11",44.88,45.24,44.58,44.7,6414807
"2014-12-18",44.45,45.35,44.39,45.34,8588864
"2015-01-08",43.96,44.16,43.78,43.87,10417592
"2015-01-15",41.23,41.35,40.7,40.94,10879684
"2015-01-22",42.55,43.54,42.41,43.43,9471885
"2015-01-29",42.12,42.69,42,42.57,6882900
"2015-02-05",43.75,44.14,43.62,44,6625395
"2015-02-12",44.64,45.15,44.32,45.12,7120300
"2015-02-19",44.47,44.57,44.12,44.32,5012886
"2015-02-26",44.8,44.99,44.63,44.93,4133924
"2015-03-05",44.44,44.62,44.2,44.58,4148898
"2015-03-12",44.13,44.5,43.88,44.47,9056816
"2015-03-19",44.81,44.81,44.22,44.44,7568479
"2015-03-26",43.24,43.47,42.73,43.25,6705889
"2015-04-02",43.47,43.86,43.38,43.71,4470741
"2015-04-09",43.28,43.59,43.12,43.57,3702691
"2015-04-16",43.38,43.38,42.52,42.94,10147127
"2015-04-23",42.67,43,42.52,42.82,6878383
"2015-04-30",42.94,43.18,42.59,42.87,6455272
"2015-05-07",43.09,43.22,42.81,43.1,4677305
"2015-05-14",44.36,44.45,44.07,44.38,4147449
"2015-05-21",44.01,44.1,43.83,43.86,5960024
"2015-05-28",43.75,43.82,43.46,43.7,4846195
"2015-06-04",43.79,43.93,43.41,43.49,6980862
"2015-06-11",44.85,45.11,44.68,44.85,7059534
"2015-06-18",44.71,45.06,44.41,44.78,8892514
"2015-06-25",44.8,45.04,44.55,44.56,5714054
"2015-07-02",44.09,44.14,43.47,43.62,4843029
"2015-07-09",43.29,43.44,42.94,42.96,6403765
"2015-07-16",45.88,46.26,45.77,45.86,10761630
"2015-07-23",45.91,46.2,45.58,45.66,7656400
"2015-07-30",44.8,45.14,44.8,45.06,6096767
"2015-08-06",45.54,45.71,45.12,45.21,3566735
"2015-08-13",44.97,45.18,44.79,45.07,3450736
"2015-08-20",44.88,44.9,44.1,44.1,7635210
"2015-08-27",41.89,42.63,41.72,42.58,9777978
"2015-09-03",41.17,41.93,41.1,41.44,6688166
"2015-09-10",40.69,41.43,40.65,41.1,9574962
"2015-09-17",42.41,42.69,41.46,41.66,15448919
"2015-09-24",40.59,40.85,40.2,40.76,8296956
"2015-10-01",41.02,41.31,40.53,41.13,6243827
"2015-10-08",41.56,41.96,41.39,41.9,5008570
"2015-10-15",41.22,41.64,40.68,41.01,12226476
"2015-10-22",41.36,42.28,41.36,41.84,7961823
"2015-10-29",42.98,43.22,42.81,43,5420471
"2015-11-05",42.62,42.82,42.36,42.63,6181698
"2015-11-12",43.04,43.07,42.68,42.72,6699553
"2015-11-19",43.91,44.27,43.74,44.15,6404050
"2015-12-03",43.97,43.97,43.05,43.2,5560591
"2015-12-10",43.06,43.59,42.79,43.18,6256658
"2015-12-17",44.52,44.58,43.83,43.83,6896672
"2015-12-24",43.38,43.59,43.35,43.42,2170105
"2015-12-31",42.79,43.14,42.65,42.67,4483847
"2016-01-07",40.31,40.68,39.89,40.27,9959782
"2016-01-14",39.6,40.21,39.11,39.93,13484635
"2016-01-21",38.94,39.45,38.5,38.52,12501605
"2016-01-28",39.51,39.8,39,39.22,8983635
"2016-02-04",39.28,40.2,39.17,40.11,9262521
"2016-02-11",38,38.08,37.07,37.45,12408138
"2016-02-18",40.09,40.14,39.31,39.49,7669539
"2016-02-25",38.62,39.14,38.47,39.14,6335553
"2016-03-03",40.48,40.78,40.22,40.77,5694844
"2016-03-10",39.94,40.19,39.08,39.51,7442915
"2016-03-17",40.38,40.78,40.05,40.69,6824025
"2016-03-24",40.73,40.84,40.46,40.78,6330961
"2016-03-31",40.86,41.03,40.47,40.59,6573958
"2016-04-07",39.75,39.81,38.83,39.1,8338079
"2016-04-14",41,41.65,40.92,41.28,9317492
"2016-04-21",42.65,42.8,42.4,42.56,10082306
"2016-04-28",43.04,43.56,42.93,43.13,6641440
"2016-05-05",41.82,42,41.54,41.65,5947599
"2016-05-12",42.12,42.31,41.7,41.94,7285079
"2016-05-19",41.4,41.7,41.02,41.52,9539800
"2016-05-26",42.91,43.05,42.59,42.67,4371977
"2016-06-02",42.88,43.1,42.7,43.06,4216540
"2016-06-09",42.46,42.58,42.03,42.54,5936909
"2016-06-16",40.65,41.08,40.34,41.06,6459216
"2016-06-23",41.92,42.24,41.88,42.23,7393729
"2016-06-30",39.97,40.34,39.59,40.33,8765097
"2016-07-07",39.16,39.62,39.02,39.23,5510582
"2016-07-14",41.38,41.51,41.17,41.25,12183364
"2016-07-21",41.97,42.18,41.83,41.88,5160261
"2016-07-28",41.88,42.2,41.7,42.08,3934941
"2016-08-04",42.03,42.26,41.96,42.03,4167689
"2016-08-11",42.66,42.92,42.42,42.82,6211571
"2016-08-18",43.11,43.29,43.04,43.22,4652549
"2016-08-25",43.28,43.55,43.25,43.4,5771885
"2016-09-01",44.25,44.26,43.66,44.03,5195535
"2016-09-08",43.63,43.94,43.58,43.84,6421655
"2016-09-15",42.44,43.11,42.18,43.03,10511072
