"","UPS.Open","UPS.High","UPS.Low","UPS.Close","UPS.Volume"
"2012-06-21",78.49,78.6,77.02,77.1,3710357
"2012-06-28",76.56,77.28,75.88,77.11,2512221
"2012-07-05",79.3,80.21,78.99,79.91,3660784
"2012-07-12",78.6,79.1,77.88,78.59,3636977
"2012-07-19",80.1,80.4,79.67,79.97,3199190
"2012-07-26",75.22,75.71,74.53,74.87,4626546
"2012-08-02",74.94,75.3,74.07,75,3111713
"2012-08-09",75.68,76.14,75.32,76.03,2868382
"2012-08-16",76.17,76.69,76.04,76.37,2153156
"2012-08-23",75.98,76.27,75.27,75.68,2312075
"2012-08-30",73.97,74.16,73.74,73.82,2586961
"2012-09-06",72.14,73.06,71.62,71.94,8390309
"2012-09-13",73.37,75.25,73.1,74.73,4915584
"2012-09-20",73.79,74.1,72.36,72.61,8127916
"2012-09-27",71.92,72.24,71.58,72.02,2651083
"2012-10-04",73.08,73.64,72.82,72.97,3868020
"2012-10-11",72.91,73.08,72.26,72.3,3006649
"2012-10-18",73.31,73.88,73.11,73.61,3003918
"2012-10-25",73.41,73.44,72.88,73.2,3080046
"2012-11-01",73.38,74.12,73.05,73.9,3679218
"2012-11-08",72.56,73.4,72.5,72.59,3695068
"2012-11-15",70,70.39,69.56,70.33,4172474
"2012-11-29",73,73.83,72.97,73.56,4449056
"2012-12-06",73.75,73.83,72.64,72.93,4269211
"2012-12-13",73.5,73.84,73.02,73.35,2753660
"2012-12-20",75.4,75.56,74.64,75.13,3631675
"2012-12-27",74.16,74.31,73.2,73.91,3355087
"2013-01-03",76.25,76.52,75.98,76.38,4529594
"2013-01-10",77.16,78.22,77,78.2,4762625
"2013-01-17",79.81,80.05,79.6,79.79,3076913
"2013-01-24",80.96,82.49,80.8,82.14,6434289
"2013-01-31",79.75,80.83,79.25,79.29,9503266
"2013-02-07",80.86,81.81,80.67,81.8,4602315
"2013-02-14",82.19,82.83,81.89,82.69,3761483
"2013-02-21",82.87,83.14,82.27,82.61,5027369
"2013-02-28",82.99,83.2,82.65,82.65,3744889
"2013-03-07",84.44,84.65,83.98,84.3,2407302
"2013-03-14",85.22,85.7,85.18,85.63,3414856
"2013-03-21",83.79,84.15,82.67,83,5825432
"2013-03-28",85.16,85.92,85.01,85.9,3499163
"2013-04-04",83.46,83.86,83.27,83.67,2730679
"2013-04-11",84.66,84.78,84.17,84.32,3788298
"2013-04-18",83.05,83.19,81.95,82.37,4188837
"2013-04-25",84.55,85.88,84.18,85.42,4825288
"2013-05-02",84.83,85.45,84.8,85.33,3566645
"2013-05-09",88.5,89,88.03,88.23,4936958
"2013-05-16",88.39,88.65,87.7,87.85,3115800
"2013-05-23",87.6,87.81,87,87.31,5157373
"2013-05-30",86.41,86.77,86.31,86.36,2882527
"2013-06-06",84.65,85.05,84.2,84.76,3918583
"2013-06-13",85.51,86.48,85.11,86.32,2281928
"2013-06-20",85.82,85.84,84.38,84.89,4214858
"2013-06-27",87.02,87.3,86.62,87.09,3002657
"2013-07-11",91.25,91.78,91.06,91.45,3446864
"2013-07-18",86.72,88.31,86.62,87.85,4752640
"2013-07-25",86.91,87.19,86.3,86.83,3190448
"2013-08-01",87.37,88.49,87.36,88.04,2951760
"2013-08-08",88.18,88.48,87.81,88.12,2029229
"2013-08-15",86.29,86.32,85.39,85.96,4775814
"2013-08-22",86.1,87.3,85.99,86.96,2872865
"2013-08-29",85.48,86.57,85.34,85.71,1571712
"2013-09-05",86.54,87.26,86.45,86.81,1432626
"2013-09-12",88.86,89.27,88.5,88.59,2187910
"2013-09-19",90.95,92.05,90.81,91.7,3140844
"2013-09-26",91.18,91.8,91.07,91.8,2734506
"2013-10-03",91.09,91.15,89.8,90.1,3167964
"2013-10-10",89.38,90.32,88.91,90.28,2540876
"2013-10-17",91.21,92.01,91.03,91.92,1954944
"2013-10-24",94.18,95.4,94.18,94.49,4807159
"2013-10-31",97.85,98.99,97.34,98.24,4213330
"2013-11-07",99.52,99.93,98.54,98.59,2962446
"2013-11-14",100.77,101.56,100.27,100.97,6086950
"2013-11-21",100.36,101.27,100.2,101.13,2262598
"2013-12-05",101.46,102.08,101.46,101.63,2230919
"2013-12-12",100.76,101.49,100.76,100.95,2303358
"2013-12-19",102.73,103.24,102.4,103.18,2506297
"2013-12-26",104.35,104.9,104.04,104.67,2109413
"2014-01-02",104.63,104.91,102.82,103.32,2799674
"2014-01-09",102.27,102.54,101.53,102.12,2351974
"2014-01-16",100.78,101.07,100.1,100.49,2603901
"2014-01-23",98.39,98.54,97.61,97.94,4255074
"2014-01-30",96.72,97,95.65,95.78,4010039
"2014-02-06",94.15,94.93,94.01,94.74,4195577
"2014-02-13",95.69,96.74,95.44,96.56,2376619
"2014-02-20",94.85,96.24,94.12,95.67,4909742
"2014-02-27",95.07,95.64,94.9,95.55,2681590
"2014-03-06",97.37,97.99,97.16,97.86,3229142
"2014-03-13",98.82,98.93,96.58,97.1,4769505
"2014-03-20",96.79,96.95,96.22,96.91,1941669
"2014-03-27",96.85,97.09,96.25,97.05,2854461
"2014-04-03",98.07,98.82,97.98,98.52,2182648
"2014-04-10",97.95,98.13,96.43,96.63,3962904
"2014-04-17",97.05,98.12,96.8,98,3261483
"2014-04-24",99.1,99.79,98.5,98.64,3568395
"2014-05-01",98.5,98.6,97.85,98.11,2383559
"2014-05-08",98.8,99.45,98.65,98.99,2246482
"2014-05-15",101.34,101.6,100.2,100.46,4406022
"2014-05-22",101.63,101.78,101.33,101.66,2316595
"2014-05-29",103.93,104.18,103.43,104.06,1890684
"2014-06-05",103.33,103.64,102.97,103.62,2514938
"2014-06-12",102.44,102.53,100.84,100.89,3116806
"2014-06-19",102.71,102.97,102.14,102.37,2159310
"2014-06-26",102.29,102.75,101.63,102.64,1557938
"2014-07-03",103.72,103.96,103.55,103.88,1269223
"2014-07-10",102.16,102.45,101.94,102.09,1597332
"2014-07-17",103.98,104.23,102.53,102.65,2842713
"2014-07-24",104.2,104.56,103.85,104.09,1274525
"2014-07-31",98.42,98.86,97.02,97.09,3853527
"2014-08-07",95.81,96.4,94.92,95.05,3779045
"2014-08-14",96.28,96.31,95.72,96.07,2277701
"2014-08-21",98.86,99.16,98.3,98.41,2411447
"2014-08-28",96.99,97.53,96.94,97.44,1948813
"2014-09-04",97.96,99.07,97.93,98.47,3352935
"2014-09-11",96.9,98.29,96.9,97.94,2088762
"2014-09-18",99.58,99.98,99.48,99.63,2337651
"2014-09-25",97.96,97.96,96.51,96.53,3309977
"2014-10-02",97.03,97.38,96.18,97.14,3549832
"2014-10-09",98.24,98.24,96.37,96.53,3100257
"2014-10-16",95.35,96.68,95.02,95.63,5222629
"2014-10-23",100.03,101.24,100.03,100.48,4168386
"2014-10-30",102.01,103.79,101.91,103.29,3020042
"2014-11-06",107.78,108.38,107.33,108.29,2990432
"2014-11-13",108.61,108.85,106.18,107.79,5920577
"2014-11-20",105.34,107.34,105.16,106.71,6990378
"2014-12-04",110.78,110.78,109.7,110.43,2406107
"2014-12-11",110.44,111.57,110.13,110.63,3574812
"2014-12-18",109.73,111.1,109.31,110.93,3766108
"2015-01-08",109.29,110.63,109.29,110.41,2879051
"2015-01-15",109.85,110.36,109.04,109.29,2847274
"2015-01-22",112.46,114.4,111.9,114.25,3008089
"2015-01-29",99.26,100.7,98.29,100.42,4648293
"2015-02-05",100.99,102.24,100.7,101.46,4026592
"2015-02-12",100.87,101.68,100.56,101.41,2981572
"2015-02-19",102.06,102.46,101.64,101.7,2435222
"2015-02-26",101.68,102.18,101.5,101.86,2126174
"2015-03-05",100.67,100.95,100.32,100.72,2589349
"2015-03-12",99.26,99.75,99.07,99.67,1951681
"2015-03-19",100.09,100.59,99.88,99.91,2128413
"2015-03-26",97.17,97.19,96.4,96.64,3278697
"2015-04-02",97,97,96.23,96.47,3010643
"2015-04-09",96.42,96.96,95.92,96.7,3378396
"2015-04-16",96.29,96.74,96.08,96.14,2520759
"2015-04-23",97.56,98.6,97.5,98.22,2420722
"2015-04-30",100.94,101.3,100.08,100.53,4045677
"2015-05-07",99.3,100.23,99.28,99.64,3151740
"2015-05-14",99.41,101.32,99.4,100.67,5966415
"2015-05-21",101.92,102.45,101.62,102.05,2159577
"2015-05-28",100.6,100.93,99.76,99.87,2722122
"2015-06-04",100.05,100.68,99.9,100.1,3125771
"2015-06-11",100.81,101.16,100.46,101,1899038
"2015-06-18",100.49,101.68,100.49,101.4,2949385
"2015-06-25",99.37,99.76,98.86,98.94,2227938
"2015-07-02",97.22,97.36,96.8,97.2,1836026
"2015-07-09",96.58,96.82,95.72,95.75,2042067
"2015-07-16",97.87,97.98,97.36,97.48,1548410
"2015-07-23",97.64,97.64,95.82,96.11,1940406
"2015-07-30",100.4,101.54,100.27,101.4,2871040
"2015-08-06",103.12,103.22,102.2,102.43,2043127
"2015-08-13",101.95,102.39,101.5,101.84,1829867
"2015-08-20",101.38,101.96,101.05,101.05,3778861
"2015-08-27",97.49,99.24,97.4,99.15,4700654
"2015-09-03",97.19,97.45,96.42,96.77,3301063
"2015-09-10",97.05,97.54,96.48,96.82,2922329
"2015-09-17",100.37,101.79,99.86,100.62,3843311
"2015-09-24",97.19,97.94,96.56,97.5,3807246
"2015-10-01",99,99.11,97.82,98.58,3042529
"2015-10-08",102.21,103.54,102.07,103.38,2684685
"2015-10-15",103.35,103.98,102.92,103.8,2839334
"2015-10-22",105.81,106.62,105.64,106.43,3570278
"2015-10-29",102.77,103.62,102.39,103.47,2762362
"2015-11-05",104.12,104.65,103.71,104.23,2540629
"2015-11-12",103.49,103.65,102.45,102.6,3293947
"2015-11-19",104,104.69,103.64,104.1,1552086
"2015-12-03",103.44,103.73,101.9,102.29,3927894
"2015-12-10",100.55,101.41,100.37,100.45,3232681
"2015-12-17",102.4,102.46,99.98,100,4792140
"2015-12-24",96.99,97.71,96.69,97.34,1497617
"2015-12-31",96.9,97.06,96.01,96.23,2178632
"2016-01-07",93.02,93.97,92.27,92.6,3790832
"2016-01-14",90.81,91.88,89.6,91.15,3995008
"2016-01-21",88.81,90.19,87.92,89.07,3467021
"2016-01-28",90.97,91.61,90.26,91,2286303
"2016-02-04",95.33,97,95.17,96.25,5532031
"2016-02-11",94.6,95.7,94.22,95.09,3871665
"2016-02-18",97.82,98.05,97.24,97.46,2634642
"2016-02-25",97.16,97.85,96.48,97.72,2146577
"2016-03-03",98.44,99.77,98.35,99.62,2541159
"2016-03-10",100.06,100.06,98.85,99.87,2455231
"2016-03-17",103.13,104.38,102.6,103.75,4641004
"2016-03-24",104.33,105.49,104.31,105.43,1996767
"2016-03-31",105.65,105.9,105.26,105.47,3302589
"2016-04-07",103.89,104.45,103.41,103.99,1781739
"2016-04-14",105.62,105.98,104.8,105.08,1970889
"2016-04-21",105.8,106.07,104.93,104.99,2187331
"2016-04-28",105.1,106.54,104.06,104.91,4209696
"2016-05-05",103.3,103.43,101.99,102.14,3935265
"2016-05-12",102.12,102.37,100.72,101.79,3391722
"2016-05-19",100.75,101.86,100.46,101.29,2475317
"2016-05-26",102.55,102.8,102.2,102.45,1835510
"2016-06-02",102.74,103.2,102.69,103.05,2229427
"2016-06-09",104.18,105.1,104.11,104.97,1611506
"2016-06-16",103.45,104.34,102.91,104.21,2653042
"2016-06-23",106.77,107.58,106.64,107.22,3040532
"2016-06-30",106.74,107.74,106.13,107.72,2673033
"2016-07-07",107.69,108.21,107.53,107.85,2343771
"2016-07-14",111.37,111.83,110.99,111.5,2514489
"2016-07-21",110.37,110.5,109.58,109.89,1216015
"2016-07-28",108.27,109.01,108.21,108.73,4481717
"2016-08-04",108.39,109,107.78,107.84,2196027
"2016-08-11",109.94,111.03,109.9,110.9,2786752
"2016-08-18",110.03,110.52,109.97,110.49,1833426
"2016-08-25",109.69,109.69,109.02,109.33,1845036
"2016-09-01",109.51,110,109.14,109.5,2739229
"2016-09-08",109.23,109.46,108.94,108.94,2524884
"2016-09-15",106.63,107.32,106.41,107.08,2152232
