"","UPS.Open","UPS.High","UPS.Low","UPS.Close","UPS.Volume"
"2011-09-15",67.03,67.49,65.69,66.18,7860637
"2011-09-22",62.59,63.36,61.37,62.17,12778147
"2011-09-29",64.17,64.68,63.51,64.67,5197471
"2011-10-06",65.29,66.63,64.86,66.52,4255527
"2011-10-13",68.01,68.4,67.75,68.09,3311987
"2011-10-20",68.96,69.76,68.15,69.2,3581634
"2011-10-27",70.77,72,70.34,71.55,5828609
"2011-11-03",69.88,70.8,69.18,70.56,3802179
"2011-11-10",69.93,70.33,69.42,69.88,4910095
"2011-11-17",69.01,69.81,68.49,68.93,4913316
"2011-12-01",71.57,71.73,71,71.13,3766253
"2011-12-08",72.89,73.3,71.8,72.02,5756933
"2011-12-15",71.72,72.24,71.38,71.55,6363982
"2011-12-22",72.73,73.43,72.64,73,3818979
"2011-12-29",72.83,73.63,72.82,73.53,1926847
"2012-01-05",73.46,73.5,72.15,73.12,5064646
"2012-01-12",74.41,74.96,74.41,74.74,2777655
"2012-01-19",74.97,75.58,74.97,75.31,4714005
"2012-01-26",75.69,76.39,75.56,75.84,4011591
"2012-02-02",76.98,77.16,76.27,76.38,3043049
"2012-02-09",76.85,77.03,76.25,76.57,3848669
"2012-02-16",76.2,76.86,76.06,76.76,3692300
"2012-02-23",76,76.79,75.79,76.64,3018165
"2012-03-01",77.15,77.26,76.59,76.89,3659840
"2012-03-08",76.28,76.89,76.04,76.72,3405312
"2012-03-15",78.25,78.98,77.9,78.94,3956690
"2012-03-22",79.72,80.44,79.48,80.28,3711794
"2012-03-29",79.74,80.04,78.85,79.85,3231468
"2012-04-05",79.5,80.25,79.32,80.18,2389180
"2012-04-12",78.94,79.61,78.74,79.42,4016053
"2012-04-19",80.58,80.64,79.41,79.86,3471684
"2012-04-26",77.58,78.29,76.56,78.25,8120536
"2012-05-03",78.48,78.64,78.06,78.07,3025508
"2012-05-10",77.47,77.72,76.49,76.61,2984997
"2012-05-17",75.94,76.13,74.78,74.81,3099215
"2012-05-24",75.22,75.77,74.57,75.18,3607004
"2012-05-31",74.64,75.26,73.61,74.94,4674838
"2012-06-07",75.47,76.1,75.24,75.47,3996999
"2012-06-14",76.45,77.83,76.34,77.37,3693375
