"","UA.Open","UA.High","UA.Low","UA.Close","UA.Volume"
"2016-03-24",40.87,40.87,40.87,40.87,100
"2016-03-31",42,42,41.72,41.72,600
"2016-04-07",42.09,42.13,41.56,41.56,5917
"2016-04-14",41.99,42.86,41.91,42.23,2525995
"2016-04-21",46.35,46.53,43.99,45.73,3270858
"2016-04-28",42.11,43.09,41.84,41.89,1445833
"2016-05-05",37.4,38.17,37.08,37.49,1121629
"2016-05-12",35.57,35.66,34.81,35.19,1634456
"2016-05-19",33.78,35,33.78,34.85,1047830
"2016-05-26",35.51,35.51,34.91,34.92,874967
"2016-06-02",33.67,34.32,33.66,34.22,2785411
"2016-06-09",36.23,36.32,35.84,36.14,1224965
"2016-06-16",34.22,34.27,33.16,33.48,1215871
"2016-06-23",34.55,34.78,34.4,34.67,1260783
"2016-06-30",35.91,36.42,35.22,36.4,853283
"2016-07-07",36.2,36.88,36.14,36.88,592469
"2016-07-14",37.38,37.66,36.86,37.02,862302
"2016-07-21",36.54,37.44,36.54,37.27,621696
"2016-07-28",35.73,36.05,35.18,35.75,577543
"2016-08-04",35.1,35.64,34.98,35.14,629520
"2016-08-11",35.71,37.38,35.71,37.02,925013
"2016-08-18",37.75,38.25,37.73,37.95,468424
"2016-08-25",38.9,39.14,38.03,38.26,652959
"2016-09-01",35.54,35.81,35.23,35.7,640605
"2016-09-08",35.23,35.78,34.89,35.05,480753
"2016-09-15",33.56,33.97,33.36,33.86,817903
