"","MCHP.Open","MCHP.High","MCHP.Low","MCHP.Close","MCHP.Volume"
"2014-03-27",47.08,47.22,46.26,46.45,1716008
"2014-04-03",48.5,49.03,48.29,48.57,1678650
"2014-04-10",48.32,48.43,46.96,46.96,1415060
"2014-04-17",46.55,47.59,46.5,47.33,1344222
"2014-04-24",48.31,48.46,47.87,48.39,2439312
"2014-05-01",47.57,47.77,46.56,46.66,2081146
"2014-05-08",46.71,47.74,46.61,47.08,1282960
"2014-05-15",46.37,46.43,45.45,45.85,1517369
"2014-05-22",46.45,47.11,46.29,46.44,1739721
"2014-05-29",47.44,47.56,47.11,47.31,3603174
"2014-06-05",47.9,48.38,47.5,48.27,1331290
"2014-06-12",49.22,49.55,48.97,49.16,1163872
"2014-06-19",49.32,49.32,48.88,49.19,2761459
"2014-06-26",48.83,48.87,48.03,48.44,959141
"2014-07-03",49.69,49.95,49.68,49.83,497541
"2014-07-10",48.94,49.64,48.65,49.27,1126220
"2014-07-17",48.57,48.86,48.14,48.15,907422
"2014-07-24",47.2,47.52,47.11,47.19,1397198
"2014-07-31",47,47,44.78,45.02,3713363
"2014-08-07",46.53,46.9,45.44,45.57,2015296
"2014-08-14",47.19,47.21,46.82,47.08,1004497
"2014-08-21",47.7,47.82,47.36,47.79,1169193
"2014-08-28",47.45,48.08,47.36,48.02,896323
"2014-09-04",48.65,48.99,48.46,48.62,929013
"2014-09-11",48.15,48.56,48.03,48.38,699115
"2014-09-18",48.57,49.29,48.43,49.18,1084119
"2014-09-25",47.77,47.84,46.93,47.35,1236090
"2014-10-02",46.1,46.37,45.24,46.28,2681275
"2014-10-09",46.16,46.3,45.49,45.54,2615714
"2014-10-16",36.97,39.84,36.92,39.19,6206848
"2014-10-23",40.21,40.85,40.18,40.34,1940960
"2014-10-30",41.88,41.88,40.46,41.09,3577606
"2014-11-06",43.7,43.99,43.16,43.51,1867963
"2014-11-13",43.55,43.73,42.83,42.89,1637805
"2014-11-20",43.03,43.57,42.8,43.24,1304504
"2014-12-04",46.62,46.62,45.84,46.02,1597183
"2014-12-11",46.03,46.03,44.6,44.69,1357823
"2014-12-18",44.67,45.42,44.12,45.16,2233781
"2015-01-08",43.52,44.65,43.49,44.64,1519134
"2015-01-15",45.65,45.83,44.4,44.46,1708120
"2015-01-22",46.62,46.67,45.52,46.54,1791024
"2015-01-29",45.53,46.29,42.5,45.85,1937703
"2015-02-05",47.49,49.17,47.49,49.04,18170445
"2015-02-12",49.5,50.03,48.92,49.98,4468996
"2015-02-19",50.38,50.58,50,50.53,2524187
"2015-02-26",51.48,51.56,51.07,51.46,2024646
"2015-03-05",51.67,51.73,50.58,50.88,4446042
"2015-03-12",48.59,49.77,48.58,49.69,4041217
"2015-03-19",50.14,50.55,49.76,50.3,2110458
"2015-03-26",47.66,48.47,46.89,48.21,2561820
"2015-04-02",48.38,48.75,48.06,48.18,1321700
"2015-04-09",48.71,49.48,48.71,49.4,1407734
"2015-04-16",49.73,50.37,49.66,50.26,1746585
"2015-04-23",48.09,48.89,47.83,48.57,2279099
"2015-04-30",47.44,47.87,47.33,47.66,2657490
"2015-05-07",47.23,47.97,47.23,47.41,1585427
"2015-05-14",49.79,50.13,49.49,49.85,1667394
"2015-05-21",48.7,48.7,47.94,48.39,3424417
"2015-05-28",48.45,48.98,48.39,48.88,1371701
"2015-06-04",47.67,48.38,47.14,47.3,1867828
"2015-06-11",47.56,47.75,47.42,47.64,1236121
"2015-06-18",48.11,49.1,48.07,49.01,2586401
"2015-06-25",49.65,49.88,49.33,49.34,2249727
"2015-07-02",46.85,46.94,45.97,46.52,1989768
"2015-07-09",45.34,45.7,44.17,44.18,1762396
"2015-07-16",45.04,45.87,44.06,44.51,2816568
"2015-07-23",42.37,43.61,42.14,42.67,3319941
"2015-07-30",42.72,43.1,42.56,42.91,3685058
"2015-08-06",43.87,43.87,42.89,43.23,2585754
"2015-08-13",43.77,43.84,43.28,43.39,1657629
"2015-08-20",42.14,42.54,41.52,41.53,2358752
"2015-08-27",41.83,42.74,41.63,42.73,2854330
"2015-09-03",41.29,41.85,41.14,41.74,2512062
"2015-09-10",44.23,44.63,43.37,44.2,3345674
"2015-09-17",43.89,44,43.09,43.33,3173703
"2015-09-24",40.98,41.51,40.09,41.28,1525351
"2015-10-01",43.09,43.26,41.58,42.19,2533149
"2015-10-08",45.89,46.7,45.6,46.65,2119954
"2015-10-15",47.73,48.37,47.21,47.33,2687554
"2015-10-22",47.93,48.97,47.52,48.86,3523284
"2015-10-29",48.03,48.23,47.2,47.39,1901255
"2015-11-05",49.75,49.84,47.32,47.91,2690444
"2015-11-12",46.79,47.39,46.35,46.37,1861701
"2015-11-19",47.07,47.58,46.43,47.18,1142001
"2015-12-03",47.05,47.42,46.07,46.43,1826048
"2015-12-10",45.48,45.67,45,45.35,1520104
"2015-12-17",47.55,47.9,46.44,46.44,2358055
"2015-12-24",47.15,47.6,47.15,47.26,371132
"2015-12-31",47.65,47.85,46.54,46.54,1158091
"2016-01-07",43.99,44.71,42.39,42.66,3370462
"2016-01-14",41.46,42.52,41,42.04,4165341
"2016-01-21",43.32,44.41,42.83,43.61,4515959
"2016-01-28",43.68,43.87,42.65,43.16,2366797
"2016-02-04",42.44,43.8,40.53,42.74,6010756
"2016-02-11",39.68,39.99,39.01,39.65,2948159
"2016-02-18",42.42,42.74,41.9,41.98,2000890
"2016-02-25",43.87,43.92,43.08,43.81,1773183
"2016-03-03",45.79,46.16,45.49,46.12,1657329
"2016-03-10",47.56,47.8,46.55,47.1,2033300
"2016-03-17",48,48.49,47.55,48.43,2697017
"2016-03-24",47.57,48.27,47.33,48.12,1183225
"2016-03-31",48.84,48.84,48.17,48.2,2753243
"2016-04-07",48.49,48.49,47.8,47.88,2325532
"2016-04-14",49.11,49.46,48.66,49.27,1694267
"2016-04-21",49.47,50,49.36,49.43,1930942
"2016-04-28",50,50.64,49.4,49.51,3001522
"2016-05-05",48.83,48.83,47.2,47.82,2796402
"2016-05-12",48.39,48.66,47.2,47.33,2305679
"2016-05-19",47.52,48.03,47.14,47.64,1155788
"2016-05-26",50.07,50.74,50.07,50.66,1694365
"2016-06-02",51.54,51.94,51.48,51.72,1658168
"2016-06-09",52.78,52.8,51.88,52.77,1568133
"2016-06-16",51.84,52.12,51.22,52.05,1882839
"2016-06-23",51.89,52.86,51.75,52.84,1511493
"2016-06-30",49.78,50.81,49.5,50.76,3357183
"2016-07-07",49.67,52.03,49.67,50.4,1957845
"2016-07-14",53.8,54.04,53.38,53.61,1514110
"2016-07-21",54.15,54.32,53.63,53.8,1718544
"2016-07-28",57,57.31,56.29,56.69,1668771
"2016-08-04",55.4,55.82,55.35,55.75,1787636
"2016-08-11",60.37,60.86,60.16,60.77,2574730
"2016-08-18",60.79,61.32,60.5,61.23,1736806
"2016-08-25",61.04,61.63,60.9,61.13,1770413
"2016-09-01",62.1,62.8,61.56,62.8,3413443
"2016-09-08",60.76,60.95,60.3,60.66,1752398
"2016-09-15",59.48,60.89,59.33,60.44,2934701
