"","MCHP.Open","MCHP.High","MCHP.Low","MCHP.Close","MCHP.Volume"
"2011-09-15",34.89,34.92,34.15,34.32,2546929
"2011-09-22",32.52,32.94,31.74,32.12,3371618
"2011-09-29",32.88,33.11,31.65,32.02,3072259
"2011-10-06",32.65,33.31,32.16,33.29,2698081
"2011-10-13",34.37,35.53,34.3,35.31,3753306
"2011-10-20",33.44,33.49,32.62,33.02,3763138
"2011-10-27",36.04,36.53,35.77,36.36,2618838
"2011-11-03",34.85,35.86,34.48,35.77,2739327
"2011-11-10",35.73,35.99,35.26,35.76,1482857
"2011-11-17",36.27,36.77,34.76,34.79,2926295
"2011-12-01",34.76,34.97,34.44,34.86,1216897
"2011-12-08",34.87,35.23,34.57,34.65,1807303
"2011-12-15",34.04,34.18,33.65,33.8,1035159
"2011-12-22",35.67,36.44,35.49,36.29,1463766
"2011-12-29",36.45,36.87,36.21,36.84,921170
"2012-01-05",36.07,36.15,35.25,36.12,2052787
"2012-01-12",35.92,35.98,35.61,35.75,1811205
"2012-01-19",38.45,38.45,37.82,37.88,5960114
"2012-01-26",37.43,37.87,36.8,37.13,2244187
"2012-02-02",37.53,38.32,37.53,37.69,2455042
"2012-02-09",37.34,37.5,36.98,37.33,1972755
"2012-02-16",36.38,37.36,36.38,37.13,1786209
"2012-02-23",36.34,36.59,36,36.32,1335930
"2012-03-01",36.32,36.4,36.04,36.14,1210891
"2012-03-08",35.76,36.09,35.6,35.85,1678852
"2012-03-15",36.48,37,36.44,36.89,1400418
"2012-03-22",36.55,37.05,36.47,36.7,1399096
"2012-03-29",36.42,36.77,36.15,36.74,1269963
"2012-04-05",36.15,36.25,35.91,36.14,1212648
"2012-04-12",35.54,36.25,35.54,36.18,1294478
"2012-04-19",36.24,36.92,35.76,35.76,2420908
"2012-04-26",34.89,35.53,34.76,35.36,1715186
"2012-05-03",34.98,35.33,34.69,34.69,3393635
"2012-05-10",32.09,32.29,31.7,31.93,5834840
"2012-05-17",31.28,31.51,30.98,30.99,2168289
"2012-05-24",31.15,31.25,30.62,30.86,1974374
"2012-05-31",31.22,31.28,30.7,31.02,5392230
"2012-06-07",32.03,32.15,31.65,31.74,2462576
"2012-06-14",31.92,32.25,31.5,31.83,1702276
"2012-06-21",33.2,33.29,32.38,32.52,2044554
"2012-06-28",32.34,32.46,31.83,32.24,1469870
"2012-07-05",33.06,33.33,32.57,33.1,1128108
"2012-07-12",31.08,31.2,30.62,31.03,2507796
"2012-07-19",32.66,32.96,32.53,32.82,1853878
"2012-07-26",32.61,33.01,32.29,32.47,1322434
"2012-08-02",32.93,33.65,32.88,33.4,1808894
"2012-08-09",34.76,35.08,34.65,34.86,2158318
"2012-08-16",35.36,35.71,35.34,35.61,960083
"2012-08-23",35,35,34.51,34.52,1606186
"2012-08-30",34.5,34.67,34.3,34.44,955108
"2012-09-06",34.42,35,34.06,34.93,2799458
"2012-09-13",33.75,34.42,33.75,34.35,2220455
"2012-09-20",34.22,34.32,33.96,34.23,2340399
"2012-09-27",32.83,33.11,32.61,32.92,2097251
"2012-10-04",33.29,33.36,32.99,33.16,1293894
"2012-10-11",32.27,32.41,32.01,32.05,933700
"2012-10-18",32.51,32.53,31.7,31.72,3142915
"2012-10-25",31.68,31.87,31.35,31.41,1594829
"2012-11-01",31.47,32.51,31.37,32.5,2084630
"2012-11-08",32.15,32.46,31.88,31.91,1502636
"2012-11-15",29.9,30.02,29.52,29.61,2512990
"2012-11-29",30.29,30.44,30.05,30.17,1828662
"2012-12-06",29.95,30.53,29.92,30.51,1837033
"2012-12-13",31.95,32.13,31.48,31.75,3119560
"2012-12-20",32.47,32.71,32.18,32.63,1711169
"2012-12-27",32.55,32.64,32,32.32,1407809
"2013-01-03",33.74,33.78,33.31,33.4,1483241
"2013-01-10",33.11,33.55,33.06,33.55,2322606
"2013-01-17",33.5,33.71,33.37,33.61,2502181
"2013-01-24",33.21,33.39,32.96,33.25,1363613
"2013-01-31",33.74,33.93,33.44,33.45,1752379
"2013-02-07",34.77,34.77,33.84,33.94,2039569
"2013-02-14",36.54,37.63,36.5,37.32,2990763
"2013-02-21",36.53,36.53,35.83,36.14,2425212
"2013-02-28",36.78,37.09,36.46,36.47,1620410
"2013-03-07",36.9,37,36.55,36.76,1638085
"2013-03-14",36.82,37.38,36.71,36.74,1643739
"2013-03-21",35.99,36.13,35.67,35.73,1199642
"2013-03-28",36.49,36.8,36.32,36.77,1575054
"2013-04-04",35.32,35.74,35.06,35.66,2316478
"2013-04-11",36.57,37,36.49,36.7,1529585
"2013-04-18",35.3,35.31,34.16,34.23,2729711
"2013-04-25",35.93,36.34,35.75,36.29,1706917
"2013-05-02",36.09,36.66,36,36.61,2325396
"2013-05-09",37.35,37.46,36.99,37.1,4974226
"2013-05-16",37.56,37.94,37.55,37.58,1437921
"2013-05-23",36.14,36.54,35.96,36.34,1973974
"2013-05-30",36.71,37.37,36.64,37.24,1627558
"2013-06-06",36.56,36.58,35.74,36.21,2106738
"2013-06-13",36.37,37.32,36.16,37.25,1539018
"2013-06-20",36.89,37.05,36.27,36.44,1906759
"2013-06-27",37.15,37.4,36.88,37.09,3069569
"2013-07-11",38.55,39.04,38.31,38.92,1890803
"2013-07-18",40.14,40.14,39.58,40.03,1717177
"2013-07-25",39.57,39.74,39.36,39.68,1507641
"2013-08-01",41,41.78,40.62,41.69,3805595
"2013-08-08",41.33,41.37,40.83,40.85,1565381
"2013-08-15",40.01,40.01,39.3,39.41,2033971
"2013-08-22",38.86,39.14,38.48,39.06,629462
"2013-08-29",38.9,39.26,38.82,39.03,1186928
"2013-09-05",39.45,39.55,38.9,39.11,2744709
"2013-09-12",39.45,39.63,39.13,39.47,955699
"2013-09-19",40.5,40.58,40.24,40.45,1009840
"2013-09-26",40.71,40.84,40.33,40.59,1292046
"2013-10-03",39.75,39.89,39.17,39.5,1379511
"2013-10-10",39.07,39.78,39,39.68,1341285
"2013-10-17",39.61,40.29,39.33,40.19,1032081
"2013-10-24",39.12,39.29,38.93,38.99,2711842
"2013-10-31",42.5,44.1,41.81,42.96,10559406
"2013-11-07",43.06,43.07,42.12,42.16,1463311
"2013-11-14",43.34,43.5,42.99,43.42,2345251
"2013-11-21",42.94,43.85,42.73,43.82,1661640
"2013-12-05",42.65,42.75,42.06,42.33,1881184
"2013-12-12",42.67,42.67,41.96,41.97,1623703
"2013-12-19",42.55,42.87,42.43,42.69,2170854
"2013-12-26",44.72,44.73,44.17,44.35,1144932
"2014-01-02",44.56,44.56,44,44.17,1150289
"2014-01-09",45.28,45.5,44.87,45.22,1431720
"2014-01-16",46.31,46.36,46,46.27,5882271
"2014-01-23",45.98,46.11,44.91,44.99,3572257
"2014-01-30",45.03,45.64,44.76,45.36,2927335
"2014-02-06",43.76,44.07,43.55,43.71,6460440
"2014-02-13",45.33,45.85,45.21,45.81,1434110
"2014-02-20",44.93,45.25,44.6,45.2,2356518
"2014-02-27",45.46,45.72,44.01,45.61,1878833
"2014-03-06",46.53,46.97,46.42,46.65,1228269
"2014-03-13",46.66,46.84,46.02,46.16,3160260
"2014-03-20",47.17,48.11,47.02,48.08,1211491
