"","WEC.Open","WEC.High","WEC.Low","WEC.Close","WEC.Volume"
"2011-09-15",31.38,31.68,31.26,31.6,1050856
"2011-09-22",30.62,30.91,30.39,30.61,3380142
"2011-09-29",31.36,31.63,31.13,31.57,1683917
"2011-10-06",30.66,31.72,30.52,31.48,3061561
"2011-10-13",31.4,31.72,31.18,31.63,981381
"2011-10-20",32.34,32.61,32.16,32.37,1701727
"2011-10-27",33.63,33.63,32.98,33.4,1950372
"2011-11-03",32.51,32.83,32.39,32.76,1856832
"2011-11-10",32.48,32.67,32.23,32.56,1799354
"2011-11-17",32.49,32.68,32.06,32.34,1464908
"2011-12-01",33.24,33.54,33.09,33.26,1472744
"2011-12-08",32.88,32.91,32.4,32.49,1274436
"2011-12-15",32.79,33.36,32.7,33.26,1630482
"2011-12-22",34.64,34.79,34.34,34.51,1693631
"2011-12-29",35.16,35.33,35.06,35.29,805765
"2012-01-05",34.4,34.79,34.18,34.64,1518106
"2012-01-12",34.35,34.41,34.23,34.34,987299
"2012-01-19",34.18,34.18,33.88,34.1,1099757
"2012-01-26",34.62,34.93,34.5,34.78,805782
"2012-02-02",34.23,34.62,34,34.41,3049465
"2012-02-09",34.61,34.77,34.4,34.71,1342830
"2012-02-16",34.36,34.66,34.27,34.42,882447
"2012-02-23",34.2,34.46,34.07,34.39,884016
"2012-03-01",34.25,34.29,34.01,34.17,991316
"2012-03-08",34.62,34.76,34.34,34.66,853334
"2012-03-15",34.76,34.76,34.39,34.6,807910
"2012-03-22",34.3,34.51,34.2,34.49,1041759
"2012-03-29",34.78,35.09,34.53,35.04,1482935
"2012-04-05",35.15,35.21,34.84,35.05,1452252
"2012-04-12",34.75,35.02,34.59,34.99,1061551
"2012-04-19",35.6,35.61,35.24,35.43,1098107
"2012-04-26",36.2,36.43,36.02,36.37,3220310
"2012-05-03",36.39,36.72,36.24,36.25,1205346
"2012-05-10",36.79,37.05,36.56,36.89,1838926
"2012-05-17",37.3,37.37,36.96,36.98,1015667
"2012-05-24",36.86,37.42,36.74,37.3,1419074
"2012-05-31",37.23,37.97,37.2,37.84,1984256
"2012-06-07",38.56,38.62,38.29,38.36,1137441
"2012-06-14",38.97,39.1,38.85,38.94,1648832
"2012-06-21",38.66,38.99,38.36,38.39,1860719
"2012-06-28",39.42,39.57,39.01,39.52,1150901
"2012-07-05",39.95,40.01,39.74,39.88,861155
"2012-07-12",40.19,40.65,40.16,40.47,1308253
"2012-07-19",41.21,41.27,40.85,41.2,1936369
"2012-07-26",40.36,40.67,40.34,40.52,1319169
"2012-08-02",40.27,40.33,39.65,39.93,1991787
"2012-08-09",39.76,39.76,39.1,39.36,2246110
"2012-08-16",38.97,38.98,38.48,38.54,1760106
"2012-08-23",38.66,38.69,38.2,38.2,1074910
"2012-08-30",38.17,38.28,38,38.11,629806
"2012-09-06",38.6,38.88,38.35,38.59,1106429
"2012-09-13",37.34,37.8,37.32,37.78,2291093
"2012-09-20",36.79,36.9,36.66,36.79,2168184
"2012-09-27",37.7,37.71,37.22,37.39,1417590
"2012-10-04",37.83,38.14,37.79,37.93,690188
"2012-10-11",38.21,38.29,38.04,38.14,891319
"2012-10-18",38.81,38.93,38.66,38.77,1128327
"2012-10-25",37.73,37.87,37.54,37.8,1136462
"2012-11-01",38.63,38.8,38.32,38.36,1342682
"2012-11-08",36.93,37.4,36.86,36.86,1384947
"2012-11-15",36.46,36.78,36.01,36.12,1381400
"2012-11-29",36.91,37.16,36.76,37.16,1210743
"2012-12-06",37.79,37.96,37.5,37.64,1113259
"2012-12-13",37.51,37.56,37.22,37.3,906954
"2012-12-20",37.64,37.84,37.38,37.58,918678
"2012-12-27",36.86,37.07,36.45,36.83,738515
"2013-01-03",37.72,37.75,37.49,37.57,784696
"2013-01-10",37.4,37.78,37.27,37.73,1768148
"2013-01-17",37.79,38.11,37.75,37.95,970007
"2013-01-24",38.6,38.83,38.54,38.58,865804
"2013-01-31",39.28,39.43,39.01,39.43,2563325
"2013-02-07",39.78,40,39.65,40,1308505
"2013-02-14",39.7,39.9,39.36,39.45,1573179
"2013-02-21",40.14,40.28,39.99,40.12,918647
"2013-02-28",40.77,41.41,40.67,41.3,2441333
"2013-03-07",41.47,41.62,41.06,41.09,1276232
"2013-03-14",41.53,41.53,41.26,41.41,1346912
"2013-03-21",41.35,41.56,41.25,41.36,1097890
"2013-03-28",41.98,42.95,41.93,42.89,2720347
"2013-04-04",42.55,42.7,42.41,42.65,1170173
"2013-04-11",43.2,43.32,42.99,43.2,1344015
"2013-04-18",42.96,43.13,42.73,42.98,1574299
"2013-04-25",44.12,44.39,43.9,44.14,778966
"2013-05-02",44.37,44.5,44.1,44.29,1036707
"2013-05-09",43.86,43.91,42.68,43.13,1421909
