"","FBHS.Open","FBHS.High","FBHS.Low","FBHS.Close","FBHS.Volume"
"2012-11-08",28.92,28.96,27.96,27.97,2247343
"2012-11-15",27.26,27.43,26.32,26.88,1933688
"2012-11-29",28.94,29.7,28.4,29.66,1401545
"2012-12-06",29.05,29.1,28.43,29.05,1152245
"2012-12-13",29.27,29.74,29.21,29.53,1266471
"2012-12-20",30.05,30.35,29.49,30.33,2158393
"2012-12-27",28.98,29.31,28.44,29.13,799064
"2013-01-03",30.78,31.19,30.49,30.59,846903
"2013-01-10",31.72,31.73,31.04,31.25,1570160
"2013-01-17",31.05,31.29,30.86,31.17,1903551
"2013-01-24",32.04,32.9,31.85,32.08,1357456
"2013-01-31",32.33,32.94,31.72,32.74,2958718
"2013-02-07",33.19,33.37,32.64,33.25,1985469
"2013-02-14",34.52,34.6,34.05,34.22,1193212
"2013-02-21",32.61,33.49,32.52,33.42,2344106
"2013-02-28",34.57,34.96,34.41,34.55,1046296
"2013-03-07",35.97,35.98,35.39,35.85,1146519
"2013-03-14",36.03,36.34,35.84,36.33,816354
"2013-03-21",38.16,38.16,36.21,36.29,1524128
"2013-03-28",36.83,37.47,36.76,37.43,808489
"2013-04-04",34.59,34.75,33.78,34.25,1583316
"2013-04-11",35.61,36.49,35.4,36.18,664722
"2013-04-18",34.9,35.1,34.59,35.06,1308387
"2013-04-25",36.47,37.12,36.25,36.66,2002582
"2013-05-02",36.26,37.72,36.26,37.43,1965461
"2013-05-09",40.5,40.8,40.46,40.53,1000985
"2013-05-16",43.21,43.44,42.61,42.79,1291476
"2013-05-23",42.16,42.99,41.76,42.69,1065059
"2013-05-30",42.5,42.87,42.19,42.62,561162
"2013-06-06",38.81,39.05,38.25,38.98,3196448
"2013-06-13",38.4,39.67,38.4,39.5,641460
"2013-06-20",40.76,40.85,38.23,38.67,1845660
"2013-06-27",38.45,39.06,38.15,38.97,1010611
"2013-07-11",40.6,42.16,40.54,41.91,1379773
"2013-07-18",41.05,41.61,40.82,41.06,912001
"2013-07-25",37.92,41.65,37.92,41.41,3255053
"2013-08-01",41.74,42.15,41.58,41.88,1714750
"2013-08-08",38.97,39.3,38.44,38.6,1093526
"2013-08-15",36.3,37.94,35.8,37.85,2304051
"2013-08-22",39,39.37,38.61,38.75,503991
"2013-08-29",36.8,38.04,36.8,37.46,577681
"2013-09-05",36.69,37.34,36.49,37.09,1128153
"2013-09-12",40.66,41.34,40.66,40.89,1134835
"2013-09-19",43.16,43.69,42.12,42.15,873937
"2013-09-26",41.04,41.35,40.56,40.9,724216
"2013-10-03",42.51,42.73,41.72,42.46,1672126
"2013-10-10",39.74,40.07,39.25,40,946264
"2013-10-17",38.02,38.81,37.91,38.44,2158735
"2013-10-24",44.01,44.01,41.96,42.7,2869942
"2013-10-31",43.59,43.72,42.87,43.08,1187556
"2013-11-07",42.02,42.2,40.94,41.08,951567
"2013-11-14",41.38,42.33,41.17,42.28,1192460
"2013-11-21",41.99,43.45,41.9,43.25,825996
"2013-12-05",41.74,41.86,41.4,41.79,624788
"2013-12-12",42.3,42.58,42.18,42.46,656901
"2013-12-19",43.51,43.66,43.04,43.27,628955
"2013-12-26",45.3,45.53,44.93,45.23,552071
"2014-01-02",45.5,46.04,45.2,45.43,1024930
"2014-01-09",45.6,45.91,45.16,45.85,491024
"2014-01-16",47.55,47.85,46.92,47.14,1931704
"2014-01-23",47.51,47.65,46.89,47.59,1261530
"2014-01-30",43.28,43.74,41.53,43.21,4031730
"2014-02-06",43.44,44.51,43.39,44.43,1285294
"2014-02-13",45.08,45.49,45.06,45.16,990730
"2014-02-20",45.57,45.94,45.4,45.53,1233384
"2014-02-27",45.8,47.17,45.8,47.08,1498195
"2014-03-06",46.88,47.28,46.79,47.01,658529
"2014-03-13",44.86,44.97,42.65,42.75,1728881
"2014-03-20",44.07,44.28,43.01,43.16,1007233
"2014-03-27",40.74,40.93,39.83,40.2,2157034
"2014-04-03",42.48,42.78,42.02,42.08,1594420
"2014-04-10",41.87,42,40.58,40.94,1399879
"2014-04-17",40.85,41.18,40.41,40.44,932510
"2014-04-24",41.47,42.01,41.02,42,1348336
"2014-05-01",42.14,42.14,38.57,39.56,4122563
"2014-05-08",38.79,39.54,38.69,38.99,1766412
"2014-05-15",38.67,38.76,37.28,37.85,2510679
"2014-05-22",39.17,40.25,38.95,39.89,1424576
"2014-05-29",39.97,40.43,39.75,40.11,901009
"2014-06-05",39.88,40.46,39.39,39.94,2826612
"2014-06-12",40.52,40.63,39.94,40.21,2156051
"2014-06-19",39.6,40.54,39.35,40.53,2491374
"2014-06-26",39.43,39.74,38.88,39.09,1007157
"2014-07-03",40.11,40.85,39.96,40.85,942496
"2014-07-10",38.19,38.3,36.92,38.02,3240056
"2014-07-17",37.19,37.63,36.96,37.57,2607489
"2014-07-24",38.94,39.33,38.5,38.64,2137818
"2014-07-31",37.21,38.65,36.77,37.79,4309071
"2014-08-07",39.89,40.09,39.46,39.84,2280772
"2014-08-14",41.17,41.76,40.97,41.75,1420044
"2014-08-21",43.18,43.34,42.59,43.21,834087
"2014-08-28",42.89,43.24,42.5,43.04,1038631
"2014-09-04",43.39,44.24,43.3,43.83,1401079
"2014-09-11",43.46,44.02,43.31,43.84,1148842
"2014-09-18",43.53,43.6,42.87,42.9,794510
"2014-09-25",41.71,41.83,40.99,40.99,1076061
"2014-10-02",40.19,40.74,39.77,40.55,1024815
"2014-10-09",40.14,40.39,39.39,39.41,1250885
"2014-10-16",37.47,39.3,37.34,38.94,1434861
"2014-10-23",41.27,41.89,41.12,41.56,1022770
"2014-10-30",40.33,42.2,39.49,41.89,3965872
"2014-11-06",42.06,42.64,41.77,42.63,966276
"2014-11-13",42.94,42.99,42.22,42.53,489451
"2014-11-20",42.53,43.86,42.53,43.84,754087
"2014-12-04",45.48,45.67,45.28,45.64,477444
"2014-12-11",44.59,45.51,44.41,44.59,704658
"2014-12-18",45.62,45.72,44.82,45.54,754729
"2015-01-08",44.26,45.25,44.03,45.23,1074570
"2015-01-15",45.99,46.08,43.64,43.69,999324
"2015-01-22",44.6,45.05,43.88,44.84,1027332
"2015-01-29",45.03,45.84,44.86,45.38,1145065
"2015-02-05",45,45.71,43.07,43.93,5975131
"2015-02-12",44.45,45.6,44.38,45.56,2417663
"2015-02-19",46.93,47.9,46.9,47.78,1590234
"2015-02-26",47.34,47.54,46.59,46.9,1506973
"2015-03-05",46.37,46.4,45.97,46.3,651383
"2015-03-12",45.72,46.06,45.27,45.41,777227
"2015-03-19",44.89,45.73,44.8,45.08,977938
"2015-03-26",44.79,44.82,44.16,44.35,798106
"2015-04-02",46.37,47.42,46.29,46.88,1068236
"2015-04-09",46.22,46.6,45.47,45.99,1582951
"2015-04-16",45.68,45.68,44.86,45.13,940758
"2015-04-23",46.26,46.44,45.92,46.41,1659090
"2015-04-30",45.57,46.11,44.43,44.6,2713133
"2015-05-07",43.84,44.63,43.82,44.5,769934
"2015-05-14",45.35,45.44,44.9,45.23,1172784
"2015-05-21",45.89,46.26,45.67,46.11,1839080
"2015-05-28",46.4,46.67,46.18,46.56,1335207
"2015-06-04",46.09,46.28,45.69,45.8,1203188
"2015-06-11",46.16,46.57,46.07,46.24,1018768
"2015-06-18",45.74,46.16,45.56,46.03,754022
"2015-06-25",45.94,46.14,45.6,45.95,945445
"2015-07-02",46,46.14,45.69,46.02,904110
"2015-07-09",45.36,45.55,44.7,44.73,914926
"2015-07-16",45.62,45.62,44.72,44.83,1345955
"2015-07-23",45.35,47.99,45.1,47.07,6416261
"2015-07-30",47.45,48.16,47.28,47.99,1005917
"2015-08-06",47.58,48.24,47.26,47.37,1048370
"2015-08-13",49.79,50.51,49.68,50.38,962818
"2015-08-20",52.15,52.46,50.6,50.65,1893223
"2015-08-27",47.89,48.65,47.59,48.42,1063039
"2015-09-03",48.37,49.45,48.31,48.94,1137329
"2015-09-10",50.89,51.63,50.31,50.89,1859397
"2015-09-17",51.95,53.01,51.77,52,1765807
"2015-09-24",49.89,50,48.86,49.35,1998462
"2015-10-01",47.51,48.13,47.12,48.02,1726300
"2015-10-08",49.52,50.67,49.27,50.29,1291568
"2015-10-15",47.88,48.71,47.72,48.67,1359883
"2015-10-22",49.26,52.09,48.7,52.03,2877752
"2015-10-29",51.94,52.19,51.36,52.02,2305100
"2015-11-05",52.43,52.95,52.24,52.86,753861
"2015-11-12",52.28,52.68,51.89,52.21,826104
"2015-11-19",54.11,54.61,53.88,54.54,1087987
"2015-12-03",56.4,56.46,54.69,55.02,2046336
"2015-12-10",54.45,55.82,54.3,55.14,1286186
"2015-12-17",56.35,56.35,55.29,55.3,1189739
"2015-12-24",55.96,56.38,55.84,56.29,399946
"2015-12-31",56.16,56.53,55.5,55.5,630009
"2016-01-07",51.68,51.83,49.67,49.68,2021149
"2016-01-14",47.56,48.63,46.85,48.21,2445804
"2016-01-21",47.61,48.65,47.27,47.68,1288239
"2016-01-28",47.39,48.09,46.74,46.78,1521247
"2016-02-04",44.46,48.71,44.21,46.64,2805046
"2016-02-11",45.41,46.07,44.69,45.27,2595229
"2016-02-18",49.22,49.85,48.65,49.61,2641755
"2016-02-25",51.31,51.64,50.49,50.93,1218371
"2016-03-03",51.46,51.6,50.67,51.4,790554
"2016-03-10",51.2,51.77,50.39,50.87,743828
"2016-03-17",54,54.68,53.71,54.16,1103015
"2016-03-24",54.46,54.66,54.05,54.56,805250
"2016-03-31",55.9,56.36,55.39,56.04,800857
"2016-04-07",56.4,58.32,55.5,56.18,1560253
"2016-04-14",58.73,59.96,58.15,58.32,788937
"2016-04-21",59.63,59.98,57.71,57.95,2278793
"2016-04-28",56.58,57.28,56.04,56.23,701450
"2016-05-05",55.28,55.82,55.01,55.6,595084
"2016-05-12",55.92,56.36,55.44,55.98,994374
"2016-05-19",56.16,56.74,55.83,56.68,1130376
"2016-05-26",58.83,59.02,58.33,58.46,446554
"2016-06-02",58.55,58.67,57.97,58.67,760052
"2016-06-09",58.4,58.7,58.07,58.56,727189
"2016-06-16",55.53,56.53,55.17,56.41,1016728
"2016-06-23",57.7,57.73,56.84,56.84,31805569
"2016-06-30",56.9,58,56.61,57.97,1305357
"2016-07-07",58.57,58.84,58.34,58.78,1062039
"2016-07-14",61.8,62.17,61.32,61.33,891067
"2016-07-21",61.46,61.5,60.09,60.13,1536360
"2016-07-28",62.46,64.47,62.44,63.84,3090377
"2016-08-04",63.72,63.9,63.13,63.46,1345824
"2016-08-11",64.14,64.39,63.63,64.04,1637221
"2016-08-18",62.44,62.72,62.08,62.57,806123
"2016-08-25",63.03,63.59,62.81,63.52,848422
"2016-09-01",63.67,63.96,62.82,63.83,872062
"2016-09-08",62.26,62.68,61.75,61.93,952709
"2016-09-15",57.4,57.99,57.4,57.83,944846
