"","FBHS.Open","FBHS.High","FBHS.Low","FBHS.Close","FBHS.Volume"
"2011-09-22",13.09,13.25,12.4,13.2,1230488
"2011-09-29",13,13.25,12.67,13.17,222290
"2011-10-06",11.9,12.98,11.9,12.76,3333556
"2011-10-13",12.4,12.77,12.15,12.62,3575238
"2011-10-20",14.91,15.24,14.68,14.93,1252869
"2011-10-27",14.98,15.9,14.97,15.65,1132861
"2011-11-03",15.42,15.5,14.5,15,2279821
"2011-11-10",14.91,15.81,14.85,15.7,801667
"2011-11-17",14.95,15.62,14.88,15.53,699085
"2011-12-01",16.61,16.8,15.94,15.99,663984
"2011-12-08",16.15,16.54,15.95,16.41,707663
"2011-12-15",16.12,16.53,15.7,15.91,797632
"2011-12-22",16.31,16.53,16.22,16.45,1535439
"2011-12-29",16.36,16.72,16.23,16.64,537205
"2012-01-05",16.93,17.7,16.88,17.33,1579900
"2012-01-12",18.32,18.35,17.98,18.29,1250395
"2012-01-19",17.82,18.17,17.77,18.1,596083
"2012-01-26",17.89,17.98,17.7,17.91,667393
"2012-02-02",18.87,19.25,18.58,19.25,837945
"2012-02-09",19.1,19.32,18.94,19.22,957166
"2012-02-16",19.44,19.66,19.3,19.52,650888
"2012-02-23",19.16,19.77,18.85,19.75,1001730
"2012-03-01",19.5,19.5,19.19,19.37,1196416
"2012-03-08",19.65,20.24,19.5,20.13,1058488
"2012-03-15",21.23,21.34,21,21.3,1316217
"2012-03-22",21.04,21.32,20.86,21.29,1309122
"2012-03-29",22.08,22.25,21.85,22.2,684606
"2012-04-05",21.33,21.63,21.16,21.38,1556727
"2012-04-12",20.53,21.12,20.52,20.99,596669
"2012-04-19",20.69,20.84,20.19,20.42,766212
"2012-04-26",20.73,20.99,20.57,20.64,2013907
"2012-05-03",23.8,24.05,23.24,23.38,1357807
"2012-05-10",23.07,23.46,22.97,23.18,1183629
"2012-05-17",23.6,23.6,22.4,22.5,1165589
"2012-05-24",22.09,22.46,22.03,22.36,1269780
"2012-05-31",22.81,22.81,21.51,22.62,2030570
"2012-06-07",21.59,22.03,21.43,21.7,1219395
"2012-06-14",21.46,21.66,21.23,21.59,759514
"2012-06-21",22.29,22.48,20.52,20.55,2574784
"2012-06-28",20.95,21.78,20.66,21.78,1798210
"2012-07-05",23.39,23.89,23.31,23.6,1310955
"2012-07-12",21.61,21.9,21.13,21.81,798474
"2012-07-19",22.53,23.02,22.42,22.9,1274055
"2012-07-26",21.25,21.97,21.05,21.33,1142146
"2012-08-02",21.6,21.8,21.25,21.41,1369866
"2012-08-09",22.77,22.99,22.47,22.57,638734
"2012-08-16",23.65,24.49,23.5,24.27,1110918
"2012-08-23",24.2,24.64,23.9,24.5,822818
"2012-08-30",25.29,25.55,25.14,25.37,655721
"2012-09-06",25.4,26.96,25.4,26.9,1807989
"2012-09-13",26.62,27.71,26.24,27.5,1990772
"2012-09-20",27.4,27.63,27.18,27.55,2477287
"2012-09-27",27.13,27.57,26.8,27.49,972330
"2012-10-04",27.76,28,27.68,27.98,1233591
"2012-10-11",27.1,27.22,26.55,26.99,1161647
"2012-10-18",28.6,29.31,28.38,29.27,1250541
"2012-10-25",29.43,29.62,28.12,28.44,2054241
"2012-11-01",29.06,30.03,28.94,29.99,2657459
