"","WLTW.Open","WLTW.High","WLTW.Low","WLTW.Close","WLTW.Volume"
"2011-09-15",95.36,95.42,93.85,94.81,376192
"2011-09-22",89.17,90.36,88.34,89.27,373186
"2011-09-29",90.81,92.03,90.46,91.79,273464
"2011-10-06",92.21,93.85,91.63,93.8,226562
"2011-10-13",94.57,97.99,94.38,96.56,727040
"2011-10-20",98.3,100.56,98.15,100.42,671334
"2011-10-27",101.4,101.4,98.15,98.3,628275
"2011-11-03",97.59,97.59,94.97,96.08,547497
"2011-11-10",96,96.95,95.58,96.74,229099
"2011-11-17",95.15,95.58,93.77,94.28,450651
"2011-12-01",93.38,94.6,93.06,93.88,470094
"2011-12-08",100.21,101.11,99.81,100.13,400448
"2011-12-15",101.14,101.14,99.95,100.34,318136
"2011-12-22",102.57,103.17,100.56,101.91,738909
"2011-12-29",102.44,103.07,102.28,102.97,98703
"2012-01-05",101.7,104.05,101.09,103.97,307108
"2012-01-12",102.94,103.23,102.22,102.41,179387
"2012-01-19",103.15,105.17,101.93,102.15,236643
"2012-01-26",103.95,104.26,102.6,103.05,278662
"2012-02-02",105.03,105.56,104,104.64,236158
"2012-02-09",104.08,104.71,103.6,104.64,139361
"2012-02-16",91.52,93.01,90.2,90.38,2505253
"2012-02-23",92.9,94.44,92.72,93.67,947220
"2012-03-01",95.02,95.23,93.54,93.64,678595
"2012-03-08",91.95,93.11,91.34,92.9,670329
"2012-03-15",95.28,95.73,94.54,95.5,450431
"2012-03-22",92.16,93.19,91.73,92.95,452615
"2012-03-29",92.69,93.01,92.46,92.74,221883
"2012-04-05",92.74,92.9,92.37,92.79,535995
"2012-04-12",92.77,93.7,92.74,93.67,285227
"2012-04-19",93.51,94.83,93.51,94.49,584400
"2012-04-26",97.4,99.02,96.61,98.86,963777
"2012-05-03",96.42,96.64,96.11,96.5,551226
"2012-05-10",96.61,96.64,95.31,95.5,466692
"2012-05-17",93.51,93.56,92.32,92.56,401807
"2012-05-24",92.74,96.19,92.29,93.59,551033
"2012-05-31",93.67,94.25,93.11,93.43,633458
"2012-06-07",95.79,96.11,94.12,94.25,416656
"2012-06-14",93.67,94.01,92.79,93.01,224590
"2012-06-21",94.83,95.36,93.75,94.22,177101
"2012-06-28",92.82,94.91,92.48,94.75,350901
"2012-07-05",97.19,98.89,97.17,98.83,392336
"2012-07-12",96.32,97.38,95.79,96.71,182972
"2012-07-19",98.7,99.34,98.28,98.41,353550
"2012-07-26",97.56,98.22,97.32,97.54,356529
"2012-08-02",95.39,95.39,90.36,91.1,1077410
"2012-08-09",93.62,94.44,93.11,93.59,210157
"2012-08-16",96.93,97.67,96.82,97.64,853028
"2012-08-23",97.14,97.72,96.7,97.27,377290
"2012-08-30",96.69,96.87,95.89,96.61,82370
"2012-09-06",97.48,98.24,97.38,97.56,259583
"2012-09-13",97.91,100.34,97.91,100.34,310866
"2012-09-20",95.71,96.61,95.71,96.48,373099
"2012-09-27",97.03,97.51,96.16,97.38,293997
"2012-10-04",97.48,98.41,97.32,98.22,267632
"2012-10-11",96,96.82,96,96.74,274127
"2012-10-18",96.61,97.19,95.95,96.13,404138
"2012-10-25",88.87,89.67,88,88.95,989761
"2012-11-01",89.38,91.87,89.38,90.52,441438
"2012-11-08",90.7,91.07,89.91,89.93,196376
"2012-11-15",88.72,89.48,88.29,89.27,824992
"2012-11-29",90.52,91.18,90.33,90.52,215485
"2012-12-06",91.79,92.93,91.79,92.93,171562
"2012-12-13",90.91,91.5,90.54,90.81,71582
"2012-12-20",88.82,89.7,88.79,89.59,457647
"2012-12-27",88.37,89.15,88.11,88.85,221182
"2013-01-03",90.94,92.11,90.94,91.68,325965
"2013-01-10",91.21,92.42,90.62,91.92,347122
"2013-01-17",92.05,92.34,91.36,92.11,249691
"2013-01-24",91.55,92.21,91.31,91.66,400538
"2013-01-31",93.66,94.81,93.65,94.6,473143
"2013-02-07",96.82,96.98,95.6,96.11,136752
"2013-02-14",98.94,99.07,97.43,97.67,447492
"2013-02-21",97.27,97.93,97.14,97.72,278651
"2013-02-28",99.5,101.03,99.44,100.87,421186
"2013-03-07",100.4,100.58,99.84,100.19,832498
"2013-03-14",100.29,100.85,99.95,100.77,626789
"2013-03-21",102.68,103.15,102.38,102.75,254803
"2013-03-28",103.1,104.64,102.54,104.61,337068
"2013-04-04",101.91,102.62,101.24,101.38,199461
"2013-04-11",103.21,105.14,103.21,104.05,502930
"2013-04-18",102.54,102.65,100.9,101.59,161272
"2013-04-25",103.31,104.16,102.94,103.92,141810
"2013-05-02",107.02,108.4,107.02,108.21,241345
"2013-05-09",109.48,109.48,107.28,107.31,184633
"2013-05-16",110.25,111.18,110.25,110.86,270287
"2013-05-23",106.28,107.18,105.8,106.41,261632
"2013-05-30",104.95,106.04,104.93,105.96,284447
"2013-06-06",103.44,104.48,102.73,104.48,607472
"2013-06-13",103.84,106.04,103.71,106.04,305645
"2013-06-20",109.88,111.23,109.03,109.51,880161
"2013-06-27",108.5,108.64,107.67,108.32,385136
"2013-07-11",111.26,113.72,110.78,113.56,424520
"2013-07-18",115.55,116.2,115.26,115.63,162801
"2013-07-25",114.04,115.89,113.88,114.65,334830
"2013-08-01",113.77,114.68,113.46,114.68,599100
"2013-08-08",111.89,112.5,111.55,111.97,252390
"2013-08-15",111.87,112.58,110.12,110.36,102354
"2013-08-22",110.7,112.05,110.7,112.05,110177
"2013-08-29",108.42,109.77,108.42,108.85,82285
"2013-09-05",110.75,110.75,109.59,110.3,124260
"2013-09-12",113.01,114.09,112.66,113.93,260916
"2013-09-19",118.38,119.2,118.38,119.02,466570
"2013-09-26",115.79,116.87,115.4,116.56,286016
"2013-10-03",116.53,116.53,114.46,114.46,244236
"2013-10-10",112.87,114.07,112.71,113.91,156911
"2013-10-17",118.25,119.87,117.81,119.87,148600
"2013-10-24",121.7,122.2,121.35,122.2,169707
"2013-10-31",118.57,119.5,117.93,119.39,508140
"2013-11-07",117.93,118.54,117.19,117.56,262344
"2013-11-14",118.75,120.74,118.36,119.97,293069
"2013-11-21",118.86,119.07,118.09,118.81,144171
"2013-12-05",116.58,118.2,116.58,118.09,176906
"2013-12-12",117.38,118.04,117.06,117.14,160406
"2013-12-19",118.49,118.83,117.99,118.22,195277
"2013-12-26",117.64,119.47,117.64,118.52,278037
"2014-01-02",118.7,118.86,116.5,117.03,185078
"2014-01-09",116.32,117.99,112.48,117.35,279505
"2014-01-16",117.88,117.88,117.03,117.35,339171
"2014-01-23",119.71,119.71,118.07,118.83,188492
"2014-01-30",115.18,116.4,114.83,115.34,256609
"2014-02-06",111.58,112.24,110.54,110.62,124214
"2014-02-13",109.72,110.5,109.4,109.67,562428
"2014-02-20",110.6,112.85,110.13,112.72,268060
"2014-02-27",108.13,109.85,107.87,109.27,251687
"2014-03-06",112.08,114.75,111.97,114.57,277939
"2014-03-13",113.51,114.44,113.11,113.17,311423
"2014-03-20",113.72,114.54,112.77,114.54,184292
"2014-03-27",112.66,113.01,111.87,112.85,274345
"2014-04-03",117.85,117.85,116.26,116.95,241578
"2014-04-10",114.01,114.01,112.45,112.77,279641
"2014-04-17",111.87,112.4,111.62,111.92,246613
"2014-04-24",113.91,114.28,112.98,113.19,138867
"2014-05-01",107.31,111.66,107.31,110.41,628585
"2014-05-08",110.01,110.78,109.22,109.59,340919
"2014-05-15",109.48,110.2,109.27,109.77,496309
"2014-05-22",108.95,110.01,108.61,109.85,223971
"2014-05-29",110.09,110.65,109.77,110.38,360548
"2014-06-05",113.4,113.59,112.16,112.16,331619
"2014-06-12",113.48,113.88,112.74,113.77,162932
"2014-06-19",115.55,116.16,115.07,115.47,139539
"2014-06-26",114.49,114.49,113.88,114.17,235164
"2014-07-03",115.55,115.55,114.81,115.07,207868
"2014-07-10",112.37,113.95,111.76,113.43,209218
