"","WLTW.Open","WLTW.High","WLTW.Low","WLTW.Close","WLTW.Volume"
"2014-07-17",112.34,113.28,111.95,112.45,389254
"2014-07-24",113.48,113.96,113.32,113.32,95325
"2014-07-31",108,108.24,106.72,107.95,598944
"2014-08-07",106.17,106.89,105.46,106.78,677750
"2014-08-14",109.32,109.93,109.23,109.56,95575
"2014-08-21",110.33,111.03,109.91,110.89,74172
"2014-08-28",110.86,111.39,110.46,110.83,97666
"2014-09-04",112.42,113.35,112.11,112.4,135262
"2014-09-11",111.73,113.17,111.42,112.98,259286
"2014-09-18",113.03,113.7,113.01,113.51,204354
"2014-09-25",110.28,110.64,108.93,109.4,216594
"2014-10-02",107.68,108.52,107.26,107.66,345225
"2014-10-09",108.48,108.74,106.78,107.02,314679
"2014-10-16",103.87,105.43,103.6,104.66,291252
"2014-10-23",109.01,109.06,107.21,107.28,206787
"2014-10-30",105.85,106.68,105.47,106.12,308128
"2014-11-06",109.51,110.42,109.01,110.36,398574
"2014-11-13",109.24,110.75,109.01,109.96,240782
"2014-11-20",112.18,113.35,111.83,112.98,179505
"2014-12-04",115.15,115.87,114.78,115.84,144806
"2014-12-11",115.42,116.26,114.86,115.23,232860
"2014-12-18",119.13,119.89,117.77,118.38,436234
"2015-01-08",119.2,120.19,118.73,119.6,343141
"2015-01-15",116.69,117.46,115.47,116.29,239593
"2015-01-22",114.91,115.26,113.64,115.15,512855
"2015-01-29",113.48,115.92,113.4,115.73,525866
"2015-02-05",119.07,119.76,118.62,119.18,230211
"2015-02-12",128.98,129.48,126.28,128.16,523616
"2015-02-19",125.3,126.52,124.95,126.46,522860
"2015-02-26",126.01,126.52,125.28,125.96,332781
"2015-03-05",125.77,127.05,125.32,126.54,118519
"2015-03-12",127.42,127.81,127.02,127.55,307396
"2015-03-19",130.57,131.15,129.51,130.3,234539
"2015-03-26",127.2,127.47,126.36,127.28,239168
"2015-04-02",128,128.64,127.5,128.42,169914
"2015-04-09",130.01,130.6,129.51,130.22,145193
"2015-04-16",131.05,131.71,130.36,130.54,155648
"2015-04-23",129.46,130.77,129.46,129.85,236742
"2015-04-30",129.99,130.3,128.16,128.82,302048
"2015-05-07",125.51,127.07,124.5,126.91,288464
"2015-05-14",125.27,126.22,125.01,126.17,214173
"2015-05-21",128.64,128.85,127.84,128.05,215643
"2015-05-28",127.07,127.52,126.44,126.99,153808
"2015-06-04",125.64,126.07,124.93,125.01,115812
"2015-06-11",126.09,127.84,126.09,127.44,144300
"2015-06-18",126.81,127.55,126.01,127.23,89262
"2015-06-25",125.17,126.52,123.87,123.89,115669
"2015-07-02",124.32,125.75,123.44,124.16,571652
"2015-07-09",124.48,124.5,123.89,124,302808
"2015-07-16",125.11,125.13,123.89,124.48,593387
"2015-07-23",123.26,123.63,122.7,123.15,303629
"2015-07-30",123.84,124.5,123.26,123.5,375528
"2015-08-06",125.14,125.44,122.34,122.7,366395
"2015-08-13",121.22,122.09,121.22,121.43,231796
"2015-08-20",120.9,121.4,120.11,120.5,330749
"2015-08-27",115.31,116.64,113.7,116.64,604005
"2015-09-03",113.22,113.75,112.71,112.95,380493
"2015-09-10",114.89,115.63,114.12,114.33,322433
"2015-09-17",113.85,114.36,112.82,113.06,232681
"2015-09-24",110.17,110.46,108.08,108.53,524826
"2015-10-01",108.61,109.93,107.92,108.56,527631
"2015-10-08",111.44,112.44,110.6,111.89,384742
"2015-10-15",110.57,111.95,110.23,111.47,181981
"2015-10-22",113.85,115.26,113.52,114.25,269011
"2015-10-29",119.31,119.42,118.15,118.73,349165
"2015-11-05",119.23,119.95,118.64,119.95,189130
"2015-11-12",117.11,117.35,115.81,116.11,479303
"2015-11-19",118.12,120.03,117.09,119.89,514146
"2015-12-03",122.36,122.45,120.05,120.48,355698
"2015-12-10",118.99,119.85,117.27,119.13,721353
"2015-12-17",123.05,123.52,120.9,122.2,734145
"2015-12-24",123.5,124.66,121.75,124.29,424611
"2015-12-31",129.14,130.54,128.64,128.66,1208733
"2016-01-07",116.38,119.74,114.93,114.95,2489451
"2016-01-14",113.51,115.03,110.05,114.38,785266
"2016-01-21",109.73,110.58,108.32,110,944335
"2016-01-28",110.9,112.97,109.9,112.58,680416
"2016-02-04",114.08,116.32,114.08,115.71,950541
"2016-02-11",105.63,109.26,104.11,107.13,1314270
"2016-02-18",111.12,112.2,108.93,111.6,440912
"2016-02-25",111.6,112.99,110.75,112.88,559171
"2016-03-03",116.49,117.67,115.42,117,884727
"2016-03-10",116.91,118,114.14,116.82,416820
"2016-03-17",121.01,124.41,119.45,124.03,807843
"2016-03-24",118.89,119.44,117.64,119.41,532329
"2016-03-31",118.78,119.34,117.86,118.66,573537
"2016-04-07",114.74,115.26,113.34,113.54,700081
"2016-04-14",118.16,119.68,117.17,117.72,358129
"2016-04-21",122.61,124.13,121.93,123.01,1055381
"2016-04-28",123.54,124.62,122.68,124.15,910737
"2016-05-05",126.66,127.79,126.2,127.66,1917463
"2016-05-12",124.44,124.57,122.01,123.89,475798
"2016-05-19",124.52,125.47,122.69,125.12,590329
"2016-05-26",126.36,126.98,125.42,126.61,626972
"2016-06-02",127.99,128.83,126.97,128.75,423625
"2016-06-09",128.73,129.67,128.14,129.58,395206
"2016-06-16",123.34,124.87,122.75,124.84,404785
"2016-06-23",127.94,127.94,126.6,127.65,512314
"2016-06-30",121.36,124.43,120.07,124.31,1162663
"2016-07-07",124.28,125.48,123.98,124.44,591112
"2016-07-14",127.62,127.68,125.98,126.04,567306
"2016-07-21",123.68,124.5,123.05,123.33,374732
"2016-07-28",124.01,124.3,123.39,123.74,275500
"2016-08-04",123.56,126,123.56,124.09,766711
"2016-08-11",121.86,122.98,121.85,122.75,564002
"2016-08-18",121.74,122.73,121.46,122.56,443849
"2016-08-25",121.81,122.76,121.8,122.21,527013
"2016-09-01",124,125.24,123.59,124.85,526744
"2016-09-08",127.86,128.28,125.38,125.42,728738
"2016-09-15",122.23,125.5,121.2,125.12,716454
