"","NSC.Open","NSC.High","NSC.Low","NSC.Close","NSC.Volume"
"2011-09-15",69.08,69.79,68.34,69.72,3748286
"2011-09-22",60.28,62.58,59.4,60.44,6787879
"2011-09-29",62.47,63.48,62.12,63.47,3131152
"2011-10-06",62.89,65.48,62.38,65.45,3734410
"2011-10-13",66.94,67.68,66.26,67.04,2322138
"2011-10-20",67.7,69.24,67.7,68.79,2596113
"2011-10-27",73.41,75.86,73.4,75.16,5424582
"2011-11-03",74,74.07,72.8,73.9,2988057
"2011-11-10",73.01,74.18,72.52,73.79,2484525
"2011-11-17",73.46,73.74,71.78,72.67,3705286
"2011-12-01",75.19,75.45,74.56,74.78,2859433
"2011-12-08",74.14,74.52,72.84,73.04,2397332
"2011-12-15",71.02,71.04,69.08,69.66,3079203
"2011-12-22",72,72.34,71.58,72.28,1491817
"2011-12-29",71.8,72.93,71.8,72.85,1217170
"2012-01-05",75.26,76.35,74.4,75.76,2795714
"2012-01-12",78.31,78.5,77.2,78.24,1953169
"2012-01-19",76.93,78.09,76.22,77.94,4088098
"2012-01-26",75.31,75.81,74.46,74.87,3062722
"2012-02-02",72.43,72.84,72.21,72.38,3200960
"2012-02-09",72.8,73.09,72.02,72.33,2103235
"2012-02-16",67.9,68.89,67.84,68.44,5180413
"2012-02-23",68.65,69.41,67.9,69.31,3331217
"2012-03-01",68.85,69.34,68.4,68.97,3116511
"2012-03-08",65.71,67.11,65.48,66.77,4535180
"2012-03-15",64.49,68.99,64.1,68.53,8076859
"2012-03-22",66.56,66.56,64.53,64.7,4278014
"2012-03-29",65.34,66.24,64.85,66.17,3151055
"2012-04-05",66.6,68.06,66.5,67.83,3999182
"2012-04-12",66.3,68.42,66.3,67.91,2822421
"2012-04-19",69.44,69.96,68.24,68.7,3522674
"2012-04-26",72.73,73.49,72.26,73.23,2368559
"2012-05-03",73.9,74.31,72.82,72.97,1744475
"2012-05-10",69.03,69.22,68.03,68.17,3289932
"2012-05-17",68.09,68.52,66.13,66.21,2653390
"2012-05-24",68,68.42,66.7,67.44,2200343
"2012-05-31",65.34,66.15,64.66,65.52,3824957
"2012-06-07",66.33,67.18,65.76,66,3106506
"2012-06-14",67.21,68.61,66.87,68.2,2103313
"2012-06-21",71.76,72.17,71.04,71.14,3280907
"2012-06-28",69.35,70.15,68.75,70.07,1688499
"2012-07-05",71.69,72.24,71.34,71.91,1101373
"2012-07-12",71,72.21,70.96,71.84,3123953
"2012-07-19",74.02,74.87,73.9,74.18,2348354
"2012-07-26",72.87,73.2,72.27,73,1859231
"2012-08-02",73.03,73.44,72.38,73.4,1579432
"2012-08-09",73.83,73.93,73.35,73.69,1473011
"2012-08-16",74.56,75.15,74.45,74.69,1353707
"2012-08-23",74.58,74.58,72.94,73.58,1861689
"2012-08-30",73.06,73.2,72.22,72.64,1503730
"2012-09-06",70.58,72.04,70.43,72.02,1820511
"2012-09-13",74.26,74.9,73.27,74.53,1499196
"2012-09-20",68.04,68.45,65.58,66.11,12191749
"2012-09-27",65.03,65.14,64.15,64.18,3185911
"2012-10-04",65.89,66.31,65.66,66.18,2270128
"2012-10-11",66.44,66.8,65.95,65.96,2060963
"2012-10-18",66.88,67.27,66.6,66.7,4619531
"2012-10-25",61.24,62.79,61.24,62.57,4009367
"2012-11-01",61.6,62.54,61.32,61.77,5165463
"2012-11-08",60,60.18,59.11,59.14,5077035
"2012-11-15",57.46,57.68,56.73,57.02,3443353
"2012-11-29",60.03,60.65,59.89,60.48,4095186
"2012-12-06",61.65,61.82,60.82,61.38,1989508
"2012-12-13",61.61,62.23,61.09,61.24,1791808
"2012-12-20",62.2,62.99,61.8,62.97,3173882
"2012-12-27",61.51,61.66,60.59,61.22,1935085
"2013-01-03",62.65,64.5,62.65,63.46,2516795
"2013-01-10",64.5,64.91,63.98,64.67,2355964
"2013-01-17",65.81,66.08,65.5,65.95,2300076
"2013-01-24",68.53,69.95,68.43,69.83,3605277
"2013-01-31",68.88,69.49,68.63,68.87,3953906
"2013-02-07",69.19,69.19,68.18,68.78,2231816
"2013-02-14",71.52,72,71.19,71.97,1497613
"2013-02-21",72.25,72.54,71.4,71.55,2548883
"2013-02-28",72.86,73.79,72.62,73.05,2421477
"2013-03-07",74.53,74.54,73.1,73.39,2507322
"2013-03-14",74.55,75.06,74.06,75.06,1414822
"2013-03-21",75.64,76.06,74.75,74.86,1998285
"2013-03-28",76.5,77.42,76.04,77.08,1795808
"2013-04-04",74.41,74.64,73.29,73.86,4070254
"2013-04-11",75.64,76.53,75.11,76.19,2032585
"2013-04-18",73.94,74.28,73.08,73.86,1824146
"2013-04-25",75,76.07,74.95,75.84,1935241
"2013-05-02",75.39,76.61,74.89,76.47,1807253
"2013-05-09",79.21,79.34,78.38,78.59,1478881
"2013-05-16",79.95,80.19,79,79.33,2071541
"2013-05-23",77,77.67,76.2,77.45,2460466
"2013-05-30",77.16,78.38,76.98,77.77,1895155
"2013-06-06",75.36,76.81,74.06,76.81,1874911
"2013-06-13",75.61,77.07,75.25,77,1576720
"2013-06-20",74.45,74.69,73.06,73.48,3997872
"2013-06-27",73.92,74.36,72.99,73.49,2396470
"2013-07-11",74.6,75.05,74.3,74.94,1791827
"2013-07-18",76.59,77.76,76.26,77.64,1704857
"2013-07-25",74.5,74.52,73.6,74.07,2469664
"2013-08-01",73.96,76.12,73.95,76,3027429
"2013-08-08",74.38,74.66,73.89,74.41,1317578
"2013-08-15",72.95,73.81,72.5,73.55,1634277
"2013-08-22",72.67,73.99,72.55,73.75,1055909
"2013-08-29",72.89,73.19,72.57,72.7,1082427
"2013-09-05",73.88,74.42,73.73,74.13,1181526
"2013-09-12",76.36,76.4,75.27,75.4,872308
"2013-09-19",77.92,78.5,77.84,78.17,1181022
"2013-09-26",77.94,78.4,77.61,78.3,1108717
"2013-10-03",78.35,78.4,76.59,77.37,2258595
"2013-10-10",77.75,79.16,77.74,78.96,1573126
"2013-10-17",78.84,78.84,77.46,78.52,2665580
"2013-10-24",84.71,87.93,84.52,87.87,3359819
"2013-10-31",86.29,86.85,85.89,86.02,1804884
"2013-11-07",86.91,87.34,85.23,85.48,1763619
"2013-11-14",87.75,87.86,87.27,87.34,1636501
"2013-11-21",86.33,87.11,85.77,86.82,1443055
"2013-12-05",87.29,88.99,86.9,88.17,2381761
"2013-12-12",87.7,88.04,87.36,87.51,1343923
"2013-12-19",90.51,90.53,89.5,90.51,1453643
"2013-12-26",92.4,93.17,92.31,92.87,1054050
"2014-01-02",92.33,92.59,91.07,91.31,1321650
