"","NSC.Open","NSC.High","NSC.Low","NSC.Close","NSC.Volume"
"2014-01-09",90.3,91.38,90.06,91.31,1451243
"2014-01-16",88.49,88.98,87.14,87.76,3841433
"2014-01-23",93.81,95.1,93.24,93.66,3194773
"2014-01-30",90.64,93.27,90.62,92.76,2081285
"2014-02-06",91.9,93.75,91.68,93.57,2505518
"2014-02-13",92.57,92.74,91.96,92.47,2076387
"2014-02-20",90.48,91.47,90.13,91.02,2112138
"2014-02-27",90.41,90.71,89.76,90.61,1929312
"2014-03-06",94.3,94.81,93.81,94.5,1647759
"2014-03-13",96.5,96.9,94.9,95.24,2058151
"2014-03-20",96.95,97.12,96.21,96.98,1499514
"2014-03-27",95.91,96.35,95.18,95.26,1315954
"2014-04-03",96.84,97.58,96.08,97.47,1382307
"2014-04-10",96.16,96.42,94.48,94.5,1507029
"2014-04-17",95.57,96.59,95.08,96.27,1292081
"2014-04-24",95.27,95.6,94.33,95.11,1452304
"2014-05-01",94.38,94.67,93.45,93.58,1342336
"2014-05-08",94.93,96,94.93,95.5,1229860
"2014-05-15",97.12,97.12,95.57,96.43,1294852
"2014-05-22",98.85,99.44,98.34,99.04,998145
"2014-05-29",100.48,101.08,100.27,101.04,934575
"2014-06-05",99.32,100.58,99.29,100.49,1562668
"2014-06-12",101.54,101.56,100,100.2,1121311
"2014-06-19",102.72,103.38,102.4,103.16,1068014
"2014-06-26",102.39,102.47,101.16,101.64,2002297
"2014-07-03",103.86,104.29,103.48,103.84,782536
"2014-07-10",102.25,102.72,101.83,102.41,1365426
"2014-07-17",104.51,105.47,104.33,104.38,1479510
"2014-07-24",107.19,108.3,106.88,107.78,1673345
"2014-07-31",103.46,103.46,101.55,101.66,1341769
"2014-08-07",100.08,101.1,99.76,100,1764278
"2014-08-14",103.29,104.08,103.2,103.97,914218
"2014-08-21",106.57,106.62,104.22,105.18,2992173
"2014-08-28",106.33,106.77,106.11,106.58,815902
"2014-09-04",106.6,109.22,106.6,108.56,1731695
"2014-09-11",107.7,108.65,107.54,108.64,888599
"2014-09-18",111.84,112.44,111.66,112.15,1255521
"2014-09-25",111.08,111.08,109.39,109.8,1259446
"2014-10-02",109.26,110.35,108.8,110.12,2037241
"2014-10-09",108.58,108.9,105.14,105.43,2500216
"2014-10-16",102.55,106.12,102.29,104.8,2743947
"2014-10-23",107.76,108.74,107,107.87,2711235
"2014-10-30",109.91,110.39,109.08,109.54,2304714
"2014-11-06",110.31,111.15,109.5,110.72,1699724
"2014-11-13",116.87,116.92,115.16,115.45,1834020
"2014-11-20",114.55,115.44,114.53,115.38,875759
"2014-12-04",110.5,111.04,106.98,107.3,3496706
"2014-12-11",102.39,103.79,101.15,102.63,2511847
"2014-12-18",106.78,109,106.67,108.98,3755740
"2015-01-08",103.71,104.92,102.92,103.99,3064419
"2015-01-15",101.81,103.07,101.3,101.84,2609095
"2015-01-22",105.45,106.55,105.11,106.09,1474116
"2015-01-29",102.88,104.02,101.96,103.79,1897872
"2015-02-05",106.64,108.17,106.54,107.85,2651512
"2015-02-12",109.37,110.16,109.29,110.08,1242454
"2015-02-19",110.77,112.05,110.54,111.59,1836191
"2015-02-26",110.8,111.12,109.71,109.95,2955779
"2015-03-05",109.3,109.35,108.52,109.16,1917336
"2015-03-12",108.45,109.39,108.45,109.23,1283978
"2015-03-19",110.8,111.06,109.42,110.31,1405968
"2015-03-26",101.97,104.35,101.96,103.91,3044139
"2015-04-02",103.4,104.79,102.88,104.15,2187070
"2015-04-09",104.29,105.83,104.09,105.77,1403615
"2015-04-16",100.61,100.61,99.85,100.27,2367681
"2015-04-23",104.48,107.31,104.3,106.21,2373894
"2015-04-30",102.16,102.52,100.55,100.85,3540453
"2015-05-07",99.93,101.53,99.78,100.98,1212382
"2015-05-14",96.8,97.71,96.04,96.71,3079621
"2015-05-21",96.06,98.12,96,97.11,2503791
"2015-05-28",94.5,94.55,92.8,93.71,2114919
"2015-06-04",92.01,93.06,91.59,91.96,2135730
"2015-06-11",90.82,92.79,90.42,92.53,2996745
"2015-06-18",91.95,93.24,91.83,92.96,1743513
"2015-06-25",90.33,90.62,88.74,88.76,1945396
"2015-07-02",88.31,88.65,87.72,87.83,2216954
"2015-07-09",86.24,86.81,85.61,85.62,1838109
"2015-07-16",86.9,87.68,85.48,85.6,1727843
"2015-07-23",85.17,85.17,83.13,83.48,1943117
"2015-07-30",85.58,86.11,85.51,85.8,2107326
"2015-08-06",82.48,82.66,80.93,81.6,2905819
"2015-08-13",81.28,81.52,80.85,81.02,1136582
"2015-08-20",80.68,80.84,79.74,79.95,2316275
"2015-08-27",75.24,77.93,74.99,77.92,3183103
"2015-09-03",77.02,78,76.58,77.16,1562681
"2015-09-10",78.99,79.3,78.01,79.04,3589986
"2015-09-17",81.4,82.3,80.92,81.11,2166254
"2015-09-24",75.51,76.09,74.73,75.69,2171146
"2015-10-01",77.23,77.97,76.67,77.33,1896826
"2015-10-08",80.94,83.17,80.94,82.98,1720650
"2015-10-15",78.98,79.59,77.94,79.46,1442210
"2015-10-22",79.25,81.49,79.21,80.52,1852680
"2015-10-29",81.32,82.16,80.77,81.09,2172365
"2015-11-05",80.43,81.02,79.76,80.15,1731583
"2015-11-12",87.98,90,87.46,88.75,2586455
"2015-11-19",92,97.9,90.87,96.85,5418184
"2015-12-03",92.02,93.99,91.86,93.11,2426372
"2015-12-10",88.32,88.47,87.3,87.68,1840437
"2015-12-17",89.51,89.6,84.91,85.06,2554523
"2015-12-24",86.9,87.33,86.17,86.78,434027
"2015-12-31",84.16,85.18,84.09,84.59,920105
"2016-01-07",78.06,78.83,77.55,78,1900866
"2016-01-14",71.5,73.6,71.46,72.15,1916838
"2016-01-21",70.95,71.3,66.51,70.07,3863946
"2016-01-28",69.92,71.37,69.24,70.11,1396277
"2016-02-04",67.52,69.99,67.52,69.37,2087146
"2016-02-11",71.73,72.22,69.99,71.67,1849727
"2016-02-18",75.67,76.21,74.09,74.83,1049249
"2016-02-25",74.23,74.97,72.64,73.67,977877
"2016-03-03",76.47,78.47,76.47,77,1615222
"2016-03-10",76.86,77.05,74.7,75.76,2232048
"2016-03-17",80.97,82.99,80.29,82.8,1670520
"2016-03-24",82.19,83.92,81.4,83.87,640293
"2016-03-31",84.41,84.41,83.15,83.25,1576079
"2016-04-07",80.69,81.87,79.75,80.1,1652135
"2016-04-14",81.49,82.43,81.2,82.14,1877182
"2016-04-21",83.27,84,82.57,82.63,2005169
"2016-04-28",92.78,93.72,91.75,91.98,1085521
"2016-05-05",89.15,90.24,88.68,88.95,1217788
"2016-05-12",89.22,89.62,87.62,88.18,1313263
"2016-05-19",85.52,85.84,83.67,84.33,1624762
"2016-05-26",83.46,84.28,82.85,83.83,1610131
"2016-06-02",82.6,83.23,82.06,83.17,1003634
"2016-06-09",85.29,85.74,83.82,85.6,1817590
"2016-06-16",83.03,84.5,82.28,84.19,1553904
"2016-06-23",86.93,87.5,86.2,87,1291912
"2016-06-30",84.16,85.13,83.23,85.13,1460775
"2016-07-07",85.02,85.4,83.66,84.04,1452031
"2016-07-14",91.25,92.64,90.85,91.79,2310939
"2016-07-21",91.12,92.16,90.53,91.56,1460808
"2016-07-28",89.75,91.03,88.88,90.02,1525947
"2016-08-04",87.57,88.31,86.88,87.61,1684839
"2016-08-11",88.77,90.24,88.28,89.48,1653520
"2016-08-18",89.83,91.67,89.65,91.67,1580851
"2016-08-25",91.91,92.67,91.85,92.08,1075395
"2016-09-01",94.11,94.25,92.88,93.8,1142560
"2016-09-08",94,94.92,93.24,93.99,1271568
"2016-09-15",90.36,91.94,89.92,91.51,1484700
