"","DOW.Open","DOW.High","DOW.Low","DOW.Close","DOW.Volume"
"2014-09-15",52.7,53.29,52.43,53.04,6785139
"2014-09-22",53.3,53.65,52.75,52.86,8162190
"2014-09-29",53.1,53.63,52.83,53.42,6773783
"2014-10-06",50.97,51.09,50.36,50.5,6390535
"2014-10-13",47.44,47.77,44.77,44.89,22663984
"2014-10-20",46.15,46.74,46.05,46.51,8238494
"2014-10-27",47.55,47.74,46.28,46.49,18949710
"2014-11-03",49.3,49.95,48.98,49.13,8698003
"2014-11-10",49.57,49.84,49.17,49.48,6965010
"2014-11-17",51.39,51.44,50.75,51.12,5915957
"2014-11-24",52.49,52.8,52.1,52.26,10190598
"2014-12-01",48.35,48.98,47.36,48.12,12783599
"2014-12-08",50.07,50.23,48.12,48.38,12484380
"2014-12-15",43.61,43.78,42.85,43.45,15666530
"2014-12-22",46.04,46.2,45.2,45.77,8695303
"2014-12-29",46.06,46.4,45.9,46,5819699
"2015-01-05",45.14,45.24,43.96,44.18,12123306
"2015-01-12",44.38,44.5,43.31,44.15,8210124
"2015-01-26",44.43,44.59,43.92,44.56,11887947
"2015-02-02",45.32,45.67,44.42,45.22,7874912
"2015-02-09",48.21,48.87,48.2,48.26,9200926
"2015-02-23",49.2,49.72,49.11,49.49,7759488
"2015-03-02",49.14,49.45,48.9,49.35,5748478
"2015-03-09",48.05,48.38,47.84,47.93,9569436
"2015-03-16",47,47.09,46.38,47.03,7606906
"2015-03-23",47.27,47.5,47.1,47.23,5442400
"2015-03-30",49,49.25,48.51,48.68,11279684
"2015-04-06",48.22,49.22,48.01,48.68,7493592
"2015-04-13",48.56,48.58,48.19,48.27,5363625
"2015-04-20",49.9,50.2,49.7,50.09,8494193
"2015-04-27",51.4,51.9,51.2,51.47,7514576
"2015-05-04",51.84,51.95,51.6,51.65,4087815
"2015-05-11",51.82,51.98,51.44,51.9,8655278
"2015-05-18",51.51,51.59,50.98,51,4743904
"2015-06-01",52.07,52.34,51.48,52.26,9787523
"2015-06-08",52.1,52.1,51.32,51.4,7461293
"2015-06-15",51.55,51.97,51.18,51.86,5892307
"2015-06-22",53.59,53.77,53.27,53.44,6454905
"2015-06-29",51.85,52.08,50.7,50.79,9687380
"2015-07-06",50.77,51.25,50.39,50.57,7404920
"2015-07-13",51.7,52.13,51.46,51.94,5993165
"2015-07-20",51.11,51.29,50.32,50.52,7067630
"2015-07-27",45.51,46.38,44.94,45.63,12812788
"2015-08-03",46.81,46.87,46.02,46.46,7436048
"2015-08-10",45.98,46.74,45.61,46.64,6858760
"2015-08-17",44.67,45.54,44.28,45.47,6570265
"2015-08-24",39.69,42.04,35.11,40.35,14053789
"2015-08-31",43.62,44.09,42.63,43.76,6881723
"2015-09-14",43.7,43.75,43,43.08,13685863
"2015-09-21",43.7,44.34,43.56,44.02,21411601
"2015-09-28",41.53,41.57,39.91,40.02,28217729
"2015-10-05",44.64,46.53,44.64,46.31,79489230
"2015-10-12",46.93,46.97,46.19,46.6,8885793
"2015-10-19",47.13,47.47,46.93,47.39,4860722
"2015-10-26",50.23,50.75,50.06,50.45,9557594
"2015-11-02",51.57,51.87,51.4,51.59,10727895
"2015-11-09",51.69,51.99,51.38,51.7,7567148
"2015-11-16",50.99,51.77,50.97,51.65,5392486
"2015-11-23",53.17,53.56,52.95,53,6423897
"2015-11-30",52.02,52.63,51.94,52.13,9196521
"2015-12-07",53,53,51.65,52.03,7593361
"2015-12-14",52.44,52.85,50.64,51.29,22023328
"2015-12-21",49.91,50.97,49.4,50.97,19462946
"2015-12-28",52.07,52.28,51.74,52.23,6816054
"2016-01-04",50.27,50.46,49.39,49.93,11914656
"2016-01-11",46.36,46.51,44.8,45.4,10179625
"2016-01-25",42.85,43.28,42.09,42.18,7277321
"2016-02-01",41.58,42.77,41.22,42.58,8338582
"2016-02-08",46.46,46.94,45.2,46.23,13453988
"2016-02-22",47.57,48.34,47.51,47.89,7733489
"2016-02-29",48.63,49.74,48.51,48.61,8417025
"2016-03-07",49.96,50.44,49.49,49.76,10612597
"2016-03-14",50.21,50.67,50.16,50.28,3848776
"2016-03-21",51.51,51.7,50.66,51.54,7100875
"2016-03-28",51.67,51.86,51.46,51.56,5063845
"2016-04-04",50.87,51.23,50.69,51.07,4838721
"2016-04-11",50.94,51.24,50.64,50.76,3559213
"2016-04-18",52.05,52.55,51.77,52.54,7482561
"2016-04-25",52.41,52.54,51.64,52.54,7139827
"2016-05-02",52.88,52.96,52.35,52.65,10936776
"2016-05-09",51.05,51.15,50.69,50.84,3936151
"2016-05-16",50.63,51.63,50.6,51.6,5105704
"2016-05-23",51.26,52.56,51.17,52.26,7328646
"2016-06-06",53.3,53.88,53.28,53.63,9329269
"2016-06-13",53.02,53.33,52.6,52.69,5514218
"2016-06-20",53.3,53.94,53.07,53.07,9536238
"2016-06-27",51.06,51.27,49.52,49.97,12262515
"2016-07-11",49.51,50.24,49.45,49.85,5669146
"2016-07-18",52.05,52.74,51.79,52.6,3926096
"2016-07-25",52.96,53.32,52.74,53.27,4217568
"2016-08-01",53.78,54,53.33,53.65,10120841
"2016-08-08",53.46,53.86,53.45,53.6,4994692
"2016-08-15",52.3,53.12,52.26,52.79,5850196
"2016-08-22",53.31,53.59,53.02,53.5,3320699
"2016-08-29",53.71,54.41,53.71,54.13,5084552
"2016-09-12",53,53.11,52.23,52.91,7228361
