"","MTB.Open","MTB.High","MTB.Low","MTB.Close","MTB.Volume"
"2014-07-17",122.81,123.92,121.59,121.91,1108474
"2014-07-24",122.76,123.8,122.44,123.57,743644
"2014-07-31",122.22,122.5,121.19,121.5,857588
"2014-08-07",120.1,120.37,118.56,118.82,481524
"2014-08-14",120.21,120.65,119.9,120.1,283843
"2014-08-21",121.51,123.52,121.31,123.29,543605
"2014-08-28",122.66,123.02,121.88,122.66,326482
"2014-09-04",123.6,124.99,123.34,124.09,355299
"2014-09-11",124.69,125.9,124.06,125.74,531181
"2014-09-18",126.37,127.75,126.37,127.14,578799
"2014-09-25",125.69,125.69,123.86,124.14,448551
"2014-10-02",122.28,122.69,121.25,122.21,1059709
"2014-10-09",123.51,123.51,121,121.01,608261
"2014-10-16",114.11,116.62,113.76,116.16,1105662
"2014-10-23",116.33,116.53,115.3,115.56,884812
"2014-10-30",119.46,122.84,118.44,119.6,885795
"2014-11-06",123.09,124.43,122.54,124.43,686419
"2014-11-13",125.56,126,124.9,125.36,411526
"2014-11-20",123.92,124.86,123.7,124.81,512579
"2014-12-04",127.04,127.8,126.32,127.38,650620
"2014-12-11",124.13,125.22,123.73,123.98,753717
"2014-12-18",123.35,124.39,123.19,124.34,951216
"2015-01-08",120.09,121.62,119.59,121.29,753072
"2015-01-15",114.87,116.43,113.68,114.38,1020664
"2015-01-22",112.78,117.53,112.69,117.13,968724
"2015-01-29",113.62,115.49,113.27,115.4,680583
"2015-02-05",118.97,119.62,118.82,119.46,770025
"2015-02-12",120.95,123.41,120.83,123.38,793499
"2015-02-19",121.63,121.99,120.34,121.21,709682
"2015-02-26",120.86,121.46,120.56,121.35,951495
"2015-03-05",122.64,123.27,121.55,123.22,724811
"2015-03-12",122.31,125.76,122.31,125.64,947974
"2015-03-19",126.44,126.97,125.24,126.46,662546
"2015-03-26",123.33,124.55,122.43,124.11,689560
"2015-04-02",126.15,127.52,125.37,127.21,604812
"2015-04-09",124.2,124.89,123.79,124.7,1698796
"2015-04-16",123.8,123.96,122.96,123.21,807758
"2015-04-23",120.17,120.63,119.61,120.19,570001
"2015-04-30",120.01,120.88,119.18,119.67,846605
"2015-05-07",120.93,121.05,119.6,120.18,704686
"2015-05-14",122.94,122.98,121.89,122.8,737452
"2015-05-21",123.13,123.93,122.93,123.61,493637
"2015-05-28",121.54,121.98,121,121.79,667416
"2015-06-04",121.92,122.96,121.62,122,978113
"2015-06-11",126.48,127,125.86,126.21,498254
"2015-06-18",125.77,126.96,124.94,126.57,814027
"2015-06-25",128.12,128.45,127.01,127.3,562258
"2015-07-02",126.95,127.54,125.27,125.91,426922
"2015-07-09",124.7,125.11,123.43,124.19,490150
"2015-07-16",127.11,131.11,126.12,130.81,1140141
"2015-07-23",133.63,134,132.06,132.27,489697
"2015-07-30",132,132.73,131.59,132.22,426825
"2015-08-06",132.46,132.46,131.17,131.62,490319
"2015-08-13",129.28,129.8,128.66,129.52,491983
"2015-08-20",128.01,129.31,125.44,125.44,877204
"2015-08-27",119.32,121.14,118.48,120.67,813384
"2015-09-03",115.53,118.69,115.49,118.26,1483944
"2015-09-10",120.03,121.39,119.8,120.4,591707
"2015-09-17",122.14,123.89,119.59,120.38,972045
"2015-09-24",116.62,119.88,115.57,119.05,1487606
"2015-10-01",121.62,122.2,116.27,117.15,3192005
"2015-10-08",118.87,120.6,118.48,120.2,985142
"2015-10-15",117.03,119.38,116.55,119.31,1529006
"2015-10-22",115.98,119.4,115.98,118.8,2264879
"2015-10-29",125.36,126.16,122.78,123.02,1973823
"2015-11-05",119.57,121.31,119.5,120.6,934244
"2015-11-12",123.79,124.6,123.39,124.05,1771243
"2015-11-19",125.42,126.12,124.42,125.43,693071
"2015-12-03",125.52,125.88,122.44,122.79,946256
"2015-12-10",121.28,123.93,120.69,122.65,873372
"2015-12-17",126.99,127.39,124.66,124.74,1063080
"2015-12-24",122.89,124,122.57,123.33,510743
"2015-12-31",121.8,122.9,121.18,121.18,797079
"2016-01-07",113.98,114.57,111.9,112.48,982437
"2016-01-14",107.05,107.98,105.42,107.21,1148570
"2016-01-21",104.72,104.95,101.82,102.24,1675455
"2016-01-28",107.93,109.6,106.91,108.2,1678319
"2016-02-04",105.9,109.56,105.88,108.19,1008677
"2016-02-11",102.42,103.79,100.08,100.78,1718362
"2016-02-18",108.98,108.99,105.28,106.16,1513042
"2016-02-25",105.16,106.11,103.44,105.29,1962475
"2016-03-03",108.61,109.87,107.66,109.85,973804
"2016-03-10",109.07,109.23,106.05,107.79,952488
"2016-03-17",110.28,111.39,108.79,111.08,744427
"2016-03-24",111.06,111.26,109.75,111.25,619752
"2016-03-31",111.59,112.36,110.84,111,713409
"2016-04-07",109.78,110.12,107.01,107.81,774286
"2016-04-14",115.18,117.83,115.1,116.22,835442
"2016-04-21",119.37,120.16,118.2,118.3,856472
"2016-04-28",119.14,120.61,118.67,119.14,961051
"2016-05-05",114.33,115.14,113.56,114.22,656940
"2016-05-12",116.14,116.88,114.37,115.11,431290
"2016-05-19",115.88,117.09,114.24,115.82,662655
"2016-05-26",118.88,119.36,117.84,118.47,462963
"2016-06-02",118.74,120.12,118.38,120.08,800895
"2016-06-09",118.74,118.74,117.04,118.37,652588
"2016-06-16",115.11,116.24,114.25,116.1,661210
"2016-06-23",118.93,120.79,118.93,120.42,776795
"2016-06-30",115.21,118.24,114.41,118.23,1346744
"2016-07-07",115.86,115.86,113.28,114.2,625942
"2016-07-14",120.16,120.34,118.78,119.46,780021
"2016-07-21",113.36,114.45,112.26,112.73,1045913
"2016-07-28",114.49,115.42,113.78,114.83,808979
"2016-08-04",113.72,114.75,113.35,113.97,855351
"2016-08-11",116.84,117.42,116.43,116.79,588020
"2016-08-18",117.58,117.9,117.1,117.9,448938
"2016-08-25",117.27,117.82,116.85,117.45,846058
"2016-09-01",118.68,118.92,116.09,117.32,774554
"2016-09-08",116.13,116.92,115.72,116.21,1465791
"2016-09-15",115.28,116.04,115.02,115.65,643376
