"","MTB.Open","MTB.High","MTB.Low","MTB.Close","MTB.Volume"
"2011-09-15",73.8,74.64,73.45,74.63,935733
"2011-09-22",66.89,68.64,66.41,67.9,1703451
"2011-09-29",71.84,72.9,70.07,72.05,986035
"2011-10-06",69.98,72.96,69.25,72.88,850507
"2011-10-13",75.09,76.72,73.27,75.89,1334143
"2011-10-20",73.64,74.26,71.41,73.48,1650638
"2011-10-27",79.22,80.02,77.21,79.24,1375908
"2011-11-03",74.23,74.28,71.5,73.13,2364734
"2011-11-10",71.63,72.57,71.01,72.37,1296541
"2011-11-17",71.86,73.17,70.75,71.08,816128
"2011-12-01",72.86,73.32,71.93,72.91,985375
"2011-12-08",74.02,74.21,71.73,71.96,1221987
"2011-12-15",72.4,72.44,71.38,71.74,729901
"2011-12-22",75.84,76.89,75.64,76.54,694805
"2011-12-29",76.19,76.98,75.91,76.94,372303
"2012-01-05",77.62,79.44,77.14,79.23,768505
"2012-01-12",80.95,81.6,79.75,81.45,1013120
"2012-01-19",81.52,81.9,80.54,81.79,698130
"2012-01-26",82.5,82.5,79.16,80.14,707194
"2012-02-02",80.45,80.98,79.93,80.55,357744
"2012-02-09",81.94,82.04,80.56,80.81,483873
"2012-02-16",81,82,80.67,81.87,619425
"2012-02-23",80.79,82.23,80.45,82.11,442168
"2012-03-01",81.23,81.69,80.78,81.23,631674
"2012-03-08",80.47,80.86,79.86,80.67,342719
"2012-03-15",83.4,85,82.95,84.95,558134
"2012-03-22",84.82,85.35,84.34,84.99,602080
"2012-03-29",86.62,86.78,85.59,86.57,486858
"2012-04-05",85.91,86.99,85.89,86.88,590683
"2012-04-12",85.2,86.38,85.08,86.33,444130
"2012-04-19",87.25,87.67,86.33,86.95,996837
"2012-04-26",86.91,87.5,86.49,87.36,462922
"2012-05-03",86.69,87.02,85.66,85.98,455663
"2012-05-10",85.64,86.24,84.92,85.23,516375
"2012-05-17",82.5,82.57,81.22,81.23,625236
"2012-05-24",81.89,81.91,80.86,81.25,1051105
"2012-05-31",80.92,82.08,80.31,81.32,657085
"2012-06-07",79.67,80.32,78.9,79.1,708653
"2012-06-14",79.15,80.31,78.98,80.27,642800
"2012-06-21",81.97,82.42,79.9,79.99,453908
"2012-06-28",80.5,81.01,79.44,80.84,481545
"2012-07-05",84.12,84.74,83.46,83.83,481964
"2012-07-12",83.33,83.33,82.29,82.37,661955
"2012-07-19",86.93,87.25,85.98,86.62,534552
"2012-07-26",85.8,86.11,85.14,85.62,412153
"2012-08-02",84.87,84.98,83.54,84.51,405341
"2012-08-09",86.59,87.08,86.28,86.8,274134
"2012-08-16",86.64,86.97,86.37,86.84,214858
"2012-08-23",86.45,86.61,85.38,85.5,282307
"2012-08-30",87.7,87.85,86.63,87,1664581
"2012-09-06",88.68,90.02,88.67,89.85,1071434
"2012-09-13",92.48,94.38,91.49,93.72,1635389
"2012-09-20",93.35,94.42,93.03,94.34,948270
"2012-09-27",94.67,94.84,93.71,94.43,633081
"2012-10-04",97.03,98.14,96.88,98.08,898422
"2012-10-11",99.02,99.15,98.24,98.39,632539
"2012-10-18",102.55,105.33,101.53,104.88,1606683
"2012-10-25",105.01,105.2,103.8,104.21,676182
"2012-11-01",104.26,104.71,103.27,104.51,1150480
"2012-11-08",101.15,101.68,100.18,100.18,698027
"2012-11-15",96.25,96.89,95.77,96.41,1229482
"2012-11-29",98.44,98.44,97.02,97.26,663581
"2012-12-06",96.33,97.48,96.15,97.34,934035
"2012-12-13",98.66,99.18,97.76,98.25,718628
"2012-12-20",100.62,101.42,100.47,101.13,654113
"2012-12-27",99.04,99.12,97,98.26,576712
"2013-01-03",100.95,101.27,100.18,101.13,726942
"2013-01-10",103.44,103.83,102.79,103.54,681874
"2013-01-17",103.11,103.51,102.64,103.33,1067273
"2013-01-24",104.2,104.92,103.74,104.02,532928
"2013-01-31",102.86,102.98,101.83,102.69,1128599
"2013-02-07",103.66,104.33,102.98,103.79,498695
"2013-02-14",104.51,104.92,104.03,104.6,793970
"2013-02-21",104.44,104.79,102.97,103.09,646968
"2013-02-28",101.77,102.77,101.55,102.09,741665
"2013-03-07",103.95,104.12,103.45,103.96,604475
"2013-03-14",104.42,104.77,104.24,104.67,395679
"2013-03-21",102.8,103.26,102.49,102.68,547468
"2013-03-28",103.42,103.69,100.76,103.16,710707
"2013-04-04",101.13,102,100.95,101.61,528707
"2013-04-11",104.47,105.25,104.35,104.92,629423
"2013-04-18",96.62,97.96,95.68,97.57,1261475
"2013-04-25",100.18,100.5,99.84,100.09,755093
"2013-05-02",99.71,101.15,99.46,100.42,717253
"2013-05-09",103.17,103.49,102.73,103.07,472692
"2013-05-16",105.03,105.64,104.34,104.69,602878
"2013-05-23",103.89,104.9,103.76,104.26,465870
"2013-05-30",105.8,106.47,105.11,106.01,438914
"2013-06-06",102.3,102.78,100.67,102.68,1030636
"2013-06-13",102.08,103.65,101.57,103.56,552205
"2013-06-20",102.9,104.92,102.38,104.3,1071126
"2013-06-27",110.21,111.78,110.19,111.5,974260
"2013-07-11",118.54,118.54,116.09,116.85,725805
"2013-07-18",117.39,119.54,115.03,119.3,1500877
"2013-07-25",118.2,118.64,117.22,117.72,670237
"2013-08-01",118.09,119.17,117.87,119.12,651844
"2013-08-08",117.84,118.73,117.03,118,433835
"2013-08-15",116.84,117.34,116.4,116.74,623630
"2013-08-22",116.42,119.19,116.4,118.75,658687
"2013-08-29",113.44,114.42,113,113.81,397043
"2013-09-05",115.45,116.49,115.35,115.91,491331
"2013-09-12",112.91,112.99,111.56,111.71,634549
"2013-09-19",113.62,114.06,111.39,112.6,1005347
"2013-09-26",111.1,112.09,110.98,112.04,813680
"2013-10-03",111.14,111.75,110.45,111.11,644211
"2013-10-10",111.66,113.13,111.62,113.02,877859
"2013-10-17",115.03,115.34,111.75,112.62,2118157
"2013-10-24",113.6,114.03,112.06,112.34,1184640
"2013-10-31",114.26,114.29,112.53,112.53,953439
"2013-11-07",112.39,112.95,111.07,111.14,374352
"2013-11-14",112,112.74,111.52,112.51,658947
"2013-11-21",114.39,115.91,114.29,115.37,602700
"2013-12-05",113.23,113.71,112.61,112.73,925164
"2013-12-12",113.78,114.54,113.32,114,759168
"2013-12-19",114.05,114.07,113.06,113.73,1590055
"2013-12-26",115.89,116.51,114.93,115.92,740797
"2014-01-02",116.38,116.4,114.86,115.06,1069011
"2014-01-09",116.38,116.85,115.99,116.52,1795766
"2014-01-16",114.94,115.28,113.79,114.67,1090819
"2014-01-23",112.11,112.38,111.31,111.85,1290921
"2014-01-30",112.19,113.03,111.76,112.8,692060
"2014-02-06",111.5,112.49,111.35,112.42,567144
"2014-02-13",112.59,113.54,111.7,113.36,822838
"2014-02-20",112.45,113.1,111.3,112.43,710062
"2014-02-27",115.01,115.68,113.99,115.68,791554
"2014-03-06",117.73,119.3,117.73,118.91,730728
"2014-03-13",118.86,119,116.88,117.3,700635
"2014-03-20",117.89,121.07,117.47,120.96,1175051
"2014-03-27",120.77,121.3,119.44,119.56,1056916
"2014-04-03",121.3,121.91,120.9,121.84,541430
"2014-04-10",121.33,121.49,118.44,118.46,1124076
"2014-04-17",121.5,121.93,120.8,121.54,700623
"2014-04-24",124,124.16,122.4,122.91,878752
"2014-05-01",122.23,122.43,121.18,121.49,557008
"2014-05-08",120.85,121.59,120.38,120.92,531700
"2014-05-15",119,119.42,117.15,118.72,744501
"2014-05-22",120.04,120.77,119.89,120.77,868803
"2014-05-29",121,121.42,120.08,120.64,996652
"2014-06-05",122.22,123.27,121.63,123.24,499464
"2014-06-12",123.52,124.03,122.84,122.9,689312
"2014-06-19",123.92,123.92,122.78,123.62,618804
"2014-06-26",123.86,124.24,122.97,123.82,497896
"2014-07-03",124.2,125.14,124.03,124.94,388088
"2014-07-10",121.5,122.17,120.97,121.69,672941
