"","SPGI.Open","SPGI.High","SPGI.Low","SPGI.Close","SPGI.Volume"
"2011-09-15",44.03,44.78,43.58,44.56,3012357
"2011-09-22",41.95,42.93,41.75,42.64,3306097
"2011-09-29",43.75,43.8,41.9,42.31,2976472
"2011-10-06",40.9,41.93,40.45,41.92,1661820
"2011-10-13",43.73,44.41,43.62,44.22,925076
"2011-10-20",42.47,43.17,41.73,42.91,2630938
"2011-10-27",44.45,44.84,43.32,44.31,4815863
"2011-11-03",42.42,42.52,41.83,42.05,2136989
"2011-11-10",42.25,43,42.09,42.3,1877139
"2011-11-17",43.25,43.74,42.66,42.86,1817976
"2011-12-01",42.5,43.16,42.44,42.8,1138557
"2011-12-08",42,42.72,41.89,41.89,4475361
"2011-12-15",42.59,42.87,42.38,42.47,1714296
"2011-12-22",43.83,44.47,43.8,44.36,1101894
"2011-12-29",44.69,45.43,44.69,45.35,1057861
"2012-01-05",45.03,46,44.78,45.94,1156157
"2012-01-12",46.36,46.61,45.61,46.02,1328002
"2012-01-19",46.15,46.66,45.36,46.39,2709262
"2012-01-26",47.45,47.6,46.7,46.85,1293095
"2012-02-02",45.91,46.15,45.74,46.01,1790007
"2012-02-09",45.85,46.12,45.51,45.73,2252292
"2012-02-16",45.49,46.42,45.44,46.14,1718061
"2012-02-23",45.6,46,45.19,45.97,1855133
"2012-03-01",46.58,46.8,46.2,46.56,2011585
"2012-03-08",46.02,46.47,45.88,46.33,1277764
"2012-03-15",46.99,47.02,46.67,47.02,1527986
"2012-03-22",47.15,47.17,46.17,46.41,2058320
"2012-03-29",46.82,47.63,46.8,47.58,1509059
"2012-04-05",48.54,49,48.54,48.99,1801402
"2012-04-12",48.29,49.05,48.16,49.03,1813720
"2012-04-19",49.57,49.66,48.88,49.27,1575424
"2012-04-26",47.95,48.88,47.71,48.81,1724165
"2012-05-03",49.2,49.46,48.69,49.25,1875814
"2012-05-10",47.56,47.72,47.29,47.4,892910
"2012-05-17",45.95,45.96,44.61,44.61,1844385
"2012-05-24",44.92,44.98,44.43,44.76,1079924
"2012-05-31",43.54,43.75,43.28,43.38,4065750
"2012-06-07",43.97,44.15,43.6,43.79,1786560
"2012-06-14",42.83,42.94,42.37,42.5,2102827
"2012-06-21",43.61,43.69,42.74,42.77,876540
"2012-06-28",43.78,44.03,43.23,43.59,1577742
"2012-07-05",45.6,46.26,45.42,45.98,1015185
"2012-07-12",44.35,44.77,44.19,44.54,812715
"2012-07-19",47.86,48.05,47.33,47.48,1741329
"2012-07-26",46.05,47.36,45.97,46.14,3836991
"2012-08-02",46.3,47.53,46.25,46.84,2525036
"2012-08-09",49.01,49.22,48.6,48.71,1496444
"2012-08-16",49.07,49.2,48.77,49.12,2469182
"2012-08-23",49.53,49.65,49.31,49.51,1778674
"2012-08-30",50.56,51.06,50.47,51.05,2056059
"2012-09-06",52.19,52.86,52.06,52.86,1966274
"2012-09-13",53.41,53.98,52.88,53.83,1575440
"2012-09-20",53.32,54.41,53.2,54.41,2390593
"2012-09-27",54.3,55.19,54.3,54.81,2042371
"2012-10-04",55.08,55.63,54.91,55.23,1779268
"2012-10-11",55.96,56,55.47,55.47,907056
"2012-10-18",55.85,55.95,55.54,55.8,2071571
"2012-10-25",55.06,55.19,54.47,54.91,958386
"2012-11-01",55.63,56.7,55.45,56.5,2318955
"2012-11-08",51.84,52.04,51.08,51.11,2680737
"2012-11-15",50.36,50.88,49.88,50.15,1112384
"2012-11-29",51.68,51.84,51.26,51.71,4057623
"2012-12-06",53.56,54.31,53.52,54.27,1340603
"2012-12-13",56.13,56.5,54.7,54.94,6748338
"2012-12-20",54.58,54.93,54.49,54.9,2840380
"2012-12-27",53.77,54.07,53.23,53.61,1070495
"2013-01-03",55.75,55.75,55.08,55.28,1131340
"2013-01-10",54.92,54.92,54.25,54.3,2132285
"2013-01-17",53.96,54.32,53.91,54,2355055
"2013-01-24",55.56,56.97,55.56,56.94,2602673
"2013-01-31",57.11,57.86,57.11,57.52,6010104
"2013-02-07",44.5,44.99,43.3,43.81,9580679
"2013-02-14",44.14,45,44.07,44.86,5003102
"2013-02-21",45.61,46.2,45.2,45.85,3500961
"2013-02-28",46.51,46.95,46.19,46.55,2853013
"2013-03-07",47.89,48.44,47.62,47.73,1601120
"2013-03-14",49.43,49.68,48.62,48.87,1751303
"2013-03-21",48.23,48.91,48.14,48.59,1343690
"2013-03-28",50.51,52.38,50.33,52.08,3289065
"2013-04-04",51.12,52.03,51.02,51.37,1535687
"2013-04-11",51.99,52.08,51.62,51.82,2111816
"2013-04-18",51.83,51.88,51.07,51.48,1619033
"2013-04-25",51.2,52.01,50.98,51.55,1909889
"2013-05-02",54.21,54.23,53.59,53.85,1354217
"2013-05-09",54.79,55.16,54.59,54.74,1299953
"2013-05-16",55.55,55.95,55.4,55.5,1135886
"2013-05-23",54.53,54.7,53.85,54.03,1300745
"2013-05-30",54.32,55.39,54.14,55.21,1560135
"2013-06-06",53.68,54.37,53.55,54.07,2256816
"2013-06-13",54.37,55.13,54.16,55.07,1295229
"2013-06-20",54.87,55.84,52.67,54.57,2180087
"2013-06-27",53.68,53.69,52.91,53.27,1723732
"2013-07-11",56.46,57.61,56.32,57.56,1401934
"2013-07-18",57.57,57.98,57.46,57.95,947593
"2013-07-25",55.72,61.32,55.72,60.1,2685263
"2013-08-01",62.2,62.98,61.88,62.61,1407981
"2013-08-08",63.68,63.68,62.14,62.95,1326495
"2013-08-15",60.96,61.35,60.06,60.3,1221681
"2013-08-22",59.35,60.22,58.83,60.01,963630
"2013-08-29",59.06,59.06,58.41,58.61,929151
"2013-09-05",59.75,60.16,59.5,59.85,1046343
"2013-09-12",62.45,62.45,61.5,62.03,928361
