"","FOXA.Open","FOXA.High","FOXA.Low","FOXA.Close","FOXA.Volume"
"2011-09-15",16.32,16.49,16.27,16.38,33837496
"2011-09-22",15.74,16.04,15.35,15.6,38114808
"2011-09-29",16.19,16.4,15.65,15.93,23854711
"2011-10-06",15.96,15.99,15.71,15.97,20752277
"2011-10-13",16.92,17.23,16.78,17.12,13440169
"2011-10-20",16.75,17.01,16.46,16.85,22673008
"2011-10-27",17.27,17.98,17.24,17.84,36306961
"2011-11-03",17.44,17.47,16.73,16.88,48116372
"2011-11-10",16.7,16.9,16.37,16.82,16569681
"2011-11-17",16.76,16.94,16.51,16.61,22075829
"2011-12-01",17.53,17.69,17.33,17.56,16024686
"2011-12-08",17.64,17.65,17.12,17.15,17691534
"2011-12-15",17.38,17.41,17.02,17.05,17172347
"2011-12-22",17.38,17.47,17.2,17.36,12179692
"2011-12-29",17.7,17.9,17.56,17.87,16024965
"2012-01-05",18.21,18.52,18.01,18.49,18364445
"2012-01-12",18.87,18.96,18.68,18.89,12236634
"2012-01-19",19.32,19.74,19.28,19.73,19027042
"2012-01-26",18.94,18.99,18.69,18.82,22025641
"2012-02-02",19.2,19.26,18.77,18.94,15674242
"2012-02-09",19.45,19.64,19.08,19.21,33784809
"2012-02-16",18.92,19.12,18.78,19.01,20175290
"2012-02-23",19.32,19.67,19.23,19.65,14823642
"2012-03-01",19.89,20.03,19.78,19.97,15289776
"2012-03-08",19.54,19.73,19.44,19.6,9569546
"2012-03-15",20.26,20.38,20.03,20.19,21115281
"2012-03-22",19.78,19.89,19.66,19.72,11074110
"2012-03-29",19.54,19.6,19.31,19.44,22631074
"2012-04-05",19.31,19.54,19.16,19.49,17296391
"2012-04-12",18.98,19.36,18.91,19.34,14023142
"2012-04-19",19.18,19.25,18.86,18.89,19133447
"2012-04-26",19.23,19.72,19.14,19.61,17723794
"2012-05-03",19.77,19.89,19.63,19.71,12288839
"2012-05-10",20,20.62,19.98,20.32,33547403
"2012-05-17",19.69,19.79,19.46,19.46,16532353
"2012-05-24",19.19,19.52,19.12,19.38,14478688
"2012-05-31",19.36,19.45,19.12,19.2,21288164
"2012-06-07",19.6,19.74,19.24,19.29,13457662
"2012-06-14",19.56,20,19.51,19.86,19518719
"2012-06-21",20.49,20.61,20.13,20.16,12999766
"2012-06-28",22.07,22.23,21.78,21.99,42497297
"2012-07-05",22.45,22.63,22.28,22.44,15145480
"2012-07-12",21.55,21.77,21.28,21.56,17994972
"2012-07-19",22.58,22.84,22.37,22.4,13842458
"2012-07-26",22.51,22.72,22.36,22.59,12002154
"2012-08-02",22.8,23.25,22.67,23.14,16607281
"2012-08-09",23.25,24.05,23.25,23.67,30717300
"2012-08-16",23.42,23.57,23.31,23.51,12439599
"2012-08-23",23.4,23.48,23.12,23.31,12088045
