"","DHR.Open","DHR.High","DHR.Low","DHR.Close","DHR.Volume"
"2014-04-03",75.56,75.91,75.08,75.84,2167394
"2014-04-10",75.64,75.65,74.1,74.13,2420305
"2014-04-17",73,73.44,72.29,72.85,7798168
"2014-04-24",73.71,73.91,73.36,73.66,2788499
"2014-05-01",73.38,74.03,73.26,73.61,3608254
"2014-05-08",72.78,73.82,72.6,73.27,2853084
"2014-05-15",74.88,75.08,74.25,74.97,3047426
"2014-05-22",77.33,78.5,76.71,78.03,6782589
"2014-05-29",78.68,78.84,78.13,78.55,2376852
"2014-06-05",78.44,79.85,77.93,79.5,2955221
"2014-06-12",79.73,80.31,79.71,80.13,2675321
"2014-06-19",80.51,80.74,79.97,80.1,3294715
"2014-06-26",79.42,79.63,78.68,79.1,1988538
"2014-07-03",79.26,79.67,79.09,79.45,2066404
"2014-07-10",77.64,78.33,77.48,78,2258676
"2014-07-17",75.71,75.8,73.99,74.07,10008322
"2014-07-24",75.72,76.19,75.25,75.97,3311213
"2014-07-31",73.75,74.05,73.29,73.88,5066523
"2014-08-07",74.4,74.76,73.79,73.96,2863905
"2014-08-14",74.54,74.9,74.4,74.88,2571280
"2014-08-21",77.24,77.51,76.92,77.45,1770100
"2014-08-28",76.35,76.5,75.98,76.33,1942813
"2014-09-04",76.64,76.94,76.03,76.24,2262886
"2014-09-11",76.67,77.33,76.55,77.28,1650271
"2014-09-18",78.8,79.43,78.71,79.36,2832964
"2014-09-25",77.39,77.48,75.63,75.64,3806175
"2014-10-02",74.52,74.79,73.83,74.43,4595547
"2014-10-09",74.67,74.67,72.74,72.77,4224728
"2014-10-16",71.77,74.54,71.21,74.19,6907916
"2014-10-23",76.53,77.82,76.4,77.36,3242069
"2014-10-30",78.98,79.89,78.74,79.71,1996541
"2014-11-06",80.97,81.3,80.49,81.26,1614419
"2014-11-13",82.33,82.59,81.99,82.4,4515818
"2014-11-20",81.93,82.65,81.56,82.51,1632985
"2014-12-04",84.44,84.68,84.02,84.58,2020173
"2014-12-11",83.36,84.77,83.11,83.95,2788231
"2014-12-18",85.1,86,84.73,86,3342838
"2015-01-08",85.6,86.28,85.52,86.11,2959997
"2015-01-15",83.46,83.6,82.01,82.03,4193127
"2015-01-22",83.98,84.55,83.16,84.5,3882856
"2015-01-29",83.35,83.98,82.21,83.93,2725652
"2015-02-05",84.86,85.6,84.78,85.48,2026439
"2015-02-12",85.91,86.64,85.79,86.6,2043420
"2015-02-19",87.02,87.5,86.99,87.24,2209800
"2015-02-26",87.13,88.1,87.02,87.81,2151373
"2015-03-05",86.32,86.56,85.96,86.34,2264939
"2015-03-12",84.57,85.74,84.55,85.56,2332929
"2015-03-19",87.1,87.54,86.55,87.01,2604902
"2015-03-26",84.25,84.95,83.88,84.32,2610077
"2015-04-02",84.08,84.53,83.59,84.19,1974503
"2015-04-09",85.09,85.59,84.91,85.46,1643677
"2015-04-16",85.23,85.78,85.1,85.44,2894316
"2015-04-23",84.56,85.14,83.65,84.69,7629430
"2015-04-30",82.7,82.83,81.59,81.88,2940207
"2015-05-07",82.27,83.47,82.22,83.19,3754672
"2015-05-14",87.98,88.36,87.41,87.84,9568624
"2015-05-21",86.99,87.28,86.67,86.9,3815084
"2015-05-28",87.35,87.5,86.78,87.32,3152760
"2015-06-04",86.56,86.9,85.61,85.8,2747791
"2015-06-11",86.25,86.4,85.75,85.93,2292605
"2015-06-18",84.97,86.43,84.78,85.95,3461519
"2015-06-25",85.72,85.8,84.89,85.43,2548713
"2015-07-02",86.52,86.93,86.28,86.8,3782179
"2015-07-09",86.61,86.87,85.72,85.74,5154886
"2015-07-16",88.68,88.85,88,88.7,4356812
"2015-07-23",89,89.64,88.22,89.05,7150715
"2015-07-30",90.53,92.04,90.53,91.86,4618352
"2015-08-06",92.33,92.64,91.3,91.57,1659714
"2015-08-13",90.38,90.81,89.93,90.43,2101538
"2015-08-20",89.99,90.2,88.66,88.76,3449837
"2015-08-27",87.38,88.73,86.88,88.46,3903744
"2015-09-03",86.95,87.6,86.45,86.88,2998369
"2015-09-10",86.34,86.74,85.67,86.05,3445861
"2015-09-17",89.21,89.41,87.92,88.13,3425080
"2015-09-24",85.09,85.21,84.11,85.02,3680764
"2015-10-01",85.27,85.75,84.13,85.33,3331017
"2015-10-08",88.2,89.04,87.97,88.89,3220835
"2015-10-15",88.47,89.14,87.97,89.06,2093185
"2015-10-22",88.49,94.61,88.09,93.98,7117615
"2015-10-29",92.27,93.15,91.8,93.04,2327105
"2015-11-05",95.9,96.28,95.55,95.64,2868542
"2015-11-12",94.6,95.55,94.06,94.09,2126964
"2015-11-19",96.79,97.35,96.6,96.95,3253730
"2015-12-03",95.98,96.31,94.23,94.55,3290779
"2015-12-10",94.63,95.44,94.31,94.65,2282477
"2015-12-17",94.65,94.84,91.87,91.89,3519891
"2015-12-24",93.44,93.89,93.37,93.4,660662
"2015-12-31",92.91,93.68,92.74,92.88,1739511
"2016-01-07",89.29,90,88.16,88.45,4510314
"2016-01-14",86.57,87.8,85.81,87.31,3054453
"2016-01-21",84.59,85.07,83.85,84.43,3847672
"2016-01-28",84.78,85.08,84,84.47,3570280
"2016-02-04",84.86,86.7,84.81,86.45,3053981
"2016-02-11",83.61,84.64,82.86,83.59,2837228
"2016-02-18",86.61,87.19,86.48,86.67,1712661
"2016-02-25",87.2,88.28,86.92,88.26,2124815
"2016-03-03",90.86,91.14,90.27,90.83,2628478
"2016-03-10",89.17,89.57,88.32,89.21,2816902
"2016-03-17",91.4,93.83,91.24,93.55,4153726
"2016-03-24",94.42,94.84,94.12,94.78,2987521
"2016-03-31",95.16,95.2,94.64,94.86,2153370
"2016-04-07",93,93.5,92.45,93.28,2491588
"2016-04-14",94.63,94.82,94.03,94.05,1703279
"2016-04-21",95.56,97.46,94.95,95.99,3715355
"2016-04-28",96.6,97.52,96.15,96.35,2289824
"2016-05-05",96.37,96.55,95.78,96.11,2145423
"2016-05-12",98.04,98.36,97.38,98.12,1866283
"2016-05-19",97.76,98.18,97.03,97.97,2841595
"2016-05-26",99.7,99.96,99.01,99.2,1571819
"2016-06-02",98.08,98.72,97.82,98.64,1643777
"2016-06-09",99.96,100.49,99.75,100.39,1780529
"2016-06-16",97.82,99.26,97.66,99.07,2062093
"2016-06-23",99.89,100.44,99.54,100.44,2343924
"2016-06-30",100.22,101,100.18,101,4369150
"2016-07-07",81.09,81.26,80.04,80.7,4150913
"2016-07-14",81.72,81.8,80.66,80.88,2916325
"2016-07-21",81.39,81.74,81.08,81.29,3560030
"2016-07-28",81.1,81.35,80.74,81.18,2755724
"2016-08-04",81,81.34,80.8,81.12,1934805
"2016-08-11",81.29,81.76,81.25,81.54,1649104
"2016-08-18",80.91,80.99,79.86,80.56,2644714
"2016-08-25",80.42,80.68,80.32,80.52,1766400
"2016-09-01",81.55,81.85,81.26,81.44,2336583
"2016-09-08",79.15,79.27,78.74,79,3085250
"2016-09-15",76.62,77.26,76.23,76.8,4506541
