"","DHR.Open","DHR.High","DHR.Low","DHR.Close","DHR.Volume"
"2011-09-15",46,46.55,45.55,46.34,5010416
"2011-09-22",43.35,43.41,41.99,42.72,7156339
"2011-09-29",43.61,43.91,42.63,43.53,4458277
"2011-10-06",41.73,42.69,41.33,42.66,4788565
"2011-10-13",44.72,45,43.89,44.85,2995545
"2011-10-20",44.39,45.79,44.13,45.29,4340940
"2011-10-27",49.16,50.17,48.97,49.67,4449603
"2011-11-03",49.2,49.21,48.43,49.04,4886213
"2011-11-10",48.67,49.15,48.3,48.59,4068564
"2011-11-17",47.98,48.13,46.54,47.04,4009249
"2011-12-01",48.43,49,48.26,48.41,2648929
"2011-12-08",46.95,47.05,45.77,45.91,3398437
"2011-12-15",46.42,46.8,46.05,46.18,4120165
"2011-12-22",47.19,47.54,46.84,46.98,4134958
"2011-12-29",46.86,47.54,46.83,47.48,1681722
"2012-01-05",47.99,48.63,47.5,48.59,3456482
"2012-01-12",50.5,50.9,50.24,50.8,2769897
"2012-01-19",51.78,51.79,51.28,51.52,2056713
"2012-01-26",53.13,53.19,52.42,52.64,3345830
"2012-02-02",53,53.36,52.58,52.65,2763683
"2012-02-09",52.12,52.47,51.92,52.31,4872374
"2012-02-16",51.25,52.46,51.06,52.39,3165240
"2012-02-23",53.15,53.61,52.74,53.48,2889883
"2012-03-01",52.86,53.28,52.57,52.88,2728223
"2012-03-08",52.98,53.24,52.81,53.01,1749788
"2012-03-15",54.51,54.97,54.28,54.95,1788292
"2012-03-22",54.17,54.64,53.62,54.45,3032237
"2012-03-29",54.24,55.14,54.16,55.03,2435223
"2012-04-05",54.94,55.38,54.9,55.12,2389202
"2012-04-12",53.89,54.72,53.83,54.49,2119663
"2012-04-19",53.27,54.18,52.54,53,6178291
"2012-04-26",53.27,54.17,53.23,54.11,2280555
"2012-05-03",54.53,54.59,53.79,53.91,1418587
"2012-05-10",54.34,54.55,53.59,53.73,3119425
"2012-05-17",52.44,52.58,51.88,51.88,3334267
"2012-05-24",52.86,53.09,52.48,52.83,2438665
"2012-05-31",52.13,52.32,51.32,51.97,3987080
"2012-06-07",51.99,52.31,51.02,51.12,3724308
"2012-06-14",50.95,51.56,50.81,51.41,2454388
"2012-06-21",52.74,52.76,51.13,51.21,3052437
"2012-06-28",50.12,50.29,49.18,49.93,3286097
"2012-07-05",52.52,52.7,52.19,52.35,1960480
"2012-07-12",49.95,49.98,49.28,49.53,3548187
"2012-07-19",50.98,51.3,49.8,51.12,7569897
"2012-07-26",52.07,52.59,51.56,52.05,3271151
"2012-08-02",52.75,53.11,52.2,52.83,4659398
"2012-08-09",53.12,53.25,52.94,52.98,1701639
"2012-08-16",53.49,53.62,53.1,53.39,3765771
"2012-08-23",53.54,53.88,53.09,53.16,2578445
"2012-08-30",52.93,53.31,52.9,52.99,1842969
"2012-09-06",53.3,54.5,53.28,54.47,2154473
"2012-09-13",54.54,55.66,54.34,55.41,2512227
"2012-09-20",55.07,55.17,54.6,55.02,2933138
"2012-09-27",55.08,55.74,54.75,55.45,3732961
"2012-10-04",56.67,56.86,56.17,56.55,1996763
"2012-10-11",55.61,56.53,55.44,55.93,2862918
"2012-10-18",53.4,54,52.55,53.45,13835887
"2012-10-25",50.7,52.53,50.63,52.25,12596767
"2012-11-01",52,52.42,51.94,52.3,6511306
"2012-11-08",52,52.27,51.85,51.87,3881166
"2012-11-15",51.4,51.71,51.32,51.58,3879265
"2012-11-29",53.12,53.77,53,53.64,3811100
"2012-12-06",53.13,53.39,52.89,53.07,2746438
"2012-12-13",54.58,55.21,54.33,54.89,4066086
"2012-12-20",55.81,56.58,55.76,56.5,3208277
"2012-12-27",55.57,55.99,55.16,55.78,1832201
"2013-01-03",57.36,58.39,57.36,58.03,5079632
"2013-01-10",59.96,59.99,59.26,59.99,2905465
"2013-01-17",60.39,60.98,60.02,60.71,2759825
"2013-01-24",60.51,61.14,60.41,60.5,2881130
"2013-01-31",59.83,60.24,59.63,59.93,3451145
"2013-02-07",60.58,60.63,59.86,60.17,2464937
"2013-02-14",60.78,61.36,60.52,61.16,2789573
"2013-02-21",60.71,61.2,60.59,60.99,2733441
"2013-02-28",61.4,61.99,61.13,61.6,2567953
"2013-03-07",61.9,62,61.41,61.42,2049542
"2013-03-14",62.25,62.6,62.22,62.6,1800669
"2013-03-21",61.07,61.7,60.99,61.19,2286019
"2013-03-28",61.84,62.23,61.59,62.15,2548107
"2013-04-04",61.17,61.46,60.62,60.75,3274797
"2013-04-11",61.75,62.12,61.55,61.94,2368825
"2013-04-18",57.96,58.56,57.61,58.05,9090720
"2013-04-25",60.05,60.92,59.83,60.44,2620719
"2013-05-02",60.33,60.65,60.1,60.46,2494407
"2013-05-09",61.61,62.12,61.45,61.74,2008275
"2013-05-16",61.76,62.85,61.74,62.27,4665027
"2013-05-23",62.31,62.71,62.18,62.39,2822608
"2013-05-30",62.42,62.9,62.09,62.5,2098290
"2013-06-06",60.5,60.6,59.65,60.43,4640144
"2013-06-13",61.42,62.68,61.17,62.48,2248300
"2013-06-20",62.99,63.23,62.1,62.26,3270545
"2013-06-27",63.77,63.9,63.09,63.64,2531966
"2013-07-11",68.58,69,67.8,68.35,4258184
"2013-07-18",68,68.68,66.83,67.75,5498028
"2013-07-25",67.15,67.43,66.83,67.28,3102199
"2013-08-01",67.82,68.2,67.64,67.64,2788583
"2013-08-08",67.8,67.98,67.23,67.33,2041171
"2013-08-15",66.44,67.09,65.88,66.51,2419244
"2013-08-22",66.4,67.54,66.26,67.29,1675850
"2013-08-29",65.09,66.21,64.78,65.61,1289605
"2013-09-05",66.94,67.42,66.67,67.22,1388476
"2013-09-12",69.32,69.55,69.05,69.45,2498391
"2013-09-19",70.78,70.94,70.22,70.28,3978987
"2013-09-26",69.62,70.14,69.36,69.77,1718093
"2013-10-03",68.83,68.98,67.49,67.99,2547428
"2013-10-10",67.91,69.04,67.82,68.98,2700532
"2013-10-17",71.01,72.59,70.38,72.31,5891754
"2013-10-24",71.95,72.24,71.52,72.05,1993092
"2013-10-31",72.28,72.57,71.81,72.09,1464707
"2013-11-07",73.06,73.28,71.7,71.81,1772203
"2013-11-14",74.19,74.94,74.01,74.44,2912136
"2013-11-21",74.2,74.4,73.89,74.33,1807013
"2013-12-05",73.24,74.05,73.04,73.64,1902351
"2013-12-12",72.88,74.6,72.88,74.25,3969015
"2013-12-19",76.54,76.66,75.98,76.58,2415864
"2013-12-26",77,77.06,76.76,76.92,1912755
"2014-01-02",76.66,77.01,76.1,76.45,2010443
"2014-01-09",77.12,77.56,76.58,77.48,3084613
"2014-01-16",78.21,78.64,78.04,78.53,2517599
"2014-01-23",77.2,77.36,76.7,77.11,1823710
"2014-01-30",75.44,75.68,74.85,75.3,3309416
"2014-02-06",72.3,73.73,72.14,73.71,2980373
"2014-02-13",74.92,76.32,74.78,76.22,2407084
"2014-02-20",75.49,76.33,75.04,76.11,2379436
"2014-02-27",76.36,77.13,76.33,77.03,2558074
"2014-03-06",76.57,77.09,76.44,76.88,2290921
"2014-03-13",76.18,76.2,74.31,74.43,2489911
"2014-03-20",74.3,74.98,74.04,74.75,1583406
"2014-03-27",73.11,73.74,72.95,73.44,3396623
