"","HAS.Open","HAS.High","HAS.Low","HAS.Close","HAS.Volume"
"2013-10-24",50.18,51.05,50.15,50.57,995013
"2013-10-31",52.14,52.74,51.65,51.65,1410545
"2013-11-07",51.7,52.16,50.42,50.6,1840434
"2013-11-14",52.75,53,52.42,52.74,915066
"2013-11-21",52.15,52.25,51.59,52.1,888491
"2013-12-05",52.11,52.58,51.41,52.37,2764640
"2013-12-12",51.42,51.85,51.37,51.48,938079
"2013-12-19",52.1,52.97,52.1,52.27,1662364
"2013-12-26",53.46,54.24,53.19,54.16,1066544
"2014-01-02",54.89,55.18,54.56,54.58,2326340
"2014-01-09",53.83,53.89,52.66,52.98,1750201
"2014-01-16",51.98,52.5,51.86,52.35,927303
"2014-01-23",52.35,52.35,51.46,51.86,913427
"2014-01-30",51,51.35,50.83,51.24,1074610
"2014-02-06",49.04,49.94,48.98,49.66,2096246
"2014-02-13",51.86,53.03,51.65,52.92,1148755
"2014-02-20",54.04,54.46,53.81,54.27,1646725
"2014-02-27",54.96,55.18,54.73,55.03,1282526
"2014-03-06",54.98,55.32,54.81,55.08,866375
"2014-03-13",54.81,55.19,54.28,54.64,1456990
"2014-03-20",54.54,55.07,54.47,54.93,808301
"2014-03-27",54.62,54.64,54.02,54.51,933136
"2014-04-03",56.21,56.41,55.6,55.77,890291
"2014-04-10",55.02,55.17,54.23,54.3,1128082
"2014-04-17",53.91,55.05,53.72,54.61,1999820
"2014-04-24",55.11,55.39,54.75,54.95,891779
"2014-05-01",55.14,55.94,55.14,55.66,711968
"2014-05-08",55.28,55.65,55.01,55.27,753286
"2014-05-15",54.98,55,53.58,54.04,1573361
"2014-05-22",53.65,53.96,53.59,53.7,664958
"2014-05-29",53.31,53.52,53.02,53.35,921690
"2014-06-05",52.29,52.49,51.83,52.45,911534
"2014-06-12",52.75,52.89,52.35,52.46,1229193
"2014-06-19",52.43,52.72,51.96,52.44,929695
"2014-06-26",53.05,53.09,52.25,52.85,638327
"2014-07-03",53.68,54.28,53.68,54.12,507895
"2014-07-10",53.47,54.17,53.47,53.73,1156805
"2014-07-17",51.8,52.99,51.66,52.92,2574102
"2014-07-24",51.15,51.82,51.13,51.8,981509
"2014-07-31",50.47,50.78,49.87,49.95,828311
"2014-08-07",50.68,50.68,49.59,49.68,754405
"2014-08-14",50.4,51.15,50.4,51.01,823335
"2014-08-21",52.29,52.7,52.2,52.6,940207
"2014-08-28",52.12,52.37,51.76,52.12,528438
"2014-09-04",53.34,53.92,53.11,53.85,1158166
"2014-09-11",53.61,54.05,53.61,53.89,900097
"2014-09-18",53.96,53.99,53.57,53.91,406648
"2014-09-25",54.92,55.37,54.32,54.65,988255
"2014-10-02",54.78,55.34,54.54,55.26,739826
"2014-10-09",55.51,55.96,54.81,54.85,748374
"2014-10-16",54.03,54.32,52.74,54.21,1763033
"2014-10-23",57.43,57.82,57.3,57.48,1179150
"2014-10-30",56.97,57.52,56.74,57.18,911611
"2014-11-06",57.99,58.41,57.64,58.12,1041438
"2014-11-13",56.09,56.1,54.15,54.98,3957678
"2014-11-20",56,56.66,55.95,56.51,1119576
"2014-12-04",56.98,57.24,56.64,56.75,1716626
"2014-12-11",55.63,56.82,55.63,56.3,672981
"2014-12-18",58.06,58.37,57.58,58.36,1075832
"2015-01-08",54.94,55.02,53.75,55,1794438
"2015-01-15",52.27,52.46,51.77,51.96,1288813
"2015-01-22",53.21,54.03,52.76,53.84,1140654
"2015-01-29",55.06,55.9,55,55.77,1301669
"2015-02-05",56.55,56.78,55.89,56.13,1030086
"2015-02-12",61.48,62.33,61.39,62.16,940872
"2015-02-19",62.26,62.41,61.5,61.78,1948632
"2015-02-26",62,62.6,61.83,62.5,607942
"2015-03-05",62.62,62.85,62.14,62.43,782657
"2015-03-12",61.18,61.89,60.88,61.7,1182895
"2015-03-19",61.21,61.5,60.65,61.1,1308959
"2015-03-26",60.25,60.83,59.74,60.56,1012705
"2015-04-02",63.68,63.88,62.92,63.45,997287
"2015-04-09",64.14,64.28,63.75,64.21,461305
"2015-04-16",64.81,66.32,64.17,66.05,1593491
"2015-04-23",71.76,72.33,71.61,71.71,2025853
"2015-04-30",70.32,70.95,69.91,70.79,1319411
"2015-05-07",70.77,71.49,70.73,71.12,1178063
"2015-05-14",70.61,72,70.24,71.97,828881
"2015-05-21",71.93,72.74,71.9,72.55,583123
"2015-05-28",72.35,72.81,72.02,72.45,412843
"2015-06-04",72.59,73.06,72.05,72.19,807477
"2015-06-11",72.8,73.48,72.78,73.27,894287
"2015-06-18",74.84,75.81,74.62,75.49,786247
"2015-06-25",78.58,78.91,78.05,78.42,1023204
"2015-07-02",75.57,75.97,74.84,75.92,1399765
"2015-07-09",77.44,77.68,75.85,75.94,1589455
"2015-07-16",78.36,78.99,78.01,78.42,1064161
"2015-07-23",79.92,80.27,79.05,79.28,1025976
"2015-07-30",80.13,80.34,79.52,79.99,1034407
"2015-08-06",79.46,79.59,76.9,76.93,1588857
"2015-08-13",79.65,80.88,79.43,80.55,766000
"2015-08-20",78.67,79.93,77.84,77.86,806207
"2015-08-27",73.49,75.4,72.68,75.14,1177086
"2015-09-03",76,77.45,75.55,76.86,1808088
"2015-09-10",75.2,76.67,75.01,76.03,734299
"2015-09-17",79.09,79.86,77.3,77.51,1622920
"2015-09-24",75.03,75.52,73.29,74.65,931778
"2015-10-01",72.49,72.8,70.74,71.68,1632125
"2015-10-08",72.93,74.77,72.81,73.8,1316450
"2015-10-15",74,75.36,73.83,75.33,1179749
"2015-10-22",74.36,76.78,74.29,76.76,2125086
"2015-10-29",77.44,77.83,76.92,77.75,646251
"2015-11-05",77.39,77.87,76.42,77.06,585155
"2015-11-12",78.79,79.64,77.56,77.85,1171860
"2015-11-19",75.68,77,75.22,75.6,1361717
"2015-12-03",72.99,73.15,69.69,70.41,3110146
"2015-12-10",68.7,68.84,68.09,68.22,1626061
"2015-12-17",69.15,69.21,66.33,66.39,1962796
"2015-12-24",67.11,68.09,67,67.62,417222
"2015-12-31",67.37,67.86,67.22,67.36,892746
"2016-01-07",68.5,70.3,68.03,69.12,1808056
"2016-01-14",68.95,70.72,68.3,70.2,1346329
"2016-01-21",69.89,72.31,69.16,71.95,1345228
"2016-01-28",72.07,72.65,70.63,72.35,954226
"2016-02-04",74.58,78.45,73.86,75.9,4595021
"2016-02-11",69.81,70.89,68.92,69.56,1673492
"2016-02-18",72.17,73.09,71.84,72.27,1513565
"2016-02-25",75.68,76.21,74.66,76.13,867293
"2016-03-03",79.19,79.4,78.41,78.89,967770
"2016-03-10",78.48,78.75,77.5,77.94,1045850
"2016-03-17",78.33,79.21,77.83,78.61,1015637
"2016-03-24",77.63,77.98,77.11,77.3,1002119
"2016-03-31",78.55,80.33,78.55,80.1,1970162
"2016-04-07",78.99,79.52,77.63,78.46,1158659
"2016-04-14",81.85,81.96,81.17,81.33,651249
"2016-04-21",86,87.15,85.67,86.8,1196737
"2016-04-28",86.23,86.96,85.07,85.32,860557
"2016-05-05",84.29,84.41,83.36,83.55,1195037
"2016-05-12",84.49,85.41,84.35,85.3,694305
"2016-05-19",84.52,85.13,83.8,84.87,493554
"2016-05-26",86.96,87.31,86.26,86.75,499828
"2016-06-02",86.64,87.12,86.1,86.73,681799
"2016-06-09",86.73,87.16,85.7,87.07,525288
"2016-06-16",85.49,86.25,84.59,85.89,710567
"2016-06-23",86.64,86.66,85.53,86.2,1234443
"2016-06-30",82.74,84.13,82.58,83.99,2309475
"2016-07-07",83.24,83.81,82.43,83.11,1300977
"2016-07-14",86.06,86.15,85.19,85.26,664880
"2016-07-21",81.59,81.78,80.46,80.94,1288943
"2016-07-28",80.43,81.09,80.2,80.99,991869
"2016-08-04",80.57,81.33,80.46,80.57,695108
"2016-08-11",82.21,82.92,81.94,82.85,675219
"2016-08-18",80.97,81.19,80.5,80.67,662907
"2016-08-25",80.92,81.16,80.58,80.82,435082
"2016-09-01",81.43,81.92,80.78,81.62,553805
"2016-09-08",82.58,82.68,81.27,81.3,781610
"2016-09-15",77.7,78.17,77.2,77.75,990278
