"","HAS.Open","HAS.High","HAS.Low","HAS.Close","HAS.Volume"
"2011-09-15",37.19,37.3,36.03,36.15,2142771
"2011-09-22",33.77,34.38,33.21,34.21,3069853
"2011-09-29",34.13,34.44,33.46,34.03,2065878
"2011-10-06",33.64,33.66,33.19,33.51,1464238
"2011-10-13",34.67,35.13,34.27,34.34,1907650
"2011-10-20",34.29,35.05,34.28,34.95,1671612
"2011-10-27",38.05,39.2,37.96,38.79,2619128
"2011-11-03",38.75,39.02,37.95,38.94,1605242
"2011-11-10",36.76,37.16,36.21,36.75,1692453
"2011-11-17",36.34,36.36,35.29,35.42,1260770
"2011-12-01",35.91,36.09,35.35,35.4,1181200
"2011-12-08",36.85,37.32,36.37,36.42,1446336
"2011-12-15",34,34.43,33.36,34.3,1860562
"2011-12-22",33.05,33.14,32.12,32.16,2137651
"2011-12-29",31.83,32.17,31.72,32.04,915127
"2012-01-05",32.48,32.94,32.4,32.64,2872907
"2012-01-12",33.38,33.4,32.69,33.09,1782926
"2012-01-19",33.2,33.23,32.29,32.75,3774704
"2012-01-26",35.2,35.4,34.73,34.9,1857195
"2012-02-02",35,35.45,34.87,35.14,1874317
"2012-02-09",35.99,36.87,35.78,36.59,3057173
"2012-02-16",35.56,36.09,35.38,35.93,1570685
"2012-02-23",34.5,35.24,34.5,35.1,1299663
"2012-03-01",35.66,35.71,35.23,35.4,1301305
"2012-03-08",34.94,34.95,34.42,34.86,1074631
"2012-03-15",35.6,35.71,34.78,35.51,1046269
"2012-03-22",35.49,35.98,35.47,35.93,803091
"2012-03-29",37.14,37.28,36.92,37.14,1816730
"2012-04-05",36.8,37.1,36.75,37,889832
"2012-04-12",36,36.47,36,36.26,906546
"2012-04-19",36.39,36.48,35.69,35.78,1544146
"2012-04-26",35.87,36.59,35.55,36.49,2807272
"2012-05-03",37,37.24,36.74,36.98,1094429
"2012-05-10",35.71,35.87,35.2,35.48,1369702
"2012-05-17",36.16,36.29,34.73,34.73,1220758
"2012-05-24",34.35,34.89,34.2,34.59,3236644
"2012-05-31",35.33,35.73,35.08,35.42,2153708
"2012-06-07",35.29,35.47,34.79,34.87,940047
"2012-06-14",34,34.34,33.82,34.06,1847503
"2012-06-21",34.74,34.9,33.84,33.95,1470483
"2012-06-28",32.18,33.12,32,33.03,2182986
"2012-07-05",33.96,34.49,33.8,34.37,1122251
"2012-07-12",33.28,33.4,32.82,32.88,1524960
"2012-07-19",33.5,33.88,33.24,33.72,3251895
"2012-07-26",35.1,35.42,34.75,35.33,1391101
"2012-08-02",35.65,35.72,35.01,35.36,1335188
"2012-08-09",37.06,38.31,36.93,37.37,1650319
"2012-08-16",37.78,38.31,37.66,38.24,1396609
"2012-08-23",37.65,37.73,37.14,37.29,934523
"2012-08-30",37.46,37.59,37.02,37.4,1179068
"2012-09-06",37.33,38.15,37.33,37.95,1148200
"2012-09-13",38.9,39.2,38.53,39.07,1013890
"2012-09-20",38.38,38.5,37.9,38.2,1047707
"2012-09-27",37.5,37.7,37.31,37.66,793841
"2012-10-04",37.67,38,37.29,37.46,1105434
"2012-10-11",37.69,38.03,37.51,37.81,800103
"2012-10-18",39.13,39.3,38.72,39.05,1409875
"2012-10-25",37.22,37.44,36.54,36.57,1647040
"2012-11-01",36.84,36.84,35.86,36.33,2617852
"2012-11-08",37.03,37.58,36.93,37.25,1718459
"2012-11-15",36.4,36.76,36.07,36.34,1162953
"2012-11-29",38.49,38.86,38.08,38.6,976617
"2012-12-06",37.01,37.33,36.99,37.22,1013155
"2012-12-13",37.48,37.87,37.04,37.2,1010903
"2012-12-20",36.76,36.84,36.13,36.6,1273397
"2012-12-27",35.44,35.64,34.91,35.56,1182693
"2013-01-03",35.61,36.18,35.5,36.12,2271035
"2013-01-10",35.98,37.35,35.68,37.07,5557755
"2013-01-17",37.88,38.3,37.61,37.94,1746910
"2013-01-24",38.2,38.73,38.17,38.45,1873806
"2013-01-31",37.21,37.43,37.03,37.37,1749614
"2013-02-07",38.99,38.99,37.91,38.72,1808040
"2013-02-14",40.24,40.95,40.22,40.88,2161961
"2013-02-21",41.62,41.62,40.75,41.12,1639702
"2013-02-28",40.43,40.68,40,40.02,1494528
"2013-03-07",40.91,41.47,40.89,41.06,930258
"2013-03-14",42,42.32,41.78,42.23,910248
"2013-03-21",42.19,43.08,42.02,42.89,1152438
"2013-03-28",43.82,44,43.61,43.94,992982
"2013-04-04",43.23,43.69,42.98,43.46,1034743
"2013-04-11",44.83,45.54,44.72,45.06,1456707
"2013-04-18",43.71,44.57,43.46,44.34,1346566
"2013-04-25",47.42,48.4,47.26,47.76,1290400
"2013-05-02",47.05,47.55,46.72,46.81,1240046
"2013-05-09",47.7,47.89,47.42,47.59,1011482
"2013-05-16",47.63,47.88,47.14,47.21,1060011
"2013-05-23",47.06,47.21,46.5,46.97,1353687
"2013-05-30",44.39,45.12,44.29,44.83,1239894
"2013-06-06",44.17,44.26,43.46,44.18,1231535
"2013-06-13",43.89,44.44,43.73,44.32,800860
"2013-06-20",44.45,44.55,43.73,43.81,1117423
"2013-06-27",44.25,44.74,44.16,44.63,772436
"2013-07-11",47.56,47.6,46.74,47.28,1065590
"2013-07-18",46.2,46.55,46.06,46.48,1448652
"2013-07-25",47,47.37,46.91,47.1,914426
"2013-08-01",46.08,47.06,46,46.96,1585003
"2013-08-08",46.24,46.4,46.07,46.33,630601
"2013-08-15",45.21,45.33,44.76,45.04,690017
"2013-08-22",44.87,45.6,44.69,45.26,449915
"2013-08-29",45.43,45.94,45.4,45.63,948408
"2013-09-05",46.86,47.59,46.73,47.56,1634380
"2013-09-12",47.04,47.16,46.46,46.5,1327994
"2013-09-19",48.73,49.45,48.68,49.3,957063
"2013-09-26",48.36,48.36,47.4,47.67,932673
"2013-10-03",47.11,47.44,46.68,46.97,1027792
"2013-10-10",46.35,46.65,46.2,46.3,803887
"2013-10-17",45.75,46.85,45.75,46.83,1499046
