"","RL.Open","RL.High","RL.Low","RL.Close","RL.Volume"
"2011-09-15",144.1,148.54,143.63,147.86,1871277
"2011-09-22",140.99,145.1,137.82,143.7,3154355
"2011-09-29",145.7,145.93,134,139.8,1925957
"2011-10-06",135,141.69,134.81,141.29,1712718
"2011-10-13",143.34,146.29,143.32,145.75,644381
"2011-10-20",142.78,146.7,141.39,145.28,1116224
"2011-10-27",158.7,161.43,156.28,158.85,1494201
"2011-11-03",157.62,158.75,150.02,157.39,2412989
"2011-11-10",152.1,153.47,148.31,151.22,1201382
"2011-11-17",151.9,152.59,146.84,148.22,1490432
"2011-12-01",140.89,143.99,139.83,143.32,1590943
"2011-12-08",148.55,150,145.65,146.34,807898
"2011-12-15",140,140.92,137.57,140.11,761549
"2011-12-22",136.92,137.31,135.35,135.97,464135
"2011-12-29",138.82,139.46,137.58,138.4,564027
"2012-01-05",141.31,142.55,138,142.16,1059059
"2012-01-12",143.7,144.64,141.29,144.44,860171
"2012-01-19",146.11,147.1,144.81,146.67,1310480
"2012-01-26",151.73,152.94,149.13,150.28,609299
"2012-02-02",153.17,156,152.45,153,667624
"2012-02-09",171.6,175.98,168.2,172.54,2000897
"2012-02-16",173.99,176.47,173.05,174.43,881735
"2012-02-23",171.71,173.85,171.52,173.24,688812
"2012-03-01",174.87,178.31,174.77,177.91,706008
"2012-03-08",172.84,174.7,172.15,173.78,662493
"2012-03-15",177.74,178.72,176.31,178.05,622049
"2012-03-22",174.48,176.73,174.34,175.5,600885
"2012-03-29",174.14,175.1,172.6,174.75,481586
"2012-04-05",173.91,179,173.91,178.06,763265
"2012-04-12",170.88,173.16,170.11,171.8,656566
"2012-04-19",173.43,173.64,169.29,169.35,794538
"2012-04-26",167.5,171.47,166.4,171.12,550443
"2012-05-03",176.7,177.76,174.02,174.45,571322
"2012-05-10",161.54,162.29,158.18,158.47,876773
"2012-05-17",149.97,150.31,144.12,144.3,1756182
"2012-05-24",152,152.5,146.81,148.68,1335105
"2012-05-31",148.5,149.5,146.28,148.8,1103462
"2012-06-07",146.36,146.83,142.92,144.27,728283
"2012-06-14",140.4,143.26,139.82,142.72,1968175
"2012-06-21",147.93,149.45,142.82,143.3,1364319
"2012-06-28",136.58,137.14,134.48,136.6,2221041
"2012-07-05",143.9,149.53,143.9,147.59,1661522
"2012-07-12",137.14,137.86,134.29,136.87,1147971
"2012-07-19",145.18,154.14,145.18,152.26,1661007
"2012-07-26",146.45,148.4,143.63,147.54,1152230
"2012-08-02",141.23,142.15,136.59,140.12,1588193
"2012-08-09",148.45,150.6,148.27,148.43,983556
