"","RL.Open","RL.High","RL.Low","RL.Close","RL.Volume"
"2012-08-16",152.9,153.53,151.49,152.4,814075
"2012-08-23",156.76,157.27,155.54,156.48,964685
"2012-08-30",158.15,159.99,157.8,157.84,536817
"2012-09-06",156.21,158.92,154.64,158.85,647741
"2012-09-13",158.68,160.66,156.5,160.21,1127620
"2012-09-20",153.89,158.27,153.12,155.47,672969
"2012-09-27",151.86,153.43,149.75,151.97,810302
"2012-10-04",154.53,158.85,153.97,158.02,1025389
"2012-10-11",158.74,159.33,155.2,155.54,956023
"2012-10-18",162.88,165.41,162.05,164.2,614169
"2012-10-25",155.6,156.32,152.56,153.75,854008
"2012-11-01",155,159.46,153.19,159.04,1099878
"2012-11-08",155.87,155.87,150.27,150.3,789357
"2012-11-15",149.56,151.22,148.62,149.85,714802
"2012-11-29",162.5,162.5,159.14,160.4,958069
"2012-12-06",152.25,154.05,151.23,153.76,635739
"2012-12-13",150.73,152.03,148.49,148.77,569849
"2012-12-20",153.19,153.19,149.04,151.36,724460
"2012-12-27",145.74,149.09,145.64,148.34,1063815
"2013-01-03",152.75,158.68,152.75,157.21,1618628
"2013-01-10",163.74,167.99,163.18,167.48,1140850
"2013-01-17",167.07,168.55,165.02,168.06,770914
"2013-01-24",164.56,165.89,163.79,165.38,738126
"2013-01-31",165.4,166.94,163.76,166.48,1413727
"2013-02-07",174.14,178.1,173.16,178.06,1681727
"2013-02-14",175.32,175.41,173.23,174.86,835246
"2013-02-21",172.49,173.06,170.11,170.62,567099
"2013-02-28",173.09,174.79,172.11,173.47,503058
"2013-03-07",177.81,178.69,176.78,177.18,603035
"2013-03-14",173.66,174.22,172.61,173.16,671724
"2013-03-21",169.15,170.71,168.23,168.59,644150
"2013-03-28",169.27,169.6,167.91,169.31,558707
"2013-04-04",168.7,169.64,168.31,169.62,313138
"2013-04-11",172.99,175.94,172.51,174.99,426301
"2013-04-18",168.95,169.05,166.34,167.35,381355
"2013-04-25",171.88,176.08,171.88,175.38,501335
"2013-05-02",179.17,179.75,176.64,177.54,544574
"2013-05-09",184.97,186.63,183.31,183.62,612681
"2013-05-16",186.5,187.09,183.33,184.8,758106
"2013-05-23",179.99,184.49,177.81,183.69,1439380
"2013-05-30",177.52,178.51,175.26,175.57,961139
"2013-06-06",173.14,174.94,172.56,174.59,394548
"2013-06-13",173.26,174.94,172.75,174.43,569026
"2013-06-20",176.44,176.61,169.73,170.33,757687
"2013-06-27",171.73,174.19,171.06,173.65,490553
"2013-07-11",181.95,183.44,181.43,183.24,668815
"2013-07-18",178.53,180,178.22,179.98,1125231
"2013-07-25",179.13,181.15,178.98,179.26,782929
"2013-08-01",183.85,187.6,182.86,186.99,637041
"2013-08-08",174.16,179.2,173.11,177.7,1546270
"2013-08-15",174.99,175.55,173.57,174.44,678792
"2013-08-22",172.24,173.43,171.6,172.36,390826
"2013-08-29",165.55,167.11,165.5,166.14,398828
"2013-09-05",166.04,167.49,165.46,166,680694
"2013-09-12",163.63,164.16,162.22,163.06,1233346
"2013-09-19",168.1,169.35,167.9,168.31,725659
"2013-09-26",164.07,166.04,163.66,165.53,734143
"2013-10-03",164.15,166.22,163.25,164.48,851337
"2013-10-10",165.38,165.38,163.4,163.64,717850
"2013-10-17",158.47,162,157.01,161.68,1354284
"2013-10-24",164.16,165.14,163.97,164.7,418579
"2013-10-31",166.33,166.92,164.92,165.64,571457
"2013-11-07",180.25,181.07,172.43,172.81,2559211
"2013-11-14",175.4,176.7,174.8,176.67,830965
"2013-11-21",172.42,172.93,170.8,171.98,663811
"2013-12-05",172.89,173.84,172.02,173.5,613215
"2013-12-12",170.59,173.39,169.86,173.02,921182
"2013-12-19",178.37,178.37,175.02,175.14,651865
"2013-12-26",176.36,176.78,175.42,175.97,274165
"2014-01-02",175.44,176.88,174.93,175.37,750575
"2014-01-09",173.25,173.26,170.46,172.88,649857
"2014-01-16",166.15,166.39,162.92,163.31,1753073
"2014-01-23",159,159.59,158.07,158.65,1075873
"2014-01-30",157.2,159.49,157.06,158.23,927180
"2014-02-06",150.02,154.33,149.67,152.23,2158377
"2014-02-13",154.05,156.5,153.45,156.15,1253323
"2014-02-20",157.12,159.13,157.12,157.66,961326
"2014-02-27",160.15,161.81,159.91,161.79,2940643
"2014-03-06",161.63,162.26,160.69,162.16,1054755
"2014-03-13",162.94,163.35,158.79,159.41,898931
"2014-03-20",161.12,161.63,159.21,160.47,637550
"2014-03-27",156.24,158.53,156.24,156.98,762945
"2014-04-03",164.17,164.67,161.99,162.68,654066
"2014-04-10",157.65,158.29,153.75,153.79,784381
"2014-04-17",154.55,156.08,154.14,154.38,642940
"2014-04-24",154.37,154.89,152.25,154.61,888624
"2014-05-01",151.59,153.67,150.38,153.4,1035751
"2014-05-08",152.65,156.39,151.88,151.99,1648178
"2014-05-15",147.1,147.78,145.4,147.47,1087072
"2014-05-22",150.56,152.26,150.38,151.9,661919
"2014-05-29",152.81,153.09,152.1,153.06,474895
"2014-06-05",154.38,154.81,153.03,154.27,1356692
"2014-06-12",152.81,153.35,152.39,152.69,674033
"2014-06-19",156.05,156.5,153.94,154.25,650181
"2014-06-26",155.93,157.27,154.77,157.08,1071975
"2014-07-03",162.02,163.37,162,162.88,415784
"2014-07-10",161.1,161.51,159.8,159.97,662102
"2014-07-17",157.68,158.24,156.89,157.19,533959
"2014-07-24",160.27,161.84,159.74,161.52,423749
"2014-07-31",157.58,158.62,155.64,155.86,809464
"2014-08-07",159.1,159.96,157.51,158.12,1345450
"2014-08-14",162.13,163.34,161.2,163.18,577413
"2014-08-21",169.54,170,168.41,169.27,731738
"2014-08-28",168.45,169.27,167.29,169.05,658727
"2014-09-04",169.75,173.46,169.75,172.46,1096802
"2014-09-11",174.14,174.98,172.88,173.27,676113
"2014-09-18",172.8,173.81,172.24,172.84,567279
"2014-09-25",167.13,167.44,163.85,164.92,1151619
"2014-10-02",163.27,167.34,162.86,167.12,1126217
"2014-10-09",165.22,166.12,162.85,163.04,1043964
"2014-10-16",154.51,159.51,153.5,157.67,793535
"2014-10-23",161.38,163.35,160.86,161.18,727821
"2014-10-30",161.55,166.58,160.97,166.11,952185
"2014-11-06",165.47,171.6,165.31,171.39,872815
"2014-11-13",172.83,174.15,171.51,173.17,746806
"2014-11-20",178.74,182.02,178.11,179.78,1038634
"2014-12-04",182.42,184.66,182.24,183.16,908266
"2014-12-11",180.11,183.35,179.64,180.92,600709
"2014-12-18",181,181.82,179.21,180.59,827801
"2015-01-08",177.7,179.57,177.09,178.57,793597
"2015-01-15",172.83,172.83,169.41,169.46,532479
"2015-01-22",170.23,172.09,169.29,170.83,1208441
"2015-01-29",167.12,170.53,166.78,170.03,764202
"2015-02-05",138.09,143.2,136.5,141.77,4375060
"2015-02-12",135.32,136.2,134.26,135.8,1341561
"2015-02-19",136.05,137.5,135.69,136.97,1175061
"2015-02-26",138.43,139.02,137.21,137.48,758265
"2015-03-05",134.99,135.66,134.14,134.29,634526
"2015-03-12",128.13,130.65,127.6,130.48,1049534
"2015-03-19",132.1,133.44,131.59,132.64,890751
"2015-03-26",131.87,132.7,131.25,131.97,567090
"2015-04-02",132.91,134.81,132.47,134.67,1398034
"2015-04-09",139.33,141.08,139.21,140.26,880823
"2015-04-16",137.78,138.17,136.62,137.32,686857
"2015-04-23",136.91,138.68,136.34,137.37,585191
"2015-04-30",134.01,134.54,132.28,133.41,834370
"2015-05-07",134.23,134.7,133.18,134.08,621788
"2015-05-14",130.26,132.75,127.77,131.69,1625787
"2015-05-21",131.04,131.77,130.71,131.53,879713
"2015-05-28",130.71,132.95,129.99,131.85,1050845
"2015-06-04",135.95,137.89,135.95,137.08,963138
"2015-06-11",135.56,136.32,134.25,135.77,518443
"2015-06-18",135.53,140,135.25,139.5,1230534
"2015-06-25",138.02,138.44,136.11,136.17,625506
"2015-07-02",133.58,135.27,133.32,134.76,639384
"2015-07-09",130.8,131.53,128.78,128.99,621674
"2015-07-16",133.45,134.17,132.68,132.99,500627
"2015-07-23",130.78,130.78,128.59,128.82,389492
"2015-07-30",126.38,127.8,125.88,127.12,548610
"2015-08-06",121.83,122.29,119.62,120.17,2291372
"2015-08-13",118.23,118.7,117.02,117.29,905955
"2015-08-20",114.46,115.48,112.88,112.9,1456797
"2015-08-27",108.63,109.88,107.13,109.18,1135632
"2015-09-03",110.2,111.54,109.05,110.96,922503
"2015-09-10",108.66,110.26,108.59,109.12,631573
"2015-09-17",114.41,116.05,113.49,113.95,1230686
"2015-09-24",109.53,110.63,106.92,109.2,927762
"2015-10-01",117.2,118.25,115.11,116.56,1562704
"2015-10-08",118.64,122.09,117.1,121.25,939589
"2015-10-15",119.23,119.61,115.88,117.29,827718
"2015-10-22",116.29,117.51,115.81,116.68,404131
"2015-10-29",109.42,111.01,108.98,110.33,1193112
"2015-11-05",127,135.22,126.76,130.5,4719408
"2015-11-12",123.88,125.36,121.96,122.13,1347753
"2015-11-19",119.21,123.48,119.21,122.71,1402359
"2015-12-03",124.71,124.82,120.94,122.17,1587725
"2015-12-10",117.94,119.22,115.57,115.85,688957
"2015-12-17",116,116.58,111.97,112.75,1206564
"2015-12-24",114.04,114.79,112.01,113.38,360051
"2015-12-31",112.42,113.67,111.43,111.48,508586
"2016-01-07",106.12,109.55,104.45,104.56,1162194
"2016-01-14",100.62,102.06,98.15,101.04,1140099
"2016-01-21",103.51,108.06,102.08,105.94,1642028
"2016-01-28",110.61,112.82,108.16,109.63,1050445
"2016-02-04",103.27,103.5,88.24,89.95,10817101
"2016-02-11",83.63,85.7,82.15,83.18,1829166
"2016-02-18",89.36,89.82,88.33,88.83,726542
"2016-02-25",90.2,92.25,88.6,91.92,855719
"2016-03-03",94.32,96,94.1,95.77,1120605
"2016-03-10",97.46,98.63,94.79,96.25,916636
"2016-03-17",95.53,97.72,95.53,97.11,928909
"2016-03-24",95.69,95.98,93.79,95.55,594418
"2016-03-31",96.47,97.39,95.36,96.26,978237
"2016-04-07",96.08,96.68,93.74,94.56,938800
"2016-04-14",93.22,93.61,91.82,92.55,881934
"2016-04-21",95.34,95.92,93.81,94.08,906709
"2016-04-28",93.98,96.29,93.79,94.01,956827
"2016-05-05",93.13,93.48,90.94,91,914182
"2016-05-12",89.96,90.13,83.98,86.88,5637909
"2016-05-19",89.19,90.33,87.74,89.16,1435119
"2016-05-26",94.44,94.94,93.7,93.85,887211
"2016-06-02",95.5,96.61,95.28,96.61,872387
"2016-06-09",92.96,96.3,92.5,96.18,1969166
"2016-06-16",94.04,94.24,92.95,94,970504
"2016-06-23",97.51,98.07,96.58,97.25,990781
"2016-06-30",88.9,89.63,88.24,89.62,1192248
"2016-07-07",90.11,92.2,90.11,91.76,1028898
"2016-07-14",99.05,99.72,98.57,98.92,635458
"2016-07-21",100.21,100.93,98.93,99.18,551014
"2016-07-28",99.07,99.1,96.13,96.9,1063749
"2016-08-04",93.21,94.83,92.96,94.27,930658
"2016-08-11",104.88,109.7,104.32,108.7,3011287
"2016-08-18",107.78,108.62,107.68,108.61,577389
"2016-08-25",107.68,108.12,106.56,107.09,542982
"2016-09-01",104.11,104.3,102.31,103.53,589687
"2016-09-08",104.35,104.79,102.41,102.88,687978
"2016-09-15",99.17,100.22,98.68,100.06,517528
