"","SHW.Open","SHW.High","SHW.Low","SHW.Close","SHW.Volume"
"2014-11-20",239.31,242.37,238.88,242.24,412529
"2014-12-04",246.34,249,246.15,247.71,666062
"2014-12-11",250.89,256.16,248.06,254.21,1077619
"2014-12-18",253.57,257.11,253.1,257.11,633280
"2015-01-08",266.02,273.59,265.59,272.58,1079316
"2015-01-15",271.25,273.24,268.33,270.59,722057
"2015-01-22",275.49,277.29,272.77,277.11,595245
"2015-01-29",269.12,275.72,265.14,274.87,711412
"2015-02-05",275.42,278.12,274.78,277.9,536219
"2015-02-12",278.55,283.18,278.55,283.02,476642
"2015-02-19",288.04,289.28,286.1,286.76,374429
"2015-02-26",287.02,289.73,286.36,287.7,559091
"2015-03-05",286.43,289.77,286.12,289.17,689780
"2015-03-12",282.11,286.24,281.04,285.23,515298
"2015-03-19",283.14,285.77,282.36,284.49,858176
"2015-03-26",280.74,280.95,278.28,279.32,708887
"2015-04-02",286.2,287.23,283.17,284.35,706776
"2015-04-09",290.46,292.42,289.69,291.05,631126
"2015-04-16",285.99,287.85,280,283.81,1331325
"2015-04-23",281.25,283.64,280.08,282.36,704419
"2015-04-30",278.05,281.17,277.31,278,1058944
"2015-05-07",278.65,281.94,277.48,281.4,615341
"2015-05-14",288.96,291.74,288.17,291.3,478478
"2015-05-21",288.45,288.73,287.06,287.45,396480
"2015-05-28",288.59,290.27,288.48,289.91,484988
"2015-06-04",285.84,286.37,281.77,282.21,396106
"2015-06-11",283.49,284.82,282.53,282.77,375503
"2015-06-18",281.54,283.9,281.35,283.51,473581
"2015-06-25",282.59,284.03,281.72,282.6,399527
"2015-07-02",282.27,282.39,277.38,277.67,507781
"2015-07-09",284.42,285,277.14,277.41,654502
"2015-07-16",256.07,266.69,250.27,261.23,7164665
"2015-07-23",273.44,273.44,269.55,270.48,737203
"2015-07-30",278.2,279,275.8,277.92,583464
"2015-08-06",273.85,275.49,270.43,271.72,728064
"2015-08-13",273.64,278.81,271.65,276.01,554166
"2015-08-20",279.47,279.82,268.56,268.92,1171341
"2015-08-27",258.45,262.41,255.31,259.37,670356
"2015-09-03",255,258.48,254.52,255.87,558048
"2015-09-10",256.3,258.92,254.91,255.66,649880
"2015-09-17",250.63,257.68,248.8,253.17,1002837
"2015-09-24",230.97,230.97,224.83,227.8,2249710
"2015-10-01",222.76,232.99,220.43,231.92,2226263
"2015-10-08",239.1,244.82,237.71,244.21,731628
"2015-10-15",240.79,241.2,235.8,236.08,1776322
"2015-10-22",240.77,247.43,238.66,246.93,1012716
"2015-10-29",259.97,261.85,249,258.11,2172447
"2015-11-05",271.49,272.19,267.53,268.11,1016345
"2015-11-12",264.41,265.25,261.34,262.09,504278
"2015-11-19",273,275,272.2,272.82,553389
"2015-12-03",274.21,274.35,264.67,266.01,1029574
"2015-12-10",269.22,269.99,266,266.54,497798
"2015-12-17",270.49,271,263.08,263.2,570822
"2015-12-24",266.32,268.44,264.83,265.17,113598
"2015-12-31",261.41,263.5,259.59,259.6,618518
"2016-01-07",243.63,249.09,240.56,241.57,880787
"2016-01-14",243.66,246.51,241.02,243.24,834579
"2016-01-21",245.19,249.88,239.89,245.97,1631401
"2016-01-28",243.35,258.27,243.35,249.66,1993698
"2016-02-04",256.65,260.61,253.88,260.26,823694
"2016-02-11",247.76,250.1,244.72,247.88,729682
"2016-02-18",259.07,259.4,254.35,254.78,673658
"2016-02-25",260.36,265.61,257.49,265.46,807954
"2016-03-03",276.17,277.3,270.36,271.99,915045
"2016-03-10",278.43,283.7,276.52,279.6,896764
"2016-03-17",286.02,287.89,284.36,287.09,824482
"2016-03-24",281.66,283.19,279.85,281.35,624190
"2016-03-31",283.99,285.49,281.63,284.67,720533
"2016-04-07",289.78,293.26,288.81,292.73,1274681
"2016-04-14",296.67,297.38,292.74,294.5,775972
"2016-04-21",303,309,292.63,297.37,1844677
"2016-04-28",296.66,298.4,289.11,289.61,1167505
"2016-05-05",290,291.24,287.47,288.88,509306
"2016-05-12",296.87,297.82,294,296.18,746825
"2016-05-19",291.04,291.97,287.47,288.34,473258
"2016-05-26",291.17,293.15,288.42,288.42,643941
"2016-06-02",291.23,292.04,289.31,292.03,534463
"2016-06-09",293.26,294.66,290.78,293.03,453267
"2016-06-16",290.38,290.9,287.39,290.54,512932
"2016-06-23",292.74,293.25,288.86,288.93,1007116
"2016-06-30",291.45,294.18,288.97,293.67,625833
"2016-07-07",299.52,303.23,299.52,302.1,737393
"2016-07-14",308.55,308.55,305.31,306.25,452971
"2016-07-21",298.4,300,285.25,290.63,3465784
"2016-07-28",292.3,298.25,290.86,297.89,611460
"2016-08-04",302.22,302.68,299.28,300.03,396133
"2016-08-11",298.12,298.63,295.76,296.74,532034
"2016-08-18",287.54,289.82,287.48,288.58,455348
"2016-08-25",286.16,287.67,285.8,286.51,639334
"2016-09-01",283.37,286.27,282.7,285.27,1019099
"2016-09-08",285.19,286.09,282.92,283.35,602280
"2016-09-15",276.24,278,275,276.74,696217
