"","CMA.Open","CMA.High","CMA.Low","CMA.Close","CMA.Volume"
"2011-09-15",24.69,25.02,24.4,25,3416148
"2011-09-22",22.14,22.6,21.48,21.98,7686900
"2011-09-29",23.3,23.96,23.05,23.95,5224867
"2011-10-06",23.69,25,23.25,24.93,3746724
"2011-10-13",25.89,25.9,24.91,25.56,3627879
"2011-10-20",22.87,23.49,22.69,23.07,6102261
"2011-10-27",26,26.46,25.3,26.24,5477077
"2011-11-03",25.82,26.08,25,26,4808924
"2011-11-10",25.94,26.15,25.5,25.64,3220184
"2011-11-17",25.64,25.89,24.92,25.08,3131229
"2011-12-01",25.2,25.2,24.68,25.14,2157735
"2011-12-08",26.24,26.28,25.58,25.74,3990051
"2011-12-15",25.49,25.59,24.86,25.09,2818394
"2011-12-22",25.45,26.11,25.44,25.93,2280783
"2011-12-29",25.68,26.18,25.62,26.03,1463456
"2012-01-05",26.48,27.73,26.28,27.38,3354261
"2012-01-12",28.81,29.27,28.36,29.26,2798131
"2012-01-19",29.65,29.65,28.5,28.68,6185311
"2012-01-26",29.32,29.53,27.63,27.89,8099511
"2012-02-02",28,28.35,27.9,28.3,3205909
"2012-02-09",30.5,30.73,30.35,30.43,3086576
"2012-02-16",29.67,30.49,29.44,30.48,2278333
"2012-02-23",29.47,29.78,29.17,29.69,2433398
"2012-03-01",29.85,30.4,29.8,30.17,2490029
"2012-03-08",29.73,30.22,29.57,30.04,3242507
"2012-03-15",32.31,33.58,32.01,33.57,6264336
"2012-03-22",32.4,32.4,31.95,32.19,2545276
"2012-03-29",32.3,32.43,31.63,32.33,2759692
"2012-04-05",31.48,32.08,31.24,31.7,2342626
"2012-04-12",30.77,31.44,30.62,31.35,2658738
"2012-04-19",31.53,32.11,31.3,31.64,3426057
"2012-04-26",31.97,32.39,31.8,32.39,1830673
"2012-05-03",32.5,32.68,32.18,32.33,2185871
"2012-05-10",31.75,32.01,31.47,31.6,1650109
"2012-05-17",29.99,30.24,29.66,29.81,2834819
"2012-05-24",30.01,30.26,29.57,30.23,2686637
"2012-05-31",30.05,30.75,29.76,30.42,2404485
"2012-06-07",28.94,29.4,28.87,28.94,2245504
"2012-06-14",29.01,29.73,29.01,29.6,1757781
"2012-06-21",30.3,30.57,29.73,29.77,3188159
"2012-06-28",29.54,30.09,29.21,30.06,2304979
"2012-07-05",31.42,31.44,30.77,30.8,1369493
"2012-07-12",29.97,30.21,29.89,29.9,1929434
"2012-07-19",31.65,31.7,30.88,31.2,2716639
"2012-07-26",30.34,30.53,30.1,30.49,2059546
"2012-08-02",29.89,30.13,29.32,29.78,1988348
"2012-08-09",30.5,30.67,30.33,30.64,1226509
"2012-08-16",31.02,31.22,30.83,30.88,1830735
"2012-08-23",30.9,30.96,30.48,30.54,1257794
"2012-08-30",31.01,31.15,30.74,31,1363975
"2012-09-06",30.68,31.72,30.68,31.68,2920577
"2012-09-13",32.15,33.19,32.09,33.1,3113366
"2012-09-20",31.74,31.74,31.29,31.68,1801675
