"","CMA.Open","CMA.High","CMA.Low","CMA.Close","CMA.Volume"
"2012-09-27",31,31.25,30.6,31.1,1766731
"2012-10-04",31.47,31.74,31.27,31.69,1890370
"2012-10-11",31.63,31.8,31.48,31.57,1553854
"2012-10-18",30.03,30.09,29.6,29.65,4915570
"2012-10-25",29.51,29.63,29.35,29.57,2036485
"2012-11-01",29.82,30.52,29.59,30.52,2200225
"2012-11-08",28.85,29.17,28.46,28.49,2509201
"2012-11-15",27.86,28.19,27.73,28.02,2372049
"2012-11-29",29.84,29.95,29.3,29.42,2493501
"2012-12-06",28.9,28.98,28.73,28.93,1723199
"2012-12-13",28.99,29.13,28.8,28.87,2462888
"2012-12-20",30.21,30.49,30.14,30.41,1226763
"2012-12-27",30.25,30.34,29.73,30.17,1514973
"2013-01-03",31.38,31.83,31.03,31.72,3715103
"2013-01-10",31.87,32.17,31.58,32.1,2740124
"2013-01-17",33.17,33.91,33.17,33.51,5570856
"2013-01-24",33.51,33.82,33.43,33.56,1370307
"2013-01-31",33.86,34.45,33.6,34.36,4054880
"2013-02-07",35.19,35.28,34.86,35.09,1641741
"2013-02-14",35,35.4,34.95,35.32,2133554
"2013-02-21",34.52,34.62,33.56,33.6,4883181
"2013-02-28",33.83,34.68,33.83,34.38,2528970
"2013-03-07",35.34,35.89,35.17,35.32,3126513
"2013-03-14",36.66,36.82,36.55,36.78,1839140
"2013-03-21",35.94,36.12,35.72,35.99,2683176
"2013-03-28",35.71,35.98,35.47,35.95,1765835
"2013-04-04",34.28,34.51,33.93,34.24,4539767
"2013-04-11",35.49,35.73,35.13,35.45,1590810
"2013-04-18",34.44,34.57,33.9,34.3,2554780
"2013-04-25",35.95,36.45,35.88,36.22,2537435
"2013-05-02",35.87,36.32,35.81,36.25,1201714
"2013-05-09",37.98,38.12,37.67,37.75,963426
"2013-05-16",39.33,39.88,39.31,39.5,1753394
"2013-05-23",38.03,38.87,38.02,38.71,2227731
"2013-05-30",39.7,40.43,39.59,40.15,2281387
"2013-06-06",37.99,38.44,37.78,38.25,2050844
"2013-06-13",37.61,38.03,37.45,37.93,1648871
"2013-06-20",37.12,38,37,37.46,4263029
"2013-06-27",40.05,40.2,39.7,40.03,2011014
"2013-07-11",42.06,42.17,40.44,40.94,2821614
"2013-07-18",41.05,42.27,41.05,42.15,1862631
"2013-07-25",42.63,42.83,42.42,42.7,1334417
"2013-08-01",42.94,43.49,42.83,43.4,1447752
"2013-08-08",42.55,43.04,42.15,42.44,956882
"2013-08-15",42.09,42.3,41.77,41.9,1156195
"2013-08-22",42.36,43.2,42.36,43.04,740511
"2013-08-29",40.82,41.36,40.76,41.12,964849
"2013-09-05",41.04,41.74,41.04,41.69,1727080
"2013-09-12",40.85,40.88,40.27,40.35,1026883
"2013-09-19",40.4,40.52,38.99,39.68,5121691
"2013-09-26",39.58,39.84,39.1,39.27,1005552
"2013-10-03",39.2,39.33,38.9,39.06,1611177
"2013-10-10",39.43,40.36,39.41,40.28,1923052
"2013-10-17",41.37,41.84,41.2,41.77,1724383
"2013-10-24",42.5,42.59,42.12,42.48,1673016
"2013-10-31",43.34,43.91,43.15,43.3,3039938
"2013-11-07",44.06,44.22,43.36,43.38,1321692
"2013-11-14",44.88,45.02,44.65,44.69,1799999
"2013-11-21",44.97,45.52,44.84,45.29,1132726
"2013-12-05",45.1,45.39,44.77,44.96,817112
"2013-12-12",44.98,45.78,44.87,45.51,1519331
"2013-12-19",45.96,46.67,45.75,46.54,2326477
"2013-12-26",48.69,48.69,47.39,47.51,1307003
"2014-01-02",47.24,47.43,46.84,46.85,1094704
"2014-01-09",47.7,48.19,47.7,48.01,1095599
"2014-01-16",47.68,47.74,47.1,47.43,1259271
"2014-01-23",49.51,49.51,48.4,48.79,1665027
"2014-01-30",46.9,47.03,46.45,46.9,922766
"2014-02-06",44.86,45.85,44.62,45.81,1442037
"2014-02-13",46,46.72,45.86,46.64,902603
"2014-02-20",46.74,47.05,45.96,46.71,1608841
"2014-02-27",47.84,47.94,47.52,47.78,1059034
"2014-03-06",49.01,49.28,48.9,48.95,1315423
"2014-03-13",49.4,49.64,48.88,48.99,2112447
"2014-03-20",50.4,52.54,50.25,51.95,4496522
"2014-03-27",51.37,51.62,50.2,50.42,2535168
"2014-04-03",51.97,52.16,51.63,51.96,858925
"2014-04-10",50.56,50.68,48.69,48.91,2541523
"2014-04-17",48.58,48.79,47.97,48.46,1541950
"2014-04-24",49.41,49.42,48.56,48.62,1287586
"2014-05-01",48.37,48.48,47.83,48.05,991474
"2014-05-08",47.69,48.24,47.57,47.83,953284
"2014-05-15",46.66,46.84,45.34,45.9,2265953
"2014-05-22",46.31,46.76,46.29,46.72,1451274
"2014-05-29",47.02,47.11,46.61,47.07,1025255
"2014-06-05",48.74,48.88,47.98,48.7,1281844
"2014-06-12",50.2,50.43,49.72,49.94,1321347
"2014-06-19",50.75,50.79,50.12,50.77,1020972
"2014-06-26",50.48,50.48,49.67,50.22,669870
"2014-07-03",50.42,51.47,50.41,51,833379
"2014-07-10",49.9,50.45,49.61,50.2,1616845
"2014-07-17",50.69,50.72,49.18,49.31,1917626
"2014-07-24",49.37,50.15,49.37,50.04,1264940
"2014-07-31",50.52,50.78,50.14,50.26,2648709
"2014-08-07",49.3,49.46,48.46,48.58,1353287
"2014-08-14",49.09,49.38,48.98,49.08,519968
"2014-08-21",49.73,50.45,49.6,50.19,649035
"2014-08-28",50.22,50.4,49.87,50.05,756986
"2014-09-04",50.59,51.27,50.49,50.61,696740
"2014-09-11",50.59,50.82,50.26,50.4,1478636
"2014-09-18",51.72,52.51,51.55,52.22,1908734
"2014-09-25",51.04,51.04,49.98,50.24,1715942
"2014-10-02",49.13,49.62,48.78,49.32,1151027
"2014-10-09",49.19,49.19,47.34,47.48,2819644
"2014-10-16",42.93,44.52,42.83,44.42,2926118
"2014-10-23",45,45.35,44.76,44.93,1498587
"2014-10-30",46.75,47.17,46.57,46.93,1307171
"2014-11-06",48.14,48.94,48.07,48.9,1244145
"2014-11-13",49.03,49.2,48.45,48.57,1135616
"2014-11-20",47.68,48.13,47.41,48.11,1448239
"2014-12-04",46.74,47.25,46.54,47.2,1552868
"2014-12-11",46.39,46.74,45.76,45.89,1933184
"2014-12-18",45.94,46.59,45.7,46.37,2930058
"2015-01-08",44.24,44.79,44.07,44.64,1726679
"2015-01-15",41.46,41.87,40.94,40.96,3956844
"2015-01-22",41.22,42.83,41.19,42.71,2962498
"2015-01-29",41.31,42.3,41.08,42.24,2454830
"2015-02-05",43.98,44.82,43.94,44.73,2278098
"2015-02-12",45.53,46.6,45.45,46.52,1760202
"2015-02-19",45.17,45.56,44.47,45.44,1931602
"2015-02-26",45.99,46.18,45.63,45.96,785638
"2015-03-05",45.65,46.04,45.32,45.98,1076281
"2015-03-12",46.18,47.08,46.18,46.88,2130778
"2015-03-19",46.13,46.31,45.2,45.55,1771051
"2015-03-26",44.8,45.2,44.36,45.05,1181951
"2015-04-02",45.05,45.69,44.72,45.63,1029370
"2015-04-09",45.61,46.06,45.4,46.02,952252
"2015-04-16",46.1,46.49,45.56,46.2,1594202
"2015-04-23",45.84,46.31,45.7,46.17,1116531
"2015-04-30",47.29,47.73,46.87,47.41,1610388
"2015-05-07",48.09,48.15,47.63,47.88,1478594
"2015-05-14",49.28,49.3,48.69,48.86,1216538
"2015-05-21",48.58,48.99,48.52,48.67,1087386
"2015-05-28",49.35,49.57,49.13,49.5,1707424
"2015-06-04",49.79,50.34,49.68,50.01,1702947
"2015-06-11",52,52.27,51.72,51.82,1623051
"2015-06-18",51.95,52.13,51.35,51.48,2796169
"2015-06-25",52.76,53.11,52.32,52.41,979254
"2015-07-02",51.79,52,51.06,51.5,1686985
"2015-07-09",48.53,49.19,48.39,48.99,2803896
"2015-07-16",50.5,50.76,50.18,50.47,2256314
"2015-07-23",49.23,49.67,48.5,48.6,1873245
"2015-07-30",47.49,47.92,47.38,47.84,1178763
"2015-08-06",47.71,48.02,47.07,47.27,1820955
"2015-08-13",46.72,47.11,46.43,46.91,1355277
"2015-08-20",46.44,46.49,44.8,44.86,4423298
"2015-08-27",42.87,44.16,42.73,43.87,4118395
"2015-09-03",42.65,43.53,42.56,42.8,1952071
"2015-09-10",42,42.91,41.87,42.43,3708072
"2015-09-17",43.16,43.48,41.19,41.62,4828313
"2015-09-24",40.15,40.87,40.01,40.81,1917731
"2015-10-01",41.05,41.78,40.85,41.72,2828535
"2015-10-08",42.82,43.66,42.52,43.46,2785273
"2015-10-15",41.9,42.85,41.74,42.72,3499210
"2015-10-22",41.05,42.67,41.05,41.88,2530187
"2015-10-29",44.54,44.97,43.73,44.2,2446314
"2015-11-05",44.72,45.68,44.69,45.43,2225336
"2015-11-12",45.79,46,45.22,45.22,1597632
"2015-11-19",46.59,46.78,45.91,46.34,1960285
"2015-12-03",46.14,46.24,45.13,45.25,1790756
"2015-12-10",42.46,43.17,42.2,42.63,3157395
"2015-12-17",42.84,43.38,42.3,42.31,2944660
"2015-12-24",42.28,42.55,42.12,42.31,393454
"2015-12-31",41.56,42.27,41.42,41.83,1317136
"2016-01-07",40.15,40.55,39.57,39.69,2987798
"2016-01-14",36.74,37.2,35.98,36.93,3435861
"2016-01-21",34.17,34.22,33.14,33.3,3988738
"2016-01-28",34.02,35.19,34.02,34.19,3682626
"2016-02-04",34.32,35.44,34.07,34.94,5462956
"2016-02-11",30.87,31.41,30.48,31.02,4305768
"2016-02-18",34.03,34.56,33.73,34.13,4242459
"2016-02-25",33.92,34.29,33.31,34.26,2471587
"2016-03-03",35.78,37.24,35.62,37.21,2891103
"2016-03-10",36.61,36.94,35.58,36.42,2351596
"2016-03-17",38.16,38.9,37.66,38.85,3040866
"2016-03-24",38.07,38.78,37.65,38.78,2516897
"2016-03-31",38.01,38.27,37.37,37.87,2594834
"2016-04-07",37.38,37.64,36.27,36.55,2615698
"2016-04-14",39.56,40.45,39.49,39.87,2305096
"2016-04-21",42.8,43.17,42.39,42.49,2854257
"2016-04-28",44.95,45.97,44.73,44.93,2692776
"2016-05-05",42.47,43.01,42.06,42.28,1812178
"2016-05-12",43.4,43.82,42.33,42.69,1881645
"2016-05-19",44.74,45.14,43.98,44.37,2630988
"2016-05-26",46.9,47,46.3,46.62,1718776
"2016-06-02",47.21,47.31,46.55,47.05,3537087
"2016-06-09",45.73,45.73,44.84,45.29,2308003
"2016-06-16",42.68,42.69,41.14,41.93,2346215
"2016-06-23",43.42,44.48,43.39,44.48,2239839
"2016-06-30",40.33,41.13,39.89,41.13,3154693
"2016-07-07",39.9,40.92,39.9,40.5,1855986
"2016-07-14",43.68,43.86,43.23,43.6,1508244
"2016-07-21",45.28,45.75,44.97,45,1600322
"2016-07-28",45.47,45.81,45.06,45.68,995249
"2016-08-04",44.67,44.98,44.59,44.83,2076223
"2016-08-11",45.45,45.72,45.18,45.52,1453037
"2016-08-18",45.73,45.97,45.53,45.95,2819470
"2016-08-25",45.7,46.23,45.7,46.07,1077665
"2016-09-01",47.5,47.57,46.59,47.03,979058
"2016-09-08",47.04,47.32,46.56,46.97,2075852
"2016-09-15",45.93,46.73,45.7,46.66,1673433
