"","CHRW.Open","CHRW.High","CHRW.Low","CHRW.Close","CHRW.Volume"
"2011-09-15",70.05,70.19,68.99,69.98,1076087
"2011-09-22",65.1,66.07,64.31,65.19,1923921
"2011-09-29",68.76,69.48,66.91,68.37,802674
"2011-10-06",70.5,72.15,70.19,71.53,1122540
"2011-10-13",72.21,72.47,71.5,71.97,836905
"2011-10-20",73.49,73.94,72.15,73.64,1014785
"2011-10-27",70,70.82,69.54,70.26,1980371
"2011-11-03",68.41,69.13,67.66,68.95,1199184
"2011-11-10",68.11,68.42,67.15,67.69,1095244
"2011-11-17",66.76,67.26,65.38,65.65,1493912
"2011-12-01",68.28,68.4,67.59,67.65,822855
"2011-12-08",68.51,68.51,67.07,67.25,776326
"2011-12-15",67.14,67.34,66.39,66.69,570432
"2011-12-22",68.78,69.87,68.78,69.36,877176
"2011-12-29",69.87,70.13,69.39,70.08,501011
"2012-01-05",67.71,67.97,66.5,67.81,1698781
"2012-01-12",66.68,67.03,66.29,66.34,1042940
"2012-01-19",67.3,68.91,67.28,68.87,1257465
"2012-01-26",68.53,69.89,68.3,69.47,1599299
"2012-02-02",64.87,65.49,63.99,64,2778632
"2012-02-09",63.84,63.84,63.48,63.64,1351126
"2012-02-16",63.84,66.26,63.8,66.2,1610820
"2012-02-23",66.16,67.79,66.14,67.5,1138332
"2012-03-01",66.33,67.4,66.23,66.85,1262141
"2012-03-08",65.43,65.93,65.05,65.76,765221
"2012-03-15",65.32,65.51,64.9,65.35,2096525
"2012-03-22",64.36,64.64,63.62,64.5,960430
"2012-03-29",64.82,65,64.06,64.76,1807571
"2012-04-05",65.08,65.5,64.98,65.12,707322
"2012-04-12",64.26,64.87,63.95,64.53,1642688
"2012-04-19",66.63,67.31,65.97,66.14,1362112
"2012-04-26",60.38,60.72,58.73,59.23,3176656
"2012-05-03",62.28,62.28,61.27,61.42,2245679
"2012-05-10",60.95,61.36,60.24,60.52,801563
"2012-05-17",60.55,60.92,59.64,59.64,1204911
"2012-05-24",60.35,60.52,59.37,59.82,1239135
"2012-05-31",58.48,58.83,57.3,58.26,2165716
"2012-06-07",58.68,59.26,57.49,57.57,1206881
"2012-06-14",57.57,58.24,57.17,58.02,1140494
"2012-06-21",59.48,59.64,57.81,57.83,1037309
"2012-06-28",56.4,56.89,56.02,56.66,1032567
"2012-07-05",61.97,61.97,61.19,61.44,1183457
"2012-07-12",59.18,59.43,58.5,58.95,883104
"2012-07-19",59.39,59.81,59.05,59.53,856168
"2012-07-26",52.91,53.56,51.81,52.24,2146517
"2012-08-02",52.73,53.25,51.97,53.14,1429112
"2012-08-09",53.91,54.02,53.66,53.8,992568
"2012-08-16",56.13,57.2,55.8,56.67,1620804
"2012-08-23",57.25,57.25,56.64,56.81,796880
"2012-08-30",56.64,56.7,56.23,56.24,1014354
"2012-09-06",56.77,57.6,56.59,57.06,1151429
"2012-09-13",57.37,57.62,56.96,57.24,1147873
"2012-09-20",57.22,58,56.8,57.55,2281889
"2012-09-27",59.17,59.4,58.72,59.27,890967
"2012-10-04",59.86,60.29,59.34,59.9,958808
"2012-10-11",59.49,59.65,58.86,58.9,726320
"2012-10-18",61.48,61.68,61,61.4,935621
"2012-10-25",57.55,59.36,57.55,59.1,1836975
"2012-11-01",60.42,61.86,59.97,61.57,1522389
"2012-11-08",61.97,62.48,61.12,61.5,918559
"2012-11-15",59.91,60.05,59.34,59.53,1007085
"2012-11-29",61.98,62.57,61.66,61.97,1228272
"2012-12-06",61.64,61.95,60.42,60.64,969265
"2012-12-13",61.63,62.39,61.27,61.64,605463
"2012-12-20",63.53,63.96,63.33,63.76,1039413
"2012-12-27",62.95,63.12,62.33,62.8,786664
"2013-01-03",62.54,63.16,61.93,62.34,2893034
"2013-01-10",64.59,64.87,64.04,64.38,1330392
"2013-01-17",64.87,64.94,64.24,64.88,871661
"2013-01-24",66.35,67.85,66.12,67.21,1637390
"2013-01-31",66.78,67.08,65,66.15,2546175
"2013-02-07",60.07,60.5,58.75,59.93,4152696
"2013-02-14",58.64,58.78,57.92,58.08,1947192
"2013-02-21",58.25,58.31,57.46,57.52,1777798
"2013-02-28",57.19,57.56,56.9,57.02,1993365
"2013-03-07",57.37,57.82,56.79,56.93,1503845
"2013-03-14",59.07,59.34,58.42,59.2,1222075
"2013-03-21",58.47,58.74,57.41,57.44,1277837
"2013-03-28",59.04,59.48,58.9,59.46,1488394
"2013-04-04",58.42,58.57,58.08,58.5,1244819
"2013-04-11",60.82,61.11,60.33,60.59,849334
"2013-04-18",56.82,56.83,55.94,56.25,1129939
"2013-04-25",57.94,58.56,57.84,58.2,925836
"2013-05-02",59.12,59.62,58.96,59.37,944554
"2013-05-09",57.19,57.44,55.73,56,6167228
"2013-05-16",57.79,58.4,57.51,57.87,1205205
"2013-05-23",58.92,59.5,58.82,59.49,1019528
"2013-05-30",57.81,57.99,57.36,57.47,998762
"2013-06-06",56.41,56.69,55.88,56.31,955618
"2013-06-13",55.84,56.95,55.84,56.72,1380291
"2013-06-20",56.12,56.37,55.31,55.42,1999293
"2013-06-27",55.43,56.12,55.32,55.73,1164576
"2013-07-11",59.03,59.19,58.66,58.88,963352
"2013-07-18",60.24,60.82,60.23,60.7,849650
"2013-07-25",59.26,59.34,58.49,59.18,828826
"2013-08-01",60.22,61.35,59.37,61.07,1139924
"2013-08-08",56.35,56.74,56.02,56.73,1372812
"2013-08-15",55.54,56.01,55.26,55.88,1151560
"2013-08-22",56.52,57.22,56.48,56.92,654750
"2013-08-29",57.51,57.93,57.24,57.43,968201
"2013-09-05",57.4,58.11,57.13,57.85,1030609
"2013-09-12",59.85,60.05,59.37,59.63,1405896
"2013-09-19",61.84,62.25,61.6,61.62,1267063
"2013-09-26",61.23,61.5,60.46,60.92,1333265
"2013-10-03",58.82,58.98,57.35,57.76,2116182
"2013-10-10",58.42,58.81,57.93,58.55,1331199
"2013-10-17",58.92,59.77,58.66,59.51,1250333
"2013-10-24",60.75,61.67,59.88,61.12,1826173
"2013-10-31",60.32,60.33,59.5,59.74,2419479
"2013-11-07",60.36,60.38,59.44,59.6,2042777
"2013-11-14",59.97,60.14,59.7,59.92,1390062
"2013-11-21",57.72,58.29,57.39,58.11,1417160
"2013-12-05",58.19,58.45,58.05,58.27,1264425
"2013-12-12",57.34,57.56,57.01,57.13,2123109
"2013-12-19",56.47,56.73,56.28,56.48,1625574
"2013-12-26",57.26,57.32,56.91,57.13,1938389
"2014-01-02",58.21,58.48,57.61,57.82,1503287
"2014-01-09",56.47,56.7,56.12,56.55,1133349
"2014-01-16",58.35,59.69,58.35,59.52,1566975
"2014-01-23",59.27,59.73,58.21,59.05,2290031
"2014-01-30",57.94,58.68,57.69,58.28,1655132
"2014-02-06",53.06,53.15,52.04,52.48,3896109
"2014-02-13",53.59,54.08,53.5,54.03,1572829
"2014-02-20",53.72,54.36,53.44,54.16,1463720
"2014-02-27",52.41,52.55,52.04,52.36,1491290
"2014-03-06",52.04,52.54,51.77,52.45,1408076
"2014-03-13",52.71,52.81,51.86,52.08,1799276
"2014-03-20",50.47,50.71,50.21,50.63,1260285
"2014-03-27",50.62,51.08,50.38,51,1835432
"2014-04-03",52.99,53.31,52.82,53.03,1721943
"2014-04-10",53.02,54.32,53,53.8,3486177
"2014-04-17",56.49,56.89,56.19,56.74,1725978
"2014-04-24",58.62,58.62,56.91,56.92,2142384
"2014-05-01",58.88,58.97,58.31,58.68,1647373
"2014-05-08",58.1,58.56,58.07,58.39,1779147
"2014-05-15",58.58,58.91,58.22,58.85,1016845
