"","IR.Open","IR.High","IR.Low","IR.Close","IR.Volume"
"2011-09-15",34.12,34.92,33.38,34.89,5727231
"2011-09-22",30.53,30.79,29.74,30.23,7057380
"2011-09-29",32.28,32.75,31.04,31.96,3761187
"2011-10-06",27.77,28.12,27.39,28.08,6672636
"2011-10-13",29.49,29.55,28.81,29.28,4043088
"2011-10-20",29.84,29.88,26.62,27.38,12692815
"2011-10-27",31.34,32.07,30.87,31.53,6356961
"2011-11-03",32.74,33.03,31.73,32.95,5085633
"2011-11-10",30.6,30.76,29.75,29.98,5502519
"2011-11-17",31.26,31.34,29.94,30.14,4404391
"2011-12-01",32.81,33.7,32.65,33.43,4628691
"2011-12-08",33.19,33.58,32.17,32.29,2954169
"2011-12-15",30.86,31.03,30.49,30.97,3846556
"2011-12-22",31.15,31.42,30.83,31.14,3206466
"2011-12-29",30.33,30.82,30.29,30.64,1434101
"2012-01-05",31.76,32.39,31.39,32.22,2724414
"2012-01-12",33.53,35.28,33.16,35.05,5274893
"2012-01-19",34.46,34.49,33.38,34.3,4478488
"2012-01-26",35.97,36.1,34.88,35,3565236
"2012-02-02",35.37,36.64,35.36,36.26,6421814
"2012-02-09",38.46,38.59,37.47,37.93,3078495
"2012-02-16",39.12,41,39.12,40.88,6170545
"2012-02-23",40.68,40.8,40.03,40.68,3897663
"2012-03-01",40.02,40.48,39.95,40.13,2453683
"2012-03-08",38.63,39.5,38.6,39.25,2600851
"2012-03-15",40.37,40.98,40.06,40.84,3628795
"2012-03-22",40.09,40.6,39.83,40.46,3892722
"2012-03-29",40.52,41.26,40.39,41.17,3429514
"2012-04-05",41.02,41.39,40.8,40.94,3667617
"2012-04-12",39.03,40.38,38.97,40.23,2514852
"2012-04-19",40.5,41.01,39.87,40.13,4440440
"2012-04-26",41.9,41.97,41.41,41.53,3144548
"2012-05-03",42.51,42.57,41.84,42.02,4323359
"2012-05-10",44.87,45.32,43.48,43.62,5652335
"2012-05-17",42.15,42.25,40.63,40.67,3947115
"2012-05-24",42.83,42.95,41.98,42.65,2178088
"2012-05-31",41.65,41.7,40.74,41.31,5006851
"2012-06-07",40.97,41.58,40.45,40.64,3568584
"2012-06-14",39.68,39.82,38.86,39.21,5236109
"2012-06-21",40.17,40.25,39.02,39.04,3493430
"2012-06-28",39.87,41.18,39.69,41.13,3228802
"2012-07-05",42.88,43.15,42.71,42.91,2048685
"2012-07-12",39.93,39.94,39.33,39.64,4010392
"2012-07-19",41.78,43.17,41.2,41.47,3394830
"2012-07-26",40.01,40.49,39.55,40,5036666
"2012-08-02",41.51,42.17,41.13,41.96,2029732
"2012-08-09",44.17,45,44.02,44.73,3210501
"2012-08-16",45.47,46.45,45.28,46.3,3066239
"2012-08-23",45.9,46.71,45.87,46.4,1936229
"2012-08-30",46.01,46.31,45.82,46.08,1903401
"2012-09-06",45.16,46.4,45.07,46.26,3508776
"2012-09-13",45.86,46.28,44.81,45.9,3216538
"2012-09-20",45.41,46.46,45.37,46.4,3560109
"2012-09-27",44.88,45.4,44.27,45.15,1984565
"2012-10-04",45.12,46.07,45.12,45.64,2826997
"2012-10-11",44.96,45.16,44.38,44.38,1696941
"2012-10-18",45.7,46.39,45.5,45.66,2492693
"2012-10-25",46.5,46.84,46,46.39,1702787
"2012-11-01",47.01,47.92,46.82,47.19,3477874
"2012-11-08",46.79,47.39,46.52,46.55,2117844
"2012-11-15",45.32,45.93,45.04,45.32,2682618
"2012-11-29",48.35,48.76,48.12,48.67,1568057
"2012-12-06",48.42,48.42,47.56,48.2,1645854
"2012-12-13",47.62,48.21,47.47,47.56,2086917
"2012-12-20",48.44,48.9,48.41,48.87,1851505
"2012-12-27",46.87,47.21,46.5,47.08,1012929
"2013-01-03",49.28,49.53,48.76,48.96,2100826
"2013-01-10",49.5,49.7,48.96,49.62,1682081
"2013-01-17",49.66,51.03,49.47,50.95,1971282
"2013-01-24",50.88,51.52,50.88,51.09,2246399
"2013-01-31",51.49,51.75,51.14,51.39,1777289
"2013-02-07",52.76,52.77,51.73,52.01,2407769
"2013-02-14",53.23,53.57,53.02,53.03,2312482
"2013-02-21",52.58,52.75,52.06,52.25,2759844
"2013-02-28",52.26,52.92,52.1,52.65,1552604
"2013-03-07",53.44,54.15,53.26,53.72,2236672
"2013-03-14",55.25,55.85,55.08,55.79,1611479
"2013-03-21",56.06,56.14,55.3,55.6,1722992
"2013-03-28",54.47,55.04,54.15,55.01,2654193
"2013-04-04",54.13,54.79,53.96,54.49,2334389
