"","IR.Open","IR.High","IR.Low","IR.Close","IR.Volume"
"2013-04-11",56.15,57.14,56.01,56.68,2349974
"2013-04-18",53.9,54.21,53.26,53.54,1436497
"2013-04-25",54.29,55.2,54.12,54.79,2816506
"2013-05-02",52.34,52.75,52.15,52.47,2755203
"2013-05-09",55.19,56.04,55.18,55.87,2454833
"2013-05-16",56.64,57.33,56.5,56.85,1632793
"2013-05-23",56.62,57.71,56.41,57.17,1257563
"2013-05-30",57.32,58.36,57.13,57.82,1429583
"2013-06-06",55.9,56.78,55.78,56.64,3294081
"2013-06-13",55.84,56.36,55.7,56.25,2256669
"2013-06-20",56.29,56.34,54.93,55.07,2253958
"2013-06-27",55.13,55.7,55,55.49,2110687
"2013-07-11",58.94,59.49,58.85,59.02,1874044
"2013-07-18",58.97,60.16,58.88,59.92,1832579
"2013-07-25",60.33,61.33,60.28,61.16,1808080
"2013-08-01",61.78,62.28,61.72,62.11,1884367
"2013-08-08",61.66,61.76,61.36,61.58,1419857
"2013-08-15",61.35,61.35,60.17,60.24,1301356
"2013-08-22",60.53,61.63,60.39,61.32,1150277
"2013-08-29",58.97,59.95,58.96,59.59,956362
"2013-09-05",61.63,62,61.29,61.64,1765052
"2013-09-12",63.85,64.36,63.21,63.22,1553423
"2013-09-19",65.48,65.87,65.34,65.41,1529833
"2013-09-26",65.96,66.03,65.35,65.62,1073474
"2013-10-03",65.12,65.36,64.1,64.95,1489541
"2013-10-10",63.54,64.69,63.4,64.63,1764096
"2013-10-17",63.1,63.62,62.91,63.52,5821782
"2013-10-24",67.62,67.82,66.68,67.65,1757208
"2013-10-31",66.89,68.26,66.71,67.53,1482370
"2013-11-07",67.63,68.08,66.49,66.59,1266995
"2013-11-14",67.78,68.11,67.28,68,1700592
"2013-11-21",67.74,68.1,67.49,67.97,3787221
"2013-12-05",55.76,56.07,55.56,55.76,3449959
"2013-12-12",56.19,57.15,56.14,56.92,2708659
"2013-12-19",58.54,59.3,58.51,59.15,1713486
"2013-12-26",61.1,61.4,60.65,61.16,919010
"2014-01-02",61.25,61.7,61.12,61.24,1916195
"2014-01-09",61.89,62.6,61.67,62.05,2148266
"2014-01-16",62.82,63.38,62.74,62.88,1982864
"2014-01-23",61.34,61.53,60.17,60.67,2277228
"2014-01-30",59.01,59.24,58.52,59.03,1637782
"2014-02-06",57.74,58.42,57.72,58.06,2443402
"2014-02-13",57.83,58.5,57.5,58.12,2855969
"2014-02-20",58.79,59.92,58.79,59.72,1848879
"2014-02-27",60.3,60.55,59.95,60.53,1887459
"2014-03-06",61.05,61.47,60.99,61.32,2070747
"2014-03-13",59.08,59.18,57.38,57.56,3078365
"2014-03-20",57.94,58.83,57.77,58.67,2056237
"2014-03-27",56.09,56.16,54.4,55.7,5733463
"2014-04-03",58.15,58.62,57.74,57.93,2054435
"2014-04-10",56.44,56.66,55.29,55.41,3032430
"2014-04-17",57.98,58.16,57.67,57.82,3019653
"2014-04-24",60.18,60.28,59.05,59.6,2914173
"2014-05-01",59.76,60.3,59.52,59.96,1609859
"2014-05-08",58.63,59.55,58.56,58.9,2275473
"2014-05-15",58.2,58.35,56.6,57.16,2544919
"2014-05-22",57.28,57.74,57.07,57.15,688475
"2014-05-29",59.92,60.24,59.26,59.78,1888024
"2014-06-05",60.42,61.15,59.84,60.8,2672321
"2014-06-12",62.03,62.36,61.84,62.03,2873838
"2014-06-19",63.5,63.69,63.31,63.63,1375809
"2014-06-26",62.69,62.73,61.98,62.57,1412200
"2014-07-03",62.85,63.33,62.84,63.1,588187
"2014-07-10",60.88,61.3,60.4,60.99,1969911
"2014-07-17",61.85,62.08,61.04,61.08,1833434
"2014-07-24",64.17,64.2,63.02,63.07,2334614
"2014-07-31",60.25,60.4,58.63,58.79,3093566
"2014-08-07",59.27,60.03,58.85,58.9,1867980
"2014-08-14",60.82,61.14,60.47,60.86,1858410
"2014-08-21",62,62.14,61.56,62.01,1252838
"2014-08-28",60.81,60.89,60.38,60.53,1753553
"2014-09-04",60,60.59,59.64,59.88,1843719
"2014-09-11",59.65,60.41,59.62,60.29,1280873
"2014-09-18",59.98,60.36,59.85,60.14,1385733
"2014-09-25",57.5,57.52,56.57,56.75,2412196
"2014-10-02",55.41,55.79,54.51,55.64,2741831
"2014-10-09",57.42,57.48,55.7,55.84,3209633
"2014-10-16",53,55.12,52.99,54.91,2754965
"2014-10-23",58.31,60.84,58.25,60.01,2756970
"2014-10-30",61.29,62.01,60.95,61.73,1509238
"2014-11-06",62.12,63.2,61.98,63.16,1855558
"2014-11-13",63.14,63.14,62.33,62.53,1294617
"2014-11-20",62.28,63.23,62.01,63.02,1190877
"2014-12-04",63.54,63.74,63.07,63.28,1548806
"2014-12-11",62.53,63.58,62.53,63.1,2314560
"2014-12-18",62.98,63.54,62.28,63.52,1462859
"2015-01-08",61.69,62.46,61.65,62.43,1716821
"2015-01-15",61.72,62.17,60.92,61.55,2754511
"2015-01-22",63.75,64.76,63.41,64.74,2714149
"2015-01-29",63.79,64.75,63.31,64.66,2839978
"2015-02-05",66.91,67.33,66.74,66.84,1890428
"2015-02-12",67.15,67.83,66.72,67.63,3518768
"2015-02-19",67.63,68.17,67.5,67.97,1309852
"2015-02-26",68.3,68.41,67.69,67.94,1286925
"2015-03-05",67.41,67.71,67.3,67.68,1882253
"2015-03-12",66.41,67.5,66.4,67.39,1055275
"2015-03-19",68.19,68.4,67.41,67.87,1235783
"2015-03-26",66.73,67.61,66.4,67.47,2160361
"2015-04-02",66.82,67.84,66.62,67.53,1932894
"2015-04-09",67.46,67.97,67.07,67.87,1936091
"2015-04-16",68.95,69.41,68.68,68.8,1645099
"2015-04-23",68.82,69.4,67.94,69.06,2832010
"2015-04-30",67.29,67.79,65.77,65.84,2886140
"2015-05-07",66.83,67.41,66.6,67.14,1556781
"2015-05-14",69.49,70.21,68.98,70.18,2622325
"2015-05-21",69.35,69.87,68.96,69.52,1128343
"2015-05-28",69.41,69.7,69.04,69.44,1090862
"2015-06-04",68.79,69.12,68.24,69.05,2822112
"2015-06-11",69.49,69.75,69.4,69.65,1650651
"2015-06-18",69,69.8,68.95,69.43,1400923
"2015-06-25",68.84,68.84,67.98,68.17,950664
"2015-07-02",67.87,68.05,67.3,67.51,826432
"2015-07-09",66.92,67.28,66.1,66.1,1497204
"2015-07-16",68.53,68.69,67.59,67.68,3485368
"2015-07-23",68.25,68.25,66.89,66.97,2135531
"2015-07-30",61.06,61.26,60.69,61.11,2660752
"2015-08-06",59.99,60.27,59.79,60.01,2701511
"2015-08-13",61.47,61.87,61.32,61.38,2068063
"2015-08-20",60.37,60.68,59.57,59.59,2181333
"2015-08-27",55.98,56.76,55.05,55.94,3521019
"2015-09-03",54.12,54.7,53.6,53.67,6711600
"2015-09-10",54.09,55.1,53.98,54.29,2962993
"2015-09-17",56.87,57.19,56,56.12,2698255
"2015-09-24",52.29,52.74,51.39,52.66,3504532
"2015-10-01",50.8,51.02,49.94,50.69,2850205
"2015-10-08",53.51,55.02,53.4,54.86,2948102
"2015-10-15",53.67,54.28,53.19,54.25,2066934
"2015-10-22",54.33,56.07,54.33,55.67,3322108
"2015-10-29",58.29,59.04,58.06,58.98,2051694
"2015-11-05",59.58,60.01,59.37,59.91,2906349
"2015-11-12",58.23,58.4,56.95,57.06,2094757
"2015-11-19",58.18,58.79,57.88,58.67,1634287
"2015-12-03",58.13,58.19,57.08,57.64,2426887
"2015-12-10",54.75,55.53,54.65,54.89,2439298
"2015-12-17",54.46,54.8,53.41,53.42,2314389
"2015-12-24",55.53,55.85,55.39,55.63,455321
"2015-12-31",55.45,55.82,55.27,55.29,1091728
"2016-01-07",52.31,52.56,51.58,51.8,2301351
"2016-01-14",51.54,52.4,50.6,52.06,1915277
"2016-01-21",49.08,49.68,48.05,48.83,3168745
"2016-01-28",50.97,51.06,49.51,49.95,2425802
"2016-02-04",49.78,51.92,49.69,51.3,2785029
"2016-02-11",48.63,49.61,48.31,48.99,2131160
"2016-02-18",52.63,52.78,51.92,52.1,2145226
"2016-02-25",55.56,56.49,55.05,56.49,2685649
"2016-03-03",57.15,58.06,57.06,57.57,1744122
"2016-03-10",57.52,57.71,56.73,57.41,2345485
"2016-03-17",59.21,61.01,59.08,61,3406809
"2016-03-24",60.75,61.36,60.63,61.28,1811989
"2016-03-31",62.05,62.23,61.76,62.01,1720137
"2016-04-07",59.63,60.28,59.36,59.6,1387296
"2016-04-14",63.93,63.93,63.18,63.68,1501373
"2016-04-21",63.7,64.31,63.41,63.53,1105172
"2016-04-28",65.76,66.42,65.18,65.33,1850870
"2016-05-05",65.18,65.53,64.56,64.85,1649750
"2016-05-12",66.28,66.49,65.35,65.92,1268372
"2016-05-19",64.74,64.84,63.69,64.01,2587481
"2016-05-26",66.51,66.94,66.18,66.28,1119420
"2016-06-02",66.22,66.57,66.01,66.57,913641
"2016-06-09",65.41,65.76,65.16,65.69,971310
"2016-06-16",64.08,64.63,63.43,64.55,1376690
"2016-06-23",66.17,66.31,65.75,66.29,1065358
"2016-06-30",62.03,63.71,61.86,63.68,2963135
"2016-07-07",64.24,64.99,64.01,64.52,1394453
"2016-07-14",68.01,68.62,67.9,68.01,1620797
"2016-07-21",67.41,67.68,66.88,67.01,1872661
"2016-07-28",65.66,66.64,65.44,66.46,3118549
"2016-08-04",67.48,68.69,67.38,67.79,1949886
"2016-08-11",68.17,68.61,68.1,68.34,993918
"2016-08-18",67.3,67.5,67.15,67.27,1785792
"2016-08-25",67.44,68.12,67.27,67.79,1168621
"2016-09-01",67.98,68.23,67.16,68.16,1478632
"2016-09-08",67.02,67.59,66.77,67.41,1682885
"2016-09-15",63.56,63.99,63.29,63.83,2883018
