"","IBM.Open","IBM.High","IBM.Low","IBM.Close","IBM.Volume"
"2016-09-01",158.32,159.62,158.1,159.54,2358385
"2016-09-02",159.88,160.57,159.15,159.55,2315366
"2016-09-06",159.88,160.86,159.11,160.35,2994056
"2016-09-07",160.19,161.76,160,161.64,2867257
"2016-09-08",160.55,161.21,158.76,159,3963164
"2016-09-09",158.03,158.4,155.65,155.69,5185972
"2016-09-12",155.26,158.53,154.84,158.29,4367529
"2016-09-13",157.63,157.93,155.5,155.81,3636719
"2016-09-14",155.7,155.87,153.39,154.05,3860553
"2016-09-15",154.3,156.33,153.21,155.66,3662573
