"","NEE.Open","NEE.High","NEE.Low","NEE.Close","NEE.Volume"
"2011-09-15",54.25,54.71,53.98,54.34,2708394
"2011-09-22",53.88,54.44,52.9,53.35,3689915
"2011-09-29",54.45,54.69,53.98,54.52,2864075
"2011-10-06",52.9,53.79,52.79,53.76,1475180
"2011-10-13",54.47,54.76,54.06,54.59,1427182
"2011-10-20",54.87,55.26,54.69,55.08,1541631
"2011-10-27",57.47,58.09,56.96,57.8,3014429
"2011-11-03",56.6,57.67,56.41,57.61,2753998
"2011-11-10",55.48,55.59,55,55.29,1553444
"2011-11-17",55.46,55.95,54.97,55.38,2186355
"2011-12-01",55.44,55.97,55.34,55.58,1329021
"2011-12-08",56.77,57.25,56.51,56.62,2152515
"2011-12-15",57.82,58.08,57.42,57.91,2147810
"2011-12-22",59.74,59.91,59.48,59.72,2630837
"2011-12-29",60.95,61.14,60.61,61.08,1212221
"2012-01-05",59.09,59.67,58.57,59.55,3406999
"2012-01-12",59.42,59.55,58.96,59.39,1941497
"2012-01-19",59.68,59.68,58.75,58.79,2307228
"2012-01-26",60.1,60.24,59.38,59.67,2973168
"2012-02-02",60.1,60.49,59.87,60.11,2011833
"2012-02-09",60.31,60.42,59.95,60.29,1613763
"2012-02-16",60.14,60.76,59.98,60.43,2067492
"2012-02-23",60.18,60.38,59.76,60.21,5975671
"2012-03-01",59.55,60.06,59.52,59.81,2006734
"2012-03-08",60,60.01,59.65,59.76,1407689
"2012-03-15",60.13,60.35,59.7,60.25,2101391
"2012-03-22",60.06,60.34,59.94,60.29,1373787
"2012-03-29",60.26,60.63,59.88,60.6,1063415
"2012-04-05",62.27,62.95,62.16,62.88,2979780
"2012-04-12",62.37,62.52,61.97,62.52,1866873
"2012-04-19",62.7,62.99,62.34,62.72,1608898
"2012-04-26",64.6,64.85,64.2,64.43,2256312
"2012-05-03",63.66,64.1,63.56,63.6,1685331
"2012-05-10",64.59,65.27,64.38,65.09,2450680
"2012-05-17",65.53,65.65,65.05,65.05,1528851
"2012-05-24",65.16,65.56,64.87,65.03,1858026
"2012-05-31",64.71,65.68,64.58,65.34,2788541
"2012-06-07",65.98,66.42,65.87,66.25,1905020
"2012-06-14",67.1,67.64,67.04,67.51,1908851
"2012-06-21",67.35,67.84,66.58,66.61,1687668
"2012-06-28",67.36,67.95,67.23,67.93,1104399
"2012-07-05",68.41,69.16,68.25,68.41,1148765
"2012-07-12",68.14,68.65,68.12,68.42,1268811
"2012-07-19",70.44,70.48,69.76,70.3,1587836
"2012-07-26",69.35,70.97,69.35,70.72,1944309
"2012-08-02",70.19,70.39,69.54,70.2,1342337
"2012-08-09",69.63,69.73,69.14,69.25,1388838
"2012-08-16",69.42,69.7,69.27,69.58,1483470
"2012-08-23",68.15,68.3,66.99,67.41,1594882
"2012-08-30",67.56,67.63,67.25,67.38,1047603
"2012-09-06",65.99,67.44,65.95,67.41,5098558
"2012-09-13",67.02,68.77,67,68.7,2770271
"2012-09-20",67.4,68.08,67.26,68.05,1309993
"2012-09-27",70.09,70.18,69.44,70.14,2353363
"2012-10-04",70.94,71.66,70.79,71.08,1183234
"2012-10-11",70.25,70.25,69.74,69.85,1599128
"2012-10-18",71.76,72.11,71.45,72.05,1151960
"2012-10-25",69.76,69.98,69.14,69.74,1285700
"2012-11-01",70.3,70.3,69.59,69.87,3114061
"2012-11-08",67.95,68.47,67.61,67.61,1337698
"2012-11-15",66.67,67.3,66.05,66.49,1491241
"2012-11-29",67.51,68.11,67.33,68.11,1534502
"2012-12-06",69.27,69.62,68.83,69.16,1099282
"2012-12-13",69.15,70.28,68.87,70.05,2598739
"2012-12-20",70.74,70.86,70.24,70.59,1171585
"2012-12-27",68.98,69.45,68.51,69.21,1337308
"2013-01-03",70.6,70.83,70.33,70.53,1227233
"2013-01-10",71.06,71.51,70.76,71.49,1469011
"2013-01-17",70.96,71.39,70.62,71.08,1473392
"2013-01-24",71.84,72.35,71.72,72.1,1112005
"2013-01-31",72,72.22,71.72,72.05,2017410
"2013-02-07",72.23,72.63,71.83,72.25,2339916
"2013-02-14",72.34,72.64,71.84,72.2,1779659
"2013-02-21",73.04,73.08,72.52,72.53,1324890
"2013-02-28",71.88,72.35,71.77,71.87,2104843
"2013-03-07",74.16,74.43,73.82,73.94,1622622
"2013-03-14",73.32,74.05,73.25,74.01,2327534
"2013-03-21",75.5,75.94,75.31,75.59,1849080
"2013-03-28",77.01,77.79,76.98,77.68,1691848
"2013-04-04",78.51,79.41,78.41,79.23,1884789
"2013-04-11",80,80.25,79.56,79.84,1729230
"2013-04-18",79.24,79.49,78.61,78.85,1797938
"2013-04-25",80.56,80.81,80.11,80.44,1151427
"2013-05-02",81.21,81.86,81.07,81.73,1139898
"2013-05-09",80.91,81.1,79.6,79.84,1968931
"2013-05-16",80.9,81.2,80.32,80.43,1161906
"2013-05-23",78.62,78.62,77.91,78.22,2062167
"2013-05-30",75.56,76.95,75.12,75.71,1962592
"2013-06-06",75.97,77.39,75.79,77.39,2888867
"2013-06-13",77.86,79.31,77.59,79.13,1692818
"2013-06-20",79.57,79.59,77.2,77.33,2516620
"2013-06-27",80.22,80.95,79.92,80.42,1250093
"2013-07-11",82.28,83.4,82.26,83.23,1736501
"2013-07-18",85.06,85.69,84.83,85.43,1455442
"2013-07-25",83.61,84.22,83.58,84.08,1821681
"2013-08-01",87.02,88.39,87.02,88.29,2911360
"2013-08-08",86.84,87.1,86.37,86.63,1463806
"2013-08-15",83.92,83.92,82.84,83,1465962
"2013-08-22",80.96,81.23,80.38,80.97,1436597
"2013-08-29",81.04,81.11,80.28,80.56,1379305
"2013-09-05",80.33,80.78,79.82,79.96,2352290
"2013-09-12",79.78,80.01,78.92,79.27,2190466
"2013-09-19",82.6,83.89,82.48,82.7,2034893
"2013-09-26",80.52,80.97,80.12,80.44,1805758
"2013-10-03",80.21,80.21,78.97,79.45,1478157
"2013-10-10",80.46,81.51,79.53,81.4,1956791
"2013-10-17",81.22,83.09,80.66,83,1509451
"2013-10-24",85.54,85.54,84.52,85.17,1236639
"2013-10-31",85.6,85.74,84.1,84.75,2944116
"2013-11-07",88.22,88.73,86.8,87,2236972
"2013-11-14",86.54,87.77,86.29,87.5,1533256
"2013-11-21",86.48,87.18,86.08,86.59,1990751
"2013-12-05",84.05,84.7,83.51,83.59,2649536
"2013-12-12",82.55,83.47,82.48,82.76,2974806
"2013-12-19",83.28,83.98,82.41,83.73,2149391
"2013-12-26",84.69,84.8,84.23,84.59,1181074
"2014-01-02",85.39,85.48,84.22,84.25,2429054
"2014-01-09",85.57,86.21,84.92,86.02,2067302
"2014-01-16",87,87.56,86.82,87.55,1021501
"2014-01-23",88.55,89.15,88.22,88.8,1458775
"2014-01-30",89.16,91.24,89.06,90.96,2898927
"2014-02-06",89.33,89.85,89.01,89.78,2282170
"2014-02-13",91.77,93.11,91.68,92.85,1272895
"2014-02-20",92.56,93.04,92.05,92.45,2207181
"2014-02-27",90.45,90.84,90,90.58,2071140
"2014-03-06",91.01,91.17,90.26,90.74,1632781
"2014-03-13",92.35,94.55,92.25,93.78,3103568
"2014-03-20",93,93.59,91.81,93.54,1912041
"2014-03-27",93.74,94.72,93.39,94.61,1592636
"2014-04-03",94.68,95.25,94.44,94.6,1283417
"2014-04-10",96.14,96.65,95.18,95.77,2802073
"2014-04-17",97.56,98.14,96.55,96.59,2590019
"2014-04-24",96.79,97.1,95.81,96.69,2190275
"2014-05-01",100.22,100.35,99.36,99.97,2674429
"2014-05-08",99.11,99.36,98.43,98.49,1758820
"2014-05-15",96.63,97.5,96.23,96.27,2661054
"2014-05-22",96.24,97.07,96.21,96.64,1321777
"2014-05-29",96.72,97.27,95.96,96.55,1496287
"2014-06-05",97.28,98.12,97.14,97.77,1177955
"2014-06-12",94.9,96.06,94.28,95.62,2583305
"2014-06-19",99.95,100.8,99.27,100.16,3539170
"2014-06-26",101.47,101.68,100.79,101.4,1960770
"2014-07-03",99.55,99.55,97.24,98.22,1455729
"2014-07-10",98.61,99.73,98.58,99.39,1530354
"2014-07-17",99.52,99.52,97.56,97.58,1606871
"2014-07-24",98.66,99.1,98.4,98.72,1058097
