"","ETN.Open","ETN.High","ETN.Low","ETN.Close","ETN.Volume"
"2012-12-06",51.13,51.52,50.74,51.4,4440680
"2012-12-13",52.04,52.36,51.54,51.68,3268840
"2012-12-20",54.23,54.7,54.03,54.66,3511516
"2012-12-27",53.99,54.26,52.87,53.63,2299458
"2013-01-03",56.3,56.93,56.09,56.37,3124608
"2013-01-10",56,56.05,55.01,55.93,3524592
"2013-01-17",55.48,56.52,55.28,56.42,3511609
"2013-01-24",56.5,57.48,56.28,57.31,3866482
"2013-01-31",56.7,57.11,56.47,56.95,2890589
"2013-02-07",59.76,59.79,58.6,58.88,4628370
"2013-02-14",60.67,61.46,60.61,61.24,2522415
"2013-02-21",60.24,60.28,59.29,59.45,3779126
"2013-02-28",61.53,62.56,61.25,61.97,3799958
"2013-03-07",62.37,62.5,61.8,62.02,1915062
"2013-03-14",63.79,63.81,62.81,63.17,2794495
"2013-03-21",62.39,63.26,62.25,62.62,3026642
"2013-03-28",60.86,61.46,60.6,61.25,4510680
"2013-04-04",59.2,59.82,58.93,59.53,3921575
"2013-04-11",61.17,62.88,61.1,61.69,2978777
"2013-04-18",57.5,57.58,55.41,55.8,6419429
"2013-04-25",58.91,59.24,58.64,58.69,2487029
"2013-05-02",59.21,60.08,59.18,59.45,3951231
"2013-05-09",64.3,65.32,64.2,64.74,2851339
"2013-05-16",65.29,66.22,65.28,65.7,3090953
"2013-05-23",67.78,68.6,67.3,68.24,3687341
"2013-05-30",67.58,67.99,67.11,67.77,1945986
"2013-06-06",64.02,64.4,63.48,64.4,2681710
"2013-06-13",63.39,65.2,63.12,64.83,2937957
"2013-06-20",63.75,64.4,63.17,63.57,3600337
"2013-06-27",64.56,65.58,64.56,65.22,2815941
"2013-07-11",68.38,68.63,67.83,68.21,3210320
"2013-07-18",67.33,67.73,66.95,67.64,2058940
"2013-07-25",67.66,68.04,67.1,68.02,1913239
"2013-08-01",69.53,70.07,69.29,69.93,2843684
"2013-08-08",64.8,65.58,64.8,65.35,3983896
"2013-08-15",66.08,66.1,65,65.24,3035671
"2013-08-22",65.85,67.24,65.68,67,1766019
"2013-08-29",63.71,64.66,63.61,63.99,1452960
"2013-09-05",64.84,65.66,64.64,65.44,1707527
"2013-09-12",67.99,68.05,66.91,67.17,1959191
"2013-09-19",69.94,71.16,69.9,70.79,3727345
"2013-09-26",70.7,70.95,70.15,70.51,1272052
"2013-10-03",69.14,69.15,67.84,68.23,2433228
"2013-10-10",66.57,68.09,66.43,67.92,3014503
"2013-10-17",66.57,67.46,66.4,67.33,2986533
"2013-10-24",67.77,68.9,67.11,68.5,3792740
"2013-10-31",70.66,71.14,70.18,70.56,3287240
