"","ETN.Open","ETN.High","ETN.Low","ETN.Close","ETN.Volume"
"2013-11-07",70.45,70.71,68.78,68.92,2629749
"2013-11-14",72.48,72.74,72.02,72.3,1935624
"2013-11-21",71.45,72.72,71.39,72.54,2262989
"2013-12-05",70.16,71.7,70.12,71.32,2449432
"2013-12-12",70.67,71.25,70.36,70.57,1638725
"2013-12-19",74.47,74.6,73.81,74.48,2105110
"2013-12-26",75.8,76.73,75.8,76.58,1441151
"2014-01-02",75.74,75.99,75.18,75.49,3774166
"2014-01-09",75.74,76.21,75,75.55,2436609
"2014-01-16",76.27,77.12,76.21,76.54,2381617
"2014-01-23",76.4,76.48,75.29,75.94,2733579
"2014-01-30",74.12,74.24,73.4,73.91,2833798
"2014-02-06",69.03,70.18,68.88,69.07,4986203
"2014-02-13",70.43,71.7,70.25,71.55,2169260
"2014-02-20",72.16,73.16,71.75,72.97,2619294
"2014-02-27",75.68,76,75.22,75.45,2607275
"2014-03-06",74.1,75.38,74.03,75.34,3215258
"2014-03-13",74.06,74.19,72.1,72.55,2776900
"2014-03-20",72.02,72.98,71.89,72.77,1731084
"2014-03-27",72.79,73.49,72.1,73.3,2380225
"2014-04-03",77,77.62,76.67,77.02,2750352
"2014-04-10",74.86,74.94,72.69,72.84,2394184
"2014-04-17",73.53,74.26,72.99,73.82,2757117
"2014-04-24",74.71,75.32,74.06,74.96,2031642
"2014-05-01",72.27,73.25,72.11,73.14,3201626
"2014-05-08",72.46,73.05,71.65,71.92,2946984
"2014-05-15",72.35,72.74,71.55,72.39,2763242
"2014-05-22",73.01,73.97,72.74,73.3,1969780
"2014-05-29",74.23,74.46,73.55,74.03,1619290
"2014-06-05",73.58,74.44,73.31,73.56,5181198
"2014-06-12",75.39,75.56,74.74,74.93,2860509
"2014-06-19",77.45,77.62,76.25,76.83,2314852
"2014-06-26",77.05,77.07,76.21,76.97,2107142
"2014-07-03",77.86,78.48,77.8,78.29,1563641
"2014-07-10",76.85,77.74,76.59,77.66,2644695
"2014-07-17",79.15,79.35,78.11,78.25,1986241
"2014-07-24",78.15,78.18,77.3,77.38,2241959
"2014-07-31",68.91,69.24,67.76,67.92,6087986
"2014-08-07",67.35,67.6,66.54,66.72,3455436
"2014-08-14",68.78,68.87,68.32,68.57,2500275
"2014-08-21",70.6,70.6,69.88,70.05,1518653
"2014-08-28",69.8,69.8,69,69.57,1767959
"2014-09-04",69.81,70.34,69.3,69.37,2198550
"2014-09-11",67.9,68,67.6,67.78,3338791
"2014-09-18",66.64,66.92,66.45,66.56,2701427
"2014-09-25",65.21,65.24,64.44,64.45,3834132
"2014-10-02",62,62.58,60.38,62.04,6621304
"2014-10-09",62.53,62.64,59.49,59.52,6369391
"2014-10-16",57.83,60.55,57.71,59.92,3940596
"2014-10-23",62.08,63.08,61.92,62.74,3428868
"2014-10-30",65.51,67.23,65.48,66.77,3687513
"2014-11-06",68.5,69.1,68.38,69.06,2741785
"2014-11-13",67.7,67.79,66.17,66.5,3353593
"2014-11-20",66.5,67.55,66.31,67.36,1385744
"2014-12-04",69.75,69.85,68.92,69.48,1768655
"2014-12-11",67.08,67.79,66.67,66.83,2399821
"2014-12-18",65.82,67.46,65.82,67.45,3147917
"2015-01-08",65.2,66.92,65.2,66.89,3445867
"2015-01-15",64.53,64.66,63.58,64.07,3640779
"2015-01-22",66.6,67.91,66.14,67.68,3463428
"2015-01-29",63.44,64.35,62.8,64.19,3359637
"2015-02-05",68.73,69.58,68.73,69.22,2552639
"2015-02-12",70.79,71.85,70.35,71.65,2697345
"2015-02-19",71.81,72.54,71.5,72.12,1381737
"2015-02-26",71.53,71.97,71.31,71.79,1905292
"2015-03-05",69.3,69.46,68.82,69.35,1733474
"2015-03-12",66.86,67.28,66.64,67.25,2301528
"2015-03-19",68.1,68.2,67.26,67.58,2032313
"2015-03-26",66.5,66.97,66.23,66.67,1981312
"2015-04-02",67.38,68.3,66.98,67.68,1987786
"2015-04-09",68.13,68.71,67.65,68.55,2398816
"2015-04-16",69.72,69.72,69.03,69.43,1662366
"2015-04-23",69.12,69.43,68.8,69.1,2075272
"2015-04-30",68.41,69.41,68.25,68.73,3521370
"2015-05-07",71.58,71.58,70.83,71.25,2448315
"2015-05-14",73.41,73.82,73.12,73.5,2767436
"2015-05-21",72.41,73.62,72.39,73.4,2564566
"2015-05-28",72.63,72.94,72.11,72.78,1716606
"2015-06-04",72.45,72.49,71.66,72.04,2222738
"2015-06-11",72.88,72.99,72.17,72.57,1315857
"2015-06-18",70.55,71.31,70.48,71.05,1826000
"2015-06-25",69.67,69.83,68.45,68.54,2238822
"2015-07-02",67.76,68.23,67.35,67.41,1971058
"2015-07-09",66.22,67.72,65.39,65.39,2297215
"2015-07-16",66.33,66.4,65.6,65.98,2103188
"2015-07-23",63.41,63.81,62.87,62.99,3664898
"2015-07-30",60.64,61.28,60.12,61.08,3394471
"2015-08-06",59.88,60.42,59.5,59.98,2528258
"2015-08-13",59.98,60.59,59.7,59.94,1719018
"2015-08-20",58.29,58.61,58,58.12,3589914
"2015-08-27",55.25,56.74,55.01,56.63,4137503
"2015-09-03",55.33,56.02,55.04,55.29,3208455
"2015-09-10",56.13,56.52,55.46,55.86,2395802
"2015-09-17",56.23,56.42,54.91,55.05,4279606
"2015-09-24",51.73,52.32,50.86,52.19,6607837
"2015-10-01",51.44,51.67,50.27,50.58,2901325
"2015-10-08",54.01,55.48,53.9,55.3,3886004
"2015-10-15",52.46,52.61,51.41,52.1,4652532
"2015-10-22",52.73,54.96,52.72,54.35,4617131
"2015-10-29",53.68,54.45,53.68,54.31,3572882
"2015-11-05",56.13,57.41,55.96,57.11,6716282
"2015-11-12",54.92,55.21,54.08,54.19,5799247
"2015-11-19",56.97,56.98,56.15,56.77,4470662
"2015-12-03",57.09,57.22,55.15,55.62,5184923
"2015-12-10",52.64,53.05,52.02,52.14,4156400
"2015-12-17",51.93,52.17,50.11,50.13,4476079
"2015-12-24",53.2,53.5,53.01,53.25,985943
"2015-12-31",52.41,52.79,52.02,52.04,2164435
"2016-01-07",49.95,50.26,49.38,49.73,4586590
"2016-01-14",48.71,48.71,47.15,48.32,4550799
"2016-01-21",47.57,48.69,46.78,47.78,3767211
"2016-01-28",50.3,50.7,49.5,50.19,3825806
"2016-02-04",52.47,55.26,52.47,54.36,6089272
"2016-02-11",52.59,53.72,52.35,53.1,4912170
"2016-02-18",56.16,56.49,55.87,56.2,2619340
"2016-02-25",56.75,57.34,56.09,57.28,2417901
"2016-03-03",57.39,57.85,56.97,57.83,2272009
"2016-03-10",58.65,59.45,58.38,59.41,4580921
"2016-03-17",60.78,63.3,60.78,63.11,4274703
"2016-03-24",61.93,62.4,61.31,62.37,2150172
"2016-03-31",62.75,62.97,62.26,62.56,2139208
"2016-04-07",59.07,60.2,58.94,59.48,4156949
"2016-04-14",63.31,63.39,62.43,62.58,2107994
"2016-04-21",62.08,62.66,61.83,62.15,2366390
"2016-04-28",63.51,63.98,62.9,63.19,2457510
"2016-05-05",61.13,61.61,60.62,60.98,1891506
"2016-05-12",62.27,62.49,61.68,62.07,1608579
"2016-05-19",59.64,59.74,58.86,59.54,3451814
"2016-05-26",61.54,62.29,61.38,61.52,1527473
"2016-06-02",61.53,61.78,61.12,61.75,1789289
"2016-06-09",62.66,62.92,62.23,62.77,1197547
"2016-06-16",60.23,60.98,59.62,60.79,1662465
"2016-06-23",62.56,62.82,62.23,62.82,1189635
"2016-06-30",58.34,59.73,57.96,59.73,2897578
"2016-07-07",59.52,60.49,59.48,60.11,2689835
"2016-07-14",63.86,64.71,63.35,63.8,3706491
"2016-07-21",63.6,63.86,62.86,63.21,1594982
"2016-07-28",64.15,64.15,63.53,64.01,1404517
"2016-08-04",64.36,64.9,64.13,64.5,2641189
"2016-08-11",66.9,67.37,66.7,67.33,3085563
"2016-08-18",67.66,67.73,67.37,67.72,1732290
"2016-08-25",67.24,67.58,66.86,67.39,1485136
"2016-09-01",66.66,66.94,65.91,66.92,2041211
"2016-09-08",66.6,66.66,66.06,66.08,1925652
"2016-09-15",62.9,63.38,62.65,63.09,2954577
