"","PKI.Open","PKI.High","PKI.Low","PKI.Close","PKI.Volume"
"2011-09-15",21.37,21.38,20.81,21.08,1209307
"2011-09-22",19.02,19.09,18.6,18.84,1124890
"2011-09-29",19.36,19.59,18.94,19.58,1282430
"2011-10-06",18.95,19.6,18.86,19.55,2208096
"2011-10-13",18.9,18.9,18.39,18.75,683988
"2011-10-20",18.74,19,18.51,18.98,891284
"2011-10-27",20.04,20.86,19.72,20.03,2427311
"2011-11-03",20.09,20.69,19.68,20.63,1725154
"2011-11-10",19.69,19.76,19.27,19.35,1883266
"2011-11-17",19.22,19.22,18.59,18.79,1143541
"2011-12-01",18.83,19.14,18.78,18.95,2190353
"2011-12-08",19.06,19.13,18.58,18.63,1893004
"2011-12-15",18.48,18.87,18.41,18.67,1747145
"2011-12-22",19.33,19.78,19.33,19.63,1169036
"2011-12-29",19.59,20.02,19.5,19.85,673642
"2012-01-05",20.27,20.63,20.26,20.53,645789
"2012-01-12",22.07,22.42,21.82,22.37,1591964
"2012-01-19",23.22,23.71,23.15,23.39,1939115
"2012-01-26",24.36,24.36,23.74,23.81,1036827
"2012-02-02",24.95,25.26,24.46,24.69,2324512
"2012-02-09",26.3,26.52,26.03,26.49,1083896
"2012-02-16",26.41,26.89,26.26,26.86,1031926
"2012-02-23",26.79,26.87,26.48,26.65,819487
"2012-03-01",27.09,27.27,26.9,26.99,1280079
"2012-03-08",26.39,26.64,25.96,26.61,1012599
"2012-03-15",27.03,27.71,26.88,27.31,928933
"2012-03-22",27.28,27.28,26.64,27.05,638972
"2012-03-29",27.33,27.68,27.2,27.67,781780
"2012-04-05",27.29,27.45,27.18,27.35,568332
"2012-04-12",26.43,26.98,26.33,26.9,508895
"2012-04-19",26.62,26.88,26.17,26.39,812391
"2012-04-26",26.75,26.97,26.58,26.84,1015806
"2012-05-03",28.06,28.19,27.81,27.97,1413929
"2012-05-10",27.28,27.33,26.97,27.11,1055883
"2012-05-17",26.17,26.43,25.86,25.94,999908
"2012-05-24",26.31,26.65,26.14,26.52,561853
"2012-05-31",26.57,26.74,26.05,26.6,1177079
"2012-06-07",26.44,26.62,26.01,26.08,660427
"2012-06-14",25.65,25.76,25.16,25.43,1337326
"2012-06-21",26.41,26.63,25.6,25.62,550631
"2012-06-28",25.01,25.1,24.72,25.07,463255
"2012-07-05",26.17,26.33,25.91,26.12,668475
"2012-07-12",24.06,24.27,23.85,24.19,630583
"2012-07-19",25.16,25.3,24.78,25.26,672829
"2012-07-26",24.8,25.38,24.59,24.88,647091
"2012-08-02",25.15,25.36,24.71,24.83,857798
