"","PKI.Open","PKI.High","PKI.Low","PKI.Close","PKI.Volume"
"2012-08-09",28,28.03,27.65,27.96,656820
"2012-08-16",27.48,27.52,27.12,27.3,894378
"2012-08-23",27.47,27.51,27.14,27.41,371027
"2012-08-30",26.72,27.03,26.56,26.95,518098
"2012-09-06",27.85,28.43,27.79,28.29,900365
"2012-09-13",28.71,29.72,28.34,29.4,1287938
"2012-09-20",30,30.18,29.78,30.15,601378
"2012-09-27",29.52,29.64,29.38,29.55,711069
"2012-10-04",29.89,30.33,29.68,30.2,1019169
"2012-10-11",29.66,29.78,29.5,29.53,365828
"2012-10-18",30.48,30.48,29.32,29.43,1377320
"2012-10-25",28.56,28.75,28.38,28.5,1346301
"2012-11-01",30.92,31.69,30.6,31.63,893221
"2012-11-08",31.23,31.33,30.67,30.67,637252
"2012-11-15",30.1,30.26,29.76,30.06,761518
"2012-11-29",31.34,31.58,31.1,31.42,760738
"2012-12-06",31.03,31.15,30.61,30.89,1260509
"2012-12-13",31.35,31.45,31.05,31.39,788004
"2012-12-20",31.83,32.05,31.75,32.05,473150
"2012-12-27",31.31,31.56,30.96,31.4,607627
"2013-01-03",32.01,32.18,31.87,32,560175
"2013-01-10",34.57,34.92,34.38,34.7,1353888
"2013-01-17",34.45,34.8,34.29,34.5,2056554
"2013-01-24",35.3,35.64,35.03,35.26,651963
"2013-01-31",34.98,35.4,34.74,35.24,1246091
"2013-02-07",34.41,34.59,34.19,34.49,1238336
"2013-02-14",34.47,34.69,34.4,34.53,1004740
"2013-02-21",33.27,33.5,32.88,32.99,834915
"2013-02-28",34.4,34.75,34.17,34.17,1092144
"2013-03-07",34.97,35.32,34.68,35.3,1194249
"2013-03-14",35.44,35.54,35.19,35.26,1042020
"2013-03-21",34.84,34.95,34.23,34.32,878085
"2013-03-28",33.14,33.67,33.05,33.64,657994
"2013-04-04",33.58,33.92,33.55,33.7,618357
"2013-04-11",34.72,35.08,34.65,34.95,821672
"2013-04-18",34.02,34.02,33.29,33.54,846550
"2013-04-25",34.14,34.75,33.97,34.47,1011309
"2013-05-02",31.08,31.12,30.54,30.55,1432802
"2013-05-09",32.18,32.51,32.12,32.28,968082
"2013-05-16",32.57,32.74,31.82,31.98,1861404
"2013-05-23",31.44,31.86,31.34,31.76,1127194
"2013-05-30",31.76,32.06,31.72,31.76,979767
"2013-06-06",31.85,32.31,31.74,32.31,1231399
"2013-06-13",32.6,33.52,32.2,33.42,1435036
"2013-06-20",33.3,33.31,32.64,32.76,1313687
"2013-06-27",33.01,33.12,32.74,32.87,1880655
"2013-07-11",34.2,34.24,33.78,33.99,526155
"2013-07-18",33.39,33.8,33.32,33.71,827031
"2013-07-25",33.74,33.97,33.68,33.96,490161
"2013-08-01",34.34,35.1,34.05,35.07,1453875
"2013-08-08",36.65,37,36.43,36.59,1027050
"2013-08-15",37.08,37.28,36.72,36.76,1816532
"2013-08-22",36.42,36.6,36.36,36.39,536959
"2013-08-29",35.87,36.12,35.71,36.04,680829
"2013-09-05",36.69,37.14,36.64,36.9,513737
"2013-09-12",37.85,37.94,37.47,37.51,995738
"2013-09-19",38.85,39.05,38.5,38.58,797569
"2013-09-26",37.75,38.12,37.67,38.11,398959
"2013-10-03",37.72,37.84,37.34,37.5,546771
"2013-10-10",36.72,37.03,36.61,37.03,864968
"2013-10-17",36.61,37.76,36.52,37.7,1039796
"2013-10-24",38,38.24,37.93,38.21,396935
"2013-10-31",38.15,39.09,37.55,38.04,1349637
"2013-11-07",37,37,36.39,36.41,905091
"2013-11-14",37.19,37.56,37,37.53,467169
"2013-11-21",37.91,38.36,37.91,38.25,295424
"2013-12-05",37.43,37.77,37.41,37.53,549664
"2013-12-12",38.85,39.4,38.68,39.06,1001175
"2013-12-19",40.13,40.55,39.89,40.45,707929
"2013-12-26",41.11,41.35,40.7,41.08,254027
"2014-01-02",40.99,41.39,40.86,40.94,832589
"2014-01-09",42.95,43.48,42.84,43.43,957648
"2014-01-16",42.94,43.52,42.78,43.23,696605
"2014-01-23",42.91,42.91,42.14,42.49,648120
"2014-01-30",43.09,44.23,42.94,44.04,2500512
"2014-02-06",42.73,43.05,42.67,42.86,923510
"2014-02-13",43.9,44.38,43.83,44.27,651994
"2014-02-20",43.17,44.06,42.99,44.05,1830957
"2014-02-27",44.61,45.44,44.48,45.3,1296149
"2014-03-06",45.99,46.23,45.7,46.09,1166849
"2014-03-13",45.47,45.68,44.42,44.61,441075
"2014-03-20",45.75,46.4,45.29,46.21,779218
"2014-03-27",44.63,44.87,44.11,44.33,703141
"2014-04-03",46.29,46.32,45.69,46.2,1001714
"2014-04-10",45.69,45.76,44.26,44.41,922550
"2014-04-17",44.18,44.61,44,44.27,642461
"2014-04-24",44.7,44.93,44.04,44.31,992351
"2014-05-01",41.99,42.77,41.92,42.32,778180
"2014-05-08",43.32,43.89,43.06,43.22,477569
"2014-05-15",43.54,43.71,42.48,42.91,845883
"2014-05-22",43.65,44.12,43.47,44.07,581232
"2014-05-29",44.58,45.03,44.53,44.82,559485
"2014-06-05",46.13,46.81,46.02,46.75,736548
"2014-06-12",46.66,46.8,46.25,46.39,593847
"2014-06-19",47.12,47.12,46.56,46.82,484303
"2014-06-26",46.89,46.89,46.38,46.75,383108
"2014-07-03",47.69,48.26,47.62,48.25,424316
"2014-07-10",46.18,46.79,46.06,46.69,353135
"2014-07-17",46.16,46.68,45.89,46.02,650159
"2014-07-24",47.69,47.9,47.54,47.72,367231
"2014-07-31",46.98,47.11,45.83,46.22,1465128
"2014-08-07",44.87,45.22,44.54,44.66,637419
"2014-08-14",45.29,45.68,45.21,45.61,339135
"2014-08-21",45.28,45.42,44.94,45.12,663957
"2014-08-28",44.63,44.87,44.48,44.71,597369
"2014-09-04",44.97,45.66,44.85,45.04,982776
"2014-09-11",44.98,45.22,44.78,44.92,814018
"2014-09-18",44.48,44.72,44.29,44.35,848959
"2014-09-25",44.33,44.38,43.51,43.51,1339651
"2014-10-02",42.68,42.82,42.13,42.4,1207239
"2014-10-09",43.14,43.22,42.43,42.43,2582377
"2014-10-16",39.17,40.16,39.02,40.07,1344111
"2014-10-23",40.63,41.3,40.63,41.13,986817
"2014-10-30",42.33,43.47,42.03,43.39,1749374
"2014-11-06",44.06,44.67,44.04,44.66,729814
"2014-11-13",43.77,43.79,43.36,43.54,775898
"2014-11-20",43.61,44.25,43.45,44,523803
"2014-12-04",44.8,44.99,44.41,44.55,1056949
"2014-12-11",42.08,42.61,42,42.07,853364
"2014-12-18",42.85,43.13,42.53,43.12,1165803
"2015-01-08",43.42,44.28,43.27,44,1909473
"2015-01-15",43.03,43.12,42.27,42.8,993196
"2015-01-22",43.89,43.94,43.17,43.84,1101962
"2015-01-29",44.25,44.91,44,44.86,1382883
"2015-02-05",46.07,46.7,46.07,46.59,952083
"2015-02-12",46.04,46.44,45.88,46.4,308126
"2015-02-19",46.2,46.36,45.91,45.93,445282
"2015-02-26",47,47.08,46.57,47,328870
"2015-03-05",46.66,47.35,46.56,47.28,342383
"2015-03-12",46.83,47.27,46.82,47.24,382256
"2015-03-19",49,49.96,48.78,49.85,1129037
"2015-03-26",50.22,50.55,49.97,50.51,2238482
"2015-04-02",50.68,50.98,50.33,50.75,761640
"2015-04-09",51.09,51.29,50.74,51.25,583778
"2015-04-16",51.16,51.5,51.1,51.43,579423
"2015-04-23",51.53,51.72,51.33,51.57,369590
"2015-04-30",51.53,51.93,51.01,51.26,2052113
"2015-05-07",50.35,50.64,50.09,50.45,1154456
"2015-05-14",51.44,51.94,51.44,51.78,841604
"2015-05-21",53.64,53.67,53.25,53.39,393960
"2015-05-28",53.4,53.59,52.82,53.09,485685
"2015-06-04",52.79,52.86,52.33,52.45,236392
"2015-06-11",52.82,52.86,52.52,52.74,336319
"2015-06-18",53.25,54.37,53.24,53.88,729710
"2015-06-25",53.6,54.09,53.19,54.01,648620
"2015-07-02",52.66,52.84,52.08,52.24,786451
"2015-07-09",51.56,51.77,51,51.02,628372
"2015-07-16",52.83,52.83,52.09,52.35,904146
"2015-07-23",51.91,52.07,51.54,51.63,637401
"2015-07-30",50.56,51.54,50.2,51.42,1085996
"2015-08-06",52.99,52.99,51.51,51.62,398593
"2015-08-13",50.35,50.65,49.98,50.33,788446
"2015-08-20",49.52,49.63,49.08,49.14,841699
"2015-08-27",48.25,49.52,48.23,49.44,898778
"2015-09-03",47.62,48.42,47.59,47.95,843138
"2015-09-10",47.09,47.73,47.04,47.45,667824
"2015-09-17",48.63,49.67,48.6,49.03,477448
"2015-09-24",46.1,46.13,45.56,45.93,688057
"2015-10-01",45.91,46.09,45.06,45.43,764947
"2015-10-08",47.35,47.99,47.13,47.88,437034
"2015-10-15",47.15,48.26,47.12,48.25,399579
"2015-10-22",48.98,49.44,48.71,48.99,791020
"2015-10-29",51.09,51.31,50.61,51.15,585222
"2015-11-05",53.29,53.5,52.35,52.43,891386
"2015-11-12",51.4,51.69,50.67,50.68,556446
"2015-11-19",52.65,52.88,52.42,52.63,497097
"2015-12-03",51.41,51.91,50.58,50.89,756730
"2015-12-10",50.11,50.58,49.88,50.38,604727
"2015-12-17",52.65,52.82,51.93,51.94,568679
"2015-12-24",53.05,53.56,53.03,53.44,159429
"2015-12-31",53.78,54.26,53.56,53.57,499429
"2016-01-07",51,51.41,49.85,50.06,848553
"2016-01-14",47.36,48.49,47.04,48.1,765803
"2016-01-21",48.21,48.24,47.27,47.52,638606
"2016-01-28",48.59,48.59,46.6,46.97,1033211
"2016-02-04",46.71,47.43,46.18,46.58,1117280
"2016-02-11",43.18,43.68,42.81,43.41,1513909
"2016-02-18",45.69,46.57,45.49,45.68,891536
"2016-02-25",47.28,47.94,47.12,47.62,915013
"2016-03-03",49.2,49.25,48.43,48.94,884248
"2016-03-10",48.02,48.23,47.3,47.64,702847
"2016-03-17",48,48.13,47.08,47.51,669342
"2016-03-24",48.49,48.71,47.99,48.42,423672
"2016-03-31",49.21,49.91,48.99,49.46,683818
"2016-04-07",49.96,50.18,49.05,49.26,810391
"2016-04-14",50.91,51.22,50.56,50.64,402762
"2016-04-21",51.35,51.78,50.97,51.42,270535
"2016-04-28",51.14,51.6,50.64,50.84,280776
"2016-05-05",50.25,50.78,50.06,50.76,636372
"2016-05-12",54.52,54.64,53.91,54.48,442644
"2016-05-19",53.8,54.02,53.17,53.97,695455
"2016-05-26",55.55,56.12,54.92,54.97,751213
"2016-06-02",54.81,55.12,54.46,54.92,706659
"2016-06-09",54.81,54.92,54.2,54.29,677304
"2016-06-16",52.67,52.87,52.27,52.73,343413
"2016-06-23",53.69,54.24,53.46,54.23,625627
"2016-06-30",51.6,52.43,51.5,52.42,509269
"2016-07-07",52.52,52.77,52.45,52.59,559561
"2016-07-14",56.17,56.19,55.77,55.89,793438
"2016-07-21",55.59,55.86,54.98,55.19,437172
"2016-07-28",55.78,55.91,55.08,55.59,467837
"2016-08-04",55.85,55.98,55.49,55.72,487387
"2016-08-11",54.65,54.91,54.36,54.72,323669
"2016-08-18",54.75,54.99,54.4,54.96,387813
"2016-08-25",54.11,54.6,53.82,54.08,252715
"2016-09-01",53.27,53.53,52.99,53.26,489953
"2016-09-08",54.48,54.93,54.34,54.85,646556
"2016-09-15",51.98,53.32,51.9,53.16,416582
