"","AIG.Open","AIG.High","AIG.Low","AIG.Close","AIG.Volume"
"2011-09-15",24.82,25.16,24.48,25.04,4438488
"2011-09-22",22.35,22.63,21.2,21.61,10720081
"2011-09-29",23.29,23.48,22.32,22.89,7853629
"2011-10-06",21.33,22.03,20.65,22.02,7490765
"2011-10-13",23.43,23.52,22.45,23.03,6039224
"2011-10-20",22.6,23.05,22.14,22.91,8190475
"2011-10-27",26.29,27.16,25.95,26.29,11788393
"2011-11-03",24.43,24.78,23.6,24.63,6343003
"2011-11-10",22.96,23.4,22.75,23.15,6105468
"2011-11-17",22.5,22.72,21.74,21.88,5820936
"2011-12-01",23.15,23.32,22.83,23,6062526
"2011-12-08",24.17,24.17,23.03,23.11,6715315
"2011-12-15",23.2,23.52,23.07,23.22,5199370
"2011-12-22",24.15,24.49,23.99,24.17,3827261
"2011-12-29",22.98,23.33,22.95,23.24,3269733
"2012-01-05",23.79,24.1,23.4,23.91,4944049
"2012-01-12",25.52,25.65,25.08,25.43,3444327
"2012-01-19",25.41,25.79,25.27,25.55,4005873
"2012-01-26",25.38,25.6,24.94,25.14,5449167
"2012-02-02",26.73,26.79,26.09,26.31,5008591
"2012-02-09",27.11,27.8,27.1,27.35,5493079
"2012-02-16",26.56,27.3,26.48,27.28,4927476
"2012-02-23",27.82,28.1,27.48,27.99,7850516
"2012-03-01",29.39,29.99,29.26,29.45,6684015
"2012-03-08",28.59,28.78,28.31,28.31,78004011
"2012-03-15",28.3,28.38,28.05,28.08,13304894
"2012-03-22",28.17,28.3,27.71,27.98,10422278
"2012-03-29",29.39,30.01,29.1,29.94,12477145
"2012-04-05",32.4,33.44,32.15,32.89,18230740
"2012-04-12",32.02,33.34,31.91,33.23,20276387
"2012-04-19",32.51,32.8,32.01,32.27,9500167
"2012-04-26",32.68,33.96,32.46,33.71,13590280
"2012-05-03",35.04,35.05,34,34.14,14126896
"2012-05-10",32.39,32.55,32.05,32.14,16676387
"2012-05-17",29.96,30.16,28.34,28.47,34938982
"2012-05-24",29.41,29.69,28.79,29.41,16024606
"2012-05-31",28.97,29.4,28.4,29.18,11610410
"2012-06-07",30.45,30.73,29.98,30.15,13584117
"2012-06-14",30.32,31.31,30.03,31.03,11245902
"2012-06-21",31.99,32.29,30.8,31.04,11830228
"2012-06-28",30.48,30.88,30.02,30.84,9430455
"2012-07-05",32.19,32.3,31.8,31.97,6011115
"2012-07-12",30.53,30.64,29.97,30.47,7674704
"2012-07-19",32,32,31.38,31.76,6535306
"2012-07-26",30.77,30.9,30.08,30.69,8140630
"2012-08-02",30.72,31.44,30.27,30.84,12004166
"2012-08-09",32.39,32.69,32.15,32.51,9206444
"2012-08-16",34.17,35,34.16,34.61,18859156
"2012-08-23",33.61,33.8,33.34,33.76,9473715
"2012-08-30",33.61,33.99,33.51,33.79,5749821
"2012-09-06",33.78,35.3,33.75,34.22,38649998
"2012-09-13",33.99,34.54,33.69,34.44,42774628
"2012-09-20",33.99,34.13,33.45,33.82,30011054
"2012-09-27",33.02,33.32,32.83,33.2,14087693
"2012-10-04",34.51,35.19,34.42,34.95,25757019
"2012-10-11",35.94,36.14,35.65,35.68,17013618
"2012-10-18",36.86,37.67,36.8,37.21,25913724
"2012-10-25",35.22,35.32,34.62,34.98,14368078
"2012-11-01",35.15,35.56,34.76,35.2,18600060
"2012-11-08",32.03,32.27,31.41,31.41,19672209
"2012-11-15",30.97,31.6,30.82,31.24,18855576
"2012-11-29",32.75,33.44,32.72,33.35,17907915
"2012-12-06",33.84,33.9,33.14,33.26,20385490
"2012-12-13",34.84,35.04,34,34.24,42727972
"2012-12-20",34.94,35.58,34.75,35.53,26898447
"2012-12-27",35.5,35.5,34.4,34.97,16675030
"2013-01-03",36.53,36.61,36.06,36.18,17116900
"2013-01-10",35.79,35.95,35.46,35.8,18183613
"2013-01-17",35.57,35.81,35.14,35.21,17737147
"2013-01-24",36.54,37.12,36.49,36.6,22227862
"2013-01-31",37.55,38.05,37.39,37.83,13596265
"2013-02-07",38.84,38.94,38.07,38.64,13560032
"2013-02-14",38.64,39.26,38.5,39.21,18325734
"2013-02-21",37.36,37.61,36.82,37.28,24591219
"2013-02-28",37.85,38.46,37.73,38.01,16433879
"2013-03-07",38.61,39.36,38.6,39.01,15730571
"2013-03-14",39.02,39.23,38.81,39.02,12360318
"2013-03-21",38.03,38.08,37.67,37.8,16165773
"2013-03-28",38.27,38.92,38.19,38.82,16823228
"2013-04-04",37.91,38.6,37.48,37.69,16606746
"2013-04-11",40.11,40.68,39.79,40.44,12557094
"2013-04-18",38.74,39.04,38.05,38.34,12242332
"2013-04-25",41.74,42.66,41.53,42.28,27502994
"2013-05-02",41.64,42.47,41.44,42.13,22015296
"2013-05-09",44.37,44.5,43.91,44.07,12839529
"2013-05-16",45.4,45.9,44.68,44.91,14301248
"2013-05-23",43.33,44.78,43.25,44.53,17465961
"2013-05-30",45.49,46.46,45.33,46.21,13257161
"2013-06-06",43.83,44.87,43.31,44.86,18800005
"2013-06-13",44.49,45.97,44.23,45.94,15256667
"2013-06-20",44.57,45,44.02,44.27,21074740
"2013-06-27",43.95,44.73,43.83,44.48,16685502
"2013-07-11",46.26,46.36,45.76,45.92,15968700
"2013-07-18",46.97,47.05,46.68,46.99,11474306
"2013-07-25",45.93,46.61,45.72,46.5,7623236
"2013-08-01",46.02,47.14,46.02,47.07,21009755
"2013-08-08",48.35,48.72,47.8,48.6,9711811
"2013-08-15",47.62,47.75,46.81,47.04,11059395
"2013-08-22",46.99,47.67,46.8,47.15,8189230
"2013-08-29",46.31,47.15,46.17,46.58,7150266
"2013-09-05",48.44,48.94,48.3,48.67,9852129
"2013-09-12",49.9,49.93,49.15,49.28,7342331
"2013-09-19",50.79,50.82,49.81,49.86,11026514
"2013-09-26",49.69,49.8,49.2,49.45,5691131
"2013-10-03",49.06,49.48,48.34,48.85,7884670
"2013-10-10",48.29,49.62,48.24,49.58,11427327
"2013-10-17",51.14,51.9,50.97,51.85,6927105
"2013-10-24",51.99,52.15,51.34,51.8,7613106
"2013-10-31",51.92,52.1,51.43,51.65,12978575
"2013-11-07",47.7,48.14,47.11,47.3,17749653
"2013-11-14",48.74,49.33,48.4,49.31,10290142
"2013-11-21",48.47,49.11,48.45,48.92,9812756
"2013-12-05",48.7,48.84,48.03,48.19,9137733
"2013-12-12",48.56,49.97,48.42,49.42,14566849
"2013-12-19",50.03,50.62,49.86,50.36,9060377
"2013-12-26",51.3,51.38,50.93,51,4186158
"2014-01-02",50.81,51.3,50.47,50.71,9198092
"2014-01-09",51.88,52.29,51.7,52.11,8166238
"2014-01-16",52.07,52.1,51.32,51.5,6214107
"2014-01-23",50.02,50.02,48.71,49.21,10800159
"2014-01-30",48.45,49.09,48.44,48.88,7205104
"2014-02-06",47.82,48.28,47.56,47.72,9027114
"2014-02-13",48.75,49.74,48.3,49.59,12011762
"2014-02-20",49.2,49.47,48.91,49.22,9828599
"2014-02-27",48.7,49.36,48.46,49.31,9635372
"2014-03-06",51.27,51.46,50.87,51.26,11056785
"2014-03-13",50.24,50.24,48.65,48.74,12580551
"2014-03-20",49.8,50.5,49.74,50.38,8102280
"2014-03-27",49.55,49.67,48.85,49.41,8736778
"2014-04-03",50.82,50.91,50.46,50.83,10948650
"2014-04-10",51.05,51.23,49.93,50.06,10504583
"2014-04-17",50.26,51.22,50.23,50.82,7142386
"2014-04-24",51.82,52.73,51.52,52.49,8804334
"2014-05-01",53.02,53.22,52.54,52.94,7400702
"2014-05-08",51.51,52.76,51.5,52.37,9090324
"2014-05-15",53.28,53.57,52.24,52.86,8794148
"2014-05-22",53.51,53.74,53.16,53.54,4699536
"2014-05-29",53.65,54.31,53.41,54.18,7178530
"2014-06-05",54.96,55.07,54.33,54.95,6818193
"2014-06-12",54.73,54.78,54.3,54.42,7892252
"2014-06-19",55.79,55.83,55.37,55.7,6149675
"2014-06-26",55,55,54.13,54.89,5940746
"2014-07-03",55.51,55.99,55.36,55.64,3690025
"2014-07-10",54.07,54.57,53.13,54.48,8825149
"2014-07-17",54.92,55.32,54.66,54.7,7546812
"2014-07-24",55.2,55.39,54.9,55.17,4241440
"2014-07-31",52.6,52.96,51.9,51.98,8272690
"2014-08-07",52.83,53,51.98,52.06,13329387
"2014-08-14",53.64,54.27,53.58,54.06,6443151
"2014-08-21",54.81,55.75,54.73,55.58,8043680
"2014-08-28",55.83,55.87,55.47,55.73,5346947
"2014-09-04",55.82,55.95,54.97,55.23,6443059
"2014-09-11",55.08,55.63,55.03,55.43,4344106
"2014-09-18",55.76,56.48,55.76,56.33,7827758
"2014-09-25",54.87,54.9,54.12,54.16,7623623
"2014-10-02",52.97,53.12,51.7,52.61,12801886
"2014-10-09",51.84,52,50.21,50.42,18872294
"2014-10-16",48.95,50,48.68,49.4,12585452
"2014-10-23",52.12,52.24,51.52,51.62,6829290
"2014-10-30",52.16,53.1,52.14,52.93,5578840
"2014-11-06",53.63,54.05,53.4,53.91,7559621
"2014-11-13",54.19,54.61,54.17,54.5,5844213
"2014-11-20",53.75,54.47,53.69,54.45,7717929
"2014-12-04",54.69,55.32,54.65,55.17,5442790
"2014-12-11",54.87,55.89,54.78,55.18,7441205
"2014-12-18",54.68,55.01,54.37,55.01,8562209
"2015-01-08",54.42,54.67,53.86,54.24,13066317
"2015-01-15",51.38,51.54,50.37,50.4,8056050
"2015-01-22",51.28,52.33,50.86,52.28,11850129
"2015-01-29",49.37,49.7,48.68,49.26,12400189
"2015-02-05",51.26,51.87,51.15,51.62,6365461
"2015-02-12",52.31,52.69,52.08,52.45,9322410
"2015-02-19",54.66,55.25,54.54,54.98,8073730
"2015-02-26",54.78,55.11,54.68,54.93,6594154
"2015-03-05",55.56,55.67,55.2,55.61,5614938
"2015-03-12",54.98,55.66,54.9,55.6,5887231
"2015-03-19",56.15,56.41,55.36,55.65,6170894
"2015-03-26",54.38,54.55,54.13,54.17,8884405
"2015-04-02",54.65,55.23,54.41,55.14,5354695
"2015-04-09",55.4,56.47,55.35,56.29,6645380
"2015-04-16",58.36,58.73,58.13,58.16,7321546
"2015-04-23",56.52,56.79,56.24,56.75,9688382
"2015-04-30",56.28,56.72,55.93,56.29,7291435
"2015-05-07",58.16,59.5,57.82,58.97,8479393
"2015-05-14",59,59.21,58.72,58.97,3955967
"2015-05-21",59.93,60.7,59.85,60.22,6743082
"2015-05-28",59.3,59.51,58.74,59.45,4119595
"2015-06-04",60.67,61.03,60.47,60.61,8335722
"2015-06-11",61.69,62.22,61.57,61.99,8332364
"2015-06-18",62.29,62.38,61.77,62.29,8908777
"2015-06-25",62.87,63.22,62.42,62.43,6887156
"2015-07-02",62.47,62.59,61.91,62.08,6473994
"2015-07-09",61.86,62.16,61.63,61.76,6035479
"2015-07-16",64.5,64.5,63.79,64.16,5180381
"2015-07-23",64.6,64.93,64.04,64.14,4911240
"2015-07-30",64.42,64.6,64.15,64.53,5295880
"2015-08-06",62.98,63.62,62.87,63.02,10480463
"2015-08-13",63.18,63.82,63.15,63.24,4305760
"2015-08-20",62.33,62.69,61.69,61.71,8366324
"2015-08-27",59.83,61.16,59.38,61.11,9612905
"2015-09-03",59.38,60.09,59.27,59.45,8609626
"2015-09-10",58.02,58.54,57.88,58.22,6930354
"2015-09-17",59.04,59.48,58.33,58.43,6327003
"2015-09-24",56.45,57.08,56.3,56.9,5731135
"2015-10-01",57.19,57.22,56.06,56.92,6857126
"2015-10-08",57.64,58.25,57.31,58.24,5907423
"2015-10-15",58.4,59.23,57.97,59.19,4672364
"2015-10-22",60.53,61.17,60.51,60.75,7521418
"2015-10-29",63.86,64,63.03,63.49,6931855
"2015-11-05",60.68,62.12,60.62,62,10926797
"2015-11-12",60.49,60.56,59.37,59.38,8038892
"2015-11-19",61.95,62.2,61.8,61.98,5986270
"2015-12-03",63.45,63.5,62.14,62.36,8101759
"2015-12-10",62.07,62.25,60.9,60.98,14235854
"2015-12-17",61.16,61.45,60.11,60.13,8258552
"2015-12-24",61.45,62.09,61.41,61.7,2560489
"2015-12-31",62.3,62.74,61.96,61.97,4909601
"2016-01-07",58.53,59.5,58.23,58.32,8951426
"2016-01-14",56.78,57.82,56.38,57.3,9118524
"2016-01-21",55.11,56.12,55.05,55.31,8286400
"2016-01-28",55.01,55.3,54.18,54.71,12160136
"2016-02-04",54.17,54.78,53.69,54.02,12265266
"2016-02-11",51.05,51.47,50.38,50.52,18361223
"2016-02-18",51.96,52.29,51.55,51.92,8176621
"2016-02-25",50.8,51.44,50.39,51.37,8151152
"2016-03-03",51.89,52.36,51.53,52.27,9460279
"2016-03-10",51.35,52.03,50.83,51.54,5359730
"2016-03-17",52.9,53.48,52.37,53.18,5760822
"2016-03-24",52.97,53.06,52.54,52.98,5609935
"2016-03-31",54.51,54.83,53.95,54.05,8305899
"2016-04-07",53.67,53.85,52.81,53.11,5610208
"2016-04-14",55,55.58,54.82,55.26,5933538
"2016-04-21",55.9,56.24,55.5,55.52,5283405
"2016-04-28",56.2,56.66,55.74,55.83,6783761
"2016-05-05",54.82,55.03,54.55,54.81,7760259
"2016-05-12",56.2,56.45,55.9,56.29,7705671
"2016-05-19",56.35,56.67,55.83,56.36,7510111
"2016-05-26",57.8,57.99,57.64,57.75,4548805
"2016-06-02",57.72,57.89,57.4,57.84,6295674
"2016-06-09",56.31,56.41,55.99,56.1,7286674
"2016-06-16",53.15,53.69,52.75,53.63,6381876
"2016-06-23",54.2,54.71,54.2,54.71,4283865
"2016-06-30",51.9,52.92,51.5,52.89,10472525
"2016-07-07",51.55,52.15,51.32,51.82,7622899
"2016-07-14",54.43,54.69,54.09,54.4,5614762
"2016-07-21",54.5,54.64,54.19,54.29,4160970
"2016-07-28",54.41,54.9,54.34,54.79,3305403
"2016-08-04",58.09,58.25,57.58,57.61,8257399
"2016-08-11",59.2,59.54,59.14,59.18,3444443
"2016-08-18",59.11,59.35,58.8,58.98,3757155
"2016-08-25",58.76,59.25,58.74,58.94,4078439
"2016-09-01",59.91,59.99,58.99,59.41,4677348
"2016-09-08",59.38,59.58,58.97,59.04,5279550
"2016-09-15",58,58.9,57.88,58.59,6574740
