"","VRSK.Open","VRSK.High","VRSK.Low","VRSK.Close","VRSK.Volume"
"2011-09-15",35.08,35.08,34.62,34.79,771192
"2011-09-22",34.24,34.34,33.52,33.93,655482
"2011-09-29",34.59,34.59,33.6,34.49,797660
"2011-10-06",34.18,34.51,33.92,34.31,478810
"2011-10-13",35.05,35.13,34.61,34.73,603371
"2011-10-20",33.97,34.48,33.68,34.43,703278
"2011-10-27",34.61,35,34.43,34.77,547883
"2011-11-03",36,37.7,35.84,37.42,2097566
"2011-11-10",37.8,38.25,37.42,37.72,721657
"2011-11-17",36.91,37.15,36.35,36.45,604629
"2011-12-01",39.03,39.37,38.66,38.75,774162
"2011-12-08",38.22,38.57,38,38,819087
"2011-12-15",38.69,38.69,38.2,38.48,893047
"2011-12-22",39.45,39.59,39.08,39.18,608927
"2011-12-29",39.8,40.17,39.7,40.01,500724
"2012-01-05",38.86,39.23,38.44,39.13,635569
"2012-01-12",40.34,40.39,39.65,39.8,611921
"2012-01-19",39.91,41.01,39.71,40.48,1044103
"2012-01-26",40.27,40.71,40.02,40.09,526284
"2012-02-02",40.02,40.02,39.38,39.47,680727
"2012-02-09",40.85,40.99,40.55,40.68,277361
"2012-02-16",41.54,41.71,41.17,41.54,688295
"2012-02-23",41.13,41.86,41.13,41.75,340144
"2012-03-01",43.56,43.99,43.04,43.2,886851
"2012-03-08",44.21,44.63,44.1,44.15,593044
"2012-03-15",44.76,45.1,44.52,45,658136
"2012-03-22",45.77,46.25,45.63,46.09,1021746
"2012-03-29",46.53,47,46.53,46.94,476834
"2012-04-05",46.98,47.23,46.77,47.13,692378
"2012-04-12",47.73,47.89,47.26,47.47,725609
"2012-04-19",48,48.19,47.35,47.62,435927
"2012-04-26",48.35,49.3,48.35,49.23,902483
"2012-05-03",49.36,49.43,48.44,48.84,1424332
"2012-05-10",48.47,48.6,48.1,48.52,472540
"2012-05-17",48.9,48.9,47.71,47.94,487229
"2012-05-24",48.2,48.36,47.72,47.98,506126
"2012-05-31",47.89,48.05,47.43,47.9,805440
"2012-06-07",47.54,47.77,46.94,47.09,632258
"2012-06-14",47.75,48.09,47.68,48.08,593046
"2012-06-21",48.38,48.93,48.27,48.45,952643
"2012-06-28",48.1,48.3,47.56,47.92,785070
"2012-07-05",49.98,50.66,49.8,49.88,1015772
"2012-07-12",49.47,49.98,49.38,49.83,1001812
"2012-07-19",50.74,50.86,50.26,50.44,470130
"2012-07-26",49.3,50.05,49.3,49.92,931351
"2012-08-02",48.49,48.49,47.01,47.79,1598193
"2012-08-09",49.05,49.05,48.46,48.74,941160
"2012-08-16",48.68,48.87,48.44,48.71,801005
"2012-08-23",48.12,48.62,48.12,48.35,649841
"2012-08-30",48.21,48.21,47.61,48.01,323612
"2012-09-06",48.03,49.72,47.95,49.13,1215360
"2012-09-13",48.07,48.29,47.92,48.08,346781
"2012-09-20",47.54,47.7,47.04,47.3,589170
"2012-09-27",47.38,48.4,46.9,47.81,924416
"2012-10-04",47.64,47.88,47.54,47.88,366930
"2012-10-11",47.8,47.83,46.84,46.93,435569
"2012-10-18",47.51,47.58,46.86,46.96,487443
"2012-10-25",45.2,46.42,45.09,46.29,619709
"2012-11-01",51,51.69,50.93,51.35,1063529
"2012-11-08",49.52,49.62,49.19,49.33,495216
"2012-11-15",48.35,49.14,47.5,47.97,1024294
