"","VRSK.Open","VRSK.High","VRSK.Low","VRSK.Close","VRSK.Volume"
"2012-11-29",48.92,49.66,48.92,49.53,746016
"2012-12-06",49.04,49.24,48.81,49.07,914010
"2012-12-13",49.55,49.67,49.15,49.21,708434
"2012-12-20",50.82,51.25,50.62,51.13,1060294
"2012-12-27",49.98,50.27,49.24,50.11,626837
"2013-01-03",52.94,53.6,52.8,53.59,1201652
"2013-01-10",54.3,54.3,53.67,53.87,1141135
"2013-01-17",53.75,54.16,53.42,53.84,896728
"2013-01-24",54.89,55.77,54.56,55.18,677218
"2013-01-31",55.09,55.5,54.57,55.16,596314
"2013-02-07",54.71,54.71,53.84,54.29,850829
"2013-02-14",54.47,54.55,54.26,54.27,406261
"2013-02-21",54.25,54.32,53.5,53.73,434744
"2013-02-28",58.3,58.81,57.15,58.47,1249535
"2013-03-07",59.47,59.82,59,59.37,737565
"2013-03-14",59.13,59.57,58.92,59.56,569684
"2013-03-21",59.67,60.28,59.59,60.02,588537
"2013-03-28",61.77,61.85,60.9,61.62,1221266
"2013-04-04",60.38,60.67,59.7,59.98,560899
"2013-04-11",61.16,61.48,60.77,61.02,509668
"2013-04-18",59.67,59.88,59.09,59.14,441285
"2013-04-25",59.88,60.42,59.74,60.11,575961
"2013-05-02",59.83,61.17,59.16,60.65,501885
"2013-05-09",61.18,61.36,60.64,60.81,563351
"2013-05-16",59.76,60.92,58.62,60.4,642564
"2013-05-23",59.74,60.4,59.06,59.99,1064644
"2013-05-30",59.22,59.66,59.09,59.18,1440044
"2013-06-06",57.87,58.6,57.84,58.6,625927
"2013-06-13",58.76,58.97,58.09,58.75,543043
"2013-06-20",59.1,59.1,57.43,57.7,673092
"2013-06-27",58.36,58.85,58.31,58.65,314027
"2013-07-11",62,62.69,61.84,62.64,484658
"2013-07-18",61.75,62.11,61.69,61.75,413980
"2013-07-25",61.67,62.22,61.51,61.7,471580
"2013-08-01",64.43,64.99,64.16,64.46,1480094
"2013-08-08",63.66,63.66,62.84,63.29,336810
"2013-08-15",61.82,62.21,61.16,61.66,417051
"2013-08-22",61.7,62.34,61.69,62.03,267731
"2013-08-29",61.85,62.73,61.74,62.31,350532
"2013-09-05",63.23,63.47,62.94,63.08,731171
"2013-09-12",65.16,65.38,64.86,65.17,344544
"2013-09-19",66.75,66.77,65.96,66.39,826543
"2013-09-26",65.4,65.78,64.9,65.25,391200
"2013-10-03",64.34,64.47,63.28,63.97,1134895
"2013-10-10",65.35,66.66,65.35,66.45,477607
"2013-10-17",67.6,68.77,67.36,68.71,523046
"2013-10-24",68.43,69.09,67.94,68.02,658197
"2013-10-31",68.11,68.69,67.87,68.52,474649
"2013-11-07",61.68,64.15,61.13,61.27,1287545
"2013-11-14",63.3,64.09,63.2,63.67,545986
"2013-11-21",62.63,63.39,62.43,63.27,776614
"2013-12-05",65.1,65.12,64.71,65.1,975012
"2013-12-12",64.64,64.8,64.04,64.19,849689
"2013-12-19",65.51,66.08,65.51,65.85,516400
"2013-12-26",66.19,66.42,65.74,65.98,290324
"2014-01-02",65.27,65.57,64.75,65.12,683322
"2014-01-09",63.59,63.65,62.97,63.14,585053
"2014-01-16",63.46,64.15,63.2,64.12,1000912
"2014-01-23",63.45,64.16,63.23,64.16,717339
"2014-01-30",63.79,64.61,63.58,64.55,551878
"2014-02-06",62.56,62.88,62.32,62.33,838908
"2014-02-13",63.8,66.01,63.7,65.89,1345981
"2014-02-20",65.5,66.25,65.29,66.05,620616
"2014-02-27",64.13,64.13,63.55,63.79,936880
"2014-03-06",62.1,62.92,61.89,62.58,1897251
"2014-03-13",63.29,63.48,62.24,62.36,792643
"2014-03-20",62.76,63.05,62.4,62.47,515587
"2014-03-27",61.02,61.24,60.33,60.5,819443
"2014-04-03",60.59,61.1,60.4,60.75,1037171
"2014-04-10",58.86,59.15,57.85,58.08,1729246
"2014-04-17",57.93,58.24,57.52,57.6,461064
"2014-04-24",58.34,58.49,58.02,58.34,663505
"2014-05-01",59.96,60.46,59.66,59.91,894951
"2014-05-08",59.54,60.67,59.19,60.2,586499
"2014-05-15",60.86,60.86,59.48,60.25,549331
"2014-05-22",60.89,61.32,60.55,60.63,689610
"2014-05-29",60.55,61.02,60.49,60.81,361700
"2014-06-05",61,61.41,60.85,61.34,579726
"2014-06-12",61.07,61.19,60.47,60.6,457157
"2014-06-19",62.96,62.96,59.81,60.2,796958
"2014-06-26",59.17,59.28,58.75,59.15,562899
"2014-07-03",60.88,61.15,60.63,61.15,204996
"2014-07-10",60.56,61.07,60.28,61.02,654365
"2014-07-17",61.19,61.78,61.07,61.46,610385
"2014-07-24",62.99,63.4,62.82,63.2,424341
"2014-07-31",60.63,60.75,59.9,60.04,1314203
"2014-08-07",59.98,60.88,59.4,60.4,1424011
"2014-08-14",61.62,62.55,61.57,62.46,648436
"2014-08-21",63.5,64.16,63.23,64.15,421112
"2014-08-28",63.76,63.98,63.57,63.88,307004
"2014-09-04",63.98,64.66,63.98,64.28,273598
"2014-09-11",64.58,64.83,64.34,64.77,380683
"2014-09-18",64.69,64.9,64.54,64.64,493096
"2014-09-25",62.14,62.18,61.07,61.33,549151
"2014-10-02",60.18,60.35,59.54,60.18,387698
"2014-10-09",60.28,60.64,59.22,59.73,556772
"2014-10-16",58.49,59.53,58.47,59.24,783756
"2014-10-23",61.04,61.53,60.76,61.17,352340
"2014-10-30",61.63,61.97,61.33,61.86,885748
"2014-11-06",62.91,63.98,62.44,63.9,540191
"2014-11-13",63.27,63.44,62.64,63.16,420650
"2014-11-20",62.12,62.4,61.78,62.18,401955
"2014-12-04",62.48,62.67,62.09,62.42,349038
"2014-12-11",63.12,63.52,62.79,62.89,471208
"2014-12-18",64.4,64.93,64.18,64.85,1507533
"2015-01-08",63.19,63.93,63.19,63.59,894871
"2015-01-15",62.92,63.11,62.43,62.7,479650
"2015-01-22",63.54,64.44,63.39,64.26,1548529
"2015-01-29",64.08,64.53,63.66,64.26,1008957
"2015-02-05",66,66.87,65.75,66.77,653117
"2015-02-12",66.69,67.68,66.41,67.44,844432
"2015-02-19",67.4,67.91,67.23,67.51,665637
"2015-02-26",71.25,72.75,71.08,72.26,1566508
"2015-03-05",71.09,71.2,70.53,71.09,749195
"2015-03-12",71.16,71.17,70.31,71,2014968
"2015-03-19",71.7,71.97,71.32,71.55,493016
"2015-03-26",69.82,70.4,69.5,69.84,979486
"2015-04-02",71.33,72.5,70.99,72.27,1059916
"2015-04-09",72.21,72.88,72.07,72.87,924770
"2015-04-16",72.46,72.78,72,72.67,474274
"2015-04-23",72.01,72.79,72.01,72.48,673931
"2015-04-30",75.71,76.71,74.93,75.04,1133888
"2015-05-07",70.32,73.19,70.2,72.1,8491504
"2015-05-14",73.49,73.94,73.3,73.45,2154208
"2015-05-21",73.14,73.61,73.01,73.41,1252258
"2015-05-28",73.36,73.64,72.96,73.16,1152162
"2015-06-04",73.62,74.4,73.6,73.74,879232
"2015-06-11",73.95,74.55,73.81,74.53,776286
"2015-06-18",74.87,75.5,74.71,75.33,671787
"2015-06-25",74.84,74.84,74.22,74.66,976650
"2015-07-02",72.93,73.18,72.65,73.06,816662
"2015-07-09",72.66,72.99,72.3,72.4,684669
"2015-07-16",75.55,75.83,75.04,75.62,532984
"2015-07-23",74.43,74.69,73.95,74.14,651574
"2015-07-30",78.7,78.92,77.84,78.57,921989
"2015-08-06",77.89,77.89,76.15,76.6,968349
"2015-08-13",76.61,77.31,76.02,76.88,431389
"2015-08-20",76.49,77.74,75.35,75.36,683318
"2015-08-27",73.3,74.69,73.02,74.25,949186
"2015-09-03",73.93,74.15,73.39,73.82,687782
"2015-09-10",73.38,74.39,73.07,73.76,469772
"2015-09-17",73.88,74.3,73.32,73.57,557842
"2015-09-24",73.71,74.06,73,73.53,591409
"2015-10-01",78.01,78.77,76.88,78.16,5101621
"2015-10-08",80.81,81.5,79.78,81.41,2390129
"2015-10-15",79.31,79.51,78.71,79.47,1851497
"2015-10-22",79.36,80.04,79.17,79.95,1522962
"2015-10-29",72.52,72.79,69.76,70.26,3995519
"2015-11-05",69.48,69.54,68.58,69.03,1556676
"2015-11-12",70.65,72.22,70.24,71.93,1555929
"2015-11-19",73.22,73.56,73.03,73.27,889609
"2015-12-03",75.01,75.46,73.84,74.15,832549
"2015-12-10",76.48,77.28,75.69,76.27,1081160
"2015-12-17",78.7,79.02,76.9,76.91,1021073
"2015-12-24",76.97,77.25,76.64,76.96,1172523
"2015-12-31",77.18,77.73,76.77,76.88,585565
"2016-01-07",73.3,73.81,72.48,73.04,1274635
"2016-01-14",72.02,73,71.51,72.35,1284691
"2016-01-21",71.32,71.7,69.99,70.44,1453271
"2016-01-28",71.15,71.97,70.69,71.21,1109229
"2016-02-04",68.95,69.62,68.52,68.93,1437947
"2016-02-11",65.54,66.72,65.02,66.35,1525263
"2016-02-18",68.64,69.55,68.26,68.45,976391
"2016-02-25",72.36,73.93,71.89,73.9,1744552
"2016-03-03",74.43,76.21,74.17,76.15,1062627
"2016-03-10",76.68,76.81,74.9,75.74,486081
"2016-03-17",76.93,77.35,76.27,77.19,624449
"2016-03-24",76.48,78.22,76.41,77.61,391129
"2016-03-31",78.94,80.44,78.75,79.92,972172
"2016-04-07",79.11,79.74,78.17,78.27,754691
"2016-04-14",78.55,78.69,77.44,77.86,653947
"2016-04-21",78.44,78.77,78.01,78.06,516070
"2016-04-28",78.41,79.43,78.34,78.68,581637
"2016-05-05",77.42,77.95,77.06,77.23,733973
"2016-05-12",77.8,78.1,76.96,77.81,580076
"2016-05-19",75.96,76.52,75.76,76.34,648166
"2016-05-26",79,79.28,78.68,78.98,324155
"2016-06-02",79.1,79.99,79,79.98,480951
"2016-06-09",79.82,79.93,79.21,79.58,573098
"2016-06-16",78.26,78.62,77.56,78.42,673607
"2016-06-23",79.56,80.16,79.01,80.13,440715
"2016-06-30",79.37,81.09,78.02,81.08,863054
"2016-07-07",81.57,82.15,81.27,81.85,465733
"2016-07-14",85.2,85.71,84.96,85.6,614553
"2016-07-21",85.17,85.34,84.54,84.8,460122
"2016-07-28",85.2,85.71,84.59,85.54,332356
"2016-08-04",79.65,81.31,79.6,81.13,1166947
"2016-08-11",81.73,82.02,81.51,81.57,274135
"2016-08-18",81.75,81.99,81.22,81.69,587476
"2016-08-25",82.12,83.05,82,83,784017
"2016-09-01",83.27,83.55,82.84,83.3,728884
"2016-09-08",83.44,83.72,82.82,82.82,539453
"2016-09-15",81.12,81.76,80.69,81.49,627989
