"","MNST.Open","MNST.High","MNST.Low","MNST.Close","MNST.Volume"
"2015-06-18",44.21,44.83,44.15,44.62,3119742
"2015-06-25",44.48,45.74,44.01,45.59,4462050
"2015-07-02",44.78,44.9,44.06,44.53,2166681
"2015-07-09",45.25,45.29,44.46,44.48,1955544
"2015-07-16",46.82,46.95,46.21,46.56,2381136
"2015-07-23",49.19,49.92,48.85,49.51,2692020
"2015-07-30",50.33,50.84,49.87,50.73,1934478
"2015-08-06",51.3,51.3,48.1,48.29,10283364
"2015-08-13",47.95,50.17,47.92,49.69,5983029
"2015-08-20",48.55,49.09,48.2,48.2,3041379
"2015-08-27",46.54,47.29,45.78,46.67,3660693
"2015-09-03",45.62,45.86,45,45.21,3175410
"2015-09-10",43.97,44.63,43.73,44.08,2371734
"2015-09-17",44.79,45.59,44.63,44.9,2752086
"2015-09-24",45.37,46.06,44.75,45.71,4409994
"2015-10-01",44.81,45.1,44.02,44.73,2884926
"2015-10-08",44.84,45.46,44.44,45.39,2406396
"2015-10-15",43.07,43.62,42.45,43.52,3016719
"2015-10-22",46.45,47.83,46.35,47.49,3258318
"2015-10-29",46.69,46.69,44.65,45.55,4932747
"2015-11-05",44.51,44.59,43.61,44.08,4954527
"2015-11-12",50.64,50.64,49.05,49.49,3050457
"2015-11-19",49.64,49.98,49.32,49.79,2220534
"2015-12-03",51.45,52.69,50.7,51.02,3282309
"2015-12-10",50.43,51.19,50.34,50.61,2243706
"2015-12-17",51.47,51.47,49.88,50.1,3093507
"2015-12-24",49.28,49.9,49.18,49.61,1004988
"2015-12-31",49.82,50.3,49.43,49.65,2164377
"2016-01-07",47.89,48.79,47.72,48.4,3708729
"2016-01-14",48.08,48.28,46.86,47.47,3430962
"2016-01-21",47.19,47.33,45.61,46.01,5157984
"2016-01-28",46.27,46.36,45.35,45.73,3684369
"2016-02-04",44.87,44.92,42.56,42.82,6780630
"2016-02-11",38.29,39.95,37.69,39.63,6033036
"2016-02-18",41.86,42.46,41.69,42.02,3542706
"2016-02-25",44,44.47,43.53,44.37,5998617
"2016-03-03",42.48,42.86,42.07,42.82,2882706
"2016-03-10",43.66,44.17,43.28,43.88,3762549
"2016-03-17",45.28,45.55,44.94,45.39,3099576
"2016-03-24",44.18,44.18,43.08,43.75,3325851
"2016-03-31",44.88,44.97,44.37,44.46,2371923
"2016-04-07",44.5,44.69,43.55,43.99,3322281
"2016-04-14",42.91,43.44,42.1,42.81,10251816
"2016-04-21",42.01,42.22,41.43,41.51,4942179
"2016-04-28",41.26,42.75,41.19,42.61,9749049
"2016-05-05",49.07,49.29,48.39,48.65,2524134
"2016-05-12",50.28,50.47,49.69,50.06,4349934
"2016-05-19",49.24,49.77,49.16,49.49,2385672
"2016-05-26",49.91,50.27,49.91,50,2386485
"2016-06-02",50.34,50.83,50.24,50.82,2324187
"2016-06-09",51.87,52.9,51.01,51.67,13290630
"2016-06-16",50.96,52.15,50.7,51.94,5028561
"2016-06-23",52.83,52.87,51.99,52.47,2950269
"2016-06-30",52.73,53.62,52.25,53.57,4458546
"2016-07-07",53.93,54.11,53.37,53.71,2330457
"2016-07-14",54.03,54.07,53.56,54.04,1535238
"2016-07-21",52.7,53.07,52.5,52.69,1527996
"2016-07-28",52.51,53.39,52.27,53.15,1528296
"2016-08-04",52.68,53.15,52.16,52.86,3896463
"2016-08-11",53.92,54.19,53.63,53.9,2098911
"2016-08-18",53.4,53.65,53.3,53.48,1827504
"2016-08-25",52.22,52.89,52.22,52.49,2058174
"2016-09-01",51.44,51.73,50.97,51.44,2041314
"2016-09-08",50.69,50.83,50.35,50.71,2690952
"2016-09-15",47.73,49.06,47.55,48.78,5649147
