"","TRIP.Open","TRIP.High","TRIP.Low","TRIP.Close","TRIP.Volume"
"2011-12-08",26.06,27.78,25.76,26.55,719530
"2011-12-15",27.87,29.1,27.6,28.33,1417557
"2011-12-22",27.12,27.6,23.99,24.53,6294064
"2011-12-29",25.54,25.66,24.79,24.82,2247268
"2012-01-05",24.57,25.82,24.57,25.52,1534670
"2012-01-12",27.87,29.17,27.8,28.46,2005567
"2012-01-19",29.1,30.88,29.02,30.33,2712854
"2012-01-26",31.48,31.94,30.46,31.05,1881489
"2012-02-02",35.28,35.6,33.83,34.88,2447714
"2012-02-09",28.28,29.85,27.99,29.34,12923339
"2012-02-16",29.27,30.65,28.73,30.4,2583207
"2012-02-23",30.06,30.69,29.56,30.59,2041670
"2012-03-01",31.89,32.88,31.09,32.62,2641389
"2012-03-08",31.2,31.79,31.14,31.26,1151676
"2012-03-15",31.14,32.54,30.92,32.47,2318958
"2012-03-22",33.51,33.76,33.02,33.25,1047119
"2012-03-29",34.25,35.18,33.92,35.16,1574906
"2012-04-05",36.04,36.93,35.85,36.23,2258925
"2012-04-12",34.84,35.47,34.75,35.1,1290730
"2012-04-19",35.33,36.43,35.16,35.22,1065148
"2012-04-26",33.74,34.51,33.27,34.38,1978102
"2012-05-03",42.63,43.5,40.24,40.9,3523523
"2012-05-10",41.19,41.7,40.45,40.79,1546723
"2012-05-17",43.69,43.73,40.73,41.03,2521888
"2012-05-24",45.04,45.32,44.25,44.4,1649999
"2012-05-31",43.48,43.85,42.14,42.88,2499089
"2012-06-07",44,44,41.59,41.67,1862158
"2012-06-14",43.63,44.57,42.7,44.05,956985
"2012-06-21",43.53,43.85,42.35,43.01,978168
"2012-06-28",43.97,44.26,42.18,43.58,1209404
"2012-07-05",46.09,47.44,45.71,46.27,1521158
"2012-07-12",43.79,44.54,43.26,43.88,1544338
"2012-07-19",45.42,47.81,44.75,45.1,2613641
"2012-07-26",36.76,37.01,34.03,35.04,6637443
"2012-08-02",36.2,37.5,35.58,36.21,1661890
"2012-08-09",36.92,37.12,36.1,36.18,1646342
"2012-08-16",33.89,34.3,33.14,33.85,1992263
"2012-08-23",33.73,34.12,33.48,33.54,2111725
"2012-08-30",34.13,34.33,33.64,33.71,976326
"2012-09-06",35.39,36.25,35.33,35.45,2343613
"2012-09-13",35.35,36.7,35.05,36.34,1884980
"2012-09-20",34.84,34.85,33.82,34.48,1981632
"2012-09-27",32.39,34.07,31.71,33.42,3640930
"2012-10-04",32.64,33.45,32.15,33.4,1924345
"2012-10-11",32.68,32.68,30.97,31.15,3090939
"2012-10-18",31.24,31.29,30.26,30.57,2785678
"2012-10-25",31.61,31.65,30.44,30.78,2024886
"2012-11-01",30.48,30.49,28.63,29.41,7728693
"2012-11-08",33.89,34.47,33.71,34.17,2537274
"2012-11-15",35.69,36.99,35.5,36.6,4309164
"2012-11-29",37.96,38.21,37.55,37.87,1845180
"2012-12-06",38.5,39.34,38.23,39.29,1858776
"2012-12-13",42.91,43.15,42.02,42.71,3991027
"2012-12-20",43.49,43.74,42.89,42.97,2640047
"2012-12-27",41.85,42.04,41.29,41.93,784916
"2013-01-03",44.09,44.5,43.45,43.91,1770400
"2013-01-10",44.38,44.6,42.77,43.49,2676908
"2013-01-17",43.98,44.57,43.53,44.09,1399879
"2013-01-24",44.78,45.72,44.59,44.82,1029043
"2013-01-31",45.43,46.34,45.07,46.28,1284604
"2013-02-07",47.02,47.03,45.66,46.85,1991430
"2013-02-14",42.58,44.86,42.04,43.55,7033474
"2013-02-21",42.2,43.47,42.2,42.94,1498508
"2013-02-28",45.24,45.74,44.58,45.54,1993220
"2013-03-07",48.59,51.15,48.1,50.59,3630467
"2013-03-14",52.5,53.41,52.13,52.59,1482357
"2013-03-21",52.56,53,51.64,51.75,2136343
"2013-03-28",52.24,52.9,52.14,52.52,1034285
"2013-04-04",48.87,49.8,48.65,49.52,1364782
"2013-04-11",50.18,52.35,50.11,51.89,1987615
"2013-04-18",52.19,52.45,50.95,51.35,1214375
"2013-04-25",51.33,53.39,51.3,53.01,2121861
"2013-05-02",51.9,53.54,51.9,53.51,1271835
"2013-05-09",52.58,53.1,51.76,51.99,2300863
"2013-05-16",59.53,60.39,58.65,59.03,2265696
"2013-05-23",61.06,62.55,59.07,62.06,1491822
"2013-05-30",63.77,64.1,63.14,63.99,1248402
"2013-06-06",61.71,62.03,60.73,62.03,1486216
"2013-06-13",63.59,64.54,63.2,64.51,1208056
"2013-06-20",62.7,63.69,61.32,61.52,1496601
"2013-06-27",62.17,62.72,60.55,60.84,2360099
"2013-07-11",62.34,62.56,59.74,60.44,2705213
"2013-07-18",61.61,62.97,61.5,62.27,1269512
"2013-07-25",69.88,72.26,68.71,71.1,5498980
"2013-08-01",75.78,76.93,75.14,75.89,1194112
"2013-08-08",78.55,80.54,78.48,79.71,1081438
"2013-08-15",71.53,72.16,69.56,70.52,4459582
"2013-08-22",70.39,71.43,70,71.21,870291
"2013-08-29",72.32,74.61,71.28,74.18,1009123
"2013-09-05",74.61,75.73,74.17,74.67,1000827
"2013-09-12",73.93,75.9,73.85,74.49,1257956
"2013-09-19",74.32,75,73.14,74.27,1196284
"2013-09-26",74.99,75.89,74.58,75.3,883941
"2013-10-03",79.51,79.89,77.3,78.66,1705798
"2013-10-10",71.88,72.82,70.15,72.27,2368068
"2013-10-17",74.84,74.84,72.08,72.74,2518660
"2013-10-24",72,75.15,69.33,74.85,10535250
"2013-10-31",81.5,84.64,81.2,82.72,3513290
"2013-11-07",86.53,87,80.69,83.88,3475743
"2013-11-14",87.62,89.18,87.16,89.18,2417450
"2013-11-21",87.27,88.37,87.02,87.27,1261723
"2013-12-05",85.11,87.63,84.72,85.54,1472968
"2013-12-12",82.84,83.91,82.13,82.6,2181206
"2013-12-19",81.4,82.88,81.27,82.02,1413040
"2013-12-26",82.95,84.12,82.85,83.47,1369273
"2014-01-02",82.48,82.5,79.4,80.48,1995592
