"","TRIP.Open","TRIP.High","TRIP.Low","TRIP.Close","TRIP.Volume"
"2014-01-09",85.72,86.25,84.19,85.17,1389132
"2014-01-16",84.26,84.87,83.27,84.76,1057272
"2014-01-23",82.07,82.15,80.74,81.34,1629533
"2014-01-30",77.68,78.67,76.9,77.79,1198593
"2014-02-06",76.22,77.34,75.08,77.14,2151548
"2014-02-13",89.28,92.47,88.72,92.3,2880439
"2014-02-20",94.11,96.91,94.11,96.8,2303687
"2014-02-27",100.19,100.8,99.55,99.72,1396225
"2014-03-06",107.81,108.73,107.05,108.38,2442839
"2014-03-13",107.28,107.77,102.11,103.21,1621858
"2014-03-20",103.68,105.25,102.59,103.36,1331528
"2014-03-27",92.26,92.34,88.82,89.95,3591752
"2014-04-03",95.26,96.18,90.82,91.3,1874052
"2014-04-10",87.69,87.96,81.78,81.9,2853636
"2014-04-17",84.31,86.64,83.68,85.68,2320247
"2014-04-24",84.37,84.46,81.38,83.48,2129355
"2014-05-01",81.51,84.88,81.5,83.5,2373758
"2014-05-08",82.26,85.94,81.62,83.22,3343170
"2014-05-15",84.08,84.17,81.43,83.61,2521637
"2014-05-22",88.39,91.34,87.17,91.01,2366258
"2014-05-29",95.92,98.36,95.55,98.2,1770504
"2014-06-05",99.5,103.32,98.77,103.03,3390629
"2014-06-12",104.08,104.25,101.14,101.72,1760420
"2014-06-19",105.88,106,101.75,102.98,1236951
"2014-06-26",108.2,108.88,106.6,107.87,1680075
"2014-07-03",108.92,109.48,107.76,109.18,952222
"2014-07-10",100.88,104.36,100.44,103.35,1357475
"2014-07-17",101.25,103.74,100.76,101.15,1519823
"2014-07-24",97,102.99,95.26,101.79,10670083
"2014-07-31",98.94,98.94,94.17,94.84,2471271
"2014-08-07",94.45,96.64,94.05,94.45,1144225
"2014-08-14",96.84,97.35,96.04,96.97,850456
"2014-08-21",98.02,98.15,96.95,97.9,861588
"2014-08-28",101.15,101.25,98.25,99.37,2186411
"2014-09-04",98.14,99.04,97.5,98.29,1468027
"2014-09-11",97.32,98.63,97.15,98.5,1312372
"2014-09-18",96.29,99.15,96.29,97.95,1507792
"2014-09-25",94.23,94.6,91.06,91.19,1781514
"2014-10-02",89,89.94,86.64,88.39,2714919
"2014-10-09",88.75,88.86,84.97,85.91,2456594
"2014-10-16",76.7,79.98,76.24,79.52,1952951
"2014-10-23",86.67,88.76,85.6,87.63,1365525
"2014-10-30",86.74,88.06,85.27,86.31,1535831
"2014-11-06",72.3,74.49,72.2,74,3842558
"2014-11-13",70.6,71.69,68.44,69.02,2692951
"2014-11-20",71.43,72.28,70.76,71.45,2404878
"2014-12-04",75.75,77.94,75.21,77.22,2893752
"2014-12-11",73,74.37,72.5,72.8,1923552
"2014-12-18",73.13,75.09,73.07,75.07,1843522
"2015-01-08",69.4,73.56,69.36,73.26,1985376
"2015-01-15",70,70.36,66.26,66.39,2220625
"2015-01-22",69.6,71.29,68.64,71.12,1850063
"2015-01-29",67.98,68.44,66.48,68,1488324
"2015-02-05",71.32,71.59,70.53,70.58,1247068
"2015-02-12",77.11,84.7,77,82.4,12738383
"2015-02-19",85.92,89.11,85.82,88.66,4075279
"2015-02-26",89.18,90.3,89.17,89.86,2583726
"2015-03-05",89.36,89.49,87.11,87.98,2429581
"2015-03-12",83.43,84.66,83.23,84.15,1377010
"2015-03-19",84.53,84.96,83.28,83.8,1575020
"2015-03-26",83.82,84.25,82.97,83.62,1378627
"2015-04-02",82.48,83.32,82.05,82.5,1159249
"2015-04-09",83.33,83.8,81.99,83.18,1805338
"2015-04-16",83.34,84.62,82.53,82.6,928432
"2015-04-23",82.34,83.34,82.02,82.78,900158
"2015-04-30",81.54,81.68,79.83,80.49,1649259
"2015-05-07",78.18,80.72,75.65,78.47,6611638
"2015-05-14",81.44,82.25,80.93,82.16,1203259
"2015-05-21",79.72,80.19,79.03,79.3,1401186
"2015-05-28",78.26,78.54,76.79,76.8,1066133
"2015-06-04",74.68,75.15,74.14,75.12,1741807
"2015-06-11",76.64,77.09,75.92,76.26,1287746
"2015-06-18",85.77,91.42,85.65,90.67,8555800
"2015-06-25",89.15,89.15,87.96,88.16,902616
"2015-07-02",87.01,87.67,86.21,86.87,1028351
"2015-07-09",86.53,87.47,85.96,85.96,990048
"2015-07-16",91.02,91.81,89.98,91.11,1063482
"2015-07-23",92.19,94,91.8,93.37,4130338
"2015-07-30",79.6,79.64,77.75,78.69,2395304
"2015-08-06",77.95,78.12,74.78,76.12,2371670
"2015-08-13",73.27,73.88,71.3,71.7,2278887
"2015-08-20",70.79,71.75,70.21,70.38,1990783
"2015-08-27",69.23,70.76,68.66,70.34,1593337
"2015-09-03",69.86,71.16,69.16,69.47,2230269
"2015-09-10",66.63,68.4,66.34,67.49,1907046
"2015-09-17",69.85,70.49,69.1,69.89,2384794
"2015-09-24",65.1,65.7,64.37,65.46,1477154
"2015-10-01",63.24,64.34,63,64.13,1641458
"2015-10-08",67.4,69.65,67.4,69.58,1062765
"2015-10-15",83.21,83.55,79.82,83.36,4995052
"2015-10-22",82.4,83.71,81.47,83.56,1853558
"2015-10-29",81.26,82.02,80.74,80.93,1758074
"2015-11-05",83.95,84.56,82.76,83.11,2693519
"2015-11-12",79.16,80.52,78.64,79.15,1640856
"2015-11-19",83.55,85.22,83.06,84.55,2519401
"2015-12-03",82.74,84.91,82.58,83.14,2117356
"2015-12-10",83.84,84.14,82.65,83.52,1219231
"2015-12-17",87.17,87.26,85.21,85.38,1095495
"2015-12-24",85.09,85.93,84.6,85.45,822998
"2015-12-31",85.87,86.58,85.2,85.25,551645
"2016-01-07",78.33,78.94,76.81,77.69,1945155
"2016-01-14",73.21,73.36,69.27,71.92,2892281
"2016-01-21",69.29,72.46,68.17,69.51,1577910
"2016-01-28",67.29,68.1,65,67.32,2710618
"2016-02-04",62.89,64.52,62.31,63.81,1800245
"2016-02-11",60.92,64.75,59.49,61.07,9473527
"2016-02-18",65.41,65.99,62.39,63.07,2278665
"2016-02-25",60.83,62.07,59.76,62.05,1241908
"2016-03-03",65.05,66.62,64.45,65.57,1594075
"2016-03-10",61.45,61.86,59.33,61.02,2228865
"2016-03-17",67.22,68.22,65.25,65.31,2077672
"2016-03-24",61.72,62.44,60.5,62.23,1681359
"2016-03-31",66,66.84,65.33,66.5,1700944
"2016-04-07",65.23,65.51,62.58,63.35,2370370
"2016-04-14",63.85,64.27,63.03,63.51,1031408
"2016-04-21",64.65,65,63.39,63.81,1193035
"2016-04-28",64.12,65,63.44,63.6,2883268
"2016-05-05",61,65.8,60.56,62.04,7307166
"2016-05-12",66.05,66.05,63.16,63.78,2494882
"2016-05-19",64.07,64.53,62.57,63.25,1593290
"2016-05-26",66.84,67.35,65.8,66.6,1000845
"2016-06-02",66.79,68.76,66.27,68.63,1284927
"2016-06-09",69.02,70.51,68.85,69.47,1151695
"2016-06-16",63.99,64.63,62.52,64.39,1814719
"2016-06-23",65.32,66.44,65.02,65.98,1442855
"2016-06-30",64.02,64.85,63.4,64.3,1321134
"2016-07-07",65.13,66.17,65,65.61,1456693
"2016-07-14",69.36,69.91,68.38,68.53,1197262
"2016-07-21",69.36,69.69,68.22,68.69,1029809
"2016-07-28",71.1,71.69,69.67,71.23,1568938
"2016-08-04",64,66.13,62.69,63.59,8795389
"2016-08-11",61.26,62,61.1,61.59,1563791
"2016-08-18",62.15,62.5,61.8,62.23,1000989
"2016-08-25",62,62.45,61.51,61.9,1450680
"2016-09-01",60.91,61.58,60.8,61.32,1024136
"2016-09-08",61.95,62.25,61.44,61.8,1037936
"2016-09-15",61.65,62.04,60.95,61.82,1433257
