"","FMC.Open","FMC.High","FMC.Low","FMC.Close","FMC.Volume"
"2015-12-03",41.32,42.47,41.19,41.92,1631605
"2015-12-10",40.28,40.6,39.39,39.48,1179270
"2015-12-17",38.62,38.76,37.41,37.54,1415103
"2015-12-24",40.85,40.95,40.28,40.58,363400
"2015-12-31",39.49,39.91,39.13,39.13,699493
"2016-01-07",35.5,36.23,34.9,35.73,2157464
"2016-01-14",34.46,35.53,33.84,35.36,1478807
"2016-01-21",34.59,35.82,34.59,35.11,1593656
"2016-01-28",35.1,35.26,34.18,34.62,669686
"2016-02-04",36.27,39.24,36.24,37.6,1913692
"2016-02-11",33.52,34.35,32.24,33.53,2165523
"2016-02-18",38.09,38.16,36.56,37.09,1224717
"2016-02-25",37.04,37.4,36.25,37.38,643994
"2016-03-03",37.78,38.72,37.56,38.61,1376516
"2016-03-10",39.1,39.8,38.62,39.21,953969
"2016-03-17",40.28,41.59,40.26,41.31,877143
"2016-03-24",41.01,41.26,40.1,40.55,1288509
"2016-03-31",41.28,41.32,40.02,40.37,1086230
"2016-04-07",37.71,37.71,36.72,36.9,1407635
"2016-04-14",39.78,39.85,39.02,39.52,2376737
"2016-04-21",42.4,43.91,42.38,42.8,2120552
"2016-04-28",43.52,44.14,43.28,43.52,1121855
"2016-05-05",47.92,48.46,47.42,47.54,1928757
"2016-05-12",48.06,48.64,46.86,46.99,1970370
"2016-05-19",45.4,46.09,44.9,45.71,1977777
"2016-05-26",48.58,48.81,47.59,47.85,1314030
"2016-06-02",47.49,48.03,47.02,48.01,904197
"2016-06-09",49.96,50.5,49.51,50.35,1882877
"2016-06-16",48.14,49.03,47.44,49,889916
"2016-06-23",49.22,49.61,48.96,49.3,1651595
"2016-06-30",45.51,46.31,44.75,46.31,1327162
"2016-07-07",44.45,45.45,44.39,44.8,768058
"2016-07-14",48.92,49.19,48.36,48.64,1074338
"2016-07-21",48.56,48.76,47.7,47.99,723786
"2016-07-28",48.04,48.34,47.46,48.06,659491
"2016-08-04",48.15,48.57,47.9,48.39,1205194
"2016-08-11",48.02,48.48,47.78,48.35,754916
"2016-08-18",47.09,47.68,47.02,47.55,540432
"2016-08-25",47.01,47.52,47,47.17,608836
"2016-09-01",47,47.14,46.3,46.7,695162
"2016-09-08",46.91,47.41,46.52,47.39,1072278
"2016-09-15",46.12,47.52,46.03,47.43,1738794
