"","TSCO.Open","TSCO.High","TSCO.Low","TSCO.Close","TSCO.Volume"
"2013-04-25",54.94,56.61,53.5,55.42,4964558
"2013-05-02",53.67,54.5,53.22,54.2,1001812
"2013-05-09",55.74,55.94,55.3,55.76,589088
"2013-05-16",57.2,57.98,56.14,56.46,1091242
"2013-05-23",55.26,55.62,54.75,55.6,891310
"2013-05-30",55.87,56.98,55.87,56.62,821546
"2013-06-06",54.86,56.07,54.63,56.06,594196
"2013-06-13",56.25,57.32,56,57.25,447294
"2013-06-20",57.27,57.82,56.15,56.27,1076672
"2013-06-27",57.16,58.52,57.04,58.24,1472920
"2013-07-11",61.5,61.88,61.17,61.45,920102
"2013-07-18",59.82,60.74,59.82,60.38,1234800
"2013-07-25",59.26,59.72,58.02,59.16,2322174
"2013-08-01",61.16,61.78,60.35,61.48,1320098
"2013-08-08",60.2,60.83,59.88,60.76,802072
"2013-08-15",59.57,60.48,58.28,58.4,609146
"2013-08-22",59.12,60.74,58.84,60.64,596380
"2013-08-29",60.25,62.32,60.15,61.89,1208948
"2013-09-05",61.75,62.47,61.63,62.36,894684
"2013-09-12",65.61,65.62,65.09,65.34,965050
"2013-09-19",65.94,66.38,65.43,65.8,512102
"2013-09-26",65.13,66.26,64.92,66.16,679718
"2013-10-03",68.86,69.25,67.45,68.2,614472
"2013-10-10",65.63,65.88,65.25,65.83,621061
"2013-10-17",66.56,66.85,66.01,66.44,800222
"2013-10-24",70,74.25,69.02,73.94,3596617
"2013-10-31",71.32,71.77,70.59,71.35,1044907
"2013-11-07",71.56,71.94,69.92,70.04,870344
"2013-11-14",73.33,73.87,72.75,73.35,620666
"2013-11-21",71.82,72.66,71.22,72.64,518141
"2013-12-05",72.58,72.86,71.72,72.65,937256
"2013-12-12",71.25,71.74,70.88,71.36,705809
"2013-12-19",74,74.88,73.34,74.07,945299
"2013-12-26",76.28,76.91,76.11,76.12,450104
"2014-01-02",77.6,77.72,76.13,76.8,855339
"2014-01-09",76.67,76.94,76.08,76.7,589324
"2014-01-16",75.07,75.48,73.71,74.31,855460
"2014-01-23",72.35,73.29,71.2,71.87,30011483
"2014-01-30",65.12,68.16,64.63,67.46,5140125
"2014-02-06",63.93,65.2,63.77,65.1,1627108
"2014-02-13",65.61,66.76,65.32,66.18,1148413
"2014-02-20",65.78,66,65.02,65.77,1313405
"2014-02-27",70.96,70.96,69.79,70.32,1013596
"2014-03-06",72.1,72.71,71.25,72.29,702243
"2014-03-13",72.24,72.64,70.6,70.87,696365
"2014-03-20",73.08,74.11,73.08,74.07,635579
"2014-03-27",70.39,70.88,69.74,70.24,1074029
"2014-04-03",72.99,72.99,70.74,71.04,741167
"2014-04-10",69,69.18,67.3,67.6,1232960
"2014-04-17",68.11,68.11,66.9,67.25,654498
"2014-04-24",65,66.99,64.76,66.69,2949055
"2014-05-01",67.34,67.76,66.5,66.7,803428
"2014-05-08",64.39,65.27,64.22,64.43,814706
"2014-05-15",64.09,64.09,62.65,63.16,1506357
"2014-05-22",64.02,64.46,63.52,63.59,739889
"2014-05-29",63.74,63.94,63.19,63.62,929335
"2014-06-05",65.18,65.71,64.68,65.54,595291
"2014-06-12",65.57,65.72,64.85,65.05,477619
"2014-06-19",64.62,64.89,64.15,64.19,593513
"2014-06-26",62.44,62.63,60.64,60.84,2428333
"2014-07-03",61.1,62.12,60.56,61.65,699843
"2014-07-10",58.2,60.33,57.2,59.92,9293197
"2014-07-17",60.69,62.08,60.51,61.1,2522810
"2014-07-24",63.9,65.8,63.35,65.11,4267141
"2014-07-31",63.56,63.93,62.13,62.17,1314098
"2014-08-07",61.48,61.81,60.81,60.91,639079
"2014-08-14",61.73,62.12,61.36,62.03,594159
"2014-08-21",63.05,63.7,62.62,63.53,1433981
"2014-08-28",66.27,67.4,65.76,67.15,1135575
"2014-09-04",66.91,67.17,65.76,65.83,1462087
"2014-09-11",61.45,61.85,60.83,61.82,1966354
"2014-09-18",60.93,61.61,60.82,61.45,1345510
"2014-09-25",61.62,61.82,60.58,60.65,1196437
"2014-10-02",60.43,61.17,59.96,60.96,818707
"2014-10-09",59.2,59.5,57.99,58.31,1549142
"2014-10-16",56.61,58.8,56.5,58.53,984397
"2014-10-23",68,71.93,67.85,71,6512973
"2014-10-30",72.1,72.92,71.92,72.3,892904
"2014-11-06",73.5,74.43,73.14,74.4,720796
"2014-11-13",73.9,74.14,73.54,73.95,610056
"2014-11-20",75.24,76.2,74.87,75.31,855663
"2014-12-04",78.2,78.99,77.5,78.18,1037766
"2014-12-11",76.64,79.14,76.6,77.61,995167
"2014-12-18",77.77,78.2,76.9,77.5,1477416
"2015-01-08",79.42,81.7,79.33,80.92,1948862
"2015-01-15",77.95,78.23,75.1,75.2,814774
"2015-01-22",77.27,80.03,76.95,79.73,959376
"2015-01-29",80.95,85.67,80.25,83.29,3755633
"2015-02-05",83.01,84.22,82.35,83.5,853246
"2015-02-12",82.72,83.33,82.32,83.27,580482
"2015-02-19",85,86.35,84.88,85.57,646762
"2015-02-26",89.68,90.2,88.73,88.88,890215
"2015-03-05",85.33,85.75,85.15,85.35,714349
"2015-03-12",85.28,87.39,85.03,87.25,806806
"2015-03-19",88.1,88.42,87.68,88.01,481374
"2015-03-26",85.43,85.47,84.27,85.23,1015505
"2015-04-02",84.72,85.95,84.62,85.62,454603
"2015-04-09",85.5,86.06,84.19,86,910328
"2015-04-16",86.24,86.66,85.79,86.47,379840
"2015-04-23",91.59,91.9,89.82,91.26,1180542
"2015-04-30",88.23,88.6,85.34,86.06,1194450
"2015-05-07",84.38,85.95,84.17,85.69,691721
"2015-05-14",86.76,87.73,85.69,87.66,623560
"2015-05-21",89.86,90.74,89.63,90.59,438398
"2015-05-28",88.71,89.36,88.17,88.37,445428
"2015-06-04",89.68,89.8,87.98,88.19,784820
"2015-06-11",89.43,90.47,89.43,90.11,633534
"2015-06-18",92.07,93.94,92.07,92.95,668169
"2015-06-25",92.12,92.86,91.4,92.7,584910
"2015-07-02",91.09,91.39,89.4,90.32,593124
"2015-07-09",88.72,89.47,88.46,88.72,1249010
"2015-07-16",94,94.67,93.3,93.92,625508
"2015-07-23",94.6,96.28,93.5,95.46,2742587
"2015-07-30",92.05,92.49,91.43,91.99,506203
"2015-08-06",93.5,93.99,91.07,91.17,813913
"2015-08-13",92.47,94.73,92.42,93.2,666344
"2015-08-20",92.65,93.09,89.65,89.65,1000381
"2015-08-27",85.79,88.95,85.12,87.12,1483319
"2015-09-03",84,85.67,83.22,83.95,1558176
"2015-09-10",85.36,87.38,85.05,86.69,910409
"2015-09-17",88.14,88.34,86.1,86.99,1400761
"2015-09-24",82.46,83.22,81.01,82.35,1405516
"2015-10-01",84.4,85.99,83.37,85.95,1509425
"2015-10-08",87.88,89.75,87.84,89.2,975490
"2015-10-15",84.74,85.14,83.54,84.69,1339193
"2015-10-22",90.15,91.1,86.93,91.02,3096092
"2015-10-29",91.37,92.25,90.31,91.14,687476
"2015-11-05",93,94,92.74,93.65,774617
"2015-11-12",90.88,91.66,89.74,89.77,719682
"2015-11-19",87.73,90.25,87.73,89.24,974814
"2015-12-03",88.58,88.89,85.31,85.66,1498949
"2015-12-10",88.56,89.55,87.31,88.85,864463
"2015-12-17",88.1,88.69,85.85,85.87,777354
"2015-12-24",86.21,86.83,85.24,85.67,246058
"2015-12-31",85.98,86.75,85.48,85.5,503193
"2016-01-07",81.12,83.73,80.71,82.48,1517205
"2016-01-14",81.72,84.3,80.19,83,2228710
"2016-01-21",81.96,84.66,81.52,83.3,2012077
"2016-01-28",82.61,85.54,78.41,84.98,3033283
"2016-02-04",84.53,85.08,81.57,83.77,1806099
"2016-02-11",79.89,82.26,79.89,81.69,1025543
"2016-02-18",85.69,85.92,84,84.52,959325
"2016-02-25",85.92,85.92,84.21,85.5,806007
"2016-03-03",86.82,87.13,85.32,86.38,901370
"2016-03-10",87.49,89.98,87.17,88.84,1707960
"2016-03-17",88.93,89.33,87.86,88.74,954657
"2016-03-24",89.35,89.47,88.25,88.7,516225
"2016-03-31",90.95,91.49,89.8,90.46,877008
"2016-04-07",88.82,89.1,86.7,87.31,1173125
"2016-04-14",89.81,91.63,88.69,91.21,1505039
"2016-04-21",95,97.25,92.5,94.34,3263824
"2016-04-28",95.54,96.01,94.82,94.97,1209646
"2016-05-05",94.76,94.76,93.22,93.36,685921
"2016-05-12",92.91,94.08,92.32,93.57,848321
"2016-05-19",91.62,92.87,91.39,92.69,562494
"2016-05-26",95.57,96.07,94.24,95.74,718580
"2016-06-02",96.76,96.86,95.73,96.65,604100
"2016-06-09",94.01,94.15,93.39,93.83,1348700
"2016-06-16",92.04,92.39,91.08,92.09,717456
"2016-06-23",93.13,93.59,92.51,93.54,586147
"2016-06-30",91.29,93.47,90.57,91.18,4069856
"2016-07-07",92.48,92.75,91.65,92.29,564151
"2016-07-14",93.92,94.12,92.68,92.85,918471
"2016-07-21",90.11,91,88.54,89.74,3682735
"2016-07-28",89.69,91.64,89.14,91.38,1278209
"2016-08-04",90.47,90.59,85.76,86.35,3422147
"2016-08-11",85.45,86.91,85.37,86.23,1122365
"2016-08-18",84.79,85.64,84.6,85.26,693338
"2016-08-25",84.42,85.05,84.01,84.76,1070325
"2016-09-01",84.47,84.52,83.45,84.08,737253
"2016-09-08",70.87,71.63,69.27,69.38,18172377
"2016-09-15",68.93,69.47,68.53,69.06,1620329
