"","TSCO.Open","TSCO.High","TSCO.Low","TSCO.Close","TSCO.Volume"
"2011-09-15",33.92,34.24,33.63,33.99,1454926
"2011-09-22",32.17,33.23,31.5,32.32,1649758
"2011-09-29",33.89,34.2,32.34,33.56,1226000
"2011-10-06",31.52,32.7,31.45,32.4,1010840
"2011-10-13",32.84,34,32.56,33.57,1117326
"2011-10-20",34.49,36.29,33.98,35.82,6285196
"2011-10-27",37.26,37.26,36.38,36.82,1940188
"2011-11-03",36.62,36.68,35.32,36.38,1010164
"2011-11-10",36.18,36.24,35.71,36.1,835282
"2011-11-17",37.26,37.5,36.14,36.3,1542556
"2011-12-01",35.99,36.5,35.8,36.12,785214
"2011-12-08",36.88,37.24,36.4,36.47,951230
"2011-12-15",35.66,36.09,35.49,35.75,1581358
"2011-12-22",36.22,36.24,35.34,35.4,1071632
"2011-12-29",35.94,36.04,35.59,35.68,528158
"2012-01-05",34.5,34.91,34.25,34.71,1657402
"2012-01-12",38.92,40.28,38.7,40.1,6576436
"2012-01-19",40.82,40.99,40.15,40.22,2196456
"2012-01-26",40.66,40.88,39.62,39.92,1043670
"2012-02-02",40.46,41.25,39.53,39.94,3415816
"2012-02-09",41.88,42.14,41.22,41.66,1075260
"2012-02-16",41.86,42.44,41.61,41.7,869068
"2012-02-23",41.68,42.57,41.68,42.44,1138258
"2012-03-01",42.94,44.19,42.88,43.75,1420674
"2012-03-08",43.92,44,43.5,43.74,844886
"2012-03-15",43.98,43.98,43.4,43.64,663116
"2012-03-22",43.52,44.04,43.42,43.88,1117826
"2012-03-29",45.35,45.68,44.94,45.57,1191720
"2012-04-05",46.02,46.75,46.02,46.68,992880
"2012-04-12",47.4,49.39,46.78,48.98,7729680
"2012-04-19",49.98,50.6,49.14,49.44,2880452
"2012-04-26",49.62,49.73,48.24,48.76,1713610
"2012-05-03",50.03,50.5,49.27,49.49,900020
"2012-05-10",48.48,49,48,48.81,1642454
"2012-05-17",49.73,49.73,47.59,47.61,2614670
"2012-05-24",49.19,49.75,49,49.65,1533710
"2012-05-31",45.18,45.8,44.5,45.68,9491220
"2012-06-07",44.71,44.9,43.62,43.73,1739230
"2012-06-14",42.28,43.54,42.05,43.39,2508598
"2012-06-21",45.14,45.22,43.92,44.05,1364178
"2012-06-28",41.12,41.44,40.3,40.91,3404398
"2012-07-05",41.4,42.25,41.4,42.04,1487328
"2012-07-12",39.84,41.76,39.36,41.43,2972574
"2012-07-19",40.03,40.9,39.95,40.65,2035516
"2012-07-26",44.74,46.84,43.8,46.3,8387826
"2012-08-02",44.12,44.76,43.86,44.66,1236300
"2012-08-09",46.07,46.09,45.75,45.8,1150912
"2012-08-16",45.02,46.35,44.67,46.14,889454
"2012-08-23",47.8,48.15,47.2,48,1254382
"2012-08-30",47.86,48.3,47.48,47.74,903132
"2012-09-06",49.52,50.48,49.18,50.44,1175882
"2012-09-13",49.02,49.62,48.32,48.87,1507672
"2012-09-20",48.24,48.68,47.74,48.48,871388
"2012-09-27",48.94,50.06,48.76,49.96,1175738
"2012-10-04",48.73,49.7,48.66,49.7,661308
"2012-10-11",49.52,50.05,48.52,48.72,829726
"2012-10-18",48.1,48.3,47.56,48,749534
"2012-10-25",47.5,47.69,45.05,46.44,3334802
"2012-11-01",48.15,48.8,47.53,48.48,1436834
"2012-11-08",45.8,46.22,45.45,46,1200656
"2012-11-15",43.31,43.8,42.93,43.34,1537962
"2012-11-29",45.68,46,44.6,45.2,917334
"2012-12-06",42.09,42.77,41.91,42.3,1736576
"2012-12-13",42.91,43.73,42.66,42.66,2275500
"2012-12-20",44.17,44.69,43.8,44.53,1487016
"2012-12-27",43.45,44.01,43.24,43.84,813230
"2013-01-03",45.92,46.94,45.63,45.88,1844444
"2013-01-10",46.82,46.86,46.13,46.52,1105906
"2013-01-17",46.7,47.12,46.53,47,583580
"2013-01-24",46.14,47.13,46.01,46.78,845546
"2013-01-31",50.8,52.41,50,51.84,6859466
"2013-02-07",51.62,51.82,51.26,51.52,1141252
"2013-02-14",51.68,52.38,51.26,51.88,1194826
"2013-02-21",50.54,51.04,50.35,50.44,1369264
"2013-02-28",51.54,52.45,51.54,52,1024822
"2013-03-07",51.88,52.1,50.88,51.91,1841106
"2013-03-14",51.54,51.55,51.12,51.24,840856
"2013-03-21",50.76,51.21,50.59,50.94,678912
"2013-03-28",51.34,52.15,51.34,52.06,768554
"2013-04-04",50.89,51.84,50.73,51.79,899342
"2013-04-11",54.44,54.74,53.86,54.36,1491662
"2013-04-18",52.71,53.34,51.78,53.1,1478052
