"","DUK.Open","DUK.High","DUK.Low","DUK.Close","DUK.Volume"
"2014-09-15",73.35,73.7,73.16,73.44,2300282
"2014-09-16",73.94,74.59,73.85,74.35,3483894
"2014-09-17",74.64,74.82,73.96,74.3,2991893
"2014-09-18",74.48,74.55,73.24,73.48,3476906
"2014-09-19",73.8,74.47,73.65,74.38,4045568
"2014-09-22",74,74.33,73.48,73.87,3061883
"2014-09-23",73.85,74.24,73.61,73.67,3157868
"2014-09-24",73.73,73.9,73.4,73.71,2160541
"2014-09-25",73.67,74.18,73.65,73.96,4234720
"2014-09-26",73.89,74.26,73.31,74.08,2988184
"2014-09-29",73.69,74.19,73.43,74.19,2041534
"2014-09-30",74.26,75.21,74.03,74.77,4189368
"2014-10-01",75.05,75.73,74.86,75.3,5296791
"2014-10-02",75.22,75.77,74.89,74.99,3516580
"2014-10-03",75.02,75.28,74.33,75.17,2670715
"2014-10-06",75.42,75.59,74.83,75.07,1814181
"2014-10-07",75.07,75.96,74.87,75.21,3057578
"2014-10-08",75.37,77.11,75.21,77.05,3962986
"2014-10-09",77,77.66,76.3,76.39,3472074
"2014-10-10",76.75,77.59,76.72,76.83,3985727
"2014-10-13",76.7,78.41,76.64,77.41,4942877
"2014-10-14",77.91,79.81,77.38,78.87,5818906
"2014-10-15",78.44,79.64,77.44,78.9,6592071
"2014-10-16",78.01,78.51,77.04,78.17,5226243
"2014-10-17",78.25,78.59,77.05,78.43,3517501
"2014-10-20",78.57,79.64,78.56,79.5,2503218
"2014-10-21",79.65,79.74,78.97,79.08,3715985
"2014-10-22",79.21,80.35,79.11,80.16,3736630
"2014-10-23",80.36,80.5,79.66,80.07,2946936
"2014-10-24",80.14,80.55,80.05,80.3,2846535
"2014-10-27",80.38,81.14,80.3,80.61,2045545
"2014-10-28",80.7,80.83,79.68,80.72,3206253
"2014-10-29",80.64,81.24,79.56,80.27,2701254
"2014-10-30",80.6,82.34,80.37,82.29,3293581
"2014-10-31",82.5,82.68,81.34,82.15,3229612
"2014-11-03",82.23,82.6,81.85,82.38,2347167
"2014-11-04",82.44,82.8,81.84,82.23,2402121
"2014-11-05",82.47,83.9,82,83.5,5372549
"2014-11-06",82.73,82.95,81.07,81.17,6788269
"2014-11-07",81.2,82.09,81.02,82.08,3273207
"2014-11-10",82.1,83.04,82.07,82.81,2582501
"2014-11-11",82.62,83.1,82.36,82.66,2741030
"2014-11-12",81.02,81.45,79.65,79.85,5524468
"2014-11-13",80.04,80.49,78.71,78.99,4119232
"2014-11-14",78.55,79.51,78.55,79.11,3204594
"2014-11-17",79.17,80.48,79.09,80.3,2983055
"2014-11-18",80.45,80.88,79.88,80.31,3762494
"2014-11-19",80.2,80.68,79.69,80.38,2756427
"2014-11-20",80.38,80.82,80.08,80.17,2114147
"2014-11-21",80.7,80.73,79.24,79.77,5247688
"2014-11-24",80.06,80.22,79.01,79.03,5065185
"2014-11-25",79.17,79.29,78.51,79.15,4188607
"2014-11-26",79.31,79.93,79.31,79.69,1990551
"2014-11-28",80,81.59,79.94,80.9,2393251
"2014-12-01",80.39,82.74,80.16,82,5087178
"2014-12-02",81.84,82.54,81.37,82.34,3174700
"2014-12-03",82.12,82.46,81.52,81.97,2208003
"2014-12-04",82.01,82.48,81.77,82.35,2534615
"2014-12-05",81.49,81.69,80.23,80.73,3577201
"2014-12-08",80.91,82.1,80.91,81.63,3740311
"2014-12-09",81.4,82.32,81.18,82.18,3873372
"2014-12-10",82.17,83.17,82.04,82.25,3942771
"2014-12-11",82.58,83.51,82.56,82.89,2956575
"2014-12-12",82.52,83.52,82.36,82.69,3339451
"2014-12-15",82.69,82.91,81.08,81.14,4398326
"2014-12-16",81.26,82.03,80.21,80.62,3608262
"2014-12-17",81.11,81.64,80.36,81.37,3382543
"2014-12-18",81.38,83.01,81.2,83.01,4349680
"2014-12-19",83.13,83.6,82.67,82.85,4738097
"2014-12-22",83.07,83.74,82.84,83.61,2695390
"2014-12-23",83.77,84.21,83.49,83.68,2022461
"2014-12-24",83.82,85.22,83.82,84.97,2407396
"2014-12-26",85.13,86.43,85.12,85.81,2984871
"2014-12-29",85.75,87.29,85.7,86.83,4072324
"2014-12-30",86.83,86.83,84.54,84.7,2983936
"2014-12-31",84.82,85.16,83.5,83.54,2808930
"2015-01-02",83.54,84.23,83.09,84.05,2269109
"2015-01-05",83.6,83.91,82.61,82.84,3780536
"2015-01-06",82.92,84.79,82.92,84.2,5291373
"2015-01-07",84.26,84.89,83.72,84.47,2583493
"2015-01-08",84.92,85.28,84.57,84.81,2168194
"2015-01-09",85,85.39,84.22,84.93,2679121
"2015-01-12",85.2,85.49,84.64,85.01,2300236
"2015-01-13",85.3,86.78,85.17,85.47,3529652
"2015-01-14",85.08,85.78,84.65,85.69,3383255
"2015-01-15",85.89,86.95,85.36,86.76,3890890
"2015-01-16",86.73,87.39,86.6,87.35,3903880
"2015-01-20",87.44,87.73,86.73,87.69,3180423
"2015-01-21",87.5,88.79,86.9,88.68,2834651
"2015-01-22",88.83,89.29,87.94,88.63,2542242
"2015-01-23",88.95,89.23,88.61,88.72,1817309
"2015-01-26",88.63,88.7,87.82,88.55,1750115
"2015-01-27",88.46,89.26,88.35,88.72,1906951
"2015-01-28",88.96,89.97,87.66,87.85,3199817
"2015-01-29",87.86,89.58,87.37,89.36,2850509
"2015-01-30",88.86,89.39,87.07,87.14,3526400
"2015-02-02",87,87.29,86.11,87,3610609
"2015-02-03",86.9,87.12,86.31,86.78,3980139
"2015-02-04",86.66,87.18,85.76,85.98,3686308
"2015-02-05",86.53,86.81,85.77,86.72,2548577
"2015-02-06",86.07,86.61,82.53,83.11,4356502
"2015-02-09",83.15,83.61,82.21,82.7,3938100
"2015-02-10",82.6,84.29,82.39,84.18,4130988
"2015-02-11",83.09,83.3,81.6,81.85,3368237
"2015-02-12",81.69,82.05,80.89,81.06,4835932
"2015-02-13",80.97,80.97,79.21,79.84,4677509
"2015-02-17",79.44,80.92,78.8,79.39,6286588
"2015-02-18",79.23,81.42,79.03,80.97,4841294
"2015-02-19",81.21,81.23,79.12,79.17,5473021
"2015-02-20",79.14,79.61,77.79,78.71,4419213
"2015-02-23",78.86,79.61,78.41,79.26,3944043
"2015-02-24",79.08,80.18,78.76,79.85,3771712
"2015-02-25",79.95,79.96,78.75,79.01,3250746
"2015-02-26",79.27,79.36,78.5,78.56,2549315
"2015-02-27",78.49,78.87,78.03,78.55,2474492
"2015-03-02",78.48,78.48,76.39,77.06,5027753
"2015-03-03",77.06,77.51,76.61,77.51,3688330
"2015-03-04",77.12,77.3,76.57,77.08,2773214
"2015-03-05",77.29,77.89,77.17,77.58,2562930
"2015-03-06",76.56,76.56,74.55,74.96,6385656
"2015-03-09",75,75.48,74.75,74.76,3301321
"2015-03-10",74.2,75.45,73.98,74.7,5272060
"2015-03-11",75.06,75.23,74.04,74.28,4941034
"2015-03-12",74.65,75.46,74.57,75.28,3497390
"2015-03-13",75.24,75.24,73.98,74.61,3089993
"2015-03-16",75.19,76.32,75.15,75.71,3235727
"2015-03-17",75.36,75.89,74.82,75.08,2565928
"2015-03-18",75.07,76.81,74.79,76.4,5754443
"2015-03-19",76.18,77.14,75.8,76.01,4431245
"2015-03-20",76.11,76.75,75.86,76.67,7064822
"2015-03-23",76.68,76.99,76.44,76.8,3073452
"2015-03-24",76.68,77.27,75.71,76.06,2642266
"2015-03-25",76.31,76.75,74.82,74.96,2984249
"2015-03-26",74.85,75.18,73.63,74.35,4173759
"2015-03-27",74.66,75.19,74.3,75,3182672
"2015-03-30",75.41,76.18,75.09,75.9,3353524
"2015-03-31",75.84,76.85,75.5,76.78,6030811
"2015-04-01",76.94,77.39,76.16,76.83,3388362
"2015-04-02",76.8,77.28,76.46,76.97,2505537
"2015-04-06",77.44,78.73,77.27,78.24,5268220
"2015-04-07",78.13,78.46,77.44,77.65,3691515
"2015-04-08",77.5,77.62,76.7,77.3,3168211
"2015-04-09",77.12,77.2,76.53,77.01,2051706
"2015-04-10",77.2,78.21,77.17,77.84,2191314
"2015-04-13",77.59,77.94,77.14,77.23,2265549
"2015-04-14",77.38,77.96,77.17,77.59,2260172
"2015-04-15",77.72,78.57,77.58,78.02,2671833
"2015-04-16",77.85,77.99,76.74,77.31,2903671
"2015-04-17",76.99,77.74,76.81,77.31,2924460
"2015-04-20",77.64,79.15,77.51,78.61,2624869
"2015-04-21",78.63,79.39,77.67,78.07,3311955
"2015-04-22",78.5,78.71,77.87,78.3,2466764
"2015-04-23",78.17,79.26,78.14,78.86,2429357
"2015-04-24",78.82,79.88,78.75,79.41,2599725
"2015-04-27",79.6,79.73,78.18,78.37,2860945
"2015-04-28",78.04,78.99,77.86,78.97,2626049
"2015-04-29",78.24,78.64,77.78,78.43,3873230
"2015-04-30",78.42,78.42,76.96,77.57,4305736
"2015-05-01",77.71,78.13,76.87,77.9,2861357
"2015-05-04",77.9,78.85,77.68,77.96,2745898
"2015-05-05",77.61,77.84,76.21,76.25,3820637
"2015-05-06",76.18,76.69,75.74,76.41,4844856
"2015-05-07",76.4,77.11,76.4,76.81,3601866
"2015-05-08",77.65,78.13,76.76,77.11,3378547
"2015-05-11",77,77.73,76.43,76.57,2892226
"2015-05-12",76.15,76.58,75.55,76.3,4114957
"2015-05-13",75.73,75.99,74.04,74.44,4505798
"2015-05-14",74.35,75.8,74.22,75.49,5111580
"2015-05-15",75.73,76.55,75.73,76.15,3333777
"2015-05-18",75.94,76.27,75.64,76.03,3076906
"2015-05-19",75.59,76.35,75.56,76.19,2803842
"2015-05-20",76.2,76.98,76.15,76.54,3395439
"2015-05-21",76.57,76.64,76.02,76.16,3192720
"2015-05-22",76,76.27,75.72,76.05,2150770
"2015-05-26",76.03,76.14,75.3,75.76,2851577
"2015-05-27",76,76.4,75.83,76.21,2789152
"2015-05-28",76.19,76.3,75.75,75.95,3167206
"2015-05-29",76.16,76.26,75.58,75.73,3115900
"2015-06-01",76.26,76.36,75.69,76,4027039
"2015-06-02",75.63,75.63,74.71,75.05,5105515
"2015-06-03",75,75.39,73.53,74.2,5564951
"2015-06-04",74,74.69,73.96,74.21,4544724
"2015-06-05",73.5,73.8,72.85,72.85,5564669
"2015-06-08",72.68,72.85,72.26,72.45,4761717
"2015-06-09",72.37,72.93,72.08,72.13,3618201
"2015-06-10",72.58,73,72.01,72.05,3512861
"2015-06-11",72.58,73.17,72.56,72.86,3427299
"2015-06-12",72.38,73.03,72.34,72.53,3788106
"2015-06-15",72.4,72.9,72.17,72.5,2928214
"2015-06-16",72.62,72.71,72.14,72.57,3215236
"2015-06-17",72.52,73.2,71.94,73.08,3861486
"2015-06-18",73.21,74.59,73.21,74.54,4780014
"2015-06-19",74.35,74.52,73.14,73.2,7284808
"2015-06-22",73.46,73.55,72.91,73.07,2246155
"2015-06-23",72.92,73.12,71.77,71.78,3937918
"2015-06-24",72.01,72.25,70.93,70.93,4908382
"2015-06-25",71.19,71.33,70.68,70.68,2900769
"2015-06-26",70.59,71.37,70.47,71,4537280
"2015-06-29",71.08,71.71,70.82,70.85,3219662
"2015-06-30",70.99,71.04,70.41,70.62,3911287
"2015-07-01",70.8,71.12,70.24,71.08,2372605
"2015-07-02",71.68,72.64,71.43,72.53,3377403
"2015-07-06",72.37,73,72.22,72.85,2830213
"2015-07-07",73.22,75.71,73.22,75.27,6836493
"2015-07-08",74.83,75.57,74.7,74.79,2918880
"2015-07-09",74.95,75.23,73.69,74.07,4500117
"2015-07-10",74.38,75.17,73.98,74.37,2381604
"2015-07-13",74.57,74.94,73.94,74.35,2796026
"2015-07-14",74.56,74.81,73.5,73.8,3372504
"2015-07-15",73.7,74.15,73.36,74.02,2521633
"2015-07-16",74.11,74.98,74.07,74.81,3137778
"2015-07-17",74.49,74.74,73.5,73.57,3779631
"2015-07-20",73.6,73.78,72.77,73.27,2897107
"2015-07-21",73.2,73.2,72.02,72.42,2939834
"2015-07-22",72.46,73.02,72.29,72.37,3316620
"2015-07-23",72.26,72.31,71.02,71.56,3358740
"2015-07-24",71.57,72.02,71.25,71.69,1818371
"2015-07-27",71.76,73.3,71.75,73,3104004
"2015-07-28",72.8,73.38,72.68,73.13,3242774
"2015-07-29",72.93,73.27,72.41,73.11,2797093
"2015-07-30",72.75,73.68,72.68,73.45,2479203
"2015-07-31",74.2,74.93,74.03,74.22,2761204
"2015-08-03",74.3,75.08,74.29,74.96,2755238
"2015-08-04",74.88,74.88,73.77,73.92,2413816
"2015-08-05",74.2,74.49,73.66,73.98,1979342
"2015-08-06",73.98,73.98,72.65,73.84,4098965
"2015-08-07",73.59,75.34,73.14,75.15,3637494
"2015-08-10",75.15,75.41,74.59,74.81,3594530
"2015-08-11",75.04,75.88,74.57,75.29,3431827
"2015-08-12",74.4,76.05,74.22,75.56,4399846
"2015-08-13",75.38,75.82,74.67,75.58,2690638
"2015-08-14",75.37,76.48,75.14,76.37,2455817
"2015-08-17",76.45,76.94,76.14,76.52,2401610
"2015-08-18",76.39,76.49,76,76.24,2681084
"2015-08-19",76.1,77.39,75.61,77.21,4422163
"2015-08-20",76.78,77.45,76.25,76.77,3740848
"2015-08-21",76.15,77.53,75.87,76.71,6028568
"2015-08-24",74.66,75.19,72.03,72.44,7458344
"2015-08-25",73.27,74.12,70.15,70.21,5579036
"2015-08-26",71.22,71.94,70.53,71.74,6794233
"2015-08-27",72.23,72.82,71.7,72.52,4753793
"2015-08-28",72.6,72.6,71.16,72.39,3022199
"2015-08-31",71.84,72.35,70.35,70.91,4335966
"2015-09-01",70.26,70.29,68.66,69.05,3813050
"2015-09-02",69.68,69.78,68.67,69.16,3500732
"2015-09-03",69.54,69.74,69.03,69.28,2325501
"2015-09-04",68.7,68.9,67.98,68.26,3287736
"2015-09-08",68.8,69.37,68.54,69.36,2887556
"2015-09-09",69.63,69.76,68.1,68.21,3268286
"2015-09-10",68.2,68.5,67.49,67.74,3225414
"2015-09-11",67.64,68.36,67.27,68.34,3046125
"2015-09-14",68.4,68.86,68.11,68.31,2126247
"2015-09-15",68.36,68.9,67.69,68.59,2996294
"2015-09-16",68.92,69.42,68.63,69.18,3410463
"2015-09-17",69.23,70.98,69.02,69.91,4196788
"2015-09-18",69.25,70.06,69.18,69.45,5319135
"2015-09-21",69.3,70.18,69.25,70.05,2510957
"2015-09-22",69.58,70.04,68.94,69.15,3380336
"2015-09-23",69.18,69.36,68.46,69.09,1923328
"2015-09-24",68.87,70.47,68.65,70.32,3755568
"2015-09-25",70.31,71.42,69.91,70.71,3302202
"2015-09-28",70.59,71.26,70.34,70.45,3011129
"2015-09-29",70.44,70.9,70.04,70.73,2782513
"2015-09-30",70.95,72.02,70.65,71.94,3204954
"2015-10-01",71.99,72.13,70,70.67,3407752
"2015-10-02",71.32,71.99,70.54,71.96,4115872
"2015-10-05",72.33,73.3,71.78,73.08,3157200
"2015-10-06",72.99,73.44,72.34,73.09,4478975
"2015-10-07",73.15,73.43,72.59,72.67,4096293
"2015-10-08",72.4,73.22,72.14,73,2344276
"2015-10-09",72.93,73.24,72.02,72.26,3064583
"2015-10-12",72.26,73.47,72.25,72.82,2303054
"2015-10-13",72.75,73.1,72.25,72.53,2387577
"2015-10-14",72.56,72.94,72.25,72.34,2226469
"2015-10-15",72.69,73.59,72.29,73.48,2306726
"2015-10-16",73.83,74.17,73.45,73.59,2575186
"2015-10-19",73.49,73.78,72.73,73.58,2180951
"2015-10-20",73.49,74.08,73.31,73.7,2445225
"2015-10-21",73.96,74.38,73.56,73.86,2027479
"2015-10-22",74.02,75.29,73.81,75.06,2462991
"2015-10-23",74.87,75.24,73.6,73.74,2054980
"2015-10-26",73.94,73.94,71.59,72.25,5124932
"2015-10-27",72.25,72.87,72.02,72.41,3094374
"2015-10-28",72.5,72.89,70.73,71.55,2567954
